Delta,MaxNormIw,IterType,AvgRet,VarDiscRet,VarRet,Bound,AvgVanillaIw,EpsThisIter,MaxVanillaIw,ESSClassic,AvgDiscRet,eRenyi2,MinVanillaIw,J,ESSRenyi,BatchSize,VarJ,VarVanillaIw,AvgNormIw,MinNormIw,VanillaAvgRet,AvgEpLen,VarNormIw
0.8,0.00570392,1,-101.023119139,7791.90676759,7791.90676759,-118.844,0.997392,100,2.84452,444.068256588,-101.023119139,1.17925,0.667971,-108.714,423.998817661,500,90.3939,0.125549,0.002,0.00133943,-101.023119139,137.93,5.04824e-07
0.8,0.01,2,-109.261074913,8607.02104613,8607.02104613,-130.118,1.0,100,1.0,100.0,-109.261074913,1.0,1.0,-109.261,500.0,500,92.309,,0.01,0.01,-109.261074913,148.14,3.50449e-18
0.8,0.005,2,-104.935916982,7861.64608922,7861.64608922,-121.847,1.0,100,1.0,200.000000102,-104.935916982,1.0,1.0,-107.098,500.0,500,90.3143,,0.005,0.005,-104.935916982,142.45,2.1793e-19
0.8,0.00333333,2,-112.7833218,9549.58312882,9549.58312882,-121.035,1.0,100,1.0,299.999969474,-112.7833218,1.0,1.0,-108.993,500.0,500,92.7163,,0.00333333,0.00333333,-112.7833218,152.0,5.43914e-20
0.8,0.0025,2,-122.164095611,12193.0486523,12193.0486523,-122.715,1.0,100,1.0,400.0,-122.164095611,1.0,1.0,-112.286,500.0,500,97.4553,,0.0025,0.0025,-122.164095611,163.19,5.4346e-20
0.8,0.0101984,1,-127.746990468,13065.0294533,13065.0294533,-115.212,0.980308,100,4.99878,162.90652327,-127.746990468,3.03368,4.84626e-20,-98.9656,164.8165898,500,124.363,1.99254,0.002,9.88721e-23,-127.746990468,169.09,8.29357e-06
0.8,0.01,2,-119.498313754,11323.2391422,11323.2391422,-140.355,1.0,100,1.0,100.0,-119.498313754,1.0,1.0,-119.498,500.0,500,105.877,,0.01,0.01,-119.498313754,160.81,3.50449e-18
0.8,0.005,2,-109.847864439,9654.69918566,9654.69918566,-129.421,1.0,100,1.0,200.000000102,-109.847864439,1.0,1.0,-114.673,500.0,500,102.016,,0.005,0.005,-109.847864439,148.32,2.1793e-19
0.8,0.00333333,2,-111.545833474,9590.62341602,9590.62341602,-125.672,1.0,100,1.0,299.999969474,-111.545833474,1.0,1.0,-113.631,500.0,500,100.525,,0.00333333,0.00333333,-111.545833474,150.37,5.43914e-20
0.8,0.0025,2,-110.161138219,8629.88105905,8629.88105905,-123.192,1.0,100,1.0,400.0,-110.161138219,1.0,1.0,-112.763,500.0,500,98.5756,,0.0025,0.0025,-110.161138219,149.61,5.4346e-20
0.8,0.0290449,1,-112.072329924,8770.01228525,8770.01228525,-112.755,1.02939,100,14.9493,117.015726699,-112.072329924,3.76363,7.1051e-08,-94.6594,132.850401905,500,92.9094,3.47512,0.002,1.38044e-10,-112.072329924,151.95,1.3118e-05
0.8,0.01,2,-118.209494454,11545.0610439,11545.0610439,-139.066,1.0,100,1.0,100.0,-118.209494454,1.0,1.0,-118.209,500.0,500,106.909,,0.01,0.01,-118.209494454,157.99,3.50449e-18
0.8,0.005,2,-116.364510561,11699.0168106,11699.0168106,-132.035,1.0,100,1.0,200.000000102,-116.364510561,1.0,1.0,-117.287,500.0,500,107.269,,0.005,0.005,-116.364510561,155.08,2.1793e-19
0.8,0.00333333,2,-100.112173874,6733.93604663,6733.93604663,-123.604,1.0,100,1.0,299.999969474,-100.112173874,1.0,1.0,-111.562,500.0,500,99.7941,,0.00333333,0.00333333,-100.112173874,137.41,5.43914e-20
0.8,0.0025,2,-106.167882216,8721.98579545,8721.98579545,-120.642,1.0,100,1.0,400.0,-106.167882216,1.0,1.0,-110.214,500.0,500,98.1493,,0.0025,0.0025,-106.167882216,143.98,5.4346e-20
0.8,0.0138624,1,-88.8839880393,2666.02261334,2666.02261334,-110.399,0.996086,100,6.90407,126.597427543,-88.8839880393,3.76897,4.27709e-15,-92.2907,132.662264016,500,109.566,2.93235,0.002,8.5878e-18,-88.8839880393,124.97,1.18218e-05
0.8,0.01,2,-119.525204405,11319.9826195,11319.9826195,-140.382,1.0,100,1.0,100.0,-119.525204405,1.0,1.0,-119.525,500.0,500,105.862,,0.01,0.01,-119.525204405,159.33,3.50449e-18
