AvgDiscRet,ESSClassic,BatchSize,Bound,VanillaAvgRet,MinNormIw,AvgEpLen,AvgRet,VarDiscRet,J,VarVanillaIw,VarNormIw,AvgVanillaIw,Delta,VarJ,AvgNormIw,eRenyi2,MaxVanillaIw,VarRet,MaxNormIw,ESSRenyi,EpsThisIter,IterType,MinVanillaIw
-104.889125397,100.0,200,-110.731,-104.889125397,0.01,27.95,-104.889125397,30.5923532511,-104.889,,3.50449e-18,1.0,0.8,5.50331,0.01,1.0,1.0,30.5923532511,0.01,200.0,100,2,1.0
-106.253223078,154.888550579,200,-109.308,-106.253223078,0.000510537,27.02,-106.253223078,13.534875599,-104.634,0.287177,7.31785e-06,0.990496,0.8,7.07036,0.005,1.28032,2.96519,13.534875599,0.0149682,156.211421341,100,1,0.101137
-102.906295424,100.0,200,-108.743,-102.906295424,0.01,35.32,-102.906295424,274.86058898,-102.906,,3.50449e-18,1.0,0.8,16.4958,0.01,1.0,1.0,274.86058898,0.01,200.0,100,2,1.0
-103.445035357,13.976116142,200,-80.739,-103.445035357,1.59522e-05,31.29,-103.445035357,41.9633247113,-68.3136,26.85,0.000334425,1.41675,0.8,360.941,0.005,9.06536,67.1592,41.9633247113,0.237019,22.0619912802,100,1,0.00452005
-108.530295252,100.0,200,-131.686,-108.530295252,0.01,58.22,-108.530295252,1686.17567222,-108.53,,3.50449e-18,1.0,0.8,40.8572,0.01,1.0,1.0,1686.17567222,0.01,200.0,100,2,1.0
-105.061457846,25.8962742955,300,-inf,-103.445035357,7.80663e-06,31.29,-103.445035357,859.004884414,-103.54,614.539,0.000168923,9.53676,0.8,28.282,0.005,nan,221.236,41.9633247113,0.115991,nan,100,,0.01489
-102.823322355,4.31253525031,300,-54.812,-102.823322355,7.33291e-11,33.53,-102.823322355,74.5485646002,-35.2687,224.894,0.000764378,1.80806,0.8,607.319,0.00333333,33.1285,253.393,74.5485646002,0.467154,9.05564121959,100,1,3.97751e-08
-111.932475317,100.0,300,-130.386,-111.932475317,0.01,96.3,-111.932475317,2867.78013311,-111.932,,3.50449e-18,1.0,0.8,53.2832,0.01,1.0,1.0,2867.78013311,0.01,300.0,100,2,1.0
-100.853223323,200.000000102,300,-119.441,-100.853223323,0.005,87.73,-100.853223323,1168.94212718,-106.393,,2.1793e-19,1.0,0.8,45.0429,0.005,1.0,1.0,1168.94212718,0.005,300.0,100,2,1.0
-108.72725147,1.77661367494,400,-163.86,-102.823322355,1.16489e-10,33.53,-102.823322355,1887.5629397,-104.218,2.14783e+12,0.00187136,112928.0,0.8,33.2769,0.00333333,31.3389,2.51414e+07,74.5485646002,0.742109,12.7636736997,100,,0.00394644
-104.039187501,16.068278111,400,-81.1264,-104.039187501,1.08998e-07,33.71,-104.039187501,42.4184900686,-69.2562,49.1431,0.00014971,1.43234,0.8,482.361,0.0025,16.2949,127.394,42.4184900686,0.222354,24.5475967046,100,1,6.24488e-05
-104.889814549,100.0,400,-118.538,-104.889814549,0.01,66.56,-104.889814549,645.661823671,-104.89,,3.50449e-18,1.0,0.8,25.2825,0.01,1.0,1.0,645.661823671,0.01,400.0,100,2,1.0
