VarDiscRet,AvgRet,VanillaAvgRet,VarJ,ESSClassic,IterType,AvgNormIw,Bound,J,AvgDiscRet,Delta,VarVanillaIw,VarNormIw,AvgVanillaIw,VarRet,eRenyi2,MinNormIw,BatchSize,MaxVanillaIw,ESSRenyi,MinVanillaIw,MaxNormIw,EpsThisIter,AvgEpLen
70.906110602,-101.029810435,-101.029810435,10.4074,,,0.01,-inf,-103.667,-100.993441493,0.9,inf,0.00823901,3.63619e+21,73.7868330634,nan,3.9431e-26,200,3.28539e+23,nan,0.0143379,0.903523,100,43.17
59.6246667476,-100.476279833,-100.476279833,85.6642,7.19871414991,1,0.005,-96.4836,-83.7045,-100.476279833,0.9,24.838,0.000672933,0.960599,59.6246667476,21.4622,2.64577e-19,200,58.1183,9.3187273203,5.08305e-17,0.302511,100,43.93
136.185866318,-99.7547610678,-99.7547610678,11.6114,100.0,2,0.01,-103.668,-99.7548,-99.7547610678,0.9,,3.50449e-18,1.0,136.185866318,1.0,0.01,200,1.0,200.0,1.0,0.01,100,57.97
120.644404574,-100.476279833,-100.476279833,67.4231,1.57025518178,,0.005,-inf,-95.4295,-100.092833862,0.9,2.11872e+30,0.00317507,1.29161e+14,59.6246667476,nan,6.66081e-19,300,1.96732e+16,nan,0.0172063,0.761581,100,43.93
59.808943727,-101.197476191,-101.197476191,16.4031,142.22207137,1,0.00333333,-102.209,-98.8597,-101.197476191,0.9,1.03588,1.23676e-05,0.964697,59.808943727,2.10658,2.42276e-06,300,5.96389,142.411065744,0.000701168,0.0206071,100,41.68
87.8472183283,-100.675567736,-100.675567736,9.3257,100.0,2,0.01,-104.747,-100.676,-100.675567736,0.9,,3.50449e-18,1.0,87.8472183283,1.0,0.01,300,1.0,300.0,1.0,0.01,100,50.79
62.9020824054,-101.804138025,-101.804138025,8.65675,200.000000102,2,0.005,-104.255,-101.24,-101.804138025,0.9,,2.1793e-19,1.0,62.9020824054,1.0,0.005,300,1.0,300.0,1.0,0.005,100,48.13
63.2577507219,-101.86390906,-101.86390906,8.85915,212.83104079,1,0.00333333,-103.441,-100.547,-101.86390906,0.9,0.399476,4.56598e-06,0.985955,63.2577507219,1.38172,4.53523e-05,300,4.42164,217.119930482,0.0134146,0.0149487,100,45.75
67.970004092,-99.9004708518,-99.9004708518,8.20307,100.0,2,0.01,-103.832,-99.9005,-99.9004708518,0.9,,3.50449e-18,1.0,67.970004092,1.0,0.01,300,1.0,300.0,1.0,0.01,100,47.87
51.4820496568,-99.6951866533,-99.6951866533,7.69021,200.000000102,2,0.005,-102.578,-99.7978,-99.6951866533,0.9,,2.1793e-19,1.0,51.4820496568,1.0,0.005,300,1.0,300.0,1.0,0.005,100,44.41
53.6649820704,-101.059403203,-101.059403203,13.0184,169.052658697,1,0.00333333,-102.037,-98.9894,-101.059403203,0.9,0.841221,8.6354e-06,1.04038,53.6649820704,1.80104,7.30266e-06,300,4.93299,166.570189512,0.00227927,0.0158051,100,44.59
55.3975516172,-100.262486069,-100.262486069,7.40565,100.0,2,0.01,-104.402,-100.262,-100.262486069,0.9,,3.50449e-18,1.0,55.3975516172,1.0,0.01,300,1.0,300.0,1.0,0.01,100,42.43
66.8615128445,-99.6350784382,-99.6350784382,7.78567,200.000000102,2,0.005,-102.876,-99.9488,-99.6350784382,0.9,,2.1793e-19,1.0,66.8615128445,1.0,0.005,300,1.0,300.0,1.0,0.005,100,43.74
100.426214994,-99.2605068919,-99.2605068919,9.42509,186.066647527,1,0.00333333,-101.769,-98.8759,-99.2605068919,0.9,0.739854,6.82638e-06,1.09738,100.426214994,1.46557,0.00015421,300,7.81009,204.699099736,0.050768,0.0237235,100,43.07
41.0359507594,-100.839694671,-100.839694671,6.37382,100.0,2,0.01,-104.743,-100.84,-100.839694671,0.9,,3.50449e-18,1.0,41.0359507594,1.0,0.01,300,1.0,300.0,1.0,0.01,100,43.29
60.0311852712,-100.586334757,-100.586334757,7.0742,200.000000102,2,0.005,-103.473,-100.713,-100.586334757,0.9,,2.1793e-19,1.0,60.0311852712,1.0,0.005,300,1.0,300.0,1.0,0.005,100,44.95
57.643242765,-100.270725925,-100.270725925,10.7714,166.268732861,1,0.00333333,-102.42,-99.4757,-100.270725925,0.9,0.828238,8.96664e-06,1.01307,57.643242765,1.70699,1.07088e-06,300,7.64231,175.747585427,0.000325465,0.0251456,100,45.94
73.1078771512,-99.9816753804,-99.9816753804,8.50746,100.0,2,0.01,-104.373,-99.9817,-99.9816753804,0.9,,3.50449e-18,1.0,73.1078771512,1.0,0.01,300,1.0,300.0,1.0,0.01,100,48.13
68.5036649949,-100.446297628,-100.446297628,8.37566,200.000000102,2,0.005,-103.319,-100.214,-100.446297628,0.9,,2.1793e-19,1.0,68.5036649949,1.0,0.005,300,1.0,300.0,1.0,0.005,100,46.25
65.123137344,-100.83059934,-100.83059934,12.0344,172.725118364,1,0.00333333,-101.816,-98.3951,-100.83059934,0.9,0.77769,8.21476e-06,1.02562,65.123137344,1.82093,1.309e-05,300,6.59907,164.750719668,0.00402759,0.0214475,100,47.71
60.948216064,-99.1432632451,-99.1432632451,7.7678,100.0,2,0.01,-102.948,-99.1433,-99.1432632451,0.9,,3.50449e-18,1.0,60.948216064,1.0,0.01,300,1.0,300.0,1.0,0.01,100,44.7
49.5428328703,-100.793956855,-100.793956855,7.44139,200.000000102,2,0.005,-102.733,-99.9686,-100.793956855,0.9,,2.1793e-19,1.0,49.5428328703,1.0,0.005,300,1.0,300.0,1.0,0.005,100,46.05
42.5755001659,-100.482785646,-100.482785646,8.47105,232.412775163,1,0.00333333,-102.118,-99.5544,-100.482785646,0.9,0.312203,3.24199e-06,1.03441,42.5755001659,1.29025,0.000146135,300,3.8309,232.5123586,0.0453489,0.0123449,100,44.7
45.7684736798,-100.275489364,-100.275489364,6.73133,100.0,2,0.01,-104.175,-100.275,-100.275489364,0.9,,3.50449e-18,1.0,45.7684736798,1.0,0.01,300,1.0,300.0,1.0,0.01,100,44.81
43.9715320388,-101.625186815,-101.625186815,6.69901,200.000000102,2,0.005,-103.745,-100.95,-101.625186815,0.9,,2.1793e-19,1.0,43.9715320388,1.0,0.005,300,1.0,300.0,1.0,0.005,100,43.08
37.3594805985,-100.113565627,-100.113565627,44.391,34.4583281528,1,0.00333333,-101.282,-97.0659,-100.113565627,0.9,10.1271,8.59105e-05,1.14445,37.3594805985,3.41502,4.45365e-05,300,52.5993,87.8473083998,0.015291,0.153201,100,43.92
55.9503600409,-99.2492696665,-99.2492696665,7.4425,100.0,2,0.01,-103.266,-99.2493,-99.2492696665,0.9,,3.50449e-18,1.0,55.9503600409,1.0,0.01,300,1.0,300.0,1.0,0.01,100,44.07
40.0237309407,-101.201684674,-101.201684674,6.96133,200.000000102,2,0.005,-103.066,-100.225,-101.201684674,0.9,,2.1793e-19,1.0,40.0237309407,1.0,0.005,300,1.0,300.0,1.0,0.005,100,43.97
