MinVanillaIw,Bound,VarVanillaIw,MinNormIw,AvgVanillaIw,VarNormIw,AvgRet,AvgDiscRet,eRenyi2,J,AvgNormIw,MaxNormIw,ESSClassic,BatchSize,MaxVanillaIw,ESSRenyi,VarDiscRet,VarRet,VarJ,AvgEpLen,VanillaAvgRet
,16752.988,7959.1035,,12.664817,0.0049621076,-1.0913936421275138e-13,-1.0913936421275138e-13,699.9625,1697.7007,0.01,0.52498794,1.995017175891385,100,664.88763,0.1428647913453793,4553425.762000742,4553425.762000742,51.018803,200.0,-1704.5819581729843
,1.5295375e+16,1.738572e+32,,1318549500000000.0,0.0100000035,2.3270274596143282e-15,2.3270274596143282e-15,9.323524e+16,11.600153,0.01,1.0,1.0,100,1.3185495e+17,1.0725558740680616e-15,100.608499686347,100.608499686347,,200.0,-12.623754393443226
1.0,-0.8689221,,0.01,1.0,3.5044917e-18,-8.881784197001252e-16,-8.881784197001252e-16,1.0,-9.685755e-08,0.009999998,0.01,100.0,100,1.0,100.0,106.74280793916208,106.74280793916208,10.279853,200.0,-12.584397944046245
1.0,-0.7959579,,0.01,1.0,3.5044917e-18,-1.2079226507921704e-15,-1.2079226507921704e-15,1.0,-5.9604645e-08,0.009999998,0.01,100.0,100,1.0,100.0,89.56884926803858,89.56884926803858,9.416642,200.0,-11.089982299463195
1.0,-0.82981956,,0.01,1.0,3.5044917e-18,-1.8118839761882555e-15,-1.8118839761882555e-15,1.0,2.9802322e-08,0.009999998,0.01,100.0,100,1.0,100.0,97.35183973989655,97.35183973989655,9.817246,200.0,-12.678393003117662
1.0,-0.8373371,,0.01,1.0,3.5044917e-18,9.947598300641404e-16,9.947598300641404e-16,1.0,5.9604645e-08,0.009999998,0.01,100.0,100,1.0,100.0,99.12372599727077,99.12372599727077,9.906184,200.0,-12.715279631093553
1.0,-0.8384388,,0.01,1.0,3.5044917e-18,-2.1316282072803005e-16,-2.1316282072803005e-16,1.0,1.3411045e-07,0.009999998,0.01,100.0,100,1.0,100.0,99.38471860397006,99.38471860397006,9.919217,200.0,-11.747435587677511
1.0,-0.8548627,,0.01,1.0,3.5044917e-18,1.8562928971732616e-15,1.8562928971732616e-15,1.0,-1.4901161e-08,0.009999998,0.01,100.0,100,1.0,100.0,103.3165268004618,103.3165268004618,10.1135235,200.0,-13.472172599119036
1.0,-0.84081936,,0.01,1.0,3.5044917e-18,2.9487523534044156e-15,2.9487523534044156e-15,1.0,2.9802322e-08,0.009999998,0.01,100.0,100,1.0,100.0,99.94990896273202,99.94990896273202,9.947382,200.0,-11.415234380857774
1.0,-0.83589005,,0.01,1.0,3.5044917e-18,1.0480505352461477e-15,1.0480505352461477e-15,1.0,-8.940697e-08,0.009999998,0.01,100.0,100,1.0,100.0,98.78143429764032,98.78143429764032,9.889066,200.0,-11.981176096473273
1.0,-0.8761083,,0.01,1.0,3.5044917e-18,6.927791673660977e-16,6.927791673660977e-16,1.0,,0.009999998,0.01,100.0,100,1.0,100.0,108.51567040877828,108.51567040877828,10.364869,200.0,-12.733163703268596
1.0,-0.8740278,,0.01,1.0,3.5044917e-18,3.783640067922533e-15,3.783640067922533e-15,1.0,1.1920929e-07,0.009999998,0.01,100.0,100,1.0,100.0,108.00087721705985,108.00087721705985,10.340255,200.0,-11.583239601361672
1.0,-0.84150636,,0.01,1.0,3.5044917e-18,8.881784197001252e-16,8.881784197001252e-16,1.0,1.0430813e-07,0.009999998,0.01,100.0,100,1.0,100.0,100.11326700696826,100.11326700696826,9.955507,200.0,-12.351554765466451
1.0,-0.8419813,,0.01,1.0,3.5044917e-18,7.105427357601002e-16,7.105427357601002e-16,1.0,-2.0116568e-07,0.009999998,0.01,100.0,100,1.0,100.0,100.22631080313813,100.22631080313813,9.961127,200.0,-11.7421737546609
1.0,-0.85396147,,0.01,1.0,3.5044917e-18,-7.105427357601002e-16,-7.105427357601002e-16,1.0,-1.1920929e-07,0.009999998,0.01,100.0,100,1.0,100.0,103.09876382123974,103.09876382123974,10.1028595,200.0,-11.856462404423164
1.0,-0.863825,,0.01,1.0,3.5044917e-18,8.348877145181177e-16,8.348877145181177e-16,1.0,8.940697e-08,0.009999998,0.01,100.0,100,1.0,100.0,105.4941974231044,105.4941974231044,10.219553,200.0,-11.560744279853134
1.0,-0.81600773,,0.01,1.0,3.5044917e-18,5.329070518200751e-16,5.329070518200751e-16,1.0,2.2351742e-08,0.009999998,0.01,100.0,100,1.0,100.0,94.13812198190136,94.13812198190136,9.653846,200.0,-12.35071730995765
1.0,-0.8447573,,0.01,1.0,3.5044917e-18,-6.039613253960852e-16,-6.039613253960852e-16,1.0,-8.940697e-08,0.009999998,0.01,100.0,100,1.0,100.0,100.88829691547768,100.88829691547768,9.993969,200.0,-11.898593754064088
1.0,-0.8337197,,0.01,1.0,3.5044917e-18,-1.0835776720341528e-15,-1.0835776720341528e-15,1.0,-1.2665987e-07,0.009999998,0.01,100.0,100,1.0,100.0,98.269117900697,98.269117900697,9.863388,200.0,-12.509702205791138
1.0,-0.85881513,,0.01,1.0,3.5044917e-18,1.6875389974302379e-15,1.6875389974302379e-15,1.0,2.9802322e-08,0.009999998,0.01,100.0,100,1.0,100.0,104.27405350578063,104.27405350578063,10.160281,200.0,-10.384263601302465
1.0,-0.8363217,,0.01,1.0,3.5044917e-18,3.126388037344441e-15,3.126388037344441e-15,1.0,-5.9604645e-08,0.009999998,0.01,100.0,100,1.0,100.0,98.88346531766898,98.88346531766898,9.894172,200.0,-13.150183302667124
1.0,-0.8414571,,0.01,1.0,3.5044917e-18,2.9487523534044156e-15,2.9487523534044156e-15,1.0,-1.7881393e-07,0.009999998,0.01,100.0,100,1.0,100.0,100.10155858069352,100.10155858069352,9.954926,200.0,-13.431239004450225
1.0,-0.75542396,,0.01,1.0,3.5044917e-18,-1.5099033134902129e-15,-1.5099033134902129e-15,1.0,,0.009999998,0.01,100.0,100,1.0,100.0,80.67860544173332,80.67860544173332,8.937103,200.0,-9.94885740876296
1.0,-0.843023,,0.01,1.0,3.5044917e-18,-1.900701818158268e-15,-1.900701818158268e-15,1.0,,0.009999998,0.01,100.0,100,1.0,100.0,100.4745277945724,100.4745277945724,9.9734535,200.0,-11.696268965926896
1.0,-0.81242675,,0.01,1.0,3.5044917e-18,-1.3855583347321954e-15,-1.3855583347321954e-15,1.0,2.9802322e-08,0.009999998,0.01,100.0,100,1.0,100.0,93.31367757583571,93.31367757583571,9.61148,200.0,-11.953891628544559
1.0,-0.78165793,,0.01,1.0,3.5044917e-18,8.348877145181177e-16,8.348877145181177e-16,1.0,-2.9802322e-08,0.009999998,0.01,100.0,100,1.0,100.0,86.37944244476007,86.37944244476007,9.247467,200.0,-9.695227371086688
1.0,-0.8400758,,0.01,1.0,3.5044917e-18,6.750155989720952e-16,6.750155989720952e-16,1.0,-2.6077032e-08,0.009999998,0.01,100.0,100,1.0,100.0,99.77319854615872,99.77319854615872,9.938584,200.0,-12.097042708405207
