Bound,AvgDiscRet,IterType,J,VarDiscRet,VarRet,MinVanillaIw,VarJ,MinNormIw,AvgNormIw,ESSClassic,ESSRenyi,EpsThisIter,eRenyi2,MaxVanillaIw,AvgRet,AvgEpLen,BatchSize,VarVanillaIw,SamplesThisIter,Delta,VarNormIw,MaxNormIw,VanillaAvgRet,AvgVanillaIw
36.4936,50.100031873,1,50.1,3807.34223478,3807.34223478,1.0,61.6999,0.000120265,0.000120265,8314.99985523,100.0,8315,1.0,1.0,50.100031873,6.01322910403,100,,50000,0.6,,0.000120265,50.100031873,1.0
42.6542,49.798081756,1,49.7981,3739.21446586,3739.21446586,1.0,61.1455,0.00011966,0.00011966,8357.00049506,100.0,8357,1.0,1.0,49.798081756,5.98300825655,100,,50000,0.6,,0.00011966,49.798081756,1.0
40.8852,49.0494147295,1,49.0494,3371.69573924,3371.69573924,1.0,58.0629,0.000118161,0.000118161,8462.99948221,100.0,8463,1.0,1.0,49.0494147295,5.9080704242,100,,50000,0.6,2.11783e-22,0.000118161,49.0494147295,1.0
40.2594,48.6610289342,1,48.661,3497.83167354,3497.83167354,1.0,59.139,0.000117385,0.000117385,8518.99956175,100.0,8519,1.0,1.0,48.6610289342,5.86923347811,100,,50000,0.6,2.11783e-22,0.000117385,48.6610289342,1.0
40.5874,48.0670423239,1,48.067,3156.30907492,3156.30907492,1.0,56.1778,0.000116198,0.000116198,8605.9995078,100.0,8606,1.0,1.0,48.0670423239,5.80990006972,100,,50000,0.6,4.76511e-22,0.000116198,48.0670423239,1.0
40.3761,48.4070109119,1,48.407,3456.22430893,3456.22430893,1.0,58.7862,0.000116877,0.000116877,8555.9998227,100.0,8556,1.0,1.0,48.4070109119,5.84385226741,100,,50000,0.6,2.11783e-22,0.000116877,48.4070109119,1.0
41.8814,48.5988723421,1,48.5989,3415.56516482,3415.56516482,1.0,58.4394,0.000117261,0.000117261,8528.00056815,100.0,8528,1.0,1.0,48.5988723421,5.86303939962,100,,50000,0.6,8.47132e-22,0.000117261,48.5988723421,1.0
32.1756,49.4498104766,1,49.4498,3991.60888736,3991.60888736,1.0,63.1754,0.000118963,0.000118963,8405.99972331,100.0,8406,1.0,1.0,49.4498104766,5.94813228646,100,,50000,0.6,2.11783e-22,0.000118963,49.4498104766,1.0
37.4993,48.6392865638,1,48.6393,3709.43643437,3709.43643437,1.0,60.9016,0.000117343,0.000117343,8521.99948598,100.0,8522,1.0,1.0,48.6392865638,5.86716733161,100,,50000,0.6,2.11783e-22,0.000117343,48.6392865638,1.0
39.3855,49.8346026802,1,49.8346,4094.95463499,4094.95463499,1.0,63.988,0.000119732,0.000119732,8352.0004886,100.0,8352,1.0,1.0,49.8346026802,5.98659003831,100,,50000,0.6,2.11784e-22,0.000119732,49.8346026802,1.0
37.5141,49.1471125582,1,49.1471,3802.8141475,3802.8141475,1.0,61.6633,0.000118357,0.000118357,8449.00006212,100.0,8449,1.0,1.0,49.1471125582,5.91786010179,100,,50000,0.6,2.11783e-22,0.000118357,49.1471125582,1.0
40.9381,49.2942195626,1,49.2942,3451.89289124,3451.89289124,1.0,58.7493,0.000118652,0.000118652,8428.00021237,100.0,8428,1.0,1.0,49.2942195626,5.93260560038,100,,50000,0.6,,0.000118652,49.2942195626,1.0
35.9951,49.4355523523,1,49.4355,3764.08430418,3764.08430418,1.0,61.3485,0.000118934,0.000118934,8408.00044701,100.0,8408,1.0,1.0,49.4355523523,5.94671741199,100,,50000,0.6,4.76513e-22,0.000118934,49.4355523523,1.0
40.1464,49.9847846379,1,49.9848,3689.12035986,3689.12035986,1.0,60.7345,0.000120034,0.000120034,8330.99944312,100.0,8331,1.0,1.0,49.9847846379,6.00168047053,100,,50000,0.6,2.11784e-22,0.000120034,49.9847846379,1.0
41.196,50.7357619755,1,50.7358,3973.07404843,3973.07404843,1.0,63.0285,0.000121536,0.000121536,8228.00057072,100.0,8228,1.0,1.0,50.7357619755,6.07681088965,100,,50000,0.6,2.11784e-22,0.000121536,50.7357619755,1.0
40.4908,49.2932783475,1,49.2933,3816.77971036,3816.77971036,1.0,61.7764,0.000118652,0.000118652,8428.00021237,100.0,8428,1.0,1.0,49.2932783475,5.93260560038,100,,50000,0.6,,0.000118652,49.2932783475,1.0
36.1216,48.9799841128,1,48.98,3896.25354419,3896.25354419,1.0,62.4163,0.000118022,0.000118022,8473.00059983,100.0,8473,1.0,1.0,48.9799841128,5.90109760415,100,,50000,0.6,2.11783e-22,0.000118022,48.9799841128,1.0
34.1407,49.252249515,1,49.2523,3824.47458064,3824.47458064,1.0,61.8387,0.000118568,0.000118568,8433.99943263,100.0,8434,1.0,1.0,49.252249515,5.9283851079,100,,50000,0.6,2.11783e-22,0.000118568,49.252249515,1.0
39.4475,49.8050454176,1,49.8051,3971.0359371,3971.0359371,1.0,63.0124,0.000119674,0.000119674,8356.00061347,100.0,8356,1.0,1.0,49.8050454176,5.98372426999,100,,50000,0.6,,0.000119674,49.8050454176,1.0
40.099,49.349443808,1,49.3494,3677.04066476,3677.04066476,1.0,60.635,0.000118765,0.000118765,8419.99979695,100.0,8420,1.0,1.0,49.349443808,5.93824228029,100,,50000,0.6,4.76513e-22,0.000118765,49.349443808,1.0
42.6858,50.0211480553,1,50.0211,3891.50371395,3891.50371395,1.0,62.3782,0.000120106,0.000120106,8326.00000576,100.0,8326,1.0,1.0,50.0211480553,6.00528465049,100,,50000,0.6,,0.000120106,50.0211480553,1.0
43.6998,49.7697344293,1,49.7697,3554.16499399,3554.16499399,1.0,59.6133,0.000119603,0.000119603,8360.99942297,100.0,8361,1.0,1.0,49.7697344293,5.98014591556,100,,50000,0.6,4.76513e-22,0.000119603,49.7697344293,1.0
12.201,49.5349695278,1,49.535,5640.39357262,5640.39357262,1.0,75.0981,0.000119133,0.000119133,8394.00017487,100.0,8394,1.0,1.0,49.5349695278,5.95663569216,100,,50000,0.6,4.76513e-22,0.000119133,49.5349695278,1.0
42.3348,49.6473859845,1,49.6474,3765.00821265,3765.00821265,1.0,61.356,0.00011936,0.00011936,8377.99954698,100.0,8378,1.0,1.0,49.6473859845,5.96801145858,100,,50000,0.6,8.47134e-22,0.00011936,49.6473859845,1.0
38.9203,49.5208611795,1,49.5209,4186.38054625,4186.38054625,1.0,64.6984,0.000119104,0.000119104,8395.99952976,100.0,8396,1.0,1.0,49.5208611795,5.95521676989,100,,50000,0.6,4.76513e-22,0.000119104,49.5208611795,1.0
42.0779,50.1365267629,1,50.1365,3586.5987862,3586.5987862,1.0,59.8846,0.000120337,0.000120337,8309.99978577,100.0,8310,1.0,1.0,50.1365267629,6.01684717208,100,,50000,0.6,8.47135e-22,0.000120337,50.1365267629,1.0
34.3281,49.6689308918,1,49.6689,3971.68323457,3971.68323457,1.0,63.0175,0.000119403,0.000119403,8375.00069749,100.0,8375,1.0,1.0,49.6689308918,5.97014925373,100,,50000,0.6,2.11784e-22,0.000119403,49.6689308918,1.0
40.155,49.7982106475,1,49.7982,3749.46717056,3749.46717056,1.0,61.2292,0.00011966,0.00011966,8357.00049506,100.0,8357,1.0,1.0,49.7982106475,5.98300825655,100,,50000,0.6,,0.00011966,49.7982106475,1.0
40.1663,50.2017259807,1,50.2017,4003.83288629,4003.83288629,1.0,63.272,0.000120467,0.000120467,8300.999764,100.0,8301,1.0,1.0,50.2017259807,6.02337067823,100,,50000,0.6,2.11784e-22,0.000120467,50.2017259807,1.0
42.1288,48.1151737548,1,48.1152,2920.49676162,2920.49676162,1.0,54.0385,0.000116293,0.000116293,8598.99932225,100.0,8599,1.0,1.0,48.1151737548,5.81462960809,100,,50000,0.6,2.11783e-22,0.000116293,48.1151737548,1.0
35.0736,48.7978674396,1,48.7979,3698.66298916,3698.66298916,1.0,60.813,0.000117661,0.000117661,8499.00063644,100.0,8499,1.0,1.0,48.7978674396,5.88304506413,100,,50000,0.6,4.76512e-22,0.000117661,48.7978674396,1.0
39.6882,49.6771078843,1,49.6771,3867.17984931,3867.17984931,1.0,62.1829,0.000119417,0.000119417,8374.00049608,100.0,8374,1.0,1.0,49.6771078843,5.9708621925,100,,50000,0.6,2.11784e-22,0.000119417,49.6771078843,1.0
40.6525,49.0840455064,1,49.084,3630.46874308,3630.46874308,1.0,60.2498,0.000118231,0.000118231,8458.00021796,100.0,8458,1.0,1.0,49.0840455064,5.91156301726,100,,50000,0.6,2.11783e-22,0.000118231,49.0840455064,1.0
37.4949,48.5373971865,1,48.5374,3678.16798283,3678.16798283,1.0,60.6443,0.000117137,0.000117137,8536.99964375,100.0,8537,1.0,1.0,48.5373971865,5.85685838116,100,,50000,0.6,2.11783e-22,0.000117137,48.5373971865,1.0
36.2798,49.5561958314,1,49.5562,3785.27917768,3785.27917768,1.0,61.521,0.000119175,0.000119175,8390.99999667,100.0,8391,1.0,1.0,49.5561958314,5.95876534382,100,,50000,0.6,,0.000119175,49.5561958314,1.0
34.4539,50.2223641161,1,50.2224,4075.61600462,4075.61600462,1.0,63.8367,0.000120511,0.000120511,8297.99959978,100.0,8298,1.0,1.0,50.2223641161,6.0255483249,100,,50000,0.6,2.11784e-22,0.000120511,50.2223641161,1.0
32.3115,48.7784191525,1,48.7784,3696.82078936,3696.82078936,1.0,60.7979,0.000117619,0.000117619,8501.99986337,100.0,8502,1.0,1.0,48.7784191525,5.88096918372,100,,50000,0.6,2.11783e-22,0.000117619,48.7784191525,1.0
