BatchSize,ESSRenyi,AvgVanillaIw,AvgNormIw,VarVanillaIw,MaxNormIw,Bound,VarDiscRet,VarRet,MaxVanillaIw,J,AvgEpLen,VarJ,AvgRet,VarNormIw,MinVanillaIw,VanillaAvgRet,MinNormIw,eRenyi2,ESSClassic,AvgDiscRet
100,36.1956737482158,0.85844636,0.01,1.4264138,0.045152698,-874.92786,5129759.252282409,5129759.252282409,3.8761168,-69.53895,200.0,184.89177,-2285.106964054178,0.00019356163,4.2639038e-20,-2285.106964054178,4.967001e-22,2.762761,34.29049947688328,-2285.106964054178
100,89.48638877118961,0.95702684,0.01,0.14652525,0.01405624,-298.65952,259454.38802130157,259454.38802130157,1.3452199,-17.373653,200.0,50.34171,-101.82482641036941,1.5997948e-05,0.024592279,-101.82482641036941,0.0002569654,1.1174884,86.32748071935953,-101.82482641036941
100,63.39335894628346,0.99258834,0.01,0.62769777,0.021387957,-10.72847,69.19149203124536,69.19149203124536,2.1229436,-7.729329,200.0,9.492794,-8.908794909959669,6.371068e-05,5.3100222e-05,-8.908794909959669,5.349672e-07,1.5774523,61.322019917082635,-8.908794909959669
100,19.658617279150224,1.1081294,0.010000002,4.939246,0.06436568,-8.818157,53.69350276464947,53.69350276464947,7.13255,-3.5322812,200.0,7.0728374,-8.925940327351107,0.00040223502,,-8.925940327351107,,5.0868278,20.07175105895711,-8.925940327351107
100,86.30037617364583,0.99342614,0.01,0.09671178,0.025878984,-9.966579,47.05536790456905,47.05536790456905,2.570886,-7.8584104,200.0,6.8834004,-8.237099679525883,9.799597e-06,0.79578197,-8.237099679525883,0.00801048,1.1587435,91.15638474600773,-8.237099679525883
100,27.29448543634986,0.88998854,0.01,2.1211586,0.09268477,-9.79301,50.8361052268945,50.8361052268945,8.248838,-6.0051484,200.0,10.482625,-8.620378109089486,0.00026779613,0.00011697886,-8.620378109089486,1.314386e-06,3.6637437,27.388390683157827,-8.620378109089486
100,98.44411366114677,1.0051669,0.009999999,0.015297839,0.01119985,-10.529494,53.47695082076813,53.47695082076813,1.1257718,-8.441932,200.0,7.25344,-8.46917538018459,1.5140971e-06,0.54337966,-8.46917538018459,0.005405865,1.0158048,98.52320117568219,-8.46917538018459
100,67.53528176909003,0.98973703,0.01,0.5095445,0.019855076,-9.315235,54.55154037447244,54.55154037447244,1.9651303,-6.8795986,200.0,8.148833,-7.694783777320034,5.2016672e-05,0.00013698927,-7.694783777320034,1.3840977e-06,1.4807075,66.008134577926,-7.694783777320034
100,32.381303985676674,1.1201094,0.01,2.5795207,0.038345408,-10.549007,52.6519838306697,52.6519838306697,4.2951055,-6.967294,200.0,10.512005,-8.93582027712486,0.00020559762,2.615417e-27,-8.93582027712486,2.3349654e-29,3.0882018,32.94441049794823,-8.93582027712486
100,73.62619596594904,1.0346774,0.01,0.34407717,0.017084602,-9.169794,47.80567004549958,47.80567004549958,1.7677051,-6.8572226,200.0,7.269704,-7.415411049299031,3.2140008e-05,0.0024839416,-7.415411049299031,2.400692e-05,1.3582122,75.86181462831185,-7.415411049299031
100,67.53385726512371,1.1016107,0.010000002,0.9549956,0.085767224,-9.293289,44.44540939835852,44.44540939835852,9.44821,-7.145802,200.0,8.306995,-7.907158257438197,7.869461e-05,0.6185657,-7.907158257438197,0.005615102,1.4807388,56.208928813533745,-7.907158257438197
100,89.27001722803485,1.038686,0.01,0.12611088,0.013598647,-10.0385,54.51607720663836,54.51607720663836,1.4124725,-7.933552,200.0,7.8928137,-8.118060057211187,1.1689177e-05,0.18183509,-8.118060057211187,0.001750626,1.1201969,89.62800653602051,-8.118060057211187
100,88.1826379414778,1.0268483,0.009999999,0.14228345,0.015178629,-8.488534,42.8993146311734,42.8993146311734,1.558615,-6.384228,200.0,6.374241,-6.665198112217199,1.3494035e-05,0.10771867,-6.665198112217199,0.0010490222,1.1340101,88.21526819417988,-6.665198112217199
100,98.99852103058629,1.0075219,0.010000002,0.01235815,0.015324895,-10.496196,55.33405121625141,55.33405121625141,1.5440166,-8.542016,200.0,7.3777885,-8.562213175255371,1.2174315e-06,0.9125965,-8.562213175255371,0.009057834,1.0101161,98.8090926847178,-8.562213175255371
100,77.73541313312633,1.0818179,0.01,0.46110708,0.043237817,-8.415753,46.22469501958146,46.22469501958146,4.677544,-6.1364694,200.0,6.2931314,-6.692542448609797,3.9399754e-05,0.3659589,-6.692542448609797,0.0033828143,1.286415,71.9394693367285,-6.692542448609797
100,77.52342261250155,1.0391797,0.010000002,0.23766364,0.027035294,-10.802645,54.66886562544045,54.66886562544045,2.8094528,-8.526392,200.0,8.550207,-9.058380754738035,2.2008046e-05,0.37928075,-9.058380754738035,0.0036498092,1.2899327,82.1099087474847,-9.058380754738035
