Bound,J,AvgRet,eRenyi2,MinVanillaIw,VarRet,AvgNormIw,VarNormIw,AvgDiscRet,AvgEpLen,MaxVanillaIw,ESSRenyi,VarJ,BatchSize,VarVanillaIw,MinNormIw,MaxNormIw,ESSClassic,AvgVanillaIw,VarDiscRet
-1306.4513,-169.50537,-4066.23450637783,5.742204,1.9629998e-28,4392402.075036766,0.01,0.0006157148,-4066.23450637783,200.0,8.39597,17.41491537105738,681.0748,100,4.4932723,2.2978872e-30,0.09828321,14.09328904258313,0.85426295,4392402.075036766
-281.66553,-20.111378,-99.7757614935687,1.1862441,0.08586517,235562.62899632956,0.01,1.9219224e-05,-99.7757614935687,200.0,1.4750051,84.29967951761729,62.3166,100,0.18757688,0.0008691511,0.014930412,84.01454056131688,0.9879199,235562.62899632956
-238.49017,-13.631835,-55.2943627787882,1.0723696,0.077584274,94415.30511816738,0.009999998,9.113533e-06,-55.2943627787882,200.0,1.2520688,93.2514333534022,30.950607,100,0.089020774,0.0007850031,0.012668519,91.7242882372104,0.9883308,94415.30511816738
-9.913595,-7.4427147,-7.91004102192165,1.266027,0.012699897,57.94442494401424,0.01,3.5882633e-05,-7.91004102192165,200.0,1.6797876,78.98725862516389,8.274861,100,0.2951591,0.0001400278,0.018521171,73.78777712195541,0.9069554,57.94442494401424
-9.5893,-7.428135,-8.16950272310117,3.4100554,6.275723e-38,54.85628997546914,0.01,0.00030208222,-8.16950272310117,200.0,4.6996045,29.32503678123647,14.977759,100,1.7215945,8.31306e-40,0.06225274,25.058800241743796,0.75492334,54.85628997546914
-8.489073,-6.728866,-6.763860071508322,1.1678491,0.8106946,53.633566853713624,0.01,9.057743e-06,-6.763860071508322,200.0,3.396681,85.62750366758848,7.6239057,100,0.082269184,0.0085064545,0.03564069,91.77075670465759,0.9530346,53.633566853713624
-8.852967,-7.0807843,-7.099321145042785,1.1677287,0.7350708,45.80999113333187,0.010000002,9.946987e-06,-7.099321145042785,200.0,2.2139323,85.63633249071167,6.9348245,100,0.09238029,0.007627554,0.022973144,91.03528448560515,0.9637045,45.80999113333187
-8.512262,-6.430772,-7.0115678815416915,1.3213733,0.0028787707,49.589030027559545,0.01,3.659995e-05,-7.0115678815416915,200.0,1.7100482,75.67883860708704,6.8749022,100,0.3392302,2.9901988e-05,0.017762389,73.40314481059025,0.96273553,49.589030027559545
-9.137201,-7.6153393,-7.992884295329507,1.9102459,1.5509309e-09,46.150270800194825,0.01,0.00011700617,-7.992884295329507,200.0,2.6289215,52.349281441490376,9.062134,100,0.8147372,1.8586093e-11,0.03150455,46.331449381959565,0.83445776,46.150270800194825
-10.100068,-8.101883,-8.238470351089559,1.122323,0.827247,53.766753511367334,0.010000002,4.9393952e-06,-8.238470351089559,200.0,2.094638,89.10090657956343,7.597486,100,0.048063345,0.0083861975,0.021234345,95.33794966374592,0.98643875,53.766753511367334
-9.417193,-7.1744647,-7.722185921790667,1.3190954,0.04711783,44.48849491733293,0.01,3.1634903e-05,-7.722185921790667,200.0,2.0188837,75.80952979989651,7.095459,100,0.3154669,0.00047183657,0.020217042,76.15069289822377,0.9986049,44.48849491733293
-9.582988,-7.661076,-8.169933755505461,1.199302,0.039753377,57.594027838920475,0.01,2.5366e-05,-8.169933755505461,200.0,1.4941118,83.3818366808562,8.485251,100,0.23669869,0.00041153055,0.01546718,79.92817739841152,0.96598846,57.594027838920475
-10.999242,-9.137983,-9.181948240389067,1.136426,0.823373,57.302371204789,0.010000002,9.600861e-06,-9.181948240389067,200.0,2.75314,87.99517299427926,7.8001924,100,0.090578035,0.008476963,0.028344706,91.32015187398785,0.9713066,57.302371204789
-10.720813,-8.7688875,-8.765340801320859,1.0269642,0.77920157,56.45936341473984,0.01,2.0901891e-06,-8.765340801320859,200.0,1.6694434,97.37437897571621,7.6121902,100,0.020665193,0.007836513,0.01678977,97.97266518911998,0.99432176,56.45936341473984
-7.607189,-6.2299113,-7.12678722557109,8.027915,,43.671829525005414,0.01,0.0016449011,-7.12678722557109,200.0,11.331188,12.456534478578273,16.93644,100,2.3510003,,0.29972225,5.785523431222281,0.3780563,43.671829525005414
-10.325535,-8.031163,-8.840512830005304,1.9149706,0.13811928,61.19388728810762,0.01,5.6747784e-05,-8.840512830005304,200.0,3.9417639,52.22012186551019,9.72198,100,0.50909877,0.0014582359,0.04161636,64.02855892157822,0.9471669,61.19388728810762
-10.275927,-8.709246,-8.657691682877122,1.2449523,0.7778392,58.02894444247106,0.01,1.0365866e-05,-8.657691682877122,200.0,3.224565,80.32436126987939,7.6178885,100,0.08817598,0.008433687,0.034962203,90.6929088544551,0.92230034,58.02894444247106
-10.390193,-8.911535,-9.010984157134951,1.3045462,0.7781122,55.4427180224483,0.01,3.6510773e-06,-9.010984157134951,200.0,1.7427113,76.65500628830702,7.128899,100,0.030549105,0.00850655,0.019051831,96.51154778668153,0.91472113,55.4427180224483
-8.96904,-7.525426,-7.855816868406184,3.128384,3.0438697e-28,56.53090393857478,0.010000002,0.0003304182,-7.855816868406184,200.0,4.3544364,31.96538416573727,13.70385,100,1.7193165,4.2196858e-30,0.06036511,23.4129505035053,0.7213499,56.53090393857478
-8.480217,-2.1295335,-7.644706376082729,14.192739,,53.438745422363205,0.01,0.0025534364,-7.644706376082729,200.0,18.603636,7.045856567240048,12.28728,100,6.0851145,,0.38108858,3.8053163467497004,0.4881709,53.438745422363205
-8.355422,-5.071006,-8.723200324233835,8.680387,,49.61161384944037,0.01,0.0014231491,-8.723200324233835,200.0,12.361626,11.520224301242193,20.960922,100,3.8140912,,0.238784,6.627268943567494,0.5176907,49.61161384944037
-8.080449,-5.7569914,-7.005716300489346,3.1274047,2.084945e-35,42.38618711927139,0.010000002,0.00028228713,-7.005716300489346,200.0,4.2312894,31.975394910197124,10.387483,100,1.7484473,2.6491949e-37,0.053764056,26.352941686167906,0.7870108,42.38618711927139
