VarJ,VanillaAvgRet,ESSRenyi,AvgDiscRet,eRenyi2,VarNormIw,IterType,VarDiscRet,EpsThisIter,AvgVanillaIw,VarRet,AvgNormIw,AvgRet,Bound,J,MinNormIw,Delta,AvgEpLen,MaxVanillaIw,VarVanillaIw,BatchSize,ESSClassic,MaxNormIw,MinVanillaIw
126.532,-313.050702843,22.2357019266,-313.050702843,4.49727,0.000332246,1,22396.0299037,100,1.06193,22396.0299037,0.01,-313.050702843,-241.003,-105.875,1.90024e-17,0.3,385.49,7.48506,3.74674,100,23.3141763578,0.0704853,2.01792e-15
91.6824,-122.865716479,77.3764388848,-122.865716479,1.29238,2.42444e-05,1,14260.4142818,100,1.05242,14260.4142818,0.01,-122.865716479,-168.42,-95.9818,0.000405163,0.3,164.84,1.86123,0.268529,100,80.6439106171,0.0176852,0.0426402
61.8582,-82.9612672897,98.5419480101,-82.9612672897,1.0148,1.74527e-06,1,3764.34050654,100,0.983226,3764.34050654,0.01,-82.9612672897,-146.234,-82.0457,0.00525418,0.3,117.01,1.13302,0.0168721,100,98.3015336844,0.0115235,0.516604
71.7104,-99.3451130161,88.9328597094,-99.3451130161,1.12444,1.12959e-05,1,7906.549174,100,1.03043,7906.549174,0.01,-99.3451130161,-158.267,-90.6992,0.000804351,0.3,136.63,1.57671,0.119939,100,89.9418487331,0.0153015,0.0828827
76.5471,-87.7298717649,99.0817179487,-87.7298717649,1.00927,1.2078e-06,1,5989.88523138,100,0.997644,5989.88523138,0.01,-87.7298717649,-151.025,-87.0109,0.00504011,0.3,121.52,1.22495,0.0120212,100,98.8183606213,0.0122785,0.502824
67.3053,-86.9144284399,95.5615841112,-86.9144284399,1.04645,4.1814e-06,1,5966.04385285,100,0.990096,5966.04385285,0.01,-86.9144284399,-147.771,-82.5883,0.00295816,0.3,120.5,1.3791,0.0409899,100,96.0249467975,0.0139289,0.292886
90.5926,-94.8820384316,96.0276312417,-94.8820384316,1.04137,4.11413e-06,1,9270.40400525,100,1.02426,9270.40400525,0.01,-94.8820384316,-157.33,-92.3065,0.00418814,0.3,128.96,2.21941,0.0431618,100,96.0864340316,0.0216684,0.428975
46.0315,-81.253316904,90.4694807883,-81.253316904,1.10535,1.16864e-05,1,4903.22410771,100,0.990951,4903.22410771,0.01,-81.253316904,-141.562,-74.5711,0.00246054,0.3,113.53,1.46062,0.114758,100,89.6302133023,0.0147395,0.243828
93.7936,-96.0144939278,98.4397584247,-96.0144939278,1.01585,2.05552e-06,1,9200.00651434,100,1.00114,9200.00651434,0.01,-96.0144939278,-159.244,-95.023,0.00853021,0.3,130.68,1.88112,0.0206023,100,98.0056776329,0.0187897,0.853997
63.9182,-81.3635951075,97.6191861561,-81.3635951075,1.02439,2.27384e-06,1,4877.40863622,100,1.01506,4877.40863622,0.01,-81.3635951075,-144.264,-79.7735,0.00481751,0.3,113.85,1.66649,0.0234282,100,97.7984410743,0.0164177,0.489004
64.9843,-83.9362989545,93.9690744515,-83.9362989545,1.06418,7.23524e-06,1,6017.53977925,100,0.992308,6017.53977925,0.01,-83.9362989545,-145.263,-79.5254,0.00289065,0.3,116.74,1.35968,0.0712436,100,93.3158949127,0.0137022,0.286842
83.8727,-92.1506983341,96.5670307123,-92.1506983341,1.03555,2.7741e-06,1,8168.39847081,100,1.00848,8168.39847081,0.01,-92.1506983341,-154.594,-89.7531,0.00663231,0.3,126.39,1.42068,0.0282136,100,97.3270021645,0.0140873,0.668857
