SamplesThisIter,VarRet,renyi2,AvgRet,AvgVanillaIw,AvgEpLen,ESSClassic,Bound,AvgDiscRet,MinNormIw,VanillaAvgRet,VarJ,BatchSize,VarVanillaIw,ESSRenyi,VarNormIw,EpsThisIter,delta,J,MaxNormIw,MaxVanillaIw,IterType,VarDiscRet,MinVanillaIw,AvgNormIw
50000,5138.09180889,nan,129.606289442,4.83239e+14,14.1964792731,2.00000015114,386.029,129.606289442,,129.606289442,19085.0,100,inf,nan,7.88692e-07,3522,0.7,73723.0,0.5,1.53177e+20,1,5138.09180889,,1.57739e-06
50000,5077.24617107,nan,130.971362583,4.81467e+10,14.3430866322,1.99995184229,373.291,130.971362583,,130.971362583,16862.9,100,7.20196e+26,nan,7.89073e-07,3486,0.7,77349.4,0.497552,1.50316e+16,1,5077.24617107,,1.59368e-06
50000,6459.4906568,nan,140.629912642,1895.83,15.3846153846,1.98839909074,370.533,140.629912642,,140.629912642,20553.5,100,8.42098e+11,nan,6.84627e-07,3250,0.7,68245.3,0.446197,4.94859e+08,1,6459.4906568,,1.7094e-06
50000,6944.27817007,nan,151.370773171,3.79562e+06,16.5343915344,1.99955115134,407.895,151.370773171,,151.370773171,17814.9,100,3.8034e+18,nan,8.91041e-07,3024,0.7,87218.5,0.492394,1.0173e+12,1,6944.27817007,,1.83715e-06
50000,8266.19978872,nan,190.204028967,5.42103e+20,20.6953642384,1.99999981944,442.554,190.204028967,,190.204028967,17364.8,100,inf,nan,1.14938e-06,2416,0.7,88946.5,0.499922,1.17856e+26,1,8266.19978872,,2.29949e-06
50000,11297.4299238,nan,228.718748374,1.33993e+08,24.8262164846,1.99586250615,577.482,228.718748374,,228.718748374,16999.5,100,2.93618e+21,nan,1.24439e-06,2014,0.7,112007.0,0.474439,2.30459e+13,1,11297.4299238,,2.75847e-06
50000,11849.7688646,nan,263.157431624,52.5522,28.5062713797,0.787173896903,571.456,263.157431624,,263.157431624,16390.7,100,5.84513e+07,nan,2.12328e-07,1754,0.7,107302.0,0.113849,1.88896e+06,1,11849.7688646,,3.16736e-06
50000,11855.7452012,nan,285.470472037,15.6692,30.9023485785,1.84171561577,577.037,285.470472037,,285.470472037,14512.4,100,8.9775e+06,nan,4.3108e-07,1618,0.7,105472.0,0.239927,1.09491e+06,1,11855.7452012,,3.43359e-06
50000,11491.764361,nan,302.476950377,11.5703,32.722513089,0.918007615674,593.954,302.476950377,,302.476950377,15902.0,100,1.39575e+06,nan,1.37826e-07,1528,0.7,112382.0,0.0880983,280354.0,1,11491.764361,,3.63583e-06
50000,16132.5717553,nan,319.726584953,3.73293,34.5781466113,1.90139665035,599.425,319.726584953,,319.726584953,12826.8,100,46226.6,nan,4.89678e-08,1446,0.7,112316.0,0.0536664,52142.6,1,16132.5717553,,3.84202e-06
50000,17460.7128781,nan,332.658845628,18.8329,35.9712230216,1.99507807349,647.121,332.658845628,,332.658845628,14913.0,100,2.2067e+07,nan,9.93874e-07,1390,0.7,120094.0,0.351637,1.65691e+06,1,17460.7128781,,3.9968e-06
