MinVanillaIw,VarVanillaIw,BatchSize,MaxVanillaIw,AvgVanillaIw,AvgEpLen,VarRet,ESSRenyi,AvgRet,Bound,AvgNormIw,VarNormIw,MaxNormIw,VanillaAvgRet,eRenyi2,VarJ,VarDiscRet,AvgDiscRet,MinNormIw,J,ESSClassic
,100.48397,100,100.148415,1.0814027,4.41,256.62887337303863,2.2837703886601823,34.07641874443197,69.35116,0.01,0.008592551,0.92609733,34.07641874443197,43.78724,18.78011,256.62887337303863,34.07641874443197,,78.2665,1.161895834285067
,294.21567,100,171.57884,1.7956259,7.13,1667.800995922319,1.6429380001235914,61.262798100329256,148.52576,0.01,0.009125025,0.9555378,61.262798100329256,60.86657,48.176277,1667.800995922319,61.262798100329256,,175.32195,1.0948378106654872
3.8031847e-14,562.73444,100,237.11041,2.73862,9.03,1259.9244430456458,2.1036094077267107,80.25135339121022,132.9248,0.009999998,0.007503088,0.8658025,80.25135339121022,47.537342,60.197422,1259.9244430456458,80.25135339121022,1.3887231e-16,153.50745,1.32836419772362
,140.46628,100,118.540054,1.2278479,10.19,1300.919315200115,0.789057082445304,91.84941930872536,202.16615,0.01,0.0093171485,0.9654295,91.84941930872536,126.73354,39.077236,1300.919315200115,91.84941930872536,,236.3155,1.0725039956362126
,81.33625,100,90.2074,0.9334637,11.01,1617.8120193194381,1.802198560696845,100.04650912543333,171.02069,0.01,0.009334463,0.9663729,100.04650912543333,55.48778,39.21145,1617.8120193194381,100.04650912543333,,196.21916,1.0705356995583961
2.10496e-31,124.1787,100,111.47342,1.1744015,10.36,1908.7348307561167,2.154749842325253,93.55005076580738,160.56674,0.01,0.009003555,0.9491935,93.55005076580738,46.4091,44.08829,1908.7348307561167,93.55005076580738,1.7923684e-33,185.59819,1.1094447231561488
,115.97279,100,107.70635,1.0978425,10.26,2175.620446002858,2.290104477979637,92.54818281975568,241.38219,0.01,0.0096222395,0.9810729,92.54818281975568,43.66613,28.727255,2175.620446002858,92.54818281975568,,267.3046,1.0388514253382408
,106.91231,100,103.422356,1.0618352,9.3,1149.0001132545221,1.658976282836015,82.94633550528486,194.33119,0.010000002,0.009482294,0.97399634,82.94633550528486,60.278137,35.977676,1149.0001132545221,82.94633550528486,,216.46477,1.0540219992135098
,12.138694,100,34.848427,0.3606881,9.86,1358.215157057274,1.133187287228032,88.547981246949,186.66478,0.01,0.0093305735,0.9661651,88.547981246949,88.246666,44.92885,1358.215157057274,88.547981246949,,215.78166,1.0709774354413664
,410.1028,100,202.58945,2.1540444,10.28,2245.3544517066866,1.6096610116934127,92.74763174555767,163.03383,0.009999999,0.0088386,0.94050723,92.74763174555767,62.12488,55.49952,2245.3544517066866,92.74763174555767,,194.44519,1.1299165399688278
