Delta,VanillaAvgRet,Bound,ESSRenyi,MaxNormIw,SamplesThisIter,AvgEpLen,VarDiscRet,VarNormIw,AvgNormIw,ESSClassic,VarJ,AvgRet,J,VarRet,IterType,eRenyi2,AvgVanillaIw,AvgDiscRet,MinVanillaIw,VarVanillaIw,EpsThisIter,MaxVanillaIw,MinNormIw,BatchSize
0.6,49.4495703808,41.2585,100.0,0.000118963,50000,5.94813228646,3565.54935321,2.11783e-22,0.000118963,8405.99972331,59.7087,49.4495703808,49.4496,3565.54935321,1,1.0,1.0,49.4495703808,1.0,,8406,1.0,0.000118963,100
0.6,47.8060000765,36.7441,100.0,0.000115674,50000,5.78368999422,3326.97362031,2.11783e-22,0.000115674,8644.99988839,57.6766,47.8060000765,47.806,3326.97362031,1,1.0,1.0,47.8060000765,1.0,,8645,1.0,0.000115674,100
0.6,50.1219714429,41.1688,100.0,0.000120308,50000,6.01539942252,3880.98457511,8.47135e-22,0.000120308,8311.99943754,62.2938,50.1219714429,50.122,3880.98457511,1,1.0,1.0,50.1219714429,1.0,,8312,1.0,0.000120308,100
0.6,48.3663917345,36.1034,100.0,0.000116795,50000,5.83975706611,3626.10312538,2.11783e-22,0.000116795,8562.00024745,60.2136,48.3663917345,48.3664,3626.10312538,1,1.0,1.0,48.3663917345,1.0,,8562,1.0,0.000116795,100
0.6,48.8479011486,39.8121,100.0,0.000117758,50000,5.88789448893,3491.80515224,2.11783e-22,0.000117758,8492.00038049,59.088,48.8479011486,48.8479,3491.80515224,1,1.0,1.0,48.8479011486,1.0,,8492,1.0,0.000117758,100
0.6,50.0571993023,38.6928,100.0,0.000120178,50000,6.00889316188,3822.55913424,,0.000120178,8321.00045909,61.8231,50.0571993023,50.0572,3822.55913424,1,1.0,1.0,50.0571993023,1.0,,8321,1.0,0.000120178,100
0.6,49.4354888833,36.6163,100.0,0.000118934,50000,5.94671741199,3837.16042066,4.76513e-22,0.000118934,8408.00044701,61.9411,49.4354888833,49.4355,3837.16042066,1,1.0,1.0,49.4354888833,1.0,,8408,1.0,0.000118934,100
0.6,49.0282887599,40.4238,100.0,0.00011812,50000,5.90597684857,3774.04294589,5.29458e-23,0.00011812,8465.99945456,61.4296,49.0282887599,49.0283,3774.04294589,1,1.0,1.0,49.0282887599,1.0,,8466,1.0,0.00011812,100
0.6,49.4143222727,38.9113,100.0,0.000118892,50000,5.94459636191,3928.49404217,,0.000118892,8411.00038711,62.674,49.4143222727,49.4143,3928.49404217,1,1.0,1.0,49.4143222727,1.0,,8411,1.0,0.000118892,100
0.6,48.6336122262,41.4728,100.0,0.00011733,50000,5.86647893934,3327.75459477,2.11783e-22,0.00011733,8522.99934335,57.6833,48.6336122262,48.6336,3327.75459477,1,1.0,1.0,48.6336122262,1.0,,8523,1.0,0.00011733,100
0.6,48.8199635885,39.078,100.0,0.000117702,50000,5.88512241055,3617.67925516,2.11783e-22,0.000117702,8495.99947339,60.1436,48.8199635885,48.82,3617.67925516,1,1.0,1.0,48.8199635885,1.0,,8496,1.0,0.000117702,100
0.6,48.867941287,41.9594,100.0,0.0001178,50000,5.8899752621,3346.448465,,0.0001178,8488.99938804,57.8451,48.867941287,48.868,3346.448465,1,1.0,1.0,48.867941287,1.0,,8489,1.0,0.0001178,100
0.6,49.641142635,40.5452,100.0,0.000119346,50000,5.96729920038,3532.5076148,2.11784e-22,0.000119346,8378.99950958,59.4314,49.641142635,49.6411,3532.5076148,1,1.0,1.0,49.641142635,1.0,,8379,1.0,0.000119346,100
0.6,49.9850285394,40.8634,100.0,0.000120034,50000,6.00168047053,3509.21990903,2.11784e-22,0.000120034,8330.99944312,59.2351,49.9850285394,49.985,3509.21990903,1,1.0,1.0,49.9850285394,1.0,,8331,1.0,0.000120034,100
0.6,48.0542531476,30.0176,100.0,0.000116171,50000,5.80855018587,3689.50662832,2.11783e-22,0.000116171,8608.00065568,60.7378,48.0542531476,48.0542,3689.50662832,1,1.0,1.0,48.0542531476,1.0,,8608,1.0,0.000116171,100
0.6,49.15409379,40.0957,100.0,0.000118371,50000,5.91856060606,3472.30801951,,0.000118371,8448.00006074,58.9228,49.15409379,49.1541,3472.30801951,1,1.0,1.0,49.15409379,1.0,,8448,1.0,0.000118371,100
0.6,50.6387537971,41.8274,100.0,0.000121344,50000,6.06722485135,4059.74488225,2.11784e-22,0.000121344,8241.00013279,63.7123,50.6387537971,50.6388,4059.74488225,1,1.0,1.0,50.6387537971,1.0,,8241,1.0,0.000121344,100
0.6,49.3717449893,30.3306,100.0,0.000118807,50000,5.94035879767,4079.05343505,2.11783e-22,0.000118807,8417.00006184,63.8637,49.3717449893,49.3718,4079.05343505,1,1.0,1.0,49.3717449893,1.0,,8417,1.0,0.000118807,100
0.6,49.9056264235,39.1808,100.0,0.000119875,50000,5.99376648286,3585.92706737,4.76513e-22,0.000119875,8342.00016806,59.879,49.9056264235,49.9056,3585.92706737,1,1.0,1.0,49.9056264235,1.0,,8342,1.0,0.000119875,100
0.6,48.571591041,39.0276,100.0,0.000117206,50000,5.86029067042,3743.59038575,4.76512e-22,0.000117206,8531.99964719,61.1813,48.571591041,48.5716,3743.59038575,1,1.0,1.0,48.571591041,1.0,,8532,1.0,0.000117206,100
0.6,50.2812739129,41.8541,100.0,0.000120627,50000,6.03136308806,3872.38043331,2.11784e-22,0.000120627,8289.9997531,62.2247,50.2812739129,50.2813,3872.38043331,1,1.0,1.0,50.2812739129,1.0,,8290,1.0,0.000120627,100
0.6,49.6187004968,18.0535,100.0,0.000119303,50000,5.96516344548,4963.77583603,4.76513e-22,0.000119303,8382.0004363,70.4499,49.6187004968,49.6187,4963.77583603,1,1.0,1.0,49.6187004968,1.0,,8382,1.0,0.000119303,100
0.6,50.2017241046,42.4991,100.0,0.000120467,50000,6.02337067823,3855.68383095,2.11784e-22,0.000120467,8300.999764,62.0904,50.2017241046,50.2017,3855.68383095,1,1.0,1.0,50.2017241046,1.0,,8301,1.0,0.000120467,100
0.6,49.3013807258,40.3201,100.0,0.000118666,50000,5.93330960009,3676.64788654,2.11783e-22,0.000118666,8427.00036816,60.6318,49.3013807258,49.3014,3676.64788654,1,1.0,1.0,49.3013807258,1.0,,8427,1.0,0.000118666,100
0.6,48.9728390321,42.1447,100.0,0.000118008,50000,5.90040122728,3495.35185529,2.11783e-22,0.000118008,8474.00052737,59.118,48.9728390321,48.9728,3495.35185529,1,1.0,1.0,48.9728390321,1.0,,8474,1.0,0.000118008,100
