J,IterType,MinNormIw,EpsThisIter,VarJ,MinVanillaIw,BatchSize,AvgEpLen,AvgDiscRet,ESSClassic,MaxVanillaIw,VarRet,AvgRet,eRenyi2,AvgVanillaIw,VarVanillaIw,VanillaAvgRet,AvgNormIw,VarDiscRet,VarNormIw,MaxNormIw,Delta,Bound,ESSRenyi
8.08508,1,2.41618e-05,100,0.457138,0.0274706,100,500.0,-5.14520982434,22.5667880705,51.0248,85.479104066,-5.14520982434,1.75877,11.3695,448.025,-5.14520982434,0.01,85.479104066,0.000346595,0.0448788,0.7,6.24335,56.8577716595
-2.47496,,2.55102e-05,100,5.30057,0.0195983,200,500.0,-0.547101634865,33.4142499504,36.4025,85.479104066,-5.14520982434,2.26847,7.68254,118.802,-5.14520982434,0.01,79.5145407268,0.000201286,0.0473835,0.7,-4.45696,88.1650193328
17.7254,1,2.11116e-06,100,0.834647,0.0242241,200,500.0,-6.82180592305,10.1759570427,1137.46,148.453307245,-6.82180592305,2.00276,57.3714,61708.3,-6.82180592305,0.005,148.453307245,0.000468698,0.0991314,0.7,16.0316,99.862324264
-1.63821,2,0.01,100,20.291,1.0,200,500.0,-1.6382048452,100.0,1.0,415.883899957,-1.6382048452,1.0,1.0,,-1.6382048452,0.01,415.883899957,3.50449e-18,0.01,0.7,-5.35138,200.0
-12.7655,,8.59035e-07,100,16.6966,0.000879151,300,500.0,-6.86688229718,43.5874801595,41.2812,148.453307245,-6.82180592305,1.8898,5.11708,94.4346,-6.82180592305,0.005,205.38560474,9.01627e-05,0.0403367,0.7,-16.3749,158.746721008
17.5627,1,7.50785e-07,100,1.97857,0.00272107,300,500.0,1.09962608198,11.3738590811,339.715,363.60068486,1.09962608198,2.18461,12.081,3716.06,1.09962608198,0.00333333,363.60068486,0.000282902,0.0937328,0.7,15.3918,137.324094223
2.52467,2,0.01,100,13.2931,1.0,300,500.0,2.5246708401,100.0,1.0,178.492265752,2.5246708401,1.0,1.0,,2.5246708401,0.01,178.492265752,3.50449e-18,0.01,0.7,1.07753,300.0
1.15357,2,0.005,100,15.8373,1.0,300,500.0,-0.217532035062,200.000000102,1.0,324.416583687,-0.217532035062,1.0,1.0,,-0.217532035062,0.005,324.416583687,2.1793e-19,0.005,0.7,-0.831446,300.0
-7.82795,,5.05179e-07,100,10.946,0.00294364,400,500.0,-2.68339545149,20.7153781102,367.503,363.60068486,1.09962608198,3.6098,19.4231,5103.19,1.09962608198,0.00333333,94.9539139566,0.000150301,0.0630697,0.7,-10.9073,110.809460048
17.6263,1,2.96101e-07,100,1.78946,0.00331233,400,500.0,-2.56319410037,10.4585246048,1093.84,51.7204381988,-2.56319410037,2.46922,27.9662,29203.7,-2.56319410037,0.0025,51.7204381988,0.000233373,0.097782,0.7,15.6275,161.994715663
2.13865,2,0.01,100,15.5117,1.0,400,500.0,2.13864724475,100.0,1.0,243.041744612,2.13864724475,1.0,1.0,,2.13864724475,0.01,243.041744612,3.50449e-18,0.01,0.7,-0.39023,400.0
2.32222,2,0.005,100,13.2398,1.0,400,500.0,2.50579983787,200.000000102,1.0,111.016448521,2.50579983787,1.0,1.0,,2.50579983787,0.005,111.016448521,2.1793e-19,0.005,0.7,0.534037,400.0
2.52457,2,0.00333333,100,13.9979,1.0,400,500.0,2.92925821878,299.999969474,1.0,239.383917899,2.92925821878,1.0,1.0,,2.92925821878,0.00333333,239.383917899,5.43914e-20,0.00333333,0.7,1.00046,400.0
2.04434,,1.65456e-07,100,28.9903,0.000914213,500,500.0,-4.95005766162,26.9217368031,301.902,51.7204381988,-2.56319410037,3.61852,13.8135,2650.89,-2.56319410037,0.0025,74.8818689853,8.68288e-05,0.0546389,0.7,-0.466466,138.177956883
17.731,1,5.2297e-08,100,1.26364,0.00155611,500,500.0,-4.54870537809,10.2460323775,2939.58,41.2602706965,-4.54870537809,3.37794,59.5106,169622.0,-4.54870537809,0.002,41.2602706965,0.000191581,0.0987918,0.7,15.64,148.019021571
-1.33133,2,0.01,100,8.52666,1.0,500,500.0,-1.33133147421,100.0,1.0,73.4383251526,-1.33133147421,1.0,1.0,,-1.33133147421,0.01,73.4383251526,3.50449e-18,0.01,0.7,-2.23954,500.0
-2.20745,2,0.005,100,10.082,1.0,500,500.0,-3.08357802556,200.000000102,1.0,130.356988516,-3.08357802556,1.0,1.0,,-3.08357802556,0.005,130.356988516,2.1793e-19,0.005,0.7,-3.24864,500.0
-1.46207,2,0.00333333,100,9.07537,1.0,500,500.0,0.0287026582876,299.999969474,1.0,40.8693040168,0.0287026582876,1.0,1.0,,0.0287026582876,0.00333333,40.8693040168,5.43914e-20,0.00333333,0.7,-2.31219,500.0
-0.728592,2,0.0025,100,8.9514,1.0,500,500.0,1.47183883567,400.0,1.0,67.6439302971,1.47183883567,1.0,1.0,,1.47183883567,0.0025,67.6439302971,5.4346e-20,0.0025,0.7,-1.46482,500.0
14.7937,1,2.14181e-06,100,1.29626,0.0463732,500,500.0,-1.75884274324,12.5235245494,1766.14,90.484364924,-1.75884274324,4.43098,43.3029,73135.9,-1.75884274324,0.002,90.484364924,0.000156012,0.0815717,0.7,13.4076,112.841824877
-1.77971,2,0.01,100,5.29071,1.0,500,500.0,-1.7797108638,100.0,1.0,28.2743498746,-1.7797108638,1.0,1.0,,-1.7797108638,0.01,28.2743498746,3.50449e-18,0.01,0.7,-2.61469,500.0
1.64591,2,0.005,100,12.7013,1.0,500,500.0,5.07152557654,200.000000102,1.0,273.922261772,5.07152557654,1.0,1.0,,5.07152557654,0.005,273.922261772,2.1793e-19,0.005,0.7,-0.0745209,500.0
0.837196,2,0.00333333,100,11.5302,1.0,500,500.0,-0.780226020588,299.999969474,1.0,73.0011374659,-0.780226020588,1.0,1.0,,-0.780226020588,0.00333333,73.0011374659,5.43914e-20,0.00333333,0.7,-0.567527,500.0
0.435314,2,0.0025,100,10.4258,1.0,500,500.0,-0.770332308331,400.0,1.0,34.3528103234,-0.770332308331,1.0,1.0,,-0.770332308331,0.0025,34.3528103234,5.4346e-20,0.0025,0.7,-0.781212,500.0
36.7653,1,1.68918e-07,100,2.8709,0.00173739,500,500.0,-5.24304590719,10.2327629247,1016.78,33.1727569033,-5.24304590719,8.69347,20.5709,20294.2,-5.24304590719,0.002,33.1727569033,0.000191835,0.0988558,0.7,33.5571,57.5144206203
6.3163,2,0.01,100,11.5626,1.0,500,500.0,6.31629883714,100.0,1.0,135.044192086,6.31629883714,1.0,1.0,,6.31629883714,0.01,135.044192086,3.50449e-18,0.01,0.7,4.79781,500.0
6.40903,2,0.005,100,11.7086,1.0,500,500.0,6.50176356365,200.000000102,1.0,141.888229293,6.50176356365,1.0,1.0,,6.50176356365,0.005,141.888229293,2.1793e-19,0.005,0.7,5.3353,500.0
5.27358,2,0.00333333,100,11.6717,1.0,500,500.0,3.00267666557,299.999969474,1.0,128.051819763,3.00267666557,1.0,1.0,,3.00267666557,0.00333333,128.051819763,5.43914e-20,0.00333333,0.7,4.16392,500.0
4.20963,2,0.0025,100,12.3512,1.0,500,500.0,1.01778698458,400.0,1.0,189.832158387,1.01778698458,1.0,1.0,,1.01778698458,0.0025,189.832158387,5.4346e-20,0.0025,0.7,3.24864,500.0
28.9979,1,3.3271e-07,100,2.56306,0.00681498,500,500.0,-0.252481477515,10.3509807872,2013.29,77.2230148399,-0.252481477515,3.77673,40.9665,79548.4,-0.252481477515,0.002,77.2230148399,0.000189598,0.0982895,0.7,27.3275,132.38980815
9.94673,2,0.01,100,24.2361,1.0,500,500.0,9.94673216406,100.0,1.0,593.321182187,9.94673216406,1.0,1.0,,9.94673216406,0.01,593.321182187,3.50449e-18,0.01,0.7,6.04965,500.0
2.76589,2,0.005,100,19.3065,1.0,500,500.0,-4.41494729612,200.000000102,1.0,55.5206009381,-4.41494729612,1.0,1.0,,-4.41494729612,0.005,55.5206009381,2.1793e-19,0.005,0.7,0.0102355,500.0
3.28806,2,0.00333333,100,18.1367,1.0,500,500.0,4.33240904941,299.999969474,1.0,242.121742204,4.33240904941,1.0,1.0,,4.33240904941,0.00333333,242.121742204,5.43914e-20,0.00333333,0.7,1.03808,500.0
3.1462,2,0.0025,100,17.2435,1.0,500,500.0,2.72062399104,400.0,1.0,204.331005068,2.72062399104,1.0,1.0,,2.72062399104,0.0025,204.331005068,5.4346e-20,0.0025,0.7,1.19766,500.0
58.1537,1,1.02901e-06,100,9.58425,0.0110876,500,500.0,14.8231970996,10.7988171468,1036.8,518.401906204,14.8231970996,5.69454,21.55,21080.2,14.8231970996,0.002,518.401906204,0.000181569,0.0962229,0.7,53.9947,87.8034778208
-1.82536,2,0.01,100,16.394,1.0,500,500.0,-1.8253581839,100.0,1.0,271.477732373,-1.8253581839,1.0,1.0,,-1.8253581839,0.01,271.477732373,3.50449e-18,0.01,0.7,-4.16434,500.0
-1.42403,2,0.005,100,19.0522,1.0,500,500.0,-1.02270942001,200.000000102,1.0,461.501218957,-1.02270942001,1.0,1.0,,-1.02270942001,0.005,461.501218957,2.1793e-19,0.005,0.7,-3.92811,500.0
2.70753,2,0.00333333,100,18.6835,1.0,500,500.0,10.9706503292,299.999969474,1.0,221.044965613,10.9706503292,1.0,1.0,,10.9706503292,0.00333333,221.044965613,5.43914e-20,0.00333333,0.7,0.662959,500.0
1.66287,2,0.0025,100,17.7322,1.0,500,500.0,-1.47111874436,400.0,1.0,199.402754945,-1.47111874436,1.0,1.0,,-1.47111874436,0.0025,199.402754945,5.4346e-20,0.0025,0.7,-0.107782,500.0
37.9262,1,5.59902e-09,100,3.69586,7.05257e-05,500,500.0,4.7573845258,10.3728537127,1236.75,136.133337206,4.7573845258,7.94453,25.1922,30017.1,4.7573845258,0.002,136.133337206,0.00018919,0.0981854,0.7,33.4623,62.9363926346
26.6077,2,0.01,100,22.7368,1.0,500,500.0,26.6077165183,100.0,1.0,522.186127581,26.6077165183,1.0,1.0,,26.6077165183,0.01,522.186127581,3.50449e-18,0.01,0.7,21.6374,500.0
23.0654,2,0.005,100,20.3119,1.0,500,500.0,19.5231217611,200.000000102,1.0,285.945433825,19.5231217611,1.0,1.0,,19.5231217611,0.005,285.945433825,2.1793e-19,0.005,0.7,19.5509,500.0
19.0931,2,0.00333333,100,18.8585,1.0,500,500.0,11.1484861897,299.999969474,1.0,148.596380171,11.1484861897,1.0,1.0,,11.1484861897,0.00333333,148.596380171,5.43914e-20,0.00333333,0.7,16.2235,500.0
18.2419,2,0.0025,100,19.1735,1.0,500,500.0,15.6881188313,400.0,1.0,398.846679336,15.6881188313,1.0,1.0,,15.6881188313,0.0025,398.846679336,5.4346e-20,0.0025,0.7,15.7567,500.0
74.7949,1,1.00175e-09,100,7.32295,6.6995e-06,500,500.0,23.0307925738,12.5946460234,543.991,278.591911019,23.0307925738,7.67578,13.3756,6937.49,23.0307925738,0.002,278.591911019,0.000155108,0.0813406,0.7,68.6366,65.1399895759
29.7916,2,0.01,100,16.7444,1.0,500,500.0,29.7915687085,100.0,1.0,283.207416133,29.7915687085,1.0,1.0,,29.7915687085,0.01,283.207416133,3.50449e-18,0.01,0.7,26.2888,500.0
23.7768,2,0.005,100,15.6774,1.0,500,500.0,17.7620961732,200.000000102,1.0,140.237797945,17.7620961732,1.0,1.0,,17.7620961732,0.005,140.237797945,2.1793e-19,0.005,0.7,21.3,500.0
20.9878,2,0.00333333,100,16.1203,1.0,500,500.0,15.4098237037,299.999969474,1.0,243.791544356,15.4098237037,1.0,1.0,,15.4098237037,0.00333333,243.791544356,5.43914e-20,0.00333333,0.7,18.9655,500.0
24.18,2,0.0025,100,19.3406,1.0,500,500.0,33.7566958557,400.0,1.0,600.359753011,33.7566958557,1.0,1.0,,33.7566958557,0.0025,600.359753011,5.4346e-20,0.0025,0.7,21.5844,500.0
71.0813,1,2.65072e-13,100,31.0933,3.85158e-10,500,500.0,15.5331144306,14.8523549073,118.414,222.270997432,15.5331144306,1.0,2.90607,276.413,15.5331144306,0.002,222.270997432,0.000130921,0.0814945,0.7,68.7597,499.998331076
34.5661,2,0.01,100,12.3802,1.0,500,500.0,34.5661482068,100.0,1.0,154.818217184,34.5661482068,1.0,1.0,,34.5661482068,0.01,154.818217184,3.50449e-18,0.01,0.7,30.6381,500.0
38.8979,2,0.005,100,13.8661,1.0,500,500.0,43.2295692671,200.000000102,1.0,195.694496963,43.2295692671,1.0,1.0,,43.2295692671,0.005,195.694496963,2.1793e-19,0.005,0.7,35.9393,500.0
39.3903,2,0.00333333,100,14.3764,1.0,500,500.0,40.3751880648,299.999969474,1.0,236.41904684,40.3751880648,1.0,1.0,,40.3751880648,0.00333333,236.41904684,5.43914e-20,0.00333333,0.7,36.9747,500.0
38.2536,2,0.0025,100,13.6836,1.0,500,500.0,34.8432991201,400.0,1.0,114.553398844,34.8432991201,1.0,1.0,,34.8432991201,0.0025,114.553398844,5.4346e-20,0.0025,0.7,36.1615,500.0
82.8527,1,1.90491e-08,100,6.21105,0.000187508,500,500.0,53.3650755864,12.6944556878,797.51,433.690764537,53.3650755864,6.54722,19.6869,14907.7,53.3650755864,0.002,433.690764537,0.000153857,0.0810194,0.7,76.574,76.3682879799
45.9488,2,0.01,100,23.3396,1.0,500,500.0,45.9487901261,100.0,1.0,550.238963629,45.9487901261,1.0,1.0,,45.9487901261,0.01,550.238963629,3.50449e-18,0.01,0.7,40.7896,500.0
42.3205,2,0.005,100,21.8294,1.0,500,500.0,38.6923013017,200.000000102,1.0,385.839966344,38.6923013017,1.0,1.0,,38.6923013017,0.005,385.839966344,2.1793e-19,0.005,0.7,38.6725,500.0
42.6597,2,0.00333333,100,19.8492,1.0,500,500.0,43.3379889814,299.999969474,1.0,230.546394379,43.3379889814,1.0,1.0,,43.3379889814,0.00333333,230.546394379,5.43914e-20,0.00333333,0.7,39.681,500.0
40.4402,2,0.0025,100,19.7042,1.0,500,500.0,33.7816171448,400.0,1.0,315.083047827,33.7816171448,1.0,1.0,,33.7816171448,0.0025,315.083047827,5.4346e-20,0.0025,0.7,37.8606,500.0
72.499,1,1.05924e-06,100,8.24741,0.00321431,500,500.0,43.144767908,13.665888867,236.93,320.824434183,43.144767908,4.36425,6.06909,1313.45,43.144767908,0.002,320.824434183,0.000142635,0.0780777,0.7,67.6789,114.567280099
57.0504,2,0.01,100,19.8456,1.0,500,500.0,57.0504413525,100.0,1.0,397.825608803,57.0504413525,1.0,1.0,,57.0504413525,0.01,397.825608803,3.50449e-18,0.01,0.7,52.3212,500.0
56.8225,2,0.005,100,18.3578,1.0,500,500.0,56.5945024533,200.000000102,1.0,282.894251666,56.5945024533,1.0,1.0,,56.5945024533,0.005,282.894251666,2.1793e-19,0.005,0.7,53.2531,500.0
52.7263,2,0.00333333,100,17.3991,1.0,500,500.0,44.5340084413,299.999969474,1.0,134.842196363,44.5340084413,1.0,1.0,,44.5340084413,0.00333333,134.842196363,5.43914e-20,0.00333333,0.7,49.8119,500.0
53.1733,2,0.0025,100,17.2577,1.0,500,500.0,54.5140721032,400.0,1.0,283.577192035,54.5140721032,1.0,1.0,,54.5140721032,0.0025,283.577192035,5.4346e-20,0.0025,0.7,50.2629,500.0
88.1546,1,7.73617e-09,100,5.39334,6.48666e-05,500,500.0,44.5595354646,10.5720621333,815.446,127.490767949,44.5595354646,6.42181,16.7697,13045.1,44.5595354646,0.002,127.490767949,0.000185549,0.0972524,0.7,81.558,77.8596265578
41.0816,2,0.01,100,19.0049,1.0,500,500.0,41.0815864784,100.0,1.0,364.836207559,41.0815864784,1.0,1.0,,41.0815864784,0.01,364.836207559,3.50449e-18,0.01,0.7,36.2263,500.0
