ESSRenyi,ESSClassic,MaxNormIw,MaxVanillaIw,BatchSize,AvgDiscRet,VarDiscRet,MinNormIw,VarNormIw,VarRet,AvgNormIw,eRenyi2,MinVanillaIw,VarJ,AvgEpLen,Bound,AvgRet,VarVanillaIw,AvgVanillaIw,J
47.468286884593766,48.63361134209682,0.047245197,5.4822474,100,480.2043922670448,48060.716549030214,5.792092e-06,0.000106685984,278879.6132693077,0.01,2.1066697,0.0006721039,215.92056,77.72,295.82742,767.6510452428844,1.4365119,1.1603819,648.5253
0.004609398906474126,1.0,1.0,1.0269404e-19,100,630.1469229219026,28529.995793390037,,0.0100000035,272252.51253750734,0.01,21694.803,,,112.08,488.08994,1111.7452120850749,1.05462e-40,1.0269404e-21,865.96686
0.0035034502484404687,1.0,1.0,2216.0754,100,863.1193117009875,735.202909468388,,0.0100000035,12184.518306743532,0.01,28543.291,,,198.82,840.3151,1987.8357491984032,49109.895,22.160755,866.0165
5957375.16207736,inf,1.0,6.986362e-29,100,865.9955500736188,0.0005259263067395588,,0.010000003,0.002774728946135314,0.01,1.6785916e-05,,,200.0,865.97626,1999.942824230194,,6.986362e-31,866.01306
2225.8169116027107,1.0160345532293265,1.0,1.1932174e-22,100,865.9965394880758,0.0003527663443034046,,0.010000002,0.001710491606435692,0.01,0.044927325,,,200.0,865.9807,1999.9473327064513,,1.1932174e-24,866.019
0.0009085529399247051,inf,1.0,2.9822224e-26,100,849.4744151251929,6223.943124324149,,0.010000003,68065.7491803224,0.01,110065.13,,,193.86,783.1239,1937.7089086764306,,2.9822224e-28,866.0095
6742.595139291302,1.0000853963680825,0.9999573,4.0005552e-18,100,865.99900494161,0.0003032531059473113,,0.00999914,0.0011620951205575214,0.01,0.014831085,,1.7732667e-05,200.0,865.9843,1999.9581698989869,1.6004418e-37,4.000726e-20,866.0202
inf,inf,1.0,1.8112047e-38,100,865.9992979439204,0.0002875283882429312,,0.010000002,0.0011165248883409932,0.01,,,,200.0,865.98505,1999.9583443546296,,1.8112e-40,866.0182
nan,100.0,0.01,1.0,100,211.65236604848278,27557.190641608202,0.01,3.5044917e-18,98215.60429217518,0.009999998,nan,1.0,165.17148,28.22,nan,272.2816361008957,,1.0,211.65234
nan,100.0,0.01,1.0,100,176.0908844915153,17281.726277873837,0.01,3.5044917e-18,30934.745278407943,0.009999998,nan,1.0,130.80103,21.72,nan,207.090019394923,,1.0,176.09088
nan,100.0,0.01,1.0,100,182.346992965928,27433.938130257393,0.01,3.5044917e-18,118464.01078773424,0.009999998,nan,1.0,164.8017,24.96,nan,239.7975704411976,,1.0,182.34698
nan,100.0,0.01,1.0,100,215.87098186530372,23239.41679074172,0.01,3.5044917e-18,55694.7537739608,0.009999998,nan,1.0,151.68066,27.58,nan,265.6751073958352,,1.0,215.87097
nan,100.0,0.01,1.0,100,169.76558156175244,19651.895298557552,0.01,3.5044917e-18,58662.07947102343,0.009999998,nan,1.0,139.48253,21.69,nan,206.89869298281147,,1.0,169.76558
nan,100.0,0.01,1.0,100,179.7182491144209,15700.731992418967,0.01,3.5044917e-18,29832.210789746583,0.009999998,nan,1.0,124.67447,22.08,nan,210.6831546105817,,1.0,179.71825
nan,100.0,0.01,1.0,100,195.39295503614528,15174.31737682538,0.01,3.5044917e-18,26051.843966558445,0.009999998,nan,1.0,122.56661,23.89,nan,228.77708047406747,,1.0,195.39296
nan,100.0,0.01,1.0,100,194.52191712045223,18942.65343667196,0.01,3.5044917e-18,35497.165256202,0.009999998,nan,1.0,136.94241,24.18,nan,231.68256152158602,,1.0,194.52191
nan,100.0,0.01,1.0,100,187.62459675054453,22663.72199755758,0.01,3.5044917e-18,69442.47991183137,0.009999998,nan,1.0,149.79015,24.29,nan,232.88868996214123,,1.0,187.62459
nan,100.0,0.01,1.0,100,215.44318309305615,25905.929633532087,0.01,3.5044917e-18,92641.47233338642,0.009999998,nan,1.0,160.14641,28.49,nan,274.97616502983493,,1.0,215.44318
nan,100.0,0.01,1.0,100,215.02846912329085,31339.4010568634,0.01,3.5044917e-18,112983.54648020743,0.009999998,nan,1.0,176.14201,29.2,nan,282.08630984468385,,1.0,215.02847
nan,100.0,0.01,1.0,100,191.2602517149258,20923.87801542637,0.01,3.5044917e-18,41490.32543370789,0.009999998,nan,1.0,143.92581,24.01,nan,229.9844194777496,,1.0,191.26024
nan,100.0,0.01,1.0,100,214.00403332676416,20077.621182990362,0.01,3.5044917e-18,38755.91990040146,0.009999998,nan,1.0,140.98528,26.78,nan,257.66942960506304,,1.0,214.00403
nan,100.0,0.01,1.0,100,210.89225404900353,19804.071893962784,0.01,3.5044917e-18,38394.12598920141,0.009999998,nan,1.0,140.02153,26.36,nan,253.4728553092666,,1.0,210.89224
nan,100.0,0.01,1.0,100,185.34565266186087,19065.757050099415,0.01,3.5044917e-18,38211.15195507311,0.009999998,nan,1.0,137.38667,23.12,nan,221.08680332075804,,1.0,185.34566
nan,100.0,0.01,1.0,100,201.2877395514743,23726.358740904358,0.01,3.5044917e-18,54421.27123499253,0.009999998,nan,1.0,153.26152,25.72,nan,247.081131761875,,1.0,201.28775
nan,100.0,0.01,1.0,100,187.6187289116876,19247.197289665488,0.01,3.5044917e-18,35763.59243087156,0.009999998,nan,1.0,138.03885,23.34,nan,223.28482757769524,,1.0,187.61873
nan,100.0,0.01,1.0,100,221.62258515754635,26729.77997405663,0.01,3.5044917e-18,70674.06094541476,0.009999998,nan,1.0,162.67291,28.87,nan,278.57407665561885,,1.0,221.62259
nan,100.0,0.01,1.0,100,216.9908039146744,16084.790973580164,0.01,3.5044917e-18,29636.700610720425,0.009999998,nan,1.0,126.1901,26.76,nan,257.4615383142978,,1.0,216.9908
nan,100.0,0.01,1.0,100,196.9773828761689,25482.982797037377,0.01,3.5044917e-18,92609.19621566059,0.009999998,nan,1.0,158.83372,26.11,nan,251.18876757608726,,1.0,196.9774
nan,100.0,0.01,1.0,100,193.51964538477455,22345.986706439744,0.01,3.5044917e-18,69439.06129358095,0.009999998,nan,1.0,148.73643,25.02,nan,240.18082763439045,,1.0,193.51964
nan,100.0,0.01,1.0,100,205.27194068039245,20462.526808608385,0.01,3.5044917e-18,39065.114498213625,0.009999998,nan,1.0,142.33025,25.69,nan,246.77723323414102,,1.0,205.27194
nan,100.0,0.01,1.0,100,195.23679616365735,20741.75602881099,0.01,3.5044917e-18,42523.53658414069,0.009999998,nan,1.0,143.29808,24.53,nan,235.18179193805904,,1.0,195.23679
nan,100.0,0.01,1.0,100,189.95149508507734,17306.168330699667,0.01,3.5044917e-18,33226.97479720195,0.009999998,nan,1.0,130.8935,23.49,nan,224.7819883192703,,1.0,189.95149
nan,100.0,0.01,1.0,100,197.5888122981509,27450.236519539973,0.01,3.5044917e-18,74568.68629363758,0.009999998,nan,1.0,164.85063,25.91,nan,248.98609458934516,,1.0,197.5888
nan,100.0,0.01,1.0,100,213.3474917607355,22040.673598974096,0.01,3.5044917e-18,65441.339994772665,0.009999998,nan,1.0,147.71684,27.41,nan,264.0747115606628,,1.0,213.34749
nan,100.0,0.01,1.0,100,224.10020002196168,34985.940201533675,0.01,3.5044917e-18,141791.39784316666,0.009999998,nan,1.0,186.10771,31.28,nan,302.8802718197182,,1.0,224.1002
nan,100.0,0.01,1.0,100,205.92300958378718,23639.09734503812,0.01,3.5044917e-18,52328.08288071729,0.009999998,nan,1.0,152.97942,26.26,nan,252.47835934059694,,1.0,205.923
nan,100.0,0.01,1.0,100,214.11233675171042,21848.39511450553,0.01,3.5044917e-18,63478.82756406136,0.009999998,nan,1.0,147.0711,27.45,nan,264.47321511685846,,1.0,214.11232
nan,100.0,0.01,1.0,100,191.81787465997309,21818.161663244315,0.01,3.5044917e-18,64239.99126557112,0.009999998,nan,1.0,146.96931,24.64,nan,236.38367024179547,,1.0,191.81786
nan,100.0,0.01,1.0,100,208.4949222900576,23782.346597121414,0.01,3.5044917e-18,68889.29243717752,0.009999998,nan,1.0,153.44225,26.95,nan,259.4786361241527,,1.0,208.49492
nan,100.0,0.01,1.0,100,191.34466003397364,14048.963881570166,0.01,3.5044917e-18,23343.805373871084,0.009999998,nan,1.0,117.93419,23.27,nan,222.5774636603147,,1.0,191.34465
nan,100.0,0.01,1.0,100,213.18264715523918,24516.488780252286,0.01,3.5044917e-18,71008.70841319727,0.009999998,nan,1.0,155.79257,27.64,nan,266.3776676517539,,1.0,213.18265
nan,100.0,0.01,1.0,100,197.1440121087627,17035.995201861268,0.01,3.5044917e-18,31515.780633995506,0.009999998,nan,1.0,129.86775,24.33,nan,233.17912128046154,,1.0,197.14401
nan,100.0,0.01,1.0,100,228.85694608165716,24190.30057181832,0.01,3.5044917e-18,76492.30046420825,0.009999998,nan,1.0,154.7527,29.81,nan,288.06842223512007,,1.0,228.85693
nan,100.0,0.01,1.0,100,184.9311548601321,19798.317590765608,0.01,3.5044917e-18,40665.21174947821,0.009999998,nan,1.0,140.00119,23.16,nan,221.48598066763952,,1.0,184.93115
nan,100.0,0.01,1.0,100,221.81724204021725,27179.17851109845,0.01,3.5044917e-18,61252.1905710383,0.009999998,nan,1.0,164.0347,28.68,nan,276.6792692692764,,1.0,221.81723
nan,100.0,0.01,1.0,100,205.30607653338143,19676.864465491064,0.01,3.5044917e-18,41083.517980596735,0.009999998,nan,1.0,139.5711,25.72,nan,247.07438950441778,,1.0,205.30608
nan,100.0,0.01,1.0,100,229.12902774439277,25895.106742904714,0.01,3.5044917e-18,61804.673128511306,0.009999998,nan,1.0,160.11295,29.6,nan,285.8704468096234,,1.0,229.12901
nan,100.0,0.01,1.0,100,224.5486157109242,25014.72585000843,0.01,3.5044917e-18,59177.26631841205,0.009999998,nan,1.0,157.36765,28.89,nan,278.7691985525005,,1.0,224.5486
nan,100.0,0.01,1.0,100,212.82065076010448,21000.288819576377,0.01,3.5044917e-18,53596.377120577374,0.009999998,nan,1.0,144.18837,27.04,nan,260.27438535582274,,1.0,212.82065
nan,100.0,0.01,1.0,100,186.32418407802265,19057.82802445132,0.01,3.5044917e-18,57198.08154606704,0.009999998,nan,1.0,137.35811,23.66,nan,226.5874135607481,,1.0,186.32416
nan,100.0,0.01,1.0,100,188.15065189378186,21674.936926075276,0.01,3.5044917e-18,62870.76576079272,0.009999998,nan,1.0,146.48615,24.14,nan,231.38618259621785,,1.0,188.15063
nan,100.0,0.01,1.0,100,222.61672285761705,28254.326597419884,0.01,3.5044917e-18,80039.48393162733,0.009999998,nan,1.0,167.24767,29.26,nan,282.5770053463988,,1.0,222.6167
nan,100.0,0.01,1.0,100,238.2943747864104,22516.427999526597,0.01,3.5044917e-18,65599.48314104632,0.009999998,nan,1.0,149.3026,30.7,nan,296.9636613774672,,1.0,238.29436
nan,100.0,0.01,1.0,100,193.25981518962092,21536.69724888983,0.01,3.5044917e-18,62766.139517959375,0.009999998,nan,1.0,146.01825,24.77,nan,237.68476365629584,,1.0,193.25981
nan,100.0,0.01,1.0,100,180.13928652501693,15870.19746199365,0.01,3.5044917e-18,28519.521624752117,0.009999998,nan,1.0,125.3455,22.1,nan,210.88217267001048,,1.0,180.13928
nan,100.0,0.01,1.0,100,196.8293498287365,19837.85948179924,0.01,3.5044917e-18,40203.18626639969,0.009999998,nan,1.0,140.14093,24.63,nan,236.18230270151048,,1.0,196.82935
nan,100.0,0.01,1.0,100,175.2625008488712,15820.663643633592,0.01,3.5044917e-18,28115.543353885354,0.009999998,nan,1.0,125.149734,21.49,nan,204.78760623473673,,1.0,175.2625
nan,100.0,0.01,1.0,100,225.824154846566,24646.365892894624,0.01,3.5044917e-18,70102.85957160228,0.009999998,nan,1.0,156.20468,29.26,nan,282.5717582876049,,1.0,225.82416
nan,100.0,0.01,1.0,100,188.2805783508576,18753.20038541904,0.01,3.5044917e-18,57375.065246789214,0.009999998,nan,1.0,136.25589,23.9,nan,228.98066993951798,,1.0,188.28056
nan,100.0,0.01,1.0,100,203.20608712065209,19678.02737181834,0.01,3.5044917e-18,36306.218571509824,0.009999998,nan,1.0,139.57524,25.32,nan,243.0809695829451,,1.0,203.20607
nan,100.0,0.01,1.0,100,178.49734145813167,18503.441779154513,0.01,3.5044917e-18,36069.87585913875,0.009999998,nan,1.0,135.3455,22.2,nan,211.8907848853804,,1.0,178.49734
nan,100.0,0.01,1.0,100,177.37706289741786,16611.547653963135,0.01,3.5044917e-18,30758.669020812813,0.009999998,nan,1.0,128.23975,21.85,nan,208.38644768798724,,1.0,177.37706
