renyi2,VarNormIw,VarRet,delta,VanillaAvgRet,AvgRet,MaxNormIw,AvgVanillaIw,MaxVanillaIw,AvgNormIw,BatchSize,AvgDiscRet,VarVanillaIw,IterType,SamplesThisIter,Bound,VarDiscRet,ESSClassic,ESSRenyi,VarJ,MinVanillaIw,J,MinNormIw,AvgEpLen,EpsThisIter
nan,4.25567e-06,8912.64006365,0.4,-367.912270879,-367.912270879,0.0878917,1.5578e+18,2.73561e+21,5.00501e-05,100,-367.912270879,inf,1,50000,-259.894,8912.64006365,10.9871156799,nan,1380.08,,-29986.0,,450.45045045,111
nan,2.21477e-06,10782.9366139,0.4,-367.267496545,-367.267496545,0.0450035,2.37099e+17,2.13192e+20,5.005e-05,100,-367.267496545,inf,1,50000,nan,10782.9366139,5.5320170952,nan,nan,,nan,,450.45045045,111
nan,4.38169e-06,9846.33831006,0.4,-359.03620057,-359.03620057,0.0892309,8.06776e+10,1.43835e+14,5.00501e-05,100,-359.03620057,1.13852e+25,1,50000,-225.934,9846.33831006,10.9989650758,nan,1504.41,,-25442.7,,450.45045045,111
nan,4.29813e-08,17092.2478864,0.4,-328.693390499,-328.693390499,0.00323595,13.57,956.398,4.59137e-05,100,-328.693390499,3754.5,1,50000,nan,17092.2478864,4.43135931618,nan,nan,,nan,,413.223140496,121
nan,5.69717e-07,4018.96654712,0.4,-391.635095207,-391.635095207,0.0461308,3.18657,2725.36,5.39374e-05,100,-391.635095207,1988.5,1,50000,-338.104,4018.96654712,1.98102692833,nan,3876.09,,-44795.7,,485.436893204,103
nan,5.03809e-08,17612.7627743,0.4,-329.641882604,-329.641882604,0.00729318,13.79,2208.58,4.55373e-05,100,-329.641882604,4620.15,1,50000,nan,17612.7627743,4.94952826123,nan,nan,,nan,,409.836065574,122
nan,3.17268e-08,16700.4169874,0.4,-321.931445669,-321.931445669,0.00231141,10.518,533.878,4.55373e-05,100,-321.931445669,1692.6,1,50000,nan,16700.4169874,1.46737327382,nan,nan,,nan,,409.836065574,122
nan,5.0937e-08,9358.20992486,0.4,-359.551224928,-359.551224928,0.00249629,16.3617,823.404,4.96032e-05,100,-359.551224928,5542.03,1,50000,-279.024,9358.20992486,1.11573153196,nan,1627.31,,-36698.5,,446.428571429,112
nan,4.43601e-06,9962.82944528,0.4,-360.062721755,-360.062721755,0.0939758,9.26825e+17,1.74024e+21,5.00501e-05,100,-360.062721755,inf,1,50000,-233.944,9962.82944528,9.95909776409,nan,1881.51,,-30575.2,,450.45045045,111
nan,4.91424e-06,11549.699523,0.4,-355.913079841,-355.913079841,0.1,7.25792e+14,1.47626e+18,4.91642e-05,100,-355.913079841,1.07098e+33,1,50000,-231.108,11549.699523,10.0000028675,nan,1672.03,,-26452.4,,442.477876106,113
nan,4.10654e-07,22644.3181148,0.4,-300.804267776,-300.804267776,0.0310792,11.6714,8683.91,4.17711e-05,100,-300.804267776,32060.2,1,50000,-162.216,22644.3181148,9.93315804697,nan,1595.09,,-21159.1,,375.939849624,133
nan,8.8324e-08,16039.5043623,0.4,-324.164738026,-324.164738026,0.00565305,37.5866,4627.79,4.59137e-05,100,-324.164738026,59191.6,1,50000,-192.45,16039.5043623,5.20128319176,nan,1505.67,,-22726.0,,413.223140496,121
nan,3.78632e-06,10000.8951134,0.4,-363.625978205,-363.625978205,0.0858869,1.60785e+16,2.73425e+19,5.0505e-05,100,-363.625978205,inf,1,50000,nan,10000.8951134,9.833321424,nan,nan,,nan,,454.545454545,110
nan,1.48372e-07,17125.3445805,0.4,-334.765962949,-334.765962949,0.0126936,82.1153,22702.1,4.59137e-05,100,-334.765962949,474589.0,1,50000,-180.29,17125.3445805,5.99378091056,nan,1776.47,,-22170.8,,413.223140496,121
