AvgEpLen,BatchSize,EpsThisIter,ESSRenyi,MinNormIw,VarVanillaIw,AvgVanillaIw,renyi2,VanillaAvgRet,IterType,MinVanillaIw,AvgDiscRet,J,VarRet,SamplesThisIter,ESSClassic,delta,MaxNormIw,VarDiscRet,VarJ,AvgNormIw,MaxVanillaIw,VarNormIw,Bound,AvgRet
6.30040322581,100,7936,0.00811345911942,3.30905e-12,1.69429e+07,11.9507,9.4194,52.9753609273,1,5.64899e-05,52.9753609273,23773.9,6323.32759201,50000,3.45072228,0.6,0.133701,6323.32759201,12580.7,7.00045e-07,2.28246e+06,5.81369e-08,1782.86,52.9753609273
5.92697961119,100,8436,0.00806544287749,7.72751e-14,5.30399e+09,146.321,9.42534,49.2415513428,1,1.71694e-05,49.2415513428,57440.4,4628.23811825,50000,3.94393132159,0.6,0.200531,4628.23811825,35841.2,6.58553e-07,4.4555e+07,1.07441e-07,2003.07,49.2415513428
5.93542260209,100,8424,0.00803473453402,9.51288e-16,1.6487e+06,3.37025,9.42915,49.3259692433,1,4.86145e-09,49.3259692433,10995.9,3728.28481286,50000,4.09586977042,0.6,0.153968,3728.28481286,5594.68,6.59492e-07,786836.0,6.313e-08,542.611,49.3259692433
6.18811881188,100,8080,0.00804210923792,4.63638e-16,1.19189e+09,59.0763,9.42823,51.8517896562,1,3.9836e-08,51.8517896562,12609.0,4006.13670728,50000,4.00055417761,0.6,0.242284,4006.13670728,5334.18,6.87569e-07,2.08172e+07,1.61451e-07,438.688,51.8517896562
6.30040322581,100,7936,0.00796405349791,1.15992e-20,6.53621e+06,5.2811,9.43799,52.9747757626,1,8.75039e-14,52.9747757626,10425.4,4998.50777899,50000,4.01481455404,0.6,0.202522,4998.50777899,1620.07,7.00045e-07,1.52782e+06,1.1485e-07,418.77,52.9747757626
6.01250601251,100,8316,0.00787585741283,8.91323e-08,0.0730805,1.0007,9.44912,50.0972608802,1,0.133514,50.0972608802,9173.83,4355.60136115,50000,53.6137210388,0.6,9.65949e-05,4355.60136115,2353.49,6.68056e-07,144.692,3.25701e-14,38.898,50.0972608802
6.20347394541,100,8060,0.0079169670965,3.58944e-10,0.142613,1.00092,9.44392,52.005759513,1,0.000521236,52.005759513,9557.6,3710.94181737,50000,50.0381364554,0.6,0.00010447,3710.94181737,1136.92,6.89275e-07,151.706,6.76307e-14,48.1289,52.005759513
6.1394891945,100,8144,0.00795121309577,3.83425e-16,3.44304e+16,306512.0,9.4396,51.3663829474,1,0.000172281,51.3663829474,10215.1,4189.78956663,50000,4.0,0.6,0.25,4189.78956663,907.143,6.82166e-07,1.1233e+11,1.7054e-07,699.497,51.3663829474
5.96089651884,100,8388,0.00796927346998,1.2116e-09,103485.0,1.54896,9.43733,49.581404598,1,0.00283355,49.581404598,9803.77,3857.11564677,50000,4.08601931923,0.6,0.0844083,3857.11564677,1797.4,6.62322e-07,197404.0,1.89206e-08,580.587,49.581404598
6.103515625,100,8192,0.00792388612138,3.60718e-10,3.24713e+07,10.4089,9.44304,51.0062472349,1,0.00553648,51.0062472349,10893.5,4456.39455376,50000,4.00486301861,0.6,0.225416,4456.39455376,6437.67,6.78168e-07,3.4598e+06,1.37838e-07,595.971,51.0062472349
5.78435909301,100,8644,0.00791361546815,8.12527e-10,439289.0,2.23099,9.44434,47.815824823,1,0.00282048,47.815824823,10265.8,2876.13980956,50000,3.97896437374,0.6,0.118159,2876.13980956,2387.04,6.42707e-07,410159.0,3.6457e-08,473.599,47.815824823
