ESSRenyi,VarRet,VarNormIw,MinNormIw,MinVanillaIw,AvgRet,AvgVanillaIw,MaxVanillaIw,AvgNormIw,BatchSize,VarDiscRet,EpsThisIter,AvgEpLen,eRenyi2,VarVanillaIw,Bound,IterType,Delta,J,MaxNormIw,VarJ,ESSClassic,AvgDiscRet,VanillaAvgRet
500.0,50147.0330656,5.43914e-20,0.00333333,1.0,452.395379793,1.0,1.0,0.00333333,500,50147.0330656,100,48.82,1.0,,312.067,2,0.3,470.865,0.00333333,239.259,299.999969474,452.395379793,452.395379793
500.0,41731.7870386,5.4346e-20,0.0025,1.0,449.510519374,1.0,1.0,0.0025,500,41731.7870386,100,48.52,1.0,,328.003,2,0.3,465.526,0.0025,230.971,400.0,449.510519374,449.510519374
18.2139878151,44805.3210953,0.00086727,2.25752e-17,1.99474e-14,455.108953096,1.76719,578.92,0.002,500,44805.3210953,100,49.17,27.4514,677.113,833.968,1,0.3,1478.44,0.655187,4806.03,2.30007987239,455.108953096,455.108953096
500.0,215789.20124,3.50449e-18,0.01,1.0,777.055951319,1.0,1.0,0.01,500,215789.20124,100,84.16,1.0,,360.472,2,0.3,777.056,0.01,462.203,100.0,777.055951319,777.055951319
500.0,524200.888544,2.1793e-19,0.005,1.0,869.412266078,1.0,1.0,0.005,500,524200.888544,100,93.93,1.0,,319.501,2,0.3,823.234,0.005,606.982,200.000000102,869.412266078,869.412266078
500.0,303255.753518,5.43914e-20,0.00333333,1.0,831.881069753,1.0,1.0,0.00333333,500,303255.753518,100,89.96,1.0,,414.82,2,0.3,826.116,0.00333333,587.971,299.999969474,831.881069753,831.881069753
500.0,282410.212455,5.4346e-20,0.0025,1.0,792.861304082,1.0,1.0,0.0025,500,282410.212455,100,86.02,1.0,,461.609,2,0.3,817.803,0.0025,573.922,400.0,792.861304082,792.861304082
27.1986681219,196459.743269,0.000867055,4.78693e-12,5.93395e-09,740.192177503,2.47923,812.277,0.002,500,196459.743269,100,80.05,18.3833,1332.36,2300.5,1,0.3,3666.47,0.655266,14282.9,2.30064949417,740.192177503,740.192177503
500.0,914853.586197,3.50449e-18,0.01,1.0,1306.55399254,1.0,1.0,0.01,500,914853.586197,100,141.92,1.0,,600.682,2,0.3,1306.55,0.01,951.685,100.0,1306.55399254,1306.55399254
500.0,714475.291348,2.1793e-19,0.005,1.0,1307.93241023,1.0,1.0,0.005,500,714475.291348,100,141.68,1.0,,802.867,2,0.3,1307.24,0.005,898.064,200.000000102,1307.93241023,1307.93241023
500.0,912446.041729,5.43914e-20,0.00333333,1.0,1385.25734006,1.0,1.0,0.00333333,500,912446.041729,100,150.3,1.0,,921.426,2,0.3,1333.25,0.00333333,916.591,299.999969474,1385.25734006,1385.25734006
500.0,674472.359875,5.4346e-20,0.0025,1.0,1225.79257319,1.0,1.0,0.0025,500,674472.359875,100,132.91,1.0,,949.736,2,0.3,1306.38,0.0025,893.98,400.0,1225.79257319,1225.79257319
27.6188372051,590272.262121,0.000492846,6.01701e-12,6.76772e-09,1266.23836753,2.24953,524.968,0.002,500,590272.262121,100,137.46,18.1036,623.498,2594.89,1,0.3,3952.16,0.466736,8096.6,4.03339253459,1266.23836753,1266.23836753
500.0,2191559.14997,3.50449e-18,0.01,1.0,2537.04650049,1.0,1.0,0.01,500,2191559.14997,100,274.07,1.0,,1822.45,2,0.3,2537.05,0.01,1472.97,100.0,2537.04650049,2537.04650049
500.0,2056381.94499,2.1793e-19,0.005,1.0,2496.04895876,1.0,1.0,0.005,500,2056381.94499,100,270.35,1.0,,2011.25,2,0.3,2516.55,0.005,1450.22,200.000000102,2496.04895876,2496.04895876
