VarVanillaIw,MinNormIw,VarDiscRet,delta,MinVanillaIw,Bound,AvgVanillaIw,AvgEpLen,J,VarNormIw,VanillaAvgRet,SamplesThisIter,MaxNormIw,MaxVanillaIw,AvgRet,AvgNormIw,BatchSize,renyi2,AvgDiscRet,EpsThisIter,VarRet,ESSRenyi,ESSClassic,VarJ,IterType
2.23574e+08,,2618.40456075,0.7,,-276.654,216.224,490.196078431,-41256.1,1.41862e-05,-394.480933985,50000,0.355811,1.41252e+06,-394.480933985,5.44662e-05,100,nan,-394.480933985,102,2618.40456075,nan,2.89801644552,3575.09,1
3505.1,,23108.8588681,0.7,,nan,14.9878,378.787878788,nan,2.76396e-08,-299.851812565,50000,0.00235189,837.533,-299.851812565,4.20875e-05,100,nan,-299.851812565,132,23108.8588681,nan,1.61414413175,nan,1
5913.25,,19160.7601169,0.7,,nan,15.0087,378.787878788,nan,4.64993e-08,-303.180682179,50000,0.0044155,1574.6,-303.180682179,4.20875e-05,100,nan,-303.180682179,132,19160.7601169,nan,2.24216087543,nan,1
6.26284e+16,,8426.21675926,0.7,,nan,9.42461e+06,450.45045045,nan,1.76626e-06,-361.291487304,50000,0.0528268,9.94747e+09,-361.291487304,5.00501e-05,100,nan,-361.291487304,111,8426.21675926,nan,7.89725574821,nan,1
inf,,10438.4966715,0.7,,-153.692,2.55643e+17,450.45045045,-29499.4,4.87513e-06,-368.185775006,50000,0.0987119,5.04195e+20,-368.185775006,5.00501e-05,100,nan,-368.185775006,111,10438.4966715,nan,9.99896949286,1809.45,1
1.06284e+11,,1018.80044406,0.7,,-376.444,5975.62,495.04950495,-48353.8,9.00561e-06,-407.96257095,50000,0.275747,2.99562e+07,-407.96257095,5.50055e-05,100,nan,-407.96257095,101,1018.80044406,nan,1.12264560155,2146.05,1
65236.7,,17176.3560762,0.7,,nan,32.4974,409.836065574,nan,1.28095e-07,-332.013050151,50000,0.0120559,8603.6,-332.013050151,4.55373e-05,100,nan,-332.013050151,122,17176.3560762,nan,6.23206478071,nan,1
1.28827e+29,,10717.0410177,0.7,,nan,9.248e+12,438.596491228,nan,3.57732e-06,-351.666376992,50000,0.0852476,1.61773e+16,-351.666376992,4.87329e-05,100,nan,-351.666376992,114,10717.0410177,nan,9.89375710646,nan,1
1.5894e+28,,18795.2806298,0.7,,nan,2.82636e+12,409.836065574,nan,4.12585e-06,-322.594886891,50000,0.0950805,5.90135e+15,-322.594886891,4.55373e-05,100,nan,-322.594886891,122,18795.2806298,nan,9.97330563212,nan,1
inf,,17218.6347844,0.7,,-141.994,1.80819e+16,406.504065041,-24397.9,4.51488e-06,-318.633600089,50000,0.1,4.00334e+19,-318.633600089,4.51671e-05,100,nan,-318.633600089,123,17218.6347844,nan,10.0000013566,1869.15,1
0.197183,6.8043e-10,135.495490886,0.7,1.27446e-05,-430.763,1.04057,500.0,-72470.2,5.62064e-10,-406.460774589,50000,0.000151712,2.84158,-406.460774589,5.55556e-05,100,nan,-406.460774589,100,135.495490886,nan,0.953237185517,276.776,1
0.000530728,5.13566e-05,0.702087043339,0.7,0.920014,-437.075,0.995235,500.0,-73822.6,1.65377e-12,-410.139291812,50000,6.51983e-05,1.16798,-410.139291812,5.55556e-05,100,30.5779,-410.139291812,100,0.702087043339,5.25042230457e-12,0.574784282854,11.4407,1
0.0128459,3.62687e-05,13.1747748443,0.7,0.656732,-436.22,1.00597,500.0,-73608.7,3.9179e-11,-409.255447716,50000,8.18777e-05,1.48259,-409.255447716,5.55556e-05,100,30.5745,-409.255447716,100,13.1747748443,5.26808762334e-12,0.645494471683,58.6549,1
0.00224158,4.88977e-05,2.63622209127,0.7,0.879977,-436.859,0.999794,500.0,-73775.5,6.92132e-12,-409.92280702,50000,6.60617e-05,1.18887,-409.92280702,5.55556e-05,100,30.5609,-409.92280702,100,2.63622209127,5.3402295269e-12,0.590249103496,22.8719,1
0.00130697,4.92628e-05,1.49486404503,0.7,0.887245,-436.768,1.00058,500.0,-73774.5,4.02918e-12,-409.892406693,50000,6.29234e-05,1.13328,-409.892406693,5.55556e-05,100,30.5566,-409.892406693,100,1.49486404503,5.36348330873e-12,0.57689211163,16.9106,1
0.000590466,5.19918e-05,0.773186981576,0.7,0.933533,-437.156,0.997521,500.0,-73838.0,1.8315e-12,-410.226988386,50000,6.63035e-05,1.1905,-410.226988386,5.55556e-05,100,30.5592,-410.226988386,100,0.773186981576,5.3496189109e-12,0.579037983115,12.068,1
0.00165449,4.99959e-05,2.16747186177,0.7,0.883791,-437.157,0.982069,500.0,-73836.2,5.29463e-12,-410.24101481,50000,7.95053e-05,1.40544,-410.24101481,5.55556e-05,100,30.5743,-410.24101481,100,2.16747186177,5.26936371428e-12,0.586161706405,23.0216,1
0.00262994,4.88855e-05,3.65378524914,0.7,0.863942,-436.796,0.98182,500.0,-73782.7,8.42049e-12,-409.96971006,50000,9.35311e-05,1.65295,-409.96971006,5.55556e-05,100,30.606,-409.96971006,100,3.65378524914,5.10474901861e-12,0.586700634649,33.549,1
inf,,8387.39875239,0.7,,-190.798,9.04753e+17,454.545454545,-33915.0,5.03709e-06,-370.906112181,50000,0.0998898,1.78944e+21,-370.906112181,5.05051e-05,100,nan,-370.906112181,110,8387.39875239,nan,9.99999488308,1549.88,1
0.00289769,4.62876e-05,3.15244476401,0.7,0.836254,-435.429,1.00369,500.0,-73540.5,8.8778e-12,-408.632556589,50000,6.8594e-05,1.23925,-408.632556589,5.55555e-05,100,31.1293,-408.632556589,100,3.15244476401,3.02494259181e-12,0.582709543476,25.8435,1
0.00588642,3.66303e-05,6.34310806605,0.7,0.660828,-435.003,1.00225,500.0,-73459.8,1.80865e-11,-408.259180323,50000,7.15799e-05,1.29134,-408.259180323,5.55556e-05,100,31.133,-408.259180323,100,6.34310806605,3.01368984674e-12,0.602052223554,36.0241,1
0.000184798,5.28887e-05,0.228568084629,0.7,0.951356,-436.327,0.999327,500.0,-73704.3,5.71131e-13,-409.473234509,50000,5.8846e-05,1.05851,-409.473234509,5.55556e-05,100,31.1754,-409.473234509,100,0.228568084629,2.88877226449e-12,0.567829911943,6.38793,1
0.00539423,4.22767e-05,6.02140383089,0.7,0.761934,-434.825,1.00125,500.0,-73432.1,1.66073e-11,-408.093691919,50000,7.23871e-05,1.3046,-408.093691919,5.55556e-05,100,31.1803,-408.093691919,100,6.02140383089,2.87453677901e-12,0.652259114692,34.7873,1
