#{"t_start": 1522337633.8535774, "env_id": "ContCartPole-v0"}
r,l,t
299.762733,31,1.879347
329.892811,34,1.907586
149.896534,16,1.946612
109.900684,12,1.956819
149.915557,16,1.974267
189.830297,20,1.990122
119.912144,13,1.999843
239.913589,25,2.018273
119.930485,13,2.027095
349.875556,36,2.062203
429.889181,44,2.095193
119.915017,13,2.105505
189.889563,20,2.12756
149.930754,16,2.140513
129.911587,14,2.152238
179.888954,19,2.167942
259.876407,27,2.190324
229.93305,24,2.212931
269.860961,28,2.234847
399.869096,41,2.266102
179.903297,19,2.286158
189.935658,20,2.300309
109.897846,12,2.308798
199.897251,21,2.339192
199.925537,21,2.356246
149.917381,16,2.375018
189.890737,20,2.390518
569.745094,58,2.437709
199.912269,21,2.468263
199.890092,21,2.522337
359.913091,37,2.617779
259.856317,27,2.718196
459.754095,47,2.752933
199.861392,21,2.770565
159.906168,17,2.788038
209.821079,22,2.806123
129.926814,14,2.838074
439.851204,45,2.879084
239.883021,25,2.90107
299.85897,31,2.925102
209.915993,22,2.941212
229.915023,24,2.974816
179.885747,19,2.989174
159.864283,17,3.000917
189.907299,20,3.016739
119.894538,13,3.042304
169.928616,18,3.056877
489.858283,50,3.095751
109.906978,12,3.119014
169.879889,18,3.132744
169.897909,18,3.146748
139.888318,15,3.158503
359.918285,37,3.188329
269.874102,28,3.21029
99.909104,11,3.219452
309.869635,32,3.24505
219.873029,23,3.261957
289.822965,30,3.29006
169.899965,18,3.305923
439.728257,45,3.342956
169.925824,18,3.361559
159.892797,17,3.373811
389.864247,40,3.404513
149.919854,16,3.417593
209.835517,22,3.443327
139.907983,15,3.455083
459.819781,47,3.494174
219.843793,23,3.5365
179.927972,19,3.551784
289.90268,30,3.574235
119.882764,13,3.584289
139.909039,15,3.595676
189.919121,20,3.611174
159.904741,17,3.624493
239.825146,25,3.643276
199.907704,21,3.658763
529.610981,54,5.267397
519.742064,53,5.34442
299.652533,31,5.367822
539.787503,55,5.454331
219.844242,23,5.471223
159.89708,17,5.497271
129.890913,14,5.506779
289.86314,30,5.529006
259.879287,27,5.576414
159.896452,17,5.588896
269.831037,28,5.609301
229.906804,24,5.647653
719.773721,73,5.7581
189.844407,20,5.794566
179.844929,19,5.81015
109.896814,12,5.820409
119.915086,13,5.832222
139.852661,15,5.871055
309.865959,32,5.89467
199.855188,21,5.909591
299.869077,31,5.956813
149.883456,16,5.967429
249.837162,26,5.985647
209.840687,22,6.001821
189.915879,20,6.018827
599.622461,61,6.063245
179.85733,19,6.077667
159.894373,17,6.091305
229.898832,24,6.110669
99.918646,11,6.118629
419.870755,43,6.147367
629.840914,64,6.197793
329.899105,34,6.223651
449.855835,46,6.289964
399.736232,41,6.323399
189.861399,20,6.349224
209.85925,22,6.367473
489.832221,50,6.408373
629.875826,64,6.466137
219.871235,23,6.485256
259.901264,27,6.518247
509.824325,52,6.560942
219.904554,23,6.596751
179.84391,19,6.61268
549.823271,56,6.657619
249.796386,26,6.680462
639.792425,65,6.727761
359.751718,37,6.761139
219.894633,23,6.777753
179.874716,19,8.1909
319.662035,33,8.296697
119.923465,13,8.358799
169.908113,18,8.755504
469.736109,48,8.807547
379.862788,39,8.864502
229.895648,24,8.882144
879.780591,89,9.050901
529.831645,54,9.10352
329.709397,34,9.131018
479.605599,49,9.191855
449.810415,46,9.22678
439.709846,45,9.267342
539.870942,55,9.487017
109.916949,12,9.530617
629.796778,64,9.58024
