EpLenMean,DiscEpRewMean,TimeElapsed,Avg_ret,TimestepsSoFar,J_hat,Max_iw,EpisodesSoFar,Max_ret,Step_size,meankl,entloss,Reny_4,Var_ret,Our_bound,optimgain,Avg_iw,ev_tdlam_before,entropy,Var_J,EpRewMean,Var_iw,EpThisIter,surrgain
500.0,0.851687475827,53.63679838180542,0.8516876101493835,50000,14.084061622619629,4168.00439453125,100,15.164772033691406,1.0,0.00877027,,1.2038,14.684322357177734,-3.72959787912,0.0185126,6.2074360847473145,-0.0182344913483,2.83912,3525.849609375,1.40311219424,4882.7451171875,100,0.0185126
500.0,5.3711298199,103.21245789527893,5.371130466461182,100000,13.439339637756348,442.12567138671875,200,19.09515953063965,1.0,0.00962922,,1.13252,20.020822525024414,3.92425065578,0.0239795,2.211332321166992,0.556663095951,2.83135,1005.9657592773438,7.43634574506,139.5189666748047,100,0.0239795
500.0,11.393222674,153.9485821723938,11.393224716186523,150000,21.041719436645508,153.5770721435547,300,22.928312301635742,1.0,0.00958685,,1.24355,27.941286087036133,14.071983047,0.0217533,1.9307849407196045,0.700014680624,2.81032,539.7469482421875,17.8217035348,25.091590881347656,100,0.0217533
500.0,16.6503142557,215.89635062217712,16.650314331054688,200000,25.864500045776367,331.8016357421875,400,25.411619186401367,1.0,0.0085493,,1.36405,17.588953018188477,15.7946938861,0.0134795,2.0385847091674805,0.763974174857,2.79492,1126.677734375,24.4030862678,69.43030548095703,100,0.0134795
500.0,19.4470672922,259.8075556755066,19.447067260742188,250000,17.80638885498047,122.54114532470703,500,26.894710540771484,1.0,0.00782364,,1.48483,10.034565925598145,11.0770483191,0.0076194,1.084971308708191,0.756416380405,2.77143,503.15582275390625,26.0041743303,14.20817756652832,100,0.0076194
500.0,20.9238759843,309.5391335487366,20.923877716064453,300000,22.9266300201416,26.347545623779297,600,26.830345153808594,1.0,0.00738445,,1.55673,8.911774635314941,15.3954198121,0.00481832,0.9303126335144043,0.698317050934,2.74289,630.2125244140625,25.8813948307,1.7295666933059692,100,0.00481832
500.0,22.584165648,360.22045707702637,22.58416748046875,350000,28.615123748779297,294.0736389160156,700,27.511842727661133,1.0,0.00594627,,1.43036,5.731983661651611,20.863397473,0.00337572,1.6188948154449463,0.678025066853,2.72731,667.658447265625,26.823326625,91.06456756591797,100,0.00337572
500.0,22.8824734142,409.8561873435974,22.88247299194336,400000,26.197980880737305,18.29323959350586,800,27.502639770507812,1.0,0.00669155,,1.33901,4.995111465454102,17.2649770674,0.00390797,0.7402721643447876,0.680484384298,2.69632,886.650634765625,26.5883182366,1.0994863510131836,100,0.00390797
500.0,23.6586594648,470.7249264717102,23.658658981323242,450000,24.82465362548828,16.170862197875977,900,27.303848266601562,1.0,0.00751135,,1.78751,3.0301122665405273,15.9393947481,0.00391532,0.5947434902191162,0.703666001558,2.6355,877.1980590820312,27.3526251277,0.6323978304862976,100,0.00391532
500.0,24.5560263919,516.2939357757568,24.5560245513916,500000,28.35816192626953,489.48583984375,1000,28.459272384643555,1.0,0.00670712,,1.30477,1.5201023817062378,17.7764465552,0.00238521,1.7558437585830688,0.703857839108,2.63301,1244.14111328125,27.4567257212,106.09992218017578,100,0.00238521
