EpsThisIter,MaxVanillaIw,IterType,Bound,MinVanillaIw,J,AvgVanillaIw,AvgRet,MinNormIw,Delta,ESSClassic,VarVanillaIw,VarJ,VarNormIw,VanillaAvgRet,VarDiscRet,ESSRenyi,AvgEpLen,MaxNormIw,VarRet,AvgDiscRet,eRenyi2,AvgNormIw,BatchSize
100,1.52789,1,-112.607,0.547964,-106.865,0.995195,-107.033150742,0.0055061,0.8,96.553067655,0.0357145,2.12379,3.60602e-06,-107.033150742,5.0675913112,97.191341375,15.79,0.0153526,5.0675913112,-107.033150742,1.0289,0.01,100
100,1.19299,1,-112.897,0.767861,-107.183,0.997943,-107.226546913,0.00769443,0.8,99.1789893532,0.00832723,2.47282,8.36159e-07,-107.226546913,6.22533992882,99.2391506748,15.84,0.0119545,6.22533992882,-107.226546913,1.00767,0.01,100
100,1.15978,1,-112.709,0.69056,-106.978,1.01622,-107.040887694,0.00679535,0.8,99.0496147559,0.0100088,2.17043,9.69174e-07,-107.040887694,4.98527305017,98.925110581,15.44,0.0114127,4.98527305017,-107.040887694,1.01087,0.01,100
100,1.41161,1,-112.934,0.390584,-107.155,0.986201,-107.325203478,0.00396049,0.8,96.6092056245,0.0344807,2.34286,3.54523e-06,-107.325203478,5.96307982621,96.9269519781,15.9,0.0143136,5.96307982621,-107.325203478,1.0317,0.01,100
100,1.4084,1,-113.005,0.295073,-106.997,0.983592,-107.27979607,0.00299995,0.8,94.5148391396,0.0567131,2.35752,5.8621e-06,-107.27979607,6.57184890257,95.0930530536,15.56,0.0143189,6.57184890257,-107.27979607,1.0516,0.01,100
100,1.15901,1,-112.919,0.777309,-107.073,0.994317,-107.100055613,0.00781752,0.8,99.4987583466,0.00503039,2.43721,5.08806e-07,-107.100055613,6.25203499479,99.514551762,15.4,0.0116563,6.25203499479,-107.100055613,1.00488,0.01,100
100,1.40011,1,-112.552,0.350601,-106.698,0.983288,-106.961069666,0.00356559,0.8,93.8426017044,0.0640804,1.98523,6.62771e-06,-106.961069666,5.06260946961,95.4855065601,15.14,0.0142391,5.06260946961,-106.961069666,1.04728,0.01,100
100,1.41277,1,-112.377,0.727745,-106.712,0.996842,-106.783906391,0.0073005,0.8,98.8752694912,0.0114177,2.07801,1.14902e-06,-106.783906391,4.542028744,98.7734400656,15.59,0.0141725,4.542028744,-106.783906391,1.01242,0.01,100
100,1.24469,1,-112.594,0.513089,-106.775,0.991997,-106.945082549,0.00517228,0.8,97.0345166226,0.0303777,2.1368,3.08698e-06,-106.945082549,6.02211159597,97.2837330495,15.67,0.0125473,6.02211159597,-106.945082549,1.02792,0.01,100
100,1.27305,1,-112.515,0.870926,-106.749,0.994325,-106.794025712,0.00875897,0.8,99.2759889641,0.00728327,2.30369,7.36664e-07,-106.794025712,5.56953585234,99.2143145897,15.8,0.0128032,5.56953585234,-106.794025712,1.00792,0.01,100
100,1.28085,1,-112.793,0.779908,-107.004,1.01706,-107.062965494,0.00766824,0.8,99.0879953852,0.00961726,2.37562,9.29726e-07,-107.062965494,5.99075168994,98.961720469,15.42,0.0125936,5.99075168994,-107.062965494,1.01049,0.01,100
100,1.18622,1,-112.589,0.32244,-106.774,0.968355,-106.903455807,0.00332978,0.8,97.2567786539,0.0267161,2.10907,2.84908e-06,-106.903455807,4.99982812503,97.7249719067,15.65,0.0122499,4.99982812503,-106.903455807,1.02328,0.01,100
100,1.12407,1,-112.366,0.870931,-106.708,1.00503,-106.737864966,0.00866575,0.8,99.7363435121,0.00269693,2.08844,2.67003e-07,-106.737864966,4.47909208308,99.4501238294,15.0,0.0111845,4.47909208308,-106.737864966,1.00553,0.01,100
100,1.26268,1,-112.262,0.537405,-106.581,0.986665,-106.672088173,0.00544668,0.8,98.3222308079,0.0167797,2.09984,1.72364e-06,-106.672088173,4.76153644635,98.4140622892,15.3,0.0127975,4.76153644635,-106.672088173,1.01611,0.01,100
100,1.16456,1,-112.189,0.759295,-106.511,0.998051,-106.568025019,0.00760778,0.8,99.3556816988,0.00652496,1.90857,6.55047e-07,-106.568025019,3.83540223942,99.0180360769,15.47,0.0116683,3.83540223942,-106.568025019,1.00992,0.01,100
100,1.22223,1,-112.644,0.583184,-106.897,0.994497,-107.053881227,0.00586411,0.8,97.4724714855,0.0259052,2.00626,2.61927e-06,-107.053881227,4.4264736528,97.0622066028,15.6,0.0122899,4.4264736528,-107.053881227,1.03027,0.01,100
100,1.27281,1,-112.424,0.664991,-106.75,1.00452,-106.804259744,0.00661999,0.8,98.929171998,0.0110325,1.95517,1.09334e-06,-106.804259744,3.9912870875,99.0418735645,15.54,0.0126708,3.9912870875,-106.804259744,1.00967,0.01,100
100,1.15866,1,-112.015,0.727243,-106.35,1.00182,-106.386353613,0.00725922,0.8,99.4136362371,0.00597958,1.60234,5.95788e-07,-106.386353613,2.84173493135,99.3626586705,14.86,0.0115656,2.84173493135,-106.386353613,1.00641,0.01,100
