AvgNormIw,MinNormIw,BatchSize,MaxNormIw,AvgEpLen,VarNormIw,AvgDiscRet,MinVanillaIw,eRenyi2,ESSRenyi,Bound,VanillaAvgRet,J,VarRet,VarDiscRet,IterType,VarJ,VarVanillaIw,MaxVanillaIw,AvgVanillaIw,AvgRet,ESSClassic,EpsThisIter
0.010000002,6.9045815e-36,100,0.65942353,13.45,0.0044627464,124.43734860743247,4.4208914e-34,19.931396,5.017209911929347,674.8966,124.43734860743247,1448.6495,52575.55293859691,52575.55293859691,1,4320.545,18.29562,42.221817,0.64028376,124.43734860743247,2.2133101669032405,100
0.01,8.647099e-20,100,0.6202214,38.36,0.0041040904,373.4481988959224,9.154584e-18,20.02179,4.994558540652426,785.9718,373.4481988959224,1433.4004,142526.81886576323,142526.81886576323,1,1846.1696,45.99951,65.66212,1.0586884,373.4481988959224,2.402085481477863,100
0.01,1.2224622e-14,100,0.45960414,113.23,0.0033881513,1122.1871754495257,1.8708982e-12,15.181466,6.586979104928028,2873.3206,1122.1871754495257,4512.92,1270716.8930465376,1270716.8930465376,1,3092.0166,79.35829,70.3394,1.5304344,1122.1871754495257,2.89496767191227,100
0.01,4.5418664e-09,100,0.120884396,271.37,0.00038620867,2706.557836227942,4.816987e-07,4.419028,22.629411808502798,3856.4536,2706.557836227942,4741.0596,3881083.1885741367,3881083.1885741367,1,850.7525,4.344144,12.820689,1.0605743,2706.557836227942,20.731984000722708,100
0.01,4.7827827e-05,100,0.035581008,456.0,8.649768e-05,4557.747974875633,0.0040751756,1.670519,59.861636018108186,4371.161,4557.747974875633,4915.0527,1336456.8499984166,1336456.8499984166,1,258.12595,0.6279656,3.031684,0.85205114,4557.747974875633,53.86982468713388,100
0.01,0.001904853,100,0.014542119,491.38,1.0747299e-05,4912.894840636392,0.19054656,1.097706,91.09907718371348,4534.6396,4912.894840636392,4975.529,270765.05185200076,270765.05185200076,1,131.69417,0.10754211,1.4546795,1.0003216,4912.894840636392,90.38337593369117,100
0.009999998,0.01,200,0.01,486.09,3.5044917e-18,4860.153187448424,1.0,1.0,200.0,4439.3423,4860.153187448424,4860.153,475169.9245804782,475169.9245804782,,685.8704,,1.0,1.0,4860.153187448424,100.0,100
0.005,0.0005822916,200,0.007897879,491.69,2.914048e-06,4916.341045346413,0.11829524,1.1149905,179.37372998255788,4665.3296,4916.341045346413,4979.5303,276391.0144128549,276391.0144128549,1,130.7502,0.12026803,1.6044906,1.0157732,4916.341045346413,179.21482910289723,100
0.009999998,0.01,200,0.01,493.98,3.5044917e-18,4939.027860682939,1.0,1.0,200.0,4518.2173,4939.027860682939,4939.028,109890.6501409669,109890.6501409669,2,329.8359,,1.0,1.0,4939.027860682939,100.0,100
0.005,0.0003862151,200,0.0071250736,496.165,1.816858e-06,4961.108979036963,0.07404098,1.056049,189.38515355555126,4680.173,4961.108979036963,4985.956,68889.87760743758,68889.87760743758,1,90.26576,0.0667739,1.3659419,0.95854586,4961.108979036963,186.51306922343537,100
