MinVanillaIw,VarVanillaIw,AvgNormIw,VarNormIw,VarDiscRet,AvgEpLen,MaxVanillaIw,SamplesThisIter,Bound,BatchSize,ESSRenyi,VanillaAvgRet,EpsThisIter,VarJ,AvgVanillaIw,J,AvgRet,MinNormIw,VarRet,delta,MaxNormIw,AvgDiscRet,IterType,renyi2,ESSClassic
,1.44716e+25,6.62717e-07,5.93823e-08,3678.98612297,5.96445186687,1.69322e+15,50000,524.24,100,nan,49.6200945696,8383,8410.77,1.03456e+10,54882.8,49.6200945696,,3678.98612297,0.6,0.108463,49.6200945696,1,nan,6.4332462312
,7.14212e+17,6.5622e-07,6.57264e-08,3176.42412607,5.90597684857,3.85841e+11,50000,359.267,100,nan,49.0353567397,8466,53724.3,2.16318e+06,40262.7,49.0353567397,,3176.42412607,0.6,0.117049,49.0353567397,1,nan,6.7024555928
,6.2879e+16,6.80828e-07,6.58731e-08,3267.68241455,6.12745098039,1.13245e+11,50000,247.657,100,nan,51.2496255374,8160,26227.4,665176.0,29278.3,51.2496255374,,3267.68241455,0.6,0.11591,51.2496255374,1,nan,6.99999853
,8.645e+24,6.99868e-07,1.39949e-07,5080.48033981,6.29881582263,1.57178e+15,50000,619.108,100,nan,52.9621878304,7938,36235.0,5.50066e+09,56362.3,52.9621878304,,5080.48033981,0.6,0.199983,52.9621878304,1,nan,5.00000058135
,1.23674e+14,6.53442e-07,9.93372e-08,4091.70380979,5.88096918372,6.13777e+09,50000,nan,100,nan,48.7851041703,8502,nan,23056.3,nan,48.7851041703,,4091.70380979,0.6,0.173951,48.7851041703,1,nan,4.97798551557
,inf,6.75283e-07,9.49316e-08,4419.55880767,6.07754953203,9.1775e+22,50000,507.199,100,nan,50.7496329109,8227,114887.0,4.3733e+17,68297.4,50.7496329109,,4419.55880767,0.6,0.14171,50.7496329109,1,nan,6.99959056622
,2.88353e+11,1.08001e-06,1.3758e-07,12360.318614,9.7200622084,2.29424e+08,50000,564.599,100,nan,87.158712492,5144,53072.8,1563.55,56116.1,87.158712492,,12360.318614,0.6,0.158473,87.158712492,1,nan,4.99510852099
,1.84525e+10,1.65049e-06,1.6726e-07,20707.5989946,14.8544266191,4.66851e+07,50000,706.3,100,nan,138.478181697,3366,16646.8,548.207,90712.8,138.478181697,,20707.5989946,0.6,0.140555,138.478181697,1,nan,4.99962090847
,9.48706e+22,4.45871e-06,8.86056e-07,203906.195067,40.1284109149,6.52347e+13,50000,2513.36,100,nan,391.164734528,1246,35994.3,1.45896e+09,379365.0,391.164734528,,203906.195067,0.6,0.199363,391.164734528,1,nan,4.99997435225
,4.37217e+08,1.24285e-05,2.54573e-07,1857302.10606,111.856823266,1.69601e+06,50000,4001.79,100,nan,1108.88113866,447,31627.4,515.065,713500.0,1108.88113866,,1857302.10606,0.6,0.0409247,1108.88113866,1,nan,9.26797551763
,3.2196e+08,1.30412e-05,3.2344e-07,1714295.47312,117.370892019,1.94991e+06,50000,3962.06,100,nan,1163.84611185,426,35904.6,411.454,727606.0,1163.84611185,,1714295.47312,0.6,0.061803,1163.84611185,1,nan,3.9770470973
,297607.0,1.57381e-05,4.16901e-08,2609952.11958,141.64305949,21818.7,50000,4234.08,100,nan,1407.24302613,353,31332.6,42.0493,771897.0,1407.24302613,,2609952.11958,0.6,0.00816627,1407.24302613,1,nan,8.80776917345
,4.41007e+06,1.95618e-05,1.54033e-06,2509102.80682,176.056338028,211861.0,50000,4132.13,100,nan,1751.00483365,284,26629.9,33.0997,788071.0,1751.00483365,,2509102.80682,0.6,0.125209,1751.00483365,1,nan,5.07140224871
,15306.2,1.98413e-05,4.05769e-08,2818710.63075,178.571428571,6662.01,50000,nan,100,nan,1776.65264027,280,nan,12.1861,nan,1776.65264027,,2818710.63075,0.6,0.010847,1776.65264027,1,nan,4.14150104127
,8.76502e+11,4.81835e-06,3.28406e-07,1164923.91857,43.3651344319,1.80429e+08,50000,4206.33,100,nan,423.902538047,1153,42035.9,7871.72,589141.0,423.902538047,,1164923.91857,0.6,0.110442,423.902538047,1,nan,4.82154950083
,2.06862e+20,3.65257e-06,7.30487e-07,942381.636984,32.8731097962,3.36557e+12,50000,4242.41,100,nan,318.92919038,1521,49809.2,6.14656e+07,588606.0,318.92919038,,942381.636984,0.6,0.199998,318.92919038,1,nan,4.99999988407
,1.94647e+16,2.59484e-06,3.91163e-07,534581.861708,23.3535730967,3.86309e+10,50000,4129.79,100,nan,223.639415589,2141,80641.9,578837.0,804042.0,223.639415589,,534581.861708,0.6,0.173177,223.639415589,1,nan,4.98567627481
,2.4247e+06,1.38198e-05,8.98316e-08,2730472.8293,124.378109453,153523.0,50000,4316.91,100,nan,1234.65678822,402,31541.5,71.7986,781451.0,1234.65678822,,2730472.8293,0.6,0.0295501,1234.65678822,1,nan,4.77914398746
,1.42068e+08,1.19732e-05,1.12565e-07,1947003.37524,107.75862069,845763.0,50000,4173.3,100,nan,1067.86992469,464,33618.4,425.359,717325.0,1067.86992469,,1947003.37524,0.6,0.0238069,1067.86992469,1,nan,13.9061286408
