AvgDiscRet,ESSClassic,BatchSize,eRenyi2,MaxNormIw,Delta,AvgRet,VarNormIw,MaxVanillaIw,ESSRenyi,MinVanillaIw,VanillaAvgRet,IterType,EpsThisIter,MinNormIw,AvgVanillaIw,AvgEpLen,VarDiscRet,J,AvgNormIw,VarJ,Bound,VarVanillaIw,VarRet
-1490.25777711,56.6447852751,100,1.63793,0.0308775,0.2,-1490.25777711,7.73119e-05,2.96268,61.0527354636,0.0011246,-1490.25777711,1,100,1.17208e-05,0.959494,500.0,145918.731846,-1239.94,0.01,229.768,-1742.08,0.711755,145918.731846
-1240.73220821,87.0812532868,100,1.14697,0.0180615,0.2,-1240.73220821,1.49851e-05,1.80412,87.1864715694,0.022124,-1240.73220821,1,100,0.00022149,0.998875,500.0,74045.8949999,-1169.0,0.01,123.522,-1589.69,0.149514,74045.8949999
-1171.53596761,95.9346434639,100,1.03696,0.0133654,0.2,-1171.53596761,4.28042e-06,1.34331,96.4361670575,0.25268,-1171.53596761,1,100,0.00251408,1.00506,500.0,23508.7540029,-1152.8,0.01,76.8862,-1551.89,0.0432385,23508.7540029
-1147.12112733,97.1059811229,100,1.03066,0.0145104,0.2,-1147.12112733,3.01037e-06,1.4718,97.0253947993,0.399424,-1147.12112733,1,100,0.00393789,1.01431,500.0,18012.5513201,-1135.26,0.01,107.0,-1491.85,0.0309714,18012.5513201
-1140.32454189,95.3463185671,100,1.03927,0.025122,0.2,-1140.32454189,4.93011e-06,2.45479,96.2215035573,0.605527,-1140.32454189,1,100,0.0061969,0.977145,500.0,20053.2814904,-1127.47,0.01,193.024,-1527.56,0.0470733,20053.2814904
-1132.67103764,99.5832247295,100,1.00547,0.0119633,0.2,-1132.67103764,4.22743e-07,1.1918,99.4556065694,0.752306,-1132.67103764,1,100,0.00755164,0.996215,500.0,3659.58070027,-1131.3,0.01,67.9575,-1400.88,0.00419549,3659.58070027
-1138.62896834,90.5784812574,100,1.06714,0.0277958,0.2,-1138.62896834,1.05066e-05,2.88198,93.7079891777,0.303914,-1138.62896834,1,100,0.00293116,1.03684,500.0,9877.50462009,-1120.72,0.01,153.759,-1445.31,0.112949,9877.50462009
-1132.23717493,98.1769113926,100,1.0118,0.0160969,0.2,-1132.23717493,1.87568e-06,1.66308,98.8340244812,0.823854,-1132.23717493,1,100,0.00797405,1.03317,500.0,11776.7437668,-1128.02,0.01,120.269,-1521.69,0.0200217,11776.7437668
-1126.27230665,95.4713915288,100,1.02591,0.0257026,0.2,-1126.27230665,4.79132e-06,2.62587,97.4742655449,0.770767,-1126.27230665,1,100,0.00754444,1.02164,500.0,13121.4553243,-1117.82,0.01,137.392,-1515.19,0.0500089,13121.4553243
-1115.01637378,94.0965133561,100,1.04319,0.0263601,0.2,-1115.01637378,6.33727e-06,2.66,95.8602196923,0.698098,-1115.01637378,1,100,0.00691804,1.0091,500.0,12965.6779282,-1103.54,0.01,178.625,-1435.82,0.064531,12965.6779282
-1133.31746328,98.5870493652,100,1.01008,0.0137123,0.2,-1133.31746328,1.44769e-06,1.35541,99.001605532,0.60431,-1133.31746328,1,100,0.00611363,0.988462,500.0,21871.4889185,-1129.08,0.01,132.038,-1523.75,0.0141447,21871.4889185
-1125.15791683,98.7546620025,100,1.01144,0.0121593,0.2,-1125.15791683,1.2738e-06,1.20235,98.8686325814,0.643467,-1125.15791683,1,100,0.00650731,0.988836,500.0,19177.5984009,-1120.32,0.01,120.798,-1514.32,0.0124551,19177.5984009
-1118.10605845,97.2292108276,100,1.02429,0.0175644,0.2,-1118.10605845,2.87851e-06,1.75232,97.62865,0.611651,-1118.10605845,1,100,0.0061309,0.997653,500.0,16969.8278091,-1109.56,0.01,143.701,-1505.65,0.0286501,16969.8278091
-1123.42507236,76.9594601561,100,1.10657,0.0576378,0.2,-1123.42507236,3.02409e-05,5.74203,90.3694558727,0.626474,-1123.42507236,1,100,0.00628848,0.996225,500.0,3296.37037199,-1105.66,0.01,195.832,-1375.45,0.300131,3296.37037199
-1121.45073611,92.4935122811,100,1.06272,0.0161579,0.2,-1121.45073611,8.19766e-06,1.56517,94.0981895264,0.129636,-1121.45073611,1,100,0.0013383,0.968669,500.0,23798.8897855,-1103.58,0.01,187.297,-1441.17,0.0769202,23798.8897855
-1139.75852108,8.06920900824,100,1.68913,0.340909,0.2,-1139.75852108,0.00115079,54.7095,59.2022433681,0.125092,-1139.75852108,1,100,0.000779481,1.60481,500.0,41220.7246859,-938.575,0.01,1263.03,-1447.83,29.6376,41220.7246859
-1118.56643111,93.6374334458,100,1.07064,0.0206941,0.2,-1118.56643111,6.86353e-06,1.90663,93.4020072627,0.308757,-1118.56643111,1,100,0.00335118,0.921337,500.0,40064.5706934,-1092.03,0.01,211.291,-1498.65,0.058262,40064.5706934
-1084.57384538,88.0256307535,100,1.10014,0.0212304,0.2,-1084.57384538,1.37407e-05,2.25321,90.8971794227,0.261386,-1084.57384538,1,100,0.00246287,1.06131,500.0,64025.1446041,-1050.95,0.01,270.765,-1462.34,0.154772,64025.1446041
-1098.39378282,91.1157321477,100,1.07151,0.028915,0.2,-1098.39378282,9.84904e-06,2.8332,93.326628425,0.513481,-1098.39378282,1,100,0.00524046,0.97984,500.0,60306.4763921,-1073.95,0.01,286.938,-1481.04,0.0945592,60306.4763921
-1057.67496171,85.7589358993,100,1.15939,0.0208813,0.2,-1057.67496171,1.67737e-05,2.16214,86.2524504799,0.255585,-1057.67496171,1,100,0.00246836,1.03544,500.0,60253.0867726,-1008.3,0.01,306.07,-1430.34,0.179838,60253.0867726
-1039.66316062,75.4124040669,100,1.26148,0.027598,0.2,-1039.66316062,3.29335e-05,2.61526,79.271982891,0.0248582,-1039.66316062,1,100,0.00026232,0.947626,500.0,87443.5573122,-954.0,0.01,323.89,-1394.24,0.295742,87443.5573122
-1038.63992218,50.5458602109,100,1.41325,0.0828115,0.2,-1038.63992218,9.88284e-05,7.84739,70.7589204564,0.042248,-1038.63992218,1,100,0.000445833,0.94762,500.0,90301.1543553,-921.116,0.01,363.461,-1387.81,0.887463,90301.1543553
-908.448255215,85.3538059992,100,1.19453,0.0193123,0.2,-908.448255215,1.73327e-05,1.9999,83.715133697,0.203168,-908.448255215,1,100,0.00196191,1.03556,500.0,97593.3149581,-839.839,0.01,311.074,-1268.99,0.185873,97593.3149581
-858.708190197,72.8844649339,100,1.23524,0.0350477,0.2,-858.708190197,3.75792e-05,3.69309,80.9560146741,0.0835166,-858.708190197,1,100,0.000792579,1.05373,500.0,88728.7207403,-767.67,0.01,321.681,-1203.7,0.417262,88728.7207403
-803.635429199,91.9518960951,100,1.09907,0.0155547,0.2,-803.635429199,8.84095e-06,1.62861,90.9858417072,0.183053,-803.635429199,1,100,0.00174833,1.04702,500.0,121477.914929,-760.964,0.01,262.498,-1172.41,0.0969188,121477.914929
-759.294532805,69.8615722798,100,1.14893,0.0597933,0.2,-759.294532805,4.35759e-05,6.13414,87.0377879312,0.0777822,-759.294532805,1,100,0.000758191,1.02589,500.0,57105.7048267,-688.73,0.01,172.747,-1108.93,0.458616,57105.7048267
-709.795793458,90.4967858522,100,1.08519,0.019838,0.2,-709.795793458,1.06072e-05,1.92924,92.1500909405,0.21412,-709.795793458,1,100,0.00220176,0.972496,500.0,32492.7360177,-676.685,0.01,141.662,-1085.21,0.100318,32492.7360177
-702.564461102,93.9940967521,100,1.05164,0.0154629,0.2,-702.564461102,6.4542e-06,1.55679,95.0895282142,0.433792,-702.564461102,1,100,0.00430864,1.0068,500.0,61070.9512418,-683.481,0.01,194.478,-1085.45,0.0654222,61070.9512418
-656.801675871,90.8381502765,100,1.0871,0.0165137,0.2,-656.801675871,1.01878e-05,1.72636,91.9875222728,0.248146,-656.801675871,1,100,0.00237367,1.04541,500.0,12044.948755,-634.179,0.01,84.0814,-891.796,0.111341,12044.948755
-659.801084564,94.238195308,100,1.05116,0.0146724,0.2,-659.801084564,6.17583e-06,1.51074,95.1330842376,0.522528,-659.801084564,1,100,0.00507482,1.02965,500.0,26506.3409022,-639.25,0.01,117.128,-1041.05,0.0654748,26506.3409022
-619.818540165,87.582080146,100,1.10118,0.0295445,0.2,-619.818540165,1.43218e-05,3.09256,90.8116192775,0.173473,-619.818540165,1,100,0.00165726,1.04675,500.0,5941.34896213,-602.31,0.01,76.8563,-797.236,0.156921,5941.34896213
-639.770471296,96.8273445909,100,1.03028,0.0150998,0.2,-639.770471296,3.30969e-06,1.54553,97.060802774,0.601857,-639.770471296,1,100,0.00588015,1.02354,500.0,43115.8214924,-627.584,0.01,170.182,-1025.56,0.0346735,43115.8214924
-617.431827859,93.1413001714,100,1.04989,0.0227371,0.2,-617.431827859,7.43813e-06,2.33933,95.2484375642,0.48085,-617.431827859,1,100,0.00467362,1.02886,500.0,8324.17339529,-605.622,0.01,68.9478,-837.828,0.0787367,8324.17339529
-638.389665601,95.5092547733,100,1.03807,0.0139036,0.2,-638.389665601,4.74939e-06,1.37101,96.3324547136,0.346331,-638.389665601,1,100,0.0035122,0.986082,500.0,42429.0582543,-622.262,0.01,140.77,-1021.57,0.0461811,42429.0582543
-596.075858929,96.6346265452,100,1.02827,0.0137309,0.2,-596.075858929,3.51776e-06,1.35822,97.2508906193,0.26504,-596.075858929,1,100,0.00267942,0.989168,500.0,6928.06763037,-587.596,0.01,57.8233,-828.839,0.0344197,6928.06763037
-602.358230356,93.4468965043,100,1.06385,0.0154777,0.2,-602.358230356,7.0835e-06,1.51131,93.9984628309,0.360215,-602.358230356,1,100,0.00368907,0.976438,500.0,3454.00728516,-593.222,0.01,59.7309,-745.801,0.0675363,3454.00728516
-593.11500184,90.642057336,100,1.05709,0.0264482,0.2,-593.11500184,1.04284e-05,2.71735,94.5993952979,0.380769,-593.11500184,1,100,0.00370606,1.02742,500.0,5131.41308715,-581.493,0.01,60.995,-795.589,0.110082,5131.41308715
-605.272662368,98.6463997773,100,1.01366,0.0123613,0.2,-605.272662368,1.38604e-06,1.22479,98.6528418438,0.571166,-605.272662368,1,100,0.00576455,0.990826,500.0,24010.3140022,-599.96,0.01,144.482,-994.512,0.0136072,24010.3140022
-593.431441874,92.4280416819,100,1.05742,0.0170542,0.2,-593.431441874,8.27503e-06,1.6831,94.5695980328,0.434395,-593.431441874,1,100,0.00440155,0.986915,500.0,6267.4323396,-580.793,0.01,64.914,-800.625,0.0805989,6267.4323396
-586.339738556,93.8139866084,100,1.05046,0.0145216,0.2,-586.339738556,6.66052e-06,1.44778,95.196067784,0.479698,-586.339738556,1,100,0.0048115,0.996983,500.0,3403.7100553,-577.521,0.01,51.5146,-759.787,0.0662039,3403.7100553
-577.529960634,92.9947660429,100,1.04729,0.0143491,0.2,-577.529960634,7.609e-06,1.36047,95.4844957645,0.335301,-577.529960634,1,100,0.00353647,0.948123,500.0,2393.69044133,-570.607,0.01,47.8319,-717.583,0.0684001,2393.69044133
-577.989559618,96.0500823736,100,1.02796,0.0193876,0.2,-577.989559618,4.15389e-06,1.9885,97.2803372512,0.558069,-577.989559618,1,100,0.00544109,1.02566,500.0,22604.8952667,-566.166,0.01,97.4319,-963.718,0.0436978,22604.8952667
-558.524402017,93.7113643723,100,1.04346,0.019452,0.2,-558.524402017,6.77843e-06,2.00074,95.8350969803,0.529358,-558.524402017,1,100,0.00514662,1.02855,500.0,2044.58241311,-552.738,0.01,46.5366,-692.729,0.0717107,2044.58241311
-558.757705133,93.3098896064,100,1.05327,0.0182786,0.2,-558.757705133,7.24217e-06,1.86056,94.9421933588,0.378765,-558.757705133,1,100,0.00372107,1.01789,500.0,2754.27953923,-551.776,0.01,53.6788,-692.571,0.0750362,2754.27953923
-577.945322456,97.587898136,100,1.02209,0.0132068,0.2,-577.945322456,2.49672e-06,1.30832,97.8386891312,0.507579,-577.945322456,1,100,0.00512373,0.990644,500.0,24977.6242021,-568.939,0.01,115.145,-965.278,0.0245022,24977.6242021
-552.577521417,94.9583701547,100,1.04603,0.0214115,0.2,-552.577521417,5.36294e-06,2.14319,95.5996029964,0.479957,-552.577521417,1,100,0.00479501,1.00095,500.0,2075.59044924,-546.233,0.01,48.0326,-688.054,0.0537315,2075.59044924
-558.42714843,96.7089472286,100,1.02831,0.014685,0.2,-558.42714843,3.43743e-06,1.42684,97.246753054,0.467356,-558.42714843,1,100,0.00481,0.971636,500.0,3687.64006389,-553.002,0.01,53.392,-746.419,0.032452,3687.64006389
-550.287631752,94.6810328532,100,1.04138,0.0200961,0.2,-550.287631752,5.67455e-06,2.01392,96.026586951,0.556935,-550.287631752,1,100,0.00555743,1.00214,500.0,2482.00385925,-544.139,0.01,49.9056,-693.984,0.0569891,2482.00385925
