VarVanillaIw,VarDiscRet,AvgNormIw,VanillaAvgRet,AvgRet,MinVanillaIw,AvgDiscRet,VarJ,IterType,VarNormIw,eRenyi2,Delta,MinNormIw,MaxNormIw,VarRet,J,ESSClassic,AvgVanillaIw,BatchSize,Bound,AvgEpLen,ESSRenyi,EpsThisIter,MaxVanillaIw
0.390464,139465.810687,0.01,-1440.71148367,-1440.71148367,0.0146407,-1440.71148367,215.356,1,3.54884e-05,1.30909,0.1,0.000139578,0.0201649,139465.810687,-1250.24,74.0008990448,1.04893,100,-1929.48,500.0,76.3887947909,100,2.11516
0.147831,95212.58087,0.01,-1285.31576405,-1285.31576405,0.0858317,-1285.31576405,160.456,1,1.38561e-05,1.13821,0.1,0.000830972,0.0153067,95212.58087,-1194.42,87.9371369779,1.03291,100,-1821.9,500.0,87.8572910558,100,1.58104
0.0359163,40040.9722574,0.01,-1196.7679989,-1196.7679989,0.40707,-1196.7679989,138.861,1,3.54822e-06,1.03521,0.1,0.00404602,0.0145561,40040.9722574,-1174.18,96.6064700974,1.0061,100,-1772.92,500.0,96.5985562626,100,1.46448
0.0593031,51569.4387064,0.01,-1200.58056368,-1200.58056368,0.137646,-1200.58056368,131.135,1,6.19827e-06,1.04662,0.1,0.00140722,0.0142647,51569.4387064,-1164.27,94.2184853238,0.978145,100,-1775.66,500.0,95.5453664084,100,1.3953
0.0111211,16205.2387914,0.01,-1147.77795405,-1147.77795405,0.4394,-1147.77795405,87.6872,1,1.1061e-06,1.00917,0.1,0.00438212,0.011603,16205.2387914,-1141.09,98.9168358798,1.00271,100,-1731.46,500.0,99.0914675058,100,1.16344
0.00773036,13079.8951689,0.01,-1149.98145963,-1149.98145963,0.692837,-1149.98145963,94.1635,1,7.80217e-07,1.00652,0.1,0.00696048,0.0121443,13079.8951689,-1145.89,99.2334991182,0.995388,100,-1735.73,500.0,99.3523261599,100,1.20883
0.00288592,7917.13790897,0.01,-1144.85806121,-1144.85806121,0.799102,-1144.85806121,72.8516,1,2.90005e-07,1.00302,0.1,0.00801055,0.0110781,7917.13790897,-1142.94,99.7137379651,0.997562,100,-1731.82,500.0,99.6991888915,100,1.10511
0.0618379,9315.08458028,0.01,-1125.3731033,-1125.3731033,0.545433,-1125.3731033,129.813,1,6.07866e-06,1.02859,0.1,0.00540777,0.025985,9315.08458028,-1113.87,94.323720189,1.00861,100,-1594.25,500.0,97.2208082882,100,2.62088
0.0288731,22161.9445987,0.01,-1165.30603053,-1165.30603053,0.474962,-1165.30603053,88.7659,1,2.97677e-06,1.02058,0.1,0.00482264,0.0125532,22161.9445987,-1151.28,97.1373638379,0.984858,100,-1757.41,500.0,97.9833914537,100,1.23631
0.00310027,6770.90516516,0.01,-1132.02254313,-1132.02254313,0.725134,-1132.02254313,81.0273,1,3.08999e-07,1.00305,0.1,0.00723931,0.0111254,6770.90516516,-1130.53,99.6950320549,1.00166,100,-1596.84,500.0,99.6956342229,100,1.11439
0.00838704,15132.4501209,0.01,-1126.82288606,-1126.82288606,0.837399,-1126.82288606,134.135,1,8.48372e-07,1.00849,0.1,0.00842212,0.0155198,15132.4501209,-1122.13,99.1671327281,0.994286,100,-1718.09,500.0,99.1582561232,100,1.54312
0.0224019,23049.435176,0.01,-1142.51668018,-1142.51668018,0.600314,-1142.51668018,132.547,1,2.2163e-06,1.01972,0.1,0.00597105,0.013986,23049.435176,-1130.88,97.852989956,1.00537,100,-1724.83,500.0,98.0662773838,100,1.40611
