BatchSize,renyi2,VanillaAvgRet,AvgEpLen,AvgVanillaIw,AvgNormIw,MaxNormIw,SamplesThisIter,AvgRet,VarNormIw,Bound,VarVanillaIw,MaxVanillaIw,MinVanillaIw,ESSClassic,delta,VarDiscRet,IterType,AvgDiscRet,EpsThisIter,VarJ,VarRet,MinNormIw,J,ESSRenyi
100,nan,48.57271445817556,5.860290670417252,0.6493331,6.5114324e-07,0.02496362,50000,48.57271445817556,1.634643e-09,295.2002,1625.5659,24894.215,,3.462524231826515,1.0,3615.0666183933386,1,48.57271445817556,8532,16375.407,3615.0666183933386,,11473.652,nan
100,nan,55.394904744628995,6.54278984559016,194.51758,7.269766e-07,0.49624497,50000,55.394904744628995,3.5805036e-07,1279.761,25634263000.0,132780560.0,,2.0086189178341107,1.0,6139.8398982054005,1,55.394904744628995,7642,31258.246,6139.8398982054005,,25234.17,nan
100,nan,60.58626346621352,7.062146892655368,528276880000.0,7.84683e-07,0.22729166,50000,60.58626346621352,1.3681145e-07,3389.272,6.2009295e+28,1.5302094e+17,,1.1852153630094997,1.0,11534.04310135549,1,60.58626346621352,7080,113345.95,11534.04310135549,,225937.98,nan
100,nan,57.22507317974292,6.725854183481302,0.74684334,7.4731724e-07,0.025127033,50000,57.22507317974292,1.0783536e-09,nan,1076.9874,25111.102,,2.410244816888373,1.0,10573.093605871094,1,57.22507317974292,7434,nan,10573.093605871094,,nan,nan
100,nan,70.63084880775723,8.067118425298483,10090598000.0,8.963464e-07,0.49996236,50000,70.63084880775723,4.4810471e-07,3299.2944,5.678865e+25,5628314000000000.0,,2.000000113380313,1.0,16388.149347813247,1,70.63084880775723,6198,68102.16,16388.149347813247,,85645.1,nan
100,nan,107.92586083892493,11.798017932987259,0.67806107,1.3108905e-06,0.017819883,50000,107.92586083892493,1.7072608e-09,2959.2344,456.7772,9217.372,,2.0009822834511497,1.0,35378.48552496811,1,107.92586083892493,4238,89035.87,35378.48552496811,,57916.375,nan
100,nan,161.74726043714708,17.18213058419244,8129964500.0,1.9091256e-06,0.5,50000,161.74726043714708,9.54561e-07,3029.4421,1.7310598e+25,2129237700000000.0,,2.000000100495783,1.0,51050.94811451524,1,161.74726043714708,2910,46220.42,51050.94811451524,,108351.03,nan
100,nan,386.7048904127409,39.682539682539684,101574255000.0,4.409171e-06,0.49968833,50000,386.7048904127409,2.2018291e-06,4999.3784,1.1685221e+27,1.151134e+16,,1.9999999333299485,1.0,203363.43231895662,1,386.7048904127409,1260,39494.715,203363.43231895662,,287215.2,nan
100,nan,465.2181240033258,47.52851711026616,3.7818656,5.2809464e-06,0.20643213,50000,465.2181240033258,5.6784177e-07,4999.3013,291216.53,147833.08,,2.1125094179010486,1.0,551582.4573197335,1,465.2181240033258,1052,84364.65,551582.4573197335,,201545.95,nan
100,nan,919.81940197186,92.93680297397769,251330180000.0,1.0326312e-05,0.49999377,50000,919.81940197186,5.162974e-06,4999.3677,3.0584318e+27,1.2169256e+16,,1.9999999131010815,1.0,1778582.4486702795,1,919.81940197186,538,87062.11,1778582.4486702795,,542324.75,nan
100,nan,615.2183484827711,62.5,7.5477616e+21,6.9444445e-06,0.5,50000,615.2183484827711,3.4721982e-06,nan,inf,5.4343883e+26,,1.9999999052825157,1.0,1299302.9682291986,1,615.2183484827711,800,nan,1299302.9682291986,,nan,nan
100,nan,1357.0092034032255,136.6120218579235,1.4335811e+19,1.5179114e-05,0.4818031,50000,1357.0092034032255,7.0540145e-06,4999.3726,inf,4.5503567e+23,,1.9999999827890154,1.0,2687303.2401843304,1,1357.0092034032255,366,41801.562,2687303.2401843304,,679001.06,nan
100,nan,1914.9638888719708,192.30769230769232,2.2759035e+22,2.1367521e-05,0.33157372,50000,1914.9638888719708,5.8728915e-06,nan,inf,3.5316675e+26,,2.0000001193782597,1.0,3929015.254111468,1,1914.9638888719708,260,nan,3929015.254111468,,nan,nan
100,nan,2204.411456678722,221.23893805309734,1.8283597e+22,2.4582103e-05,0.2457336,50000,2204.411456678722,3.7846066e-06,nan,inf,1.8277093e+26,,1.9989616519450597,1.0,3539937.3239193545,1,2204.411456678722,226,nan,3539937.3239193545,,nan,nan
