optimgain,EpLenMean,EpisodesSoFar,EpRewMean,entloss,Step_size,TimeElapsed,SampleRenyi2,entropy,Var_J,TimestepsSoFar,surrgain,ev_tdlam_before,DiscEpRewMean,meankl,J_hat,EpThisIter
0.0271715,200.0,100,-1335.85002112,,1.0,22.1190505027771,44.742,1.4048,152.4959259033203,20000,0.0271715,-0.00513982772827,-844.452891562,0.00939915,-735.9807739257812,100
0.0287444,200.0,200,-1077.91376234,,1.0,36.58269119262695,17.4558,1.36818,131.7526092529297,40000,0.0287444,0.00106209516525,-682.053697386,0.00968859,-571.9344482421875,100
0.030879,200.0,300,-802.05844633,,1.0,50.73953199386597,59.6549,1.32159,93.198486328125,60000,0.030879,0.000722587108612,-510.62387018,0.00952692,-390.7816467285156,100
0.0320551,200.0,400,-595.326306581,,1.0,65.12197947502136,32.9869,1.26166,42.13349914550781,80000,0.0320551,-0.001500248909,-379.313792872,0.00974257,-298.32354736328125,100
0.0313266,200.0,500,-455.883178812,,1.0,79.49157810211182,26.4936,1.1861,27.673856735229492,100000,0.0313266,0.00107729434967,-291.846042734,0.00984832,-232.85049438476562,100
0.0317843,200.0,600,-353.953084838,,1.0,94.28916335105896,26.8394,1.10343,19.88102912902832,120000,0.0317843,-0.00242364406586,-227.323792557,0.00988708,-188.2598419189453,100
0.030332,200.0,700,-277.382779214,,1.0,109.42206931114197,22.6871,1.01171,20.693117141723633,140000,0.030332,-0.00229346752167,-178.239160473,0.0100336,-148.97805786132812,100
0.0309022,200.0,800,-230.632639607,,1.0,124.83337879180908,24.5349,0.917377,11.315478324890137,160000,0.0309022,0.000456750392914,-148.425958782,0.0101056,-120.16071319580078,100
0.0278558,200.0,900,-182.892224833,,1.0,139.9493055343628,24.3607,0.822602,15.540841102600098,180000,0.0278558,2.39610671997e-05,-118.493327298,0.0100985,-94.79222869873047,100
0.0277317,200.0,1000,-149.996185823,,1.0,155.17955446243286,24.2323,0.7261,7.74739408493042,200000,0.0277317,-0.00288069248199,-98.030010592,0.0101326,-80.42057800292969,100
0.0256014,200.0,1100,-126.477073007,,1.0,170.70014071464539,23.9213,0.629516,1.6046411991119385,220000,0.0256014,-0.000911712646484,-82.6913326196,0.0101343,-71.4317855834961,100
