BatchSize,VarVanillaIw,VarRet,AvgVanillaIw,MaxNormIw,VanillaAvgRet,ESSRenyi,AvgEpLen,ESSClassic,EpsThisIter,VarJ,Bound,AvgNormIw,eRenyi2,VarNormIw,MinVanillaIw,J,MaxVanillaIw,AvgDiscRet,Delta,MinNormIw,IterType,AvgRet,VarDiscRet
100,333.088,6442.25079311,2.16009,0.846043,129.039102473,10.2831117451,14.13,1.39522978694,100,290.333,253.276,0.01,9.72468,0.00713867,1.68512e-05,383.334,182.753,129.039102473,0.5,7.80116e-08,1,129.039102473,6442.25079311
200,3.53008e+07,6442.25079311,789.637,0.751523,129.039102473,0.66223064292,14.13,1.75288880875,100,326.978,-1229.16,0.01,302.01,0.00566149,0.00547188,94.3503,59343.0,230.96720432,0.5,6.92962e-08,,129.039102473,13237.0678623
200,612.144,9699.36139241,2.50156,0.697773,145.230670173,12.7604545849,15.86,2.03392457788,100,950.351,301.106,0.005,15.6734,0.00244553,1.04224e-07,454.836,349.104,145.230670173,0.5,2.08319e-10,1,145.230670173,9699.36139241
200,,10323.8375942,1.0,0.01,259.978505047,200.0,28.15,100.0,100,101.097,207.155,0.01,1.0,3.50449e-18,1.0,259.979,1.0,259.978505047,0.5,0.01,2,259.978505047,10323.8375942
300,4.64728e+11,9699.36139241,55790.6,0.859885,145.230670173,0.165333690695,15.86,1.3372594973,100,78.3522,-2038.5,0.005,1814.51,0.00373265,0.00286448,318.181,9.5947e+06,226.890645958,0.5,2.56717e-10,,145.230670173,12984.8446641
300,93.4076,15427.7927717,1.46572,0.357808,146.86946762,15.0504098362,16.03,6.76682716817,100,2587.7,259.658,0.00333333,19.933,0.000483099,5.73304e-13,492.016,157.334,146.86946762,0.5,1.3038e-15,1,146.86946762,15427.7927717
300,,19088.9395247,1.0,0.01,269.603656763,300.0,29.17,100.0,100,137.47,200.73,0.01,1.0,3.50449e-18,1.0,269.604,1.0,269.603656763,0.5,0.01,2,269.603656763,19088.9395247
300,,20935.4709808,1.0,0.005,267.092427934,300.0,28.92,200.000000102,100,140.761,208.538,0.005,1.0,2.1793e-19,1.0,268.348,1.0,267.092427934,0.5,0.005,2,267.092427934,20935.4709808
300,1135.48,29532.6360796,2.63208,0.737954,287.985725177,8.76903443635,31.16,1.82532759013,100,2773.28,589.49,0.00333333,34.2113,0.00182112,2.07745e-15,998.273,582.706,287.985725177,0.5,2.63093e-18,1,287.985725177,29532.6360796
300,,43589.3137084,1.0,0.01,374.620161356,300.0,40.48,100.0,100,207.734,241.349,0.01,1.0,3.50449e-18,1.0,374.62,1.0,374.620161356,0.5,0.01,2,374.620161356,43589.3137084
