EpisodesSoFar,InitialReturnMax,TimeElapsed,MinIWNorm,MinIW,ESSClassic,EpRewMean,StdIWNorm,EmpiricalD2,Bound,EpThisIter,TimestepsSoFar,MaxIWNorm,MaxIW,J_sample_variance,Iteration,ESSRenyi,InitialBound,MeanIWNorm,InitialReturnMin,Weights,InitialReturnStd,EpLenMean,ReturnMeanIW,InitialReturnMean,MeanIW,StdIW
100,6.4169464,9.13063097000122,0.0021724063,0.21724063,82.8057,-141.8229098366061,0.004378608,1.3735664,-0.06890164,100,4609,0.027176658,2.717666,7.5381393,1,72.80318,-0.2138986,0.009608906,-2.4639435,[ 0.579 -0.554  0.227  0.402  0.   ],2.1648557,46.09,0.18178548,-3.8146973e-07,0.96089053,0.43786082
200,5.505951,20.38044261932373,0.00029971145,0.029971145,56.41061,-136.77493495983893,0.0076279123,1.9528209,-0.08749959,100,8686,0.038097914,3.8097916,5.3915777,2,51.207973,-0.18352783,0.008677522,-2.262886,[ 0.58  -0.585  0.254  0.387 -0.026],1.7183077,40.77,0.1689738,3.890991e-06,0.86775225,0.7627913
300,7.8649597,31.952261924743652,0.009995325,0.9995325,100.0,-140.97552977390268,1.8155554e-06,1.0,-0.26207644,100,13191,0.010006872,1.0006872,4.6254697,3,100.0,-0.26216912,0.010000132,-2.4755478,[ 0.53  -0.612  0.251  0.376 -0.064],2.1397114,45.05,8.890778e-05,-3.8146973e-06,1.0000132,0.00018155444
400,7.246826,42.16311764717102,5.083089e-06,0.00050830893,5.8155823,-140.23895253144022,0.07008638,29.187904,1.2510974,100,17591,0.63445103,63.445107,1212.9915,4,3.4260767,-0.24156654,0.017415687,-2.066185,[ 0.53  -0.612  0.251  0.376 -0.064],2.0496256,44.0,2.5561502,-5.645752e-06,1.7415692,7.0086384
500,5.752632,55.33629536628723,0.01,1.0,100.0,-139.82695807079924,9.313226e-10,1.0,-0.19175555,100,21923,0.01,1.0,2.7955852,5,100.0,-0.19175555,0.009999999,-1.9871979,[ 0.442 -0.667  0.254  0.412 -0.159],1.6636194,43.32,-1.1362135e-06,-1.1444092e-06,1.0,
600,5.163704,66.06700301170349,0.00036662424,0.036662426,45.806732,-139.10130873124837,0.009996521,2.6437945,0.2331672,100,26179,0.061962206,6.196221,15.407649,6,37.82442,-0.17211959,0.009190537,-1.9390945,[ 0.442 -0.667  0.254  0.412 -0.159],1.6058862,42.56,0.51303566,3.890991e-06,0.91905373,0.9996522
700,9.345856,77.89727306365967,8.7531436e-05,0.008753144,8.003529,-142.3683766190819,0.055633683,19.24956,3.1242385,100,30817,0.5228898,52.288982,2397.4912,7,5.194924,-0.3115257,0.016409412,-2.426941,[ 0.408 -0.707  0.254  0.409 -0.222],2.3849459,46.38,4.491049,2.822876e-06,1.6409411,5.5633683
800,5.962181,89.55204153060913,3.429546e-07,3.429546e-05,2.357491,-141.33708100174573,0.15960322,76.74976,7.7820687,100,35347,1.607253,160.7253,9188.469,8,1.3029356,-0.19874823,0.024799747,-2.341339,[ 0.443 -0.699  0.274  0.314 -0.237],1.9080924,45.3,9.523164,-8.850097e-06,2.4799743,15.960322
900,7.1916428,103.657066822052,0.01,1.0,100.0,-140.95870878204605,9.313226e-10,1.0,-0.23972367,100,39837,0.01,1.0,5.039893,9,100.0,-0.23972367,0.009999999,-2.4126358,[ 0.437 -0.751  0.26   0.427 -0.24 ],2.2337174,44.9,-2.2351742e-06,-2.2125244e-06,1.0,
1000,5.661949,114.91643977165222,0.0020952988,0.20952989,83.11492,-146.1525154697968,0.004617233,1.2392117,-0.12039446,100,44830,0.025322957,2.5322957,4.6431303,10,80.696465,-0.18873684,0.010244,-2.0649872,[ 0.437 -0.751  0.26   0.427 -0.24 ],1.9724768,49.93,0.08970139,-5.1879883e-06,1.0244001,0.4617233
