InitialReturnMin,MaxIWNorm,EpisodesSoFar,Bound,StdIW,InitialReturnMax,Iteration,MeanIW,MaxIW,TimestepsSoFar,EpThisIter,StdIWNorm,EmpiricalD2,MinIW,MinIWNorm,ReturnMeanIW,InitialReturnMean,J_sample_variance,EpRewMean,InitialReturnStd,ESSClassic,InitialBound,EpLenMean,MeanIWNorm,Weights,ESSRenyi,TimeElapsed
-4.7708664,0.061914995,100,0.20071325,0.8082752,9.20005,1,1.1177562,6.1914997,1745,100,0.008082752,1.6963239,0.20493239,0.0020493239,0.6001273,3.7384034e-06,38.03979,-108.67197648780628,3.275067,65.66389,-0.30666468,17.45,0.011177561,[-0.689  0.919 -0.673  0.288  0.   ],58.951008,3.8869307041168213
-4.7280884,0.0415865,200,-0.19121344,0.670521,9.913506,2,1.0951434,4.15865,3447,100,0.00670521,1.3616347,0.33213156,0.0033213156,0.19438593,2.822876e-06,17.636824,-108.37904972530612,3.17065,72.73406,-0.33044735,17.02,0.010951434,[-0.651  0.917 -0.629  0.22   0.017],73.44113,12.32529354095459
-4.074074,0.01,300,-0.2872258,,8.616737,3,1.0,1.0,5119,100,9.313226e-10,1.0,1.0,0.01,-1.2144446e-06,-1.2207031e-06,5.843156,-108.18841660497375,2.4051454,100.0,-0.2872258,16.72,0.009999999,[-0.651  0.903 -0.612  0.234  0.021],100.0,17.06522011756897
-4.334038,0.12229866,400,0.44698995,1.6088716,8.840103,4,0.99130106,12.229866,6762,100,0.016088715,4.2153707,0.040074244,0.00040074243,1.051988,7.019043e-06,78.947205,-107.83200387980278,3.0212307,27.517159,-0.2946631,16.43,0.009913009,[-0.651  0.903 -0.612  0.234  0.021],23.722706,21.20339059829712
-4.472702,3.2302907,500,37.80785,32.065308,13.41288,5,4.171224,323.02908,8496,100,0.32065308,146.81195,0.07544801,0.0007544801,43.225132,-1.4495849e-06,187776.53,-108.72836412418377,3.312573,1.6640579,-0.4470975,17.34,0.04171224,[-0.66   0.917 -0.656  0.194 -0.002],0.68114346,27.11818289756775
-4.450485,0.01,600,-0.38369662,,11.510811,6,1.0,1.0,10202,100,9.313226e-10,1.0,1.0,0.01,-2.8945506e-06,-2.8991699e-06,12.419094,-108.44294090430277,3.506409,100.0,-0.38369662,17.06,0.009999999,[-0.743  0.879 -0.722  0.156  0.055],100.0,33.44444513320923
-4.2644043,0.03664856,700,-0.0771088,0.48507962,11.698257,7,1.0116848,3.664856,11894,100,0.004850796,1.3020946,0.25908354,0.0025908353,0.36785144,6.8664554e-07,30.763218,-108.29578793042955,3.3700743,81.30755,-0.38994125,16.92,0.010116846,[-0.743  0.879 -0.722  0.156  0.055],76.79934,38.01245951652527
-4.311905,0.03174786,800,-0.21706437,0.44371977,9.74173,8,1.0019352,3.174786,13564,100,0.0044371975,1.241468,0.2985379,0.002985379,0.14474733,-9.002685e-06,12.563225,-108.2568744548511,3.0407712,83.60315,-0.32473338,16.7,0.010019353,[-0.771  0.872 -0.713  0.108  0.067],80.549805,44.136048555374146
-4.1348877,0.010001229,900,-0.2696763,5.2660936e-05,8.090683,9,1.0000035,1.0001229,15186,100,5.2657913e-07,1.0,0.9998362,0.009998362,1.3135374e-05,-6.1798096e-06,7.2385545,-108.00570160839563,2.6769125,100.0,-0.26969564,16.22,0.010000034,[-0.771  0.88  -0.725  0.086  0.07 ],100.0,48.66064167022705
-5.0102158,0.02871392,1000,-0.1360684,0.5212772,10.58268,10,1.0316006,2.871392,16843,100,0.0052127717,1.284796,0.21535678,0.0021535677,0.26377645,5.645752e-06,12.153355,-107.55395195796962,2.9842765,79.65985,-0.35275036,16.57,0.010316009,[-0.771  0.88  -0.725  0.086  0.07 ],77.83337,52.81983184814453
-4.9049683,0.5773336,1100,0.5895555,5.817914,11.258942,11,1.4968938,57.733364,18531,100,0.058179144,12.818268,0.001218405,1.2184049e-05,1.9332204,4.272461e-06,345.89395,-107.87458783219999,3.0333622,6.208823,-0.3752938,16.88,0.014968937,[-0.763  0.898 -0.72   0.057  0.049],7.8013663,58.4765362739563
-3.4841309,0.0100064585,1200,-0.24459045,0.00017128044,7.3390274,12,1.000008,1.0006459,20154,100,1.7127893e-06,1.0,0.999598,0.00999598,4.380569e-05,-6.790161e-06,6.5786786,-108.52133197867691,2.5520012,100.0,-0.24464105,16.23,0.010000081,[-0.756  0.883 -0.717  0.166  0.005],100.0,65.60429191589355
-4.4577637,0.0100064585,1300,-0.3606896,0.00029428568,10.822357,13,1.0000052,1.0006459,21841,100,2.9428647e-06,1.0,0.99932945,0.009993294,5.565025e-05,-1.0986329e-05,8.293324,-107.99047074185026,2.865314,99.999985,-0.36075625,16.87,0.010000053,[-0.756  0.883 -0.717  0.166  0.005],100.0,70.04592561721802
-4.5868073,0.3378705,1400,1.3053044,4.613749,11.114777,14,1.2006017,33.787052,23552,100,0.04613749,17.056587,0.0012864295,1.2864294e-05,2.8354247,5.4931643e-06,948.19336,-108.18736224772856,3.259463,6.342116,-0.3704871,17.11,0.012006017,[-0.756  0.883 -0.717  0.166  0.005],5.8628373,73.98238229751587
-4.7226562,5.8096623,1500,27.22015,57.748264,8.47567,15,6.510034,580.96625,25231,100,0.57748264,854.21533,0.00181944,1.81944e-05,35.47742,-3.2043456e-06,127021.93,-107.9695044233598,3.1402566,1.2548862,-0.28252554,16.79,0.065100335,[-0.765  0.844 -0.661  0.193 -0.037],0.1170665,80.94273781776428
-4.6119843,0.25429213,1600,1.6865518,3.0735471,8.731003,16,1.3222498,25.429214,26924,100,0.030735472,10.810063,0.0006338096,6.338096e-06,2.6434307,-5.722046e-06,509.32794,-108.159668646561,2.9864364,15.617138,-0.29103917,16.93,0.013222497,[-0.77   0.832 -0.783  0.297  0.061],9.25064,87.96866631507874
-4.1812286,0.02445052,1700,-0.24593127,0.43981057,10.534996,17,0.90667343,2.4450521,28622,100,0.0043981057,1.3240216,0.29324216,0.0029324214,0.1581425,-1.197815e-05,10.99941,-108.57393601437117,3.1612456,80.95174,-0.35117853,16.98,0.009066734,[-0.723  0.801 -0.715  0.313 -0.105],75.52747,94.61952900886536
-4.155632,0.18598038,1800,0.770759,2.0937288,9.997177,18,1.1548079,18.598038,30362,100,0.020937288,3.2273233,0.015293456,0.00015293455,1.369415,-4.119873e-06,109.45712,-109.10171050041812,3.0475492,23.325443,-0.3332434,17.4,0.01154808,[-0.73   0.79  -0.696  0.309 -0.1  ],30.98543,99.60221099853516
-3.8826752,0.0215448,1900,-0.32004923,0.32085535,11.20945,19,0.9779807,2.15448,32088,100,0.0032085532,1.1030431,0.44793057,0.004479306,0.07237814,-1.4495849e-06,8.2588825,-109.1011236543599,2.867853,90.282364,-0.37364975,17.26,0.009779807,[-0.73   0.83  -0.691  0.284 -0.256],90.65829,106.44316053390503
-4.278534,0.56573814,2000,2.9541733,5.978572,9.248711,20,1.7697716,56.57382,33804,100,0.05978572,6.1429334,0.051948182,0.00051948184,3.718269,6.1035157e-06,1394.4233,-108.66877227802608,3.089376,8.05674,-0.30828428,17.16,0.017697714,[-0.734  0.821 -0.684  0.282 -0.257],16.278868,111.98328018188477
-4.4970093,0.01,2100,-0.36239603,,10.871796,21,1.0,1.0,35507,100,9.313226e-10,1.0,1.0,0.01,-2.8312206e-06,-2.822876e-06,10.307759,-108.44502404919544,3.1944768,100.0,-0.36239603,17.03,0.009999999,[-0.702  0.838 -0.614  0.245 -0.21 ],100.0,119.13510465621948
-4.11335,0.032372195,2200,-0.2790597,0.5287214,12.736099,22,0.9196524,3.2372196,37158,100,0.0052872137,1.3457965,0.16613656,0.0016613656,0.21343876,3.8146973e-06,11.222427,-108.24869864134637,2.8966987,75.158226,-0.42453286,16.51,0.009196524,[-0.702  0.838 -0.614  0.245 -0.21 ],74.30544,123.34390950202942
-4.012512,0.063695624,2300,-0.10038701,0.92009956,10.473061,23,1.0182352,6.3695626,38810,100,0.009200995,1.9736493,0.14308508,0.0014308507,0.39005467,2.9754638e-06,29.898073,-108.28175199237823,3.0077484,55.049942,-0.34909907,16.52,0.010182352,[-0.699  0.843 -0.639  0.25  -0.22 ],50.667564,128.44512486457825
-4.0245667,0.2910385,2400,0.96907943,2.9399283,7.901634,24,1.2024715,29.103853,40471,100,0.029399283,7.6796303,0.028602198,0.00028602197,1.6989836,1.1444092e-06,231.74449,-108.47498335705932,2.5541472,14.331658,-0.26338667,16.61,0.012024714,[-0.678  0.851 -0.663  0.256 -0.166],13.021461,133.30460238456726
-4.404686,5.7894387,2500,34.082558,57.57215,9.90509,25,6.658918,578.9439,42121,100,0.57572144,1494.385,0.0020870897,2.0870897e-05,46.846016,1.5258789e-06,223951.33,-108.04311999185076,3.067563,1.3201126,-0.3301682,16.5,0.06658917,[-0.597  0.763 -0.703  0.313 -0.13 ],0.06691716,140.70369148254395
-4.201767,0.3455848,2600,1.2583472,3.5384052,9.9002,26,1.0496905,34.558483,43748,100,0.035384048,16.474176,0.017969366,0.00017969366,2.5977912,-7.3242186e-06,451.3471,-107.7956476179902,2.6379073,8.088659,-0.330014,16.27,0.010496902,[-0.576  0.857 -0.698  0.267 -0.019],6.070106,147.68439078330994
-4.1138535,0.65488416,2700,0.68406236,6.616602,8.574379,27,1.4442912,65.48842,45407,100,0.06616602,16.949133,0.0076188883,7.618888e-05,1.8607336,2.5939942e-06,415.14307,-108.32709405547986,2.6485078,4.54804,-0.28581008,16.59,0.014442913,[-0.548  0.906 -0.744  0.27   0.022],5.900007,153.85885906219482
-4.9174347,0.022444751,2800,0.05676374,0.51359534,10.841286,28,0.9188492,2.2444751,47163,100,0.005135953,1.3299155,0.10126347,0.0010126347,0.47350988,-8.544922e-06,22.6129,-108.2684546486641,3.5366101,76.19449,-0.36138475,17.56,0.009188492,[-0.542  0.845 -0.698  0.276  0.051],75.19275,159.84008526802063
-4.9111176,5.1709867,2900,19.222414,51.449413,10.792908,29,6.195206,517.0987,48908,100,0.51449406,443.94867,0.00025519604,2.5519603e-06,26.802666,-6.6375733e-06,76236.98,-108.6172119214077,3.0836742,1.4292195,-0.35977024,17.45,0.061952047,[-0.536  0.823 -0.725  0.315 -0.013],0.22525127,164.88671469688416
-4.6813354,0.214099,3000,0.58531904,2.5084436,8.622337,30,1.157984,21.4099,50521,100,0.025084436,6.307136,0.0007982908,7.982908e-06,1.307124,2.822876e-06,110.34935,-107.51008376187268,2.8235772,17.567,-0.28740844,16.13,0.011579839,[-0.533  0.847 -0.757  0.2   -0.002],15.855057,171.37023735046387
