Iteration,InitialBound,EpThisIter,ESSRenyi,ESSClassic,InitialReturnStd,StdIW,EpLenMean,EpisodesSoFar,MinIWNorm,Bound,EmpiricalD2,StdIWNorm,InitialReturnMin,MaxIW,MeanIW,Weights,ReturnMeanIW,EpRewMean,J_sample_variance,InitialReturnMean,MaxIWNorm,MeanIWNorm,InitialReturnMax,MinIW,TimeElapsed,TimestepsSoFar
18,-1.5462447,100,38.461823,27.010565,14.538522,1.8109045,388.92,1800,0.00025917025,1.3006887,2.5999808,0.018109046,-46.387375,13.573961,1.1016214,[-0.383 -0.714 -0.171 -0.434 -0.334],3.793926,-81.93747593073775,358.73172,1.1825562e-06,0.13573961,0.011016212,31.70775,0.025917025,689.1774747371674,304583
19,-1.1715921,100,1.967739,2.4519553,11.584905,17.077614,392.63,1900,3.9761144e-06,6.9986954,50.819748,0.1707761,-35.14774,170.37558,2.7075355,[-0.387 -0.717 -0.168 -0.434 -0.362],15.350732,-87.59408811557655,15985.029,-6.67572e-07,1.7037557,0.027075352,25.16415,0.00039761147,770.3053591251373,343846
20,-1.4494374,100,13.136204,15.26438,13.579628,3.3789167,384.99,2000,0.00017181468,4.3344903,7.6125493,0.03378917,-43.483116,20.24368,1.4341153,[-0.397 -0.707 -0.153 -0.435 -0.356],8.333611,-78.50766178204344,2391.3188,-5.0544736e-07,0.20243679,0.014341151,21.713848,0.01718147,852.0952038764954,382345
21,-1.1150514,100,71.43041,67.96487,12.038955,0.7954993,388.18,2100,0.0033745193,-0.52764803,1.3999639,0.007954993,-33.45148,5.148123,1.158694,[-0.396 -0.7   -0.16  -0.421 -0.368],0.7916792,-86.49664924974618,214.98915,-1.8310546e-06,0.05148123,0.011586939,23.929502,0.33745193,932.309732913971,421163
22,-1.1470504,100,42.862797,51.373386,10.894529,1.0671197,423.2,2200,0.0004505868,-0.31193006,2.3330255,0.0106711965,-34.41146,5.9337244,1.0968449,[-0.38  -0.714 -0.158 -0.431 -0.377],1.4401002,-74.3886237673756,162.02704,-1.6784668e-06,0.059337243,0.0109684495,20.319195,0.045058683,1019.699089050293,463483
23,-1.1864127,100,1.7586343,3.9216175,11.761329,7.9439583,395.51,2300,4.4507127e-05,11.902598,56.862305,0.07943958,-35.592354,76.40176,1.6049324,[-0.376 -0.715 -0.163 -0.426 -0.379],20.848986,-84.0265022001426,44905.49,-8.010864e-07,0.7640175,0.016049322,30.117943,0.004450713,1101.2774753570557,503034
24,-1.385016,100,8.200018,5.1310525,12.533931,5.5677695,413.91,2400,6.440449e-05,3.453374,12.195095,0.0556777,-41.550438,55.368134,1.294859,[-0.38  -0.692 -0.147 -0.423 -0.405],8.29005,-76.4496808562367,7574.9893,-1.2397766e-06,0.5536813,0.012948589,21.376904,0.0064404495,1188.5311348438263,544425
25,-1.4266026,100,62.01281,64.48784,11.0293865,0.79789436,431.37,2500,0.0018256468,-0.24356079,1.61257,0.007978943,-42.79801,5.088367,1.075216,[-0.371 -0.686 -0.13  -0.415 -0.402],1.5680366,-81.47013955534533,217.7835,-2.0980835e-06,0.05088367,0.01075216,18.63749,0.18256469,1278.4218895435333,587562
26,-1.0510572,100,52.69492,62.716976,10.438663,0.7706852,423.81,2600,0.0010087643,-0.06561828,1.8977162,0.007706852,-31.531706,3.4152598,0.999572,[-0.366 -0.687 -0.132 -0.415 -0.423],1.3822927,-84.80537202314802,126.17911,-5.912781e-07,0.034152597,0.00999572,24.064732,0.10087643,1366.0893397331238,629943
27,-1.5216969,100,86.50023,86.608894,11.553649,0.3982291,434.6,2700,0.003979248,-1.2533693,1.1560663,0.003982291,-45.65085,2.553292,1.0127587,[-0.372 -0.683 -0.126 -0.415 -0.426],0.382765,-78.38149830668844,163.99771,-1.9454956e-06,0.02553292,0.010127587,23.23536,0.3979248,1456.644216299057,673403
28,-1.2894553,100,6.1052723,3.7798016,10.714725,10.328827,426.95,2800,1.1154609e-05,3.5464425,16.379286,0.10328828,-38.683655,100.864746,2.047163,[-0.373 -0.683 -0.125 -0.418 -0.426],8.765039,-82.19548889900182,6026.157,9.536743e-08,1.0086474,0.02047163,23.708979,0.0011154609,1542.1329097747803,716098
29,-1.0985932,100,3.1814923,6.2735853,12.35392,10.00873,411.59,2900,3.4612306e-06,4.66419,31.431791,0.10008729,-32.95777,82.3906,2.5894403,[-0.372 -0.664 -0.136 -0.407 -0.436],10.823345,-76.45246608650476,6714.5996,-7.4386594e-07,0.823906,0.025894405,25.363556,0.00034612307,1625.9209079742432,757257
30,-1.2176096,100,29.702251,20.150572,13.696533,2.0884454,354.37,3000,0.00025438057,2.3937082,3.366748,0.020884454,-36.528297,18.05014,1.0491339,[-0.374 -0.658 -0.14  -0.418 -0.424],4.6278644,-82.11602796575755,1592.2909,3.0517577e-07,0.1805014,0.010491339,23.901237,0.02543806,1696.3112869262695,792694
31,-1.2821238,100,10.181008,18.138409,12.544239,2.5316153,371.22,3100,0.00015238584,1.7343602,9.822209,0.025316149,-38.463684,17.159254,1.1916732,[-0.39  -0.661 -0.141 -0.421 -0.458],5.752585,-80.8959327441558,2431.6743,-8.392334e-07,0.17159253,0.011916731,27.845297,0.015238584,1772.1320662498474,829816
32,-1.3618791,100,2.5760138,4.2137766,14.031044,7.4674187,369.2,3200,2.248764e-06,5.941594,38.819668,0.07467418,-40.85639,63.329285,1.5662268,[-0.404 -0.651 -0.133 -0.42  -0.453],14.426846,-75.55773884299253,19493.178,3.8146973e-07,0.63329285,0.015662268,22.90515,0.00022487642,1848.635081768036,866736
33,-1.1007003,100,57.2475,58.095573,11.681817,0.7671665,398.05,3300,0.0014085659,-0.2775098,1.7468011,0.0076716645,-32.682804,4.6823893,0.9032982,[-0.402 -0.672 -0.132 -0.417 -0.455],1.1772486,-74.63167379115885,266.23602,7.6293944e-08,0.046823893,0.009032982,33.02101,0.1408566,1928.466465473175,906541
34,-1.0989679,100,0.19203766,1.3293934,10.08094,38.746838,447.49,3400,7.64236e-06,35.774696,520.7312,0.38746837,-29.244102,389.24615,4.4974785,[-0.408 -0.679 -0.137 -0.415 -0.466],60.852627,-77.51339879496912,354288.1,-1.7166138e-07,3.8924615,0.044974785,32.969032,0.0007642361,2019.3017046451569,951290
35,-1.4275773,100,29.131714,27.599096,12.509403,2.1706026,389.67,3500,0.00040327286,1.452841,3.4326851,0.021706024,-42.827305,19.197483,1.3401572,[-0.398 -0.667 -0.15  -0.416 -0.451],4.097785,-73.97678490740097,1948.8318,-2.670288e-07,0.19197483,0.013401572,31.868633,0.04032729,2099.7191615104675,990257
36,-1.3200741,100,11.768142,15.437742,15.160245,3.5480173,366.1,3600,3.3311484e-05,5.467717,8.497519,0.035480175,-39.602226,28.21352,1.5159657,[-0.4   -0.657 -0.146 -0.415 -0.422],9.3158,-76.85324718222367,5067.689,5.245209e-07,0.2821352,0.015159657,28.392498,0.0033311483,2174.6058719158173,1026867
37,-1.3909546,100,1.3430293,1.7570512,13.882948,16.82826,366.04,3700,1.3250246e-06,10.908937,74.45854,0.1682826,-41.728657,167.82118,2.2505088,[-0.398 -0.629 -0.143 -0.409 -0.452],22.911402,-77.78551315300237,58810.14,7.343292e-07,1.6782118,0.022505088,31.206673,0.00013250246,2246.69851398468,1063471
38,-1.4771414,100,72.80922,76.26596,12.88602,0.5830994,381.52,3800,0.0025626167,-0.8094674,1.3734524,0.0058309943,-44.31431,4.0986195,1.0452553,[-0.379 -0.623 -0.119 -0.403 -0.481],0.92166203,-74.26800268174303,193.72116,2.269745e-06,0.040986195,0.010452553,20.696972,0.25626168,2322.4301743507385,1101623
39,-1.3962468,100,61.587654,58.910866,15.261061,0.850739,378.18,3900,0.0015131785,-0.35942352,1.623702,0.00850739,-41.887325,7.0226903,1.018663,[-0.374 -0.62  -0.121 -0.401 -0.472],1.4197347,-74.83067432840369,196.13496,-2.4032593e-06,0.0702269,0.01018663,29.451767,0.15131785,2399.0388753414154,1139441
40,-1.1372485,100,37.0465,41.219612,11.317947,1.320908,396.64,4000,0.00057478563,0.035170555,2.6993103,0.013209078,-34.117466,7.945698,1.1061354,[-0.366 -0.626 -0.116 -0.4   -0.479],1.9036225,-73.72975642321546,239.43307,2.479553e-07,0.07945698,0.011061354,17.41799,0.057478562,2481.2143120765686,1179105
41,-1.3027354,100,49.515717,37.25421,11.9812975,1.4135585,397.75,4100,0.00094755506,0.11988187,2.0195608,0.014135585,-39.082085,9.53225,1.0892041,[-0.368 -0.624 -0.123 -0.393 -0.482],1.9712166,-72.57894968971449,275.40204,5.531311e-07,0.095322505,0.010892041,23.681654,0.09475551,2561.928797721863,1218880
42,-1.3334731,100,22.572613,26.405252,11.074519,1.9362694,425.75,4200,0.0002736141,0.81048775,4.430147,0.019362694,-40.00423,11.293967,1.1598119,[-0.373 -0.614 -0.125 -0.381 -0.473],3.6171732,-67.3658778607138,1000.68585,1.3732911e-06,0.11293967,0.011598119,25.28405,0.027361412,2647.1046397686005,1261455
43,-1.1770154,100,47.457283,51.196537,11.547926,0.98989534,417.22,4300,0.00070752174,-0.08382094,2.1071582,0.009898953,-35.310394,6.531996,1.0138747,[-0.377 -0.609 -0.136 -0.378 -0.461],1.6247376,-66.74993831518333,181.42917,-2.0599366e-06,0.065319955,0.010138746,21.856565,0.07075217,2732.3822824954987,1303177
44,-1.2020516,100,13.676408,14.602907,12.817324,2.3844023,396.77,4400,4.8405076e-05,1.1480072,7.3118615,0.023844022,-36.0616,20.587576,0.9860016,[-0.383 -0.612 -0.14  -0.372 -0.468],4.398414,-77.45882377271393,1098.5717,1.7166137e-06,0.20587575,0.009860015,24.263083,0.0048405076,2813.37823343277,1342854
45,-1.1419778,100,20.268166,23.479773,11.074243,1.9504945,425.3,4500,0.00027252684,-0.32282066,4.9338455,0.019504944,-34.25936,14.162999,1.0804471,[-0.383 -0.62  -0.13  -0.373 -0.472],2.2137725,-78.45869292394836,780.2643,1.1444092e-06,0.14163,0.010804471,26.776901,0.027252685,2902.0213809013367,1385384
46,-1.1708798,100,0.046070438,1.1692944,11.715076,65.656044,416.46,4600,3.139318e-08,74.07492,2170.5894,0.6565604,-35.126476,660.2154,7.1415205,[-0.39  -0.618 -0.136 -0.38  -0.471],128.62585,-67.4152378489803,1594889.2,2.7656556e-06,6.602154,0.0714152,29.908136,3.139318e-06,2988.087480545044,1427030
47,-1.4147394,100,4.266841,3.511363,14.854903,12.211306,360.61,4700,8.790693e-06,6.492784,23.436543,0.122113064,-42.442146,119.76255,2.3294954,[-0.383 -0.601 -0.132 -0.394 -0.496],13.341716,-79.31614299468858,14189.952,-9.155273e-07,1.1976255,0.023294954,24.863792,0.00087906927,3064.5134999752045,1463091
48,-1.3632278,100,94.417,95.58583,13.986119,0.22058785,367.5,4800,0.005158776,-1.2568611,1.0591313,0.0022058783,-40.896782,1.7249806,1.0264863,[-0.38  -0.594 -0.134 -0.377 -0.515],0.14609098,-72.20264529564804,233.25026,-1.6021728e-06,0.017249806,0.010264862,30.222506,0.5158776,3140.66220331192,1499841
49,-1.6824658,100,74.141205,74.21177,15.082711,0.5712548,368.02,4900,0.0026910265,-0.8275634,1.3487777,0.005712548,-50.473984,3.2093697,0.9690709,[-0.379 -0.593 -0.135 -0.378 -0.515],1.1264005,-73.85111517775391,209.49332,6.580353e-07,0.032093696,0.009690709,28.899197,0.26910266,3216.70631814003,1536643
50,-1.1289275,100,22.791466,32.891045,14.23502,1.472131,362.51,5000,0.00020205496,1.4490805,4.387607,0.01472131,-33.867836,9.717352,1.0306118,[-0.375 -0.601 -0.137 -0.379 -0.514],3.8138025,-77.43445486467981,766.1619,4.5776366e-07,0.09717352,0.010306119,30.266172,0.020205496,3291.272929906845,1572894
51,-1.2056981,100,0.3315291,1.2255936,12.183905,45.515152,372.37,5100,4.122125e-06,42.87741,301.63263,0.45515147,-36.17092,457.83755,5.0699887,[-0.366 -0.593 -0.123 -0.38  -0.515],63.81745,-71.73964217908566,409280.7,-6.67572e-07,4.5783753,0.050699893,21.62632,0.0004122125,3369.2641253471375,1610131
52,-1.3045669,100,7.6300073,6.443979,11.135155,4.922114,435.87,5200,1.6687833e-05,1.295816,13.106148,0.04922114,-39.137047,47.369804,1.2917929,[-0.357 -0.563 -0.115 -0.349 -0.53 ],6.0186677,-67.64883253823692,2214.0598,1.3160706e-06,0.47369802,0.012917928,26.197308,0.0016687834,3461.1951820850372,1653718
53,-1.4639199,100,29.269676,22.399847,12.274176,2.3005414,413.07,5300,0.00015424343,0.09501219,3.416505,0.023005413,-43.917572,22.054272,1.236008,[-0.362 -0.565 -0.107 -0.358 -0.534],2.8008895,-69.77032465395799,753.39655,-7.8201293e-07,0.22054271,0.012360082,32.178825,0.015424344,3549.9703917503357,1695025
54,-1.4771236,100,10.471637,16.858633,12.107988,2.3793707,413.14,5400,0.00025041564,4.0079165,9.549605,0.023793707,-44.313705,21.672203,1.0714322,[-0.364 -0.555 -0.101 -0.359 -0.541],8.572588,-68.21419378000738,5143.362,-1.14440915e-07,0.21672203,0.010714321,31.914822,0.025041565,3636.611494064331,1736339
55,-1.4574738,100,62.649494,68.32137,14.876949,0.7093411,342.39,5500,0.0015528372,-0.56406903,1.5961821,0.007093411,-43.72425,3.7948563,1.0417182,[-0.364 -0.54  -0.107 -0.356 -0.517],1.2773064,-73.17110334565626,290.48853,1.2207031e-06,0.037948564,0.010417182,20.326792,0.15528372,3709.6754183769226,1770578
56,-1.3014609,100,11.526524,9.029931,13.423177,6.5733204,368.04,5600,9.076025e-05,3.2449863,8.675643,0.0657332,-39.04387,61.423653,2.070989,[-0.365 -0.533 -0.101 -0.353 -0.524],7.078371,-74.54429324044784,1860.1604,1.5640259e-06,0.61423653,0.02070989,23.059351,0.009076025,3786.3693544864655,1807382
57,-1.2838085,100,7.423702,11.16081,13.095057,4.3127866,379.09,5700,0.00010715023,3.0238814,13.470368,0.04312787,-38.514233,35.894035,1.5286342,[-0.365 -0.553 -0.105 -0.352 -0.526],7.7357125,-74.27244792872042,4836.8423,-6.1035155e-07,0.35894033,0.015286343,21.74609,0.010715023,3864.5188732147217,1845291
58,-1.3125864,100,1.1113923,1.749398,14.995227,19.140104,377.37,5800,4.361913e-06,14.95476,89.977234,0.19140103,-39.37758,191.48946,2.5540009,[-0.364 -0.547 -0.116 -0.349 -0.542],27.405468,-77.58655918952954,62636.996,-4.196167e-07,1.9148945,0.02554001,22.777924,0.0004361913,3943.0804767608643,1883028
