AvgRet,VarVanillaIw,AvgNormIw,eRenyi2,ESSRenyi,VarRet,VarJ,ESSClassic,AvgDiscRet,MinVanillaIw,MaxVanillaIw,MaxNormIw,Bound,AvgVanillaIw,J,AvgEpLen,VarDiscRet,VarNormIw,MinNormIw,BatchSize
-1439.2221432774563,70949560.0,0.01,68349.016,0.0014630788620081168,3680974.578020517,,1.0,-1.1596057447604835e-13,,84231.55,1.0,1147877.9,842.3155,1412.8472,200.0,3680974.5780205172,0.010000003,,100
-9.438301608207452,2.2795178e+29,0.01,3376020700000000.0,2.962067184039379e-14,65.39236162975206,,1.0,-1.1368683772161603e-15,,4774429000000000.0,1.0,345938200000000.0,47744290000000.0,7.2456465,200.0,65.39236162975206,0.0100000035,,100
-9.162267593798473,,0.009999998,1.0,100.0,62.80729543131461,7.8853803,100.0,-1.8207657603852566e-15,1.0,1.0,0.01,-0.66652536,1.0,,200.0,62.80729543131461,3.5044917e-18,0.01,100
-9.073516376289948,,0.009999998,1.0,100.0,68.44785553295898,8.231852,100.0,-1.4210854715202004e-16,1.0,1.0,0.01,-0.69581133,1.0,-7.450581e-09,200.0,68.44785553295898,3.5044917e-18,0.01,100
-9.022605408484564,,0.009999998,1.0,100.0,60.44835746565905,7.7358823,100.0,4.263256414560601e-16,1.0,1.0,0.01,-0.6538887,1.0,-3.3527613e-08,200.0,60.44835746565905,3.5044917e-18,0.01,100
-9.421816908156853,,0.009999998,1.0,100.0,69.32321833356035,8.284322,100.0,1.2434497875801752e-15,1.0,1.0,0.01,-0.70024633,1.0,4.4703484e-08,200.0,69.32321833356035,3.5044917e-18,0.01,100
-9.755817338285768,,0.009999998,1.0,100.0,63.95325967371866,7.9569926,100.0,-7.283063041541026e-16,1.0,1.0,0.01,-0.67257816,1.0,-2.9802322e-08,200.0,63.95325967371866,3.5044917e-18,0.01,100
-9.056097161394248,,0.009999998,1.0,100.0,74.1098900877005,8.565558,100.0,-1.3855583347321954e-15,1.0,1.0,0.01,-0.72401845,1.0,-2.2351742e-08,200.0,74.10989008770052,3.5044917e-18,0.01,100
-9.83270975435209,,0.009999998,1.0,100.0,65.47170408659265,8.0508995,100.0,1.1368683772161603e-15,1.0,1.0,0.01,-0.6805161,1.0,-1.4901161e-08,200.0,65.47170408659264,3.5044917e-18,0.01,100
-9.532481655473228,,0.009999998,1.0,100.0,67.88611323496811,8.198003,100.0,-1.0658141036401502e-15,1.0,1.0,0.01,-0.6929502,1.0,-1.4901161e-08,200.0,67.88611323496811,3.5044917e-18,0.01,100
