J,IterType,Bound,AvgNormIw,Delta,VarNormIw,MaxNormIw,eRenyi2,VarVanillaIw,ESSRenyi,VarRet,EpsThisIter,BatchSize,ESSClassic,AvgDiscRet,MinVanillaIw,VarJ,VanillaAvgRet,AvgRet,MinNormIw,VarDiscRet,AvgEpLen,AvgVanillaIw,MaxVanillaIw
530.278,1,438.074,0.01,0.9,0.00785132,0.886443,23.9237,819.986,4.17995171778,10740.5379436,100,100,1.27019523231,161.420861883,2.62059e-14,327.93,161.420861883,161.420861883,8.10899e-17,10740.5379436,17.6,3.23171,286.472
330.06,,-inf,0.01,0.9,0.00512361,0.592924,0.01349,2.12217e+25,14825.8257565,10740.5379436,100,200,1.93334725046,266.362854503,0.00349074,452.547,161.420861883,161.420861883,5.42394e-17,14181.5087114,17.6,6.4358e+11,3.81594e+13
959.996,1,780.149,0.005,0.9,0.00435322,0.933216,56.805,9855.57,3.52081397334,19387.1831675,100,200,1.14772243769,160.636812603,,723.008,160.636812603,160.636812603,,19387.1831675,17.53,7.52325,1404.16
254.802,2,227.285,0.01,0.9,3.50449e-18,0.01,1.0,,200.0,19672.1796411,100,200,100.0,254.801711892,1.0,139.554,254.801711892,254.801711892,0.01,19672.1796411,27.61,1.0,1.0
nan,,nan,nan,0.9,nan,nan,105.998,nan,2.83023818019,19387.1831675,100,300,nan,255.54257166,0.000712168,nan,160.636812603,160.636812603,nan,17695.0274304,17.53,inf,inf
955.316,1,797.953,0.00333333,0.9,0.00286494,0.927095,65.234,6755.49,4.59882606058,7559.15097532,100,300,1.16285554725,134.036317689,,955.031,134.036317689,134.036317689,,7559.15097532,14.66,5.11857,1423.62
284.665,2,253.968,0.01,0.9,3.50449e-18,0.01,1.0,,300.0,18405.6330182,100,300,100.0,284.664720808,1.0,134.987,284.664720808,284.664720808,0.01,18405.6330182,30.81,1.0,1.0
270.284,2,239.632,0.005,0.9,2.1793e-19,0.005,1.0,,300.0,33377.9386558,100,300,200.000000102,255.902678739,1.0,160.747,255.902678739,255.902678739,0.005,33377.9386558,27.7,1.0,1.0
nan,,nan,nan,0.9,nan,nan,nan,nan,nan,7559.15097532,100,400,nan,251.99520689,0.000702434,nan,134.036317689,134.036317689,nan,20823.4770929,14.66,inf,inf
963.49,1,814.41,0.0025,0.9,0.00218845,0.935613,78.0637,5877.15,5.12402215724,7716.79613748,100,400,1.14195622268,143.599750248,,950.229,143.599750248,143.599750248,,7716.79613748,15.69,4.0969,1533.24
264.324,2,240.021,0.01,0.9,3.50449e-18,0.01,1.0,,400.0,15658.5641017,100,400,100.0,264.324202141,1.0,124.507,264.324202141,264.324202141,0.01,15658.5641017,28.63,1.0,1.0
256.506,2,236.549,0.005,0.9,2.1793e-19,0.005,1.0,,400.0,19121.3702921,100,400,200.000000102,248.68684031,1.0,131.443,248.68684031,248.68684031,0.005,19121.3702921,26.94,1.0,1.0
253.583,2,237.288,0.00333333,0.9,5.43914e-20,0.00333333,1.0,,400.0,14565.5880917,100,400,299.999969474,247.738316324,1.0,127.835,247.738316324,247.738316324,0.00333333,14565.5880917,26.85,1.0,1.0
