AvgNormIw,eRenyi2,Bound,IterType,AvgDiscRet,VarDiscRet,VarRet,MinNormIw,Delta,ESSClassic,VarVanillaIw,J,ESSRenyi,AvgEpLen,VanillaAvgRet,MaxVanillaIw,VarNormIw,AvgRet,VarJ,BatchSize,EpsThisIter,MaxNormIw,MinVanillaIw,AvgVanillaIw
0.01,5.93566,-176.179,1,-316.368276557,22064.8357928,22064.8357928,1.11189e-20,0.6,21.8810739996,8.69103,-93.2004,16.8473264861,388.84,-316.368276557,11.2867,0.000360622,-316.368276557,99.0832,100,100,0.0727037,1.72612e-18,1.55242
0.01,1.26021,-137.637,1,-115.905639992,11885.6445134,11885.6445134,0.000372233,0.6,80.4543295887,0.264983,-99.4032,79.3517616366,155.87,-115.905639992,2.10826,2.45395e-05,-115.905639992,99.4315,100,100,0.0202884,0.0386803,1.03914
0.01,1.26205,-118.434,1,-88.7011390091,5959.00799794,5959.00799794,0.00012417,0.6,76.6916837293,0.294016,-80.1711,79.2360041652,123.25,-88.7011390091,1.69699,3.06992e-05,-88.7011390091,64.4412,100,100,0.0173404,0.0121518,0.978637
0.01,1.7856,-120.1,1,-95.4678071222,8138.26268512,8138.26268512,3.30924e-12,0.6,55.3275458318,0.807907,-74.5885,56.0034550319,130.5,-95.4678071222,2.52935,8.15574e-05,-95.4678071222,33.0329,100,100,0.0254132,3.29365e-10,0.995289
0.01,1.22591,-112.011,1,-81.9775503588,4870.62941649,4870.62941649,0.00013095,0.6,81.3040115449,0.246223,-74.3005,81.5718380125,113.85,-81.9775503588,1.55181,2.32274e-05,-81.9775503588,43.9467,100,100,0.0150722,0.0134825,1.02959
0.01,2.1413,-128.495,1,-104.862520786,11128.0014418,11128.0014418,1.97775e-06,0.6,45.5311832633,1.06206,-78.6554,46.700551247,141.24,-104.862520786,3.591,0.000120838,-104.862520786,60.7695,100,100,0.0383038,0.000185415,0.937504
0.01,1.06384,-108.231,1,-75.3018622886,3749.74160321,3749.74160321,0.00518914,0.6,94.0708009522,0.0616513,-73.1018,93.9990105495,105.97,-75.3018622886,1.98999,6.36657e-06,-75.3018622886,51.0935,100,100,0.0202224,0.510639,0.984053
0.01,1.04326,-114.829,1,-81.4980405563,6101.57479217,6101.57479217,0.00627356,0.6,96.3752588322,0.0376526,-80.0409,95.853647528,113.17,-81.4980405563,2.04106,3.79906e-06,-81.4980405563,72.4181,100,100,0.020502,0.624559,0.995542
0.01,1.05288,-104.756,1,-71.5932203326,2571.29697492,2571.29697492,0.00603892,0.6,94.2488688724,0.054715,-69.8082,94.9779250073,100.76,-71.5932203326,1.89383,6.1637e-06,-71.5932203326,42.5259,100,100,0.0201005,0.568973,0.942177
0.01,1.47033,-111.996,1,-82.5136506151,6072.52575585,6072.52575585,3.98526e-06,0.6,61.9056883949,0.505617,-70.6982,68.0118491599,114.36,-82.5136506151,2.04414,6.21576e-05,-82.5136506151,34.9642,100,100,0.0226645,0.000359435,0.901911
