TimestepsSoFar,ReturnStepMaxmin,MaxIW,InitialReturnStd,InitialReturnMean,RewardCompression,EmpiricalD2,InitialReturnMax,EpThisIter,EpRewMean,StdIW,Bound,TimeElapsed,EpLenMean,ReturnStepMax,Iteration,Weights,ReturnMeanIW,MinIW,MeanEntropy,MeanIW,ESSRenyi,ESSClassic,InitialBound,EpisodesSoFar,InitialReturnMin
20000,1.0,0.012538130298691288,1.52587890625e-05,-86.60204315185547,0.99,2.7983107566833496,-86.6020278930664,100,-200.0,,-5.914800643920898,7.270136117935181,200.0,1.0,1,[ 0.74  -1.049  0.227  0.317  0.764  1.052  0.     0.     0.   ],-1.0858274698257446,0.012538130298691288,1.041104793548584,0.012538130298691288,35.735843658447266,1.0,-89.48876,100,-86.6020278930664
40000,1.0,0.027779749497358133,1.52587890625e-05,-86.60204315185547,0.99,4.9778218269348145,-86.6020278930664,100,-200.0,,-8.84638500213623,20.912996292114258,200.0,1.0,2,[ 0.681 -0.906  0.143  0.313  0.769  1.052 -0.015 -0.014  0.03 ],-2.405782461166382,0.027779749497358133,1.0654438734054565,0.027779749497358133,20.089107513427734,1.0,-89.48876,200,-86.6020278930664
60000,1.0,0.039500781916146685,1.52587890625e-05,-86.60204315185547,0.99,6.059038162231445,-86.6020278930664,100,-200.0,,-10.52657699584961,30.722864389419556,200.0,1.0,3,[ 0.642 -0.858  0.135  0.313  0.769  1.052  0.058 -0.108  0.05 ],-3.4208476543426514,0.039500781916146685,1.0839245319366455,0.039500781916146685,16.504270553588867,1.0,-89.48876,300,-86.6020278930664
80000,1.0,0.07730011041513127,1.52587890625e-05,-86.60204315185547,0.99,9.667031288146973,-86.6020278930664,100,-200.0,,-15.669736862182617,43.19397759437561,200.0,1.0,4,[ 0.608 -0.805  0.116  0.313  0.769  1.052  0.121 -0.21   0.09 ],-6.6943464279174805,0.07730011041513127,1.0959237813949585,0.07730011041513127,10.344437599182129,1.0,-89.48876,400,-86.6020278930664
100000,1.0,0.24203349106045494,1.52587890625e-05,-86.60204315185547,0.99,13.722752571105957,-86.6020278930664,100,-200.0,,-31.654277801513672,55.309126138687134,200.0,1.0,5,[ 0.539 -0.67   0.05   0.32   0.765  1.049  0.208 -0.278  0.07 ],-20.96059226989746,0.24203349106045494,1.0967464447021484,0.24203349106045494,7.287167549133301,1.0,-89.48876,500,-86.6020278930664
120000,1.0,0.3163684737334866,1.52587890625e-05,-86.60204315185547,0.99,25.626056671142578,-86.6020278930664,100,-200.0,,-42.01142883300781,66.12305188179016,200.0,1.0,6,[ 0.455 -0.599  0.063  0.321  0.765  1.048  0.321 -0.346  0.026],-27.398149490356445,0.3163684737334866,1.0941938161849976,0.3163684737334866,3.902278184890747,1.0,-89.48876,600,-86.6020278930664
140000,1.0,0.18185528269901902,1.52587890625e-05,-86.60204315185547,0.99,15.21374225616455,-86.6020278930664,100,-200.0,,-27.008686065673828,76.77280688285828,200.0,1.0,7,[ 0.502 -0.579 -0.005  0.324  0.762  1.048  0.16  -0.254  0.093],-15.749035835266113,0.18185528269901902,1.0975712537765503,0.18185528269901902,6.573004722595215,1.0,-89.48876,700,-86.6020278930664
160000,1.0,0.456255125080515,1.52587890625e-05,-86.60204315185547,0.99,23.3734073638916,-86.6020278930664,100,-200.0,,-53.468841552734375,87.01121354103088,200.0,1.0,8,[ 0.422 -0.542  0.039  0.322  0.761  1.05   0.276 -0.273 -0.003],-39.51261901855469,0.456255125080515,1.0936130285263062,0.456255125080515,4.278366565704346,1.0,-89.48876,800,-86.6020278930664
180000,1.0,0.09590106066011489,1.52587890625e-05,-86.60204315185547,0.99,8.021306037902832,-86.6020278930664,100,-200.0,,-16.48101043701172,98.92041802406311,200.0,1.0,9,[ 0.391 -0.461 -0.011  0.325  0.768  1.041  0.104 -0.227  0.124],-8.30522632598877,0.09590106066011489,1.0981124639511108,0.09590106066011489,12.466797828674316,1.0,-89.48876,900,-86.6020278930664
200000,1.0,0.47810866651821987,1.52587890625e-05,-86.60204315185547,0.99,36.345096588134766,-86.6020278930664,100,-200.0,,-58.808406829833984,111.0585708618164,200.0,1.0,10,[ 0.339 -0.46   0.04   0.325  0.768  1.04   0.197 -0.216  0.019],-41.405181884765625,0.47810866651821987,1.0892605781555176,0.47810866651821987,2.7514028549194336,1.0,-89.48876,1000,-86.6020278930664
220000,1.0,0.09699583657893159,1.52587890625e-05,-86.60204315185547,0.99,9.721824645996094,-86.6020278930664,100,-200.0,,-17.400827407836914,122.99824094772339,200.0,1.0,11,[ 0.194 -0.209 -0.066  0.316  0.778  1.039 -0.077  0.034  0.043],-8.400035858154297,0.09699583657893159,1.0981122255325317,0.09699583657893159,10.286134719848633,1.0,-89.48876,1100,-86.6020278930664
240000,1.0,0.5899250737806667,1.52587890625e-05,-86.60204315185547,0.99,17.477214813232422,-86.6020278930664,100,-200.0,,-63.156917572021484,132.9815366268158,200.0,1.0,12,[ 0.134 -0.168 -0.047  0.316  0.778  1.039  0.04  -0.049  0.009],-51.088706970214844,0.5899250737806667,1.0947731733322144,0.5899250737806667,5.72173547744751,1.0,-89.48876,1200,-86.6020278930664
260000,1.0,0.12929380996514772,1.52587890625e-05,-86.60204315185547,0.99,9.757713317871094,-86.6020278930664,100,-200.0,,-20.214496612548828,143.45672464370728,200.0,1.0,13,[ 0.018 -0.117  0.017  0.319  0.777  1.037  0.144 -0.09  -0.054],-11.19710636138916,0.12929380996514772,1.098382592201233,0.12929380996514772,10.248302459716797,1.0,-89.48876,1300,-86.6020278930664
280000,1.0,0.46575326584889076,1.52587890625e-05,-86.60204315185547,0.99,21.220834732055664,-86.6020278930664,100,-200.0,,-53.63323211669922,156.27478408813477,200.0,1.0,14,[ 0.076 -0.131 -0.026  0.319  0.778  1.036  0.024 -0.044  0.019],-40.33517837524414,0.46575326584889076,1.0933234691619873,0.46575326584889076,4.712349891662598,1.0,-89.48876,1400,-86.6020278930664
300000,1.0,0.14024489013015262,1.52587890625e-05,-86.60204315185547,0.99,12.926383972167969,-86.6020278930664,100,-200.0,,-22.524250030517578,167.79554748535156,200.0,1.0,15,[-0.007 -0.101  0.027  0.319  0.777  1.037  0.142 -0.053 -0.089],-12.145491600036621,0.14024489013015262,1.0985902547836304,0.14024489013015262,7.736115455627441,1.0,-89.48876,1500,-86.6020278930664
320000,1.0,0.48120871246242314,1.52587890625e-05,-86.60204315185547,0.99,29.550107955932617,-86.6020278930664,100,-200.0,,-57.36594009399414,177.07568502426147,200.0,1.0,16,[ 0.053 -0.105 -0.029  0.319  0.777  1.037  0.033 -0.05   0.016],-41.673648834228516,0.48120871246242314,1.0906378030776978,0.48120871246242314,3.384082317352295,1.0,-89.48876,1600,-86.6020278930664
340000,1.0,0.06900587654236487,1.52587890625e-05,-86.60204315185547,0.99,7.699563980102539,-86.6020278930664,100,-200.0,,-13.986185073852539,189.03130650520325,200.0,1.0,17,[-0.013 -0.051 -0.017  0.319  0.779  1.035  0.172 -0.153 -0.018],-5.976048946380615,0.06900587654236487,1.0983829498291016,0.06900587654236487,12.987748146057129,1.0,-89.48876,1700,-86.6020278930664
360000,1.0,0.3080687178122592,1.52587890625e-05,-86.60204315185547,0.99,24.6617431640625,-86.6020278930664,100,-200.0,,-41.01506805419922,198.60601258277893,200.0,1.0,18,[ 0.043 -0.098 -0.026  0.32   0.779  1.035  0.071 -0.064 -0.007],-26.67937660217285,0.3080687178122592,1.0932674407958984,0.3080687178122592,4.054863452911377,1.0,-89.48876,1800,-86.6020278930664
380000,1.0,0.11754358302800084,1.52587890625e-05,-86.60204315185547,0.99,10.594054222106934,-86.6020278930664,100,-200.0,,-19.575403213500977,209.0242269039154,200.0,1.0,19,[ 0.098 -0.152 -0.027  0.318  0.78   1.035 -0.055  0.063 -0.008],-10.179512977600098,0.11754358302800084,1.0986182689666748,0.11754358302800084,9.43925666809082,1.0,-89.48876,1900,-86.6020278930664
400000,1.0,0.39576254107264863,1.52587890625e-05,-86.60204315185547,0.99,33.6080436706543,-86.6020278930664,100,-200.0,,-51.008941650390625,219.0811779499054,200.0,1.0,20,[ 0.046 -0.095 -0.032  0.318  0.78   1.035  0.044 -0.047  0.003],-34.27383804321289,0.39576254107264863,1.0896731615066528,0.39576254107264863,2.975478172302246,1.0,-89.48876,2000,-86.6020278930664
