InitialReturnMean,EpLenMean,ESSRenyi,MaxIW,ReturnMeanIW,Bound,InitialBound,EpRewMean,Weights,InitialReturnMax,InitialReturnStd,MaxIWNorm,MeanEntropy,Iteration,MinIW,ESSClassic,MeanIW,J_sample_variance,MeanIWNorm,StdIW,ReturnStepMaxmin,EpThisIter,EmpiricalD2,EpisodesSoFar,StdIWNorm,TimeElapsed,ReturnStepMax,InitialReturnMin,TimestepsSoFar,MinIWNorm
-13.323416,500.0,15.80188,12.58135,-9.079612,-10.533214,-13.901246,-68.70691528196632,[ 0.956 -1.354  0.   ],-10.6689005,1.3880132,0.1258135,1.3789066,1,0.012861621,18.298725,0.74396676,343.95856,0.007439667,1.5720179,1.9071648,100,6.328361,100,0.01572018,14.424121618270874,1.9071648,-17.334892,50000,0.0001286162
-12.216062,500.0,4.991448,8.307612,-7.1978354,-9.533686,-12.7379265,-62.11194105116909,[ 0.911 -1.356 -0.04 ],-9.63554,1.0914651,0.08307612,1.3220699,2,0.0020253612,16.570354,0.6129608,263.91315,0.006129608,1.3753936,2.419776,100,20.034267,200,0.013753936,32.78222370147705,2.419776,-15.655956,100000,2.0253612e-05
-11.161426,500.0,61.953884,4.435585,-10.377687,-11.002751,-11.653418,-56.802567446423424,[ 0.891 -1.354 -0.097],-7.9929276,1.0999693,0.04435585,1.2997432,3,0.13112718,57.29534,0.9594381,72.12824,0.009594381,0.828314,2.116811,100,1.6141038,300,0.00828314,47.20466995239258,2.116811,-14.759776,150000,0.0013112718
-10.645054,500.0,3.826827,10.016334,-6.1409426,-8.401853,-11.087338,-54.83254918368398,[ 0.891 -1.354 -0.119],-8.183074,1.1595675,0.10016333,1.2576215,4,7.033114e-05,15.028257,0.5733913,208.1164,0.0057339133,1.363434,2.197327,100,26.13131,400,0.013634339,62.29336190223694,2.197327,-13.268565,200000,7.0331134e-07
-10.717861,500.0,90.73982,2.2983923,-10.524179,-10.971804,-11.1442585,-55.55090248973728,[ 0.976 -1.352 -0.161],-7.9686794,1.0906787,0.022983922,1.2666048,5,0.3607333,88.18605,0.9795702,17.010178,0.009795703,0.35853606,1.74792,100,1.102052,500,0.0035853605,74.79933142662048,1.74792,-12.791871,250000,0.003607333
-10.862876,500.0,3.2691977,5.425462,-4.7712584,-7.369034,-11.332577,-55.53823554372488,[ 0.969 -1.352 -0.152],-7.162899,1.2551329,0.054254618,1.2429671,6,0.0013389577,23.957748,0.42045704,84.15856,0.00420457,0.7490764,2.1075163,100,30.588545,600,0.0074907644,85.90217161178589,2.1075163,-14.091051,300000,1.3389576e-05
-11.686755,500.0,4.993708,8.15435,-6.7099056,-8.843292,-12.163494,-59.8583946138481,[ 1.074 -1.353 -0.176],-8.87525,1.1930611,0.0815435,1.2451203,7,0.0032142755,19.178274,0.6067361,183.17557,0.0060673608,1.2455442,1.9263521,100,20.0252,700,0.012455442,97.72367453575134,1.9263521,-14.302186,350000,3.2142754e-05
-10.727469,500.0,4.8041444,6.3995757,-5.133357,-7.453388,-11.235983,-55.23107867992107,[ 0.975 -1.353 -0.174],-7.958265,1.2080615,0.063995756,1.2063043,8,0.00052731455,20.7655,0.5376007,87.037704,0.005376007,1.0501367,1.4139498,100,20.815361,800,0.010501368,110.1669135093689,1.4139498,-15.255381,400000,5.2731452e-06
-9.580203,500.0,3.6208377,5.229742,-4.938279,-7.0935163,-9.990312,-48.591127038253106,[ 0.897 -1.352 -0.212],-7.8283367,0.9006976,0.05229742,1.1511456,9,0.0010748018,21.669796,0.5572659,82.240074,0.005572658,1.0594968,1.4765236,100,27.617918,900,0.010594968,124.0043077468872,1.4765236,-12.30328,450000,1.0748017e-05
-8.475275,500.0,4.7046204,6.80667,-4.335703,-6.0346813,-8.843784,-43.045015687079584,[ 0.852 -1.351 -0.268],-6.446917,0.814019,0.0680667,1.1721478,10,0.01368281,21.361713,0.4707528,81.312096,0.004707528,0.90321666,1.2951188,100,21.2557,1000,0.009032166,137.83590745925903,1.2951188,-11.055321,500000,0.0001368281
-9.368885,500.0,3.3746674,4.5746555,-3.9409187,-6.014969,-9.749893,-48.25297242918663,[ 0.937 -1.35  -0.247],-7.2822824,0.96410114,0.045746554,1.1376258,11,0.0005404814,25.63492,0.41658333,48.779663,0.004165833,0.70952946,1.574475,100,29.63255,1100,0.0070952945,149.80531907081604,1.574475,-11.43026,550000,5.404814e-06
-9.9067545,500.0,5.4220853,10.213381,-6.904578,-8.711894,-10.327594,-50.41535142172415,[ 1.021 -1.351 -0.281],-7.752763,0.94892246,0.1021338,1.0878872,12,0.0016758151,17.20632,0.73605895,248.98102,0.00736059,1.6146083,1.5526484,100,18.443089,1200,0.016146082,161.94580817222595,1.5526484,-12.625205,600000,1.6758151e-05
-8.869602,500.0,5.5869713,9.588796,-6.439803,-8.005106,-9.23959,-45.807863855155354,[ 0.977 -1.352 -0.331],-6.9266434,0.89124465,0.09588795,1.1386026,13,0.0017347308,22.969376,0.7042744,153.2028,0.0070427447,1.2897307,1.3874899,100,17.898785,1300,0.012897306,173.62584400177002,1.3874899,-11.09961,650000,1.7347307e-05
-9.404215,500.0,4.9083853,8.392043,-5.0382085,-6.774315,-9.788848,-47.57101188600839,[ 0.968 -1.354 -0.28 ],-6.9063296,0.9855238,0.08392043,1.1884903,14,0.008019275,22.026789,0.52134496,87.254135,0.005213449,0.9808945,1.2089427,100,20.373299,1400,0.009808946,185.47206616401672,1.2089427,-11.538965,700000,8.0192745e-05
-10.245897,500.0,8.421983,10.085423,-6.69023,-8.252734,-10.699347,-52.187053520300104,[ 0.992 -1.353 -0.23 ],-8.227961,1.0444642,0.10085423,1.1553261,15,0.0005429291,23.078234,0.7069458,129.49112,0.007069458,1.2906529,1.5277733,100,11.873689,1500,0.012906529,199.3447995185852,1.5277733,-13.603468,750000,5.429291e-06
-9.103656,500.0,94.17213,1.6087735,-9.042345,-9.456435,-9.505497,-46.70095817168753,[ 0.924 -1.354 -0.264],-7.144535,0.9296205,0.016087735,1.149692,16,0.5077728,93.59242,1.0089974,3.977525,0.010089975,0.2640076,1.8706849,100,1.0618854,1600,0.0026400757,212.84852409362793,1.8706849,-12.055269,800000,0.005077728
-8.919605,500.0,4.9868016,6.002456,-4.998126,-6.626423,-9.283222,-45.67036301441743,[ 0.914 -1.354 -0.269],-7.061349,0.8574498,0.06002456,1.1252701,17,0.0050685527,17.486132,0.53387594,128.96321,0.00533876,1.1597303,1.6572281,100,20.052933,1700,0.011597304,224.5846197605133,1.6572281,-10.908522,850000,5.0685525e-05
-9.551694,500.0,6.3704243,8.9117,-6.77499,-8.395691,-9.960754,-48.545447224925596,[ 1.    -1.352 -0.294],-7.2412443,1.0347202,0.089117,1.1281601,18,0.0016418791,22.701124,0.7690034,138.8424,0.0076900334,1.4190285,1.3744246,100,15.697541,1800,0.014190286,237.0903446674347,1.3744246,-12.271801,900000,1.6418791e-05
-8.862232,500.0,4.0520544,11.028809,-4.299864,-6.1658525,-9.23785,-45.20568243182846,[ 0.915 -1.352 -0.291],-6.938619,0.8795285,0.11028808,1.0812916,19,0.00014852003,15.035823,0.5296451,93.9498,0.005296451,1.2590393,1.525189,100,24.67884,1900,0.012590392,250.1949200630188,1.525189,-11.268548,950000,1.4852003e-06
-7.8053226,500.0,9.007152,9.72836,-6.0951104,-7.1633587,-8.125925,-39.801221724600275,[ 0.855 -1.351 -0.338],-5.879743,0.7550079,0.0972836,1.1259055,20,0.0083621675,25.266912,0.7455632,119.58182,0.0074556316,1.2822267,1.2084904,100,11.102289,2000,0.012822268,262.81660628318787,1.2084904,-9.618053,1000000,8.362167e-05
-8.097522,500.0,4.3270936,6.1029387,-4.3823824,-6.0242257,-8.439051,-41.27813333863365,[ 0.831 -1.351 -0.293],-6.28208,0.8127624,0.061029386,1.1271793,21,0.0010107412,25.98203,0.56978005,53.67008,0.0056978,0.96169925,1.3129551,100,23.1102,2100,0.009616992,273.937575340271,1.3129551,-10.245924,1050000,1.0107412e-05
-7.440763,500.0,4.44834,5.660782,-3.995696,-5.4696198,-7.751629,-37.812543951508424,[ 0.737 -1.351 -0.292],-5.5358953,0.64962053,0.056607816,1.1643203,22,0.009435305,28.665842,0.5100872,45.025124,0.005100872,0.8046572,1.132081,100,22.480297,2200,0.008046571,286.01385283470154,1.132081,-9.3259945,1100000,9.4353054e-05
-8.317549,500.0,68.39427,4.0049853,-7.91712,-8.330186,-8.659158,-42.62933657714384,[ 0.804 -1.349 -0.254],-6.1022778,0.92316186,0.04004985,1.1514333,23,0.09552496,65.19697,0.99989736,26.506378,0.009998973,0.7305506,1.327064,100,1.4621108,2300,0.007305506,298.97089529037476,1.327064,-10.248274,1150000,0.0009552496
-8.015089,500.0,4.2020545,10.565258,-5.1737833,-6.801523,-8.348758,-40.56281235257827,[ 0.777 -1.349 -0.267],-6.3393254,0.7434411,0.10565258,1.1132231,24,0.0026327914,16.883244,0.6240602,138.844,0.006240602,1.384659,1.3903311,100,23.797884,2400,0.01384659,310.8183274269104,1.3903311,-10.01007,1200000,2.6327914e-05
-8.161584,500.0,3.7402308,5.6809263,-3.9889698,-5.790825,-8.510056,-41.70202554264788,[ 0.854 -1.348 -0.306],-6.1716986,0.8159948,0.05680926,1.0525025,25,0.00010224887,21.074612,0.5118147,58.005337,0.005118147,0.99047005,1.225253,100,26.736319,2500,0.0099047,324.1734631061554,1.225253,-10.454189,1250000,1.0224887e-06
-7.5056853,500.0,5.5483923,9.700389,-4.842671,-6.181717,-7.821098,-38.53231972574204,[ 0.852 -1.348 -0.366],-6.071622,0.6925922,0.097003885,1.0778466,26,0.008658447,19.420649,0.6629793,92.742256,0.006629793,1.3504547,1.0916024,100,18.02324,2600,0.013504547,335.84371972084045,1.0916024,-9.462378,1300000,8.658447e-05
-7.1973987,500.0,2.4741352,4.262748,-2.9835296,-4.847932,-7.4906583,-36.87452615957498,[ 0.781 -1.348 -0.341],-5.5016327,0.6836656,0.042627476,1.0137323,27,0.0009650835,24.943024,0.43983212,25.941658,0.0043983217,0.7629707,1.1516072,100,40.418163,2700,0.0076297065,347.7640607357025,1.1516072,-8.797769,1350000,9.650835e-06
-6.511835,500.0,7.046773,10.142421,-4.53394,-5.5777535,-6.7889223,-33.22555188421093,[ 0.767 -1.348 -0.405],-5.2358723,0.6482153,0.1014242,1.0090281,28,0.0028740088,17.906399,0.6650121,98.11916,0.0066501205,1.423902,1.1735941,100,14.190893,2800,0.01423902,360.05524039268494,1.1735941,-8.312649,1400000,2.8740087e-05
-7.17412,500.0,4.8886266,5.515152,-3.9603093,-5.4019504,-7.4928694,-36.3347551381538,[ 0.845 -1.349 -0.41 ],-5.4611363,0.7072387,0.05515152,1.0136079,29,0.004791237,26.127657,0.5730347,44.574398,0.0057303472,0.9635441,1.1509461,100,20.455643,2900,0.009635442,373.96623730659485,1.1509461,-9.562509,1450000,4.791237e-05
-6.694617,500.0,67.99933,5.7309523,-6.3122816,-6.6536655,-6.976127,-33.62959798311596,[ 0.765 -1.35  -0.405],-5.3263464,0.6607956,0.05730952,0.9989483,30,0.14508484,57.755695,0.99105513,21.402124,0.00991055,0.84758747,1.2803898,100,1.4706028,3000,0.008475875,387.46623516082764,1.2803898,-8.445326,1500000,0.0014508484
-6.2926073,500.0,4.01801,2.7481067,-2.8062036,-4.1265965,-6.5572796,-32.310082146073576,[ 0.744 -1.35  -0.42 ],-4.6038055,0.69967085,0.027481066,1.0110574,31,0.005802572,35.2944,0.46901938,14.874285,0.0046901936,0.63505137,1.0051985,100,24.887941,3100,0.0063505135,399.16223406791687,1.0051985,-7.9401717,1550000,5.8025715e-05
-6.0789123,500.0,6.8563147,11.586744,-3.1907299,-4.1981354,-6.3426967,-30.724248189713222,[ 0.662 -1.349 -0.408],-4.553831,0.59317124,0.11586744,0.98728853,32,0.0004530631,14.90838,0.58360344,48.303814,0.005836034,1.3942671,1.0287038,100,14.585095,3200,0.013942672,411.200635433197,1.0287038,-7.91354,1600000,4.530631e-06
-5.459658,500.0,3.7085433,6.728834,-2.8358786,-4.00201,-5.6842265,-27.607095123439457,[ 0.59  -1.35  -0.432],-4.1506224,0.5707135,0.06728834,0.9680843,33,0.0022052766,22.589699,0.5531389,25.228254,0.0055313897,1.0239491,0.8483413,100,26.964766,3300,0.010239491,423.53079891204834,0.8483413,-6.7370586,1650000,2.2052765e-05
-4.9077635,500.0,4.1162434,8.478715,-2.4280324,-3.3975265,-5.10446,-24.8977837344688,[ 0.505 -1.353 -0.451],-3.6924396,0.452405,0.084787145,0.96482694,34,0.0018152734,17.976927,0.5200136,23.729359,0.0052001346,1.1107721,0.89518565,100,24.293997,3400,0.011107721,437.13211965560913,0.89518565,-5.900882,1700000,1.8152734e-05
-4.5666075,500.0,18.83211,12.598763,-3.8541045,-4.3014436,-4.760734,-23.233595349457076,[ 0.419 -1.352 -0.454],-3.5294354,0.45573756,0.12598763,0.92745405,35,0.0035361936,25.591831,0.9210408,35.50514,0.009210408,1.5705019,0.8618425,100,5.3100796,3500,0.01570502,450.1229336261749,0.8618425,-5.8238125,1750000,3.5361936e-05
-4.157383,500.0,100.0,1.0,-4.1573825,-4.3199315,-4.3199315,-21.057568977198965,[ 0.388 -1.351 -0.492],-3.201453,0.36069837,0.01,0.92745405,36,1.0,100.0,1.0,0.13141748,0.010000002,,0.7509046,100,1.0,3600,1.8626451e-09,463.02992963790894,0.7509046,-4.876477,1800000,0.01
-4.2011743,500.0,9.982683,15.703582,-3.0493436,-3.5748544,-4.367211,-21.31400759019816,[ 0.388 -1.351 -0.492],-3.3425412,0.37208375,0.15703581,0.9049905,37,0.0015749403,15.389931,0.76514417,51.512627,0.007651442,1.7940559,0.6523354,100,10.017346,3700,0.01794056,474.49356722831726,0.6523354,-4.9811144,1850000,1.5749403e-05
-3.87499,500.0,3.2102678,7.8739514,-2.328609,-3.2085292,-4.0326467,-19.568044971274077,[ 0.322 -1.351 -0.514],-2.8737206,0.39046472,0.07873951,0.8440569,38,0.00071021565,21.244343,0.64544034,19.383244,0.006454404,1.242726,0.72015053,100,31.15005,3800,0.01242726,486.06168031692505,0.72015053,-4.7297177,1900000,7.1021564e-06
-3.511224,500.0,100.0,1.0,-3.5112238,-3.6569946,-3.6569946,-17.64095211199143,[ 0.341 -1.352 -0.575],-2.679462,0.35190317,0.01,0.8440569,39,1.0,100.0,1.0,0.12508671,0.010000002,,0.6016779,100,1.0,3900,1.8626451e-09,498.37109780311584,0.6016779,-4.373124,1950000,0.01
-3.5340672,500.0,4.443999,7.9855328,-1.6000857,-2.3266323,-3.6872287,-17.867571986269642,[ 0.341 -1.352 -0.575],-2.8323202,0.33885407,0.07985532,0.8212099,40,0.0043400563,20.059046,0.48559812,8.669148,0.0048559816,0.9694078,0.7232517,100,22.502256,4000,0.009694078,509.4030349254608,0.7232517,-4.5948534,2000000,4.3400563e-05
-3.238476,500.0,99.999985,1.0015093,-3.2382362,-3.3748617,-3.3751013,-16.185147707156794,[ 0.268 -1.352 -0.598],-2.463501,0.30981222,0.010015093,0.8212099,41,0.99831474,99.99993,0.999917,0.09714408,0.00999917,0.0007014475,0.52653503,100,1.0000001,4100,7.0144374e-06,521.3881406784058,0.52653503,-4.098765,2050000,0.0099831475
-3.215081,500.0,5.8094525,8.910347,-2.1602268,-2.7211018,-3.3502676,-16.230260847987932,[ 0.268 -1.352 -0.598],-2.4465492,0.31878588,0.08910347,0.83586085,42,0.0009796061,21.563526,0.67592394,17.670368,0.006759239,1.2891308,0.67939216,100,17.213326,4200,0.0128913075,533.599285364151,0.67939216,-4.0555983,2100000,9.79606e-06
-3.2112527,500.0,58.87069,5.133562,-3.0407004,-3.2130852,-3.3435187,-16.018052301882918,[ 0.198 -1.353 -0.583],-2.3541956,0.30316234,0.051335618,0.854188,43,0.16338456,55.99474,0.908067,8.873669,0.009080669,0.8050014,0.62565666,100,1.6986382,4300,0.008050014,547.0248999595642,0.62565666,-3.9679823,2150000,0.0016338455
-3.3516805,500.0,78.12724,3.9174843,-3.280665,-3.4373116,-3.4901404,-16.884977177375035,[ 0.217 -1.353 -0.565],-2.3079753,0.34192872,0.039174844,0.8382723,44,0.23059914,73.71596,1.0163264,2.7531085,0.010163264,0.60687405,0.72689205,100,1.2799633,4400,0.0060687405,559.1230192184448,0.72689205,-4.1537848,2200000,0.0023059912
-3.3043342,500.0,64.50439,7.4438424,-3.0555491,-3.2308822,-3.445152,-16.435949860243273,[ 0.213 -1.353 -0.581],-2.297523,0.32917833,0.07443842,0.81972164,45,0.14491038,54.00981,0.9778933,5.2980447,0.009778933,0.90237623,0.6220597,100,1.5502821,4500,0.009023763,570.9605178833008,0.6220597,-4.224539,2250000,0.0014491038
-3.1495368,500.0,5.0084925,12.978667,-1.6570942,-2.2809484,-3.289153,-15.719646748644525,[ 0.198 -1.353 -0.599],-2.4841895,0.34009212,0.12978667,0.7723829,46,0.0005192168,12.208601,0.5671782,17.505095,0.0056717824,1.5209417,0.73537487,100,19.966087,4600,0.015209415,582.376359462738,0.73537487,-4.188493,2300000,5.192168e-06
