MaxIW,InitialReturnStd,ESSClassic,EmpiricalD2,MeanIWNorm,InitialReturnMin,ReturnMeanIW,InitialReturnMax,MinIW,Iteration,Weights,ReturnStepMaxmin,InitialBound,EpThisIter,TimestepsSoFar,StdIWNorm,Bound,StdIW,ESSRenyi,EpRewMean,ReturnStepMax,MeanEntropy,MeanIW,InitialReturnMean,MinIWNorm,J_sample_variance,EpisodesSoFar,MaxIWNorm,TimeElapsed,EpLenMean
12.095026,1.5258789e-05,15.624916,25.350744,0.0073577277,-86.60203,-63.719414,-86.60203,0.0027283207,1,[ 0.74  -1.049  0.227  0.317  0.764  1.052  0.     0.     0.   ],1.0,-89.48876,100,20000,0.017097868,-78.25398,1.7097869,3.9446573,-200.0,1.0,1.0090206,0.7357728,-86.60204,2.7283206e-05,22146.484,100,0.12095026,5.938709020614624,200.0
7.813153,1.5258789e-05,17.793726,36.69017,0.0069416775,-86.60203,-60.116325,-86.60203,0.0019145746,2,[ 0.611 -1.016  0.323  0.311  0.767  1.056  0.097  0.058 -0.155],1.0,-89.48876,100,40000,0.014920502,-77.601974,1.49205,2.7255256,-200.0,1.0,0.9364897,0.6941676,-86.60204,1.9145746e-05,16865.055,200,0.07813153,17.156651258468628,200.0
12.424141,1.5258789e-05,13.874126,13.768619,0.006717196,-86.60203,-58.17228,-86.60203,0.00428726,3,[ 0.615 -1.071  0.374  0.311  0.765  1.057  0.069  0.209 -0.278],1.0,-89.48876,100,60000,0.016736012,-68.88382,1.6736014,7.2628927,-200.0,1.0,0.95157486,0.6717197,-86.60204,4.28726e-05,21219.002,300,0.124241404,28.054325342178345,200.0
6.308584,1.5258789e-05,18.819176,51.53404,0.0050093443,-86.60203,-43.381935,-86.60203,0.0007874127,4,[ 0.704 -1.097  0.312  0.316  0.758  1.059 -0.034  0.153 -0.119],1.0,-89.48876,100,80000,0.010404166,-64.104996,1.0404167,1.9404651,-200.0,1.0,0.8793369,0.5009344,-86.60204,7.874127e-06,8200.41,400,0.06308584,40.38608765602112,200.0
11.415418,1.5258789e-05,15.683534,24.818819,0.0065894728,-86.60203,-57.066174,-86.60203,0.005265927,5,[ 0.779 -1.129  0.269  0.317  0.758  1.058 -0.22   0.317 -0.097],1.0,-89.48876,100,100000,0.015278647,-71.44745,1.5278647,4.0292006,-200.0,1.0,0.901789,0.6589473,-86.60204,5.2659267e-05,17684.42,500,0.114154175,51.53185176849365,200.0
6.5276914,1.5258789e-05,35.33248,3.582706,0.008823578,-86.60203,-76.41397,-86.60203,0.04956909,6,[ 0.692 -1.09   0.318  0.313  0.761  1.06  -0.039  0.294 -0.255],1.0,-89.48876,100,120000,0.011937153,-81.87799,1.1937153,27.911863,-200.0,1.0,0.92741174,0.8823578,-86.60204,0.00049569085,10794.995,600,0.06527691,64.05797553062439,200.0
5.86676,1.5258789e-05,18.059568,42.853046,0.005118629,-86.60203,-44.32836,-86.60203,0.0011134574,7,[ 0.771 -1.178  0.327  0.317  0.762  1.055 -0.066  0.184 -0.118],1.0,-89.48876,100,140000,0.010903076,-63.22557,1.0903076,2.3335564,-200.0,1.0,0.9037403,0.5118629,-86.60204,1.11345735e-05,9005.732,700,0.058667596,74.4930772781372,200.0
12.904722,1.5258789e-05,9.742627,30.539663,0.004448033,-86.60203,-38.520866,-86.60203,0.00064848305,8,[ 0.648 -1.151  0.422  0.314  0.76   1.06   0.07   0.25  -0.32 ],1.0,-89.48876,100,160000,0.0135385245,-54.47374,1.3538524,3.2744303,-200.0,1.0,0.8837601,0.44480327,-86.60204,6.4848305e-06,13885.561,800,0.12904721,86.20098519325256,200.0
3.1088426,1.5258789e-05,22.405884,35.374805,0.0031693054,-86.60203,-27.446827,-86.60203,0.0019088791,9,[ 0.482 -1.078  0.515  0.305  0.763  1.066  0.195  0.324 -0.519],1.0,-89.48876,100,180000,0.005897901,-44.616177,0.5897901,2.8268707,-200.0,1.0,0.8468054,0.31693053,-86.60204,1.9088791e-05,2635.214,900,0.031088425,97.9837760925293,200.0
13.66909,1.5258789e-05,11.6705475,24.764614,0.005398618,-86.60203,-46.753117,-86.60203,0.0011135179,10,[ 0.388 -1.099  0.63   0.303  0.763  1.067  0.373  0.38  -0.753],1.0,-89.48876,100,200000,0.014852162,-61.11868,1.4852164,4.0380197,-200.0,1.0,0.801977,0.53986174,-86.60204,1.1135179e-05,16710.92,1000,0.1366909,110.03158736228943,200.0
