RewardCompression,EmpiricalD2,InitialReturnStd,Bound,InitialBound,StdIW,MeanIW,ESSRenyi,ReturnMeanIW,EpisodesSoFar,TimeElapsed,InitialReturnMax,ReturnStepMax,ReturnStepMaxmin,EpRewMean,EpLenMean,MinIW,Weights,InitialReturnMean,MaxIW,Iteration,InitialReturnMin,EpThisIter,ESSClassic,TimestepsSoFar,MeanEntropy
0.99,6.286786079406738,1.52587890625e-05,-10.863200187683105,-89.48876,,0.041859956531700604,15.906378746032715,-3.625157356262207,100,7.499253273010254,-86.6020278930664,1.0,1.0,-200.0,200.0,0.041859956531700604,[ 0.867 -0.5   -0.634  0.472 -0.767  0.727  0.     0.     0.   ],-86.60204315185547,0.041859956531700604,1,-86.6020278930664,100,1.0,20000,1.073089361190796
0.99,6.6778154373168945,1.52587890625e-05,-11.823025703430176,-89.48876,,0.05038311392690879,14.974957466125488,-4.363279819488525,200,17.835967779159546,-86.6020278930664,1.0,1.0,-200.0,200.0,0.05038311392690879,[ 0.808 -0.475 -0.601  0.472 -0.767  0.727  0.121 -0.052 -0.069],-86.60204315185547,0.05038311392690879,2,-86.6020278930664,100,1.0,40000,1.0890376567840576
0.99,13.177543640136719,1.52587890625e-05,-21.465482711791992,-89.48876,,0.12686055721521025,7.588667869567871,-10.986381530761719,300,29.81228280067444,-86.6020278930664,1.0,1.0,-200.0,200.0,0.12686055721521025,[ 0.75  -0.439 -0.578  0.472 -0.767  0.727  0.236 -0.125 -0.111],-86.60204315185547,0.12686055721521025,3,-86.6020278930664,100,1.0,60000,1.0970041751861572
0.99,34.72392654418945,1.52587890625e-05,-51.04960632324219,-89.48876,,0.3930502005735894,2.8798587322235107,-34.038944244384766,400,41.74631357192993,-86.6020278930664,1.0,1.0,-200.0,200.0,0.3930502005735894,[ 0.667 -0.423 -0.512  0.472 -0.767  0.727  0.347 -0.146 -0.201],-86.60204315185547,0.3930502005735894,4,-86.6020278930664,100,1.0,80000,1.092044472694397
0.99,15.688709259033203,1.52587890625e-05,-25.364376068115234,-89.48876,,0.16085437945881192,6.3740105628967285,-13.930315971374512,500,55.61685085296631,-86.6020278930664,1.0,1.0,-200.0,200.0,0.16085437945881192,[ 0.533 -0.405 -0.395  0.474 -0.766  0.725  0.451 -0.167 -0.284],-86.60204315185547,0.16085437945881192,5,-86.6020278930664,100,1.0,100000,1.097367525100708
0.99,29.977306365966797,1.52587890625e-05,-54.00871658325195,-89.48876,,0.4411375269787088,3.3358566761016846,-38.20340347290039,600,67.14189004898071,-86.6020278930664,1.0,1.0,-200.0,200.0,0.4411375269787088,[ 0.578 -0.41  -0.435  0.474 -0.766  0.724  0.321 -0.149 -0.173],-86.60204315185547,0.4411375269787088,6,-86.6020278930664,100,1.0,120000,1.091033935546875
0.99,9.622468948364258,1.52587890625e-05,-17.105318069458008,-89.48876,,0.09411602229889807,10.392343521118164,-8.150638580322266,700,78.07456612586975,-86.6020278930664,1.0,1.0,-200.0,200.0,0.09411602229889807,[ 0.474 -0.302 -0.439  0.48  -0.768  0.72   0.406 -0.274 -0.132],-86.60204315185547,0.09411602229889807,7,-86.6020278930664,100,1.0,140000,1.0979633331298828
0.99,8.744697570800781,1.52587890625e-05,-74.42999267578125,-89.48876,,0.7608770485806347,11.435501098632812,-65.89350128173828,800,90.98673343658447,-86.6020278930664,1.0,1.0,-200.0,200.0,0.7608770485806347,[ 0.475 -0.332 -0.41   0.479 -0.768  0.721  0.303 -0.143 -0.16 ],-86.60204315185547,0.7608770485806347,8,-86.6020278930664,100,1.0,160000,1.0938283205032349
0.99,14.386113166809082,1.52587890625e-05,-25.38210678100586,-89.48876,,0.16665896052957038,6.95114803314209,-14.433004379272461,900,104.29536485671997,-86.6020278930664,1.0,1.0,-200.0,200.0,0.16665896052957038,[ 0.486 -0.349 -0.404  0.49  -0.76   0.702  0.206 -0.013 -0.193],-86.60204315185547,0.16665896052957038,9,-86.6020278930664,100,1.0,180000,1.0978947877883911
0.99,41.72919845581055,1.52587890625e-05,-58.71391296386719,-89.48876,,0.4626467103380794,2.3964035511016846,-40.06614303588867,1000,116.73303246498108,-86.6020278930664,1.0,1.0,-200.0,200.0,0.4626467103380794,[ 0.428 -0.28  -0.415  0.49  -0.76   0.702  0.298 -0.132 -0.166],-86.60204315185547,0.4626467103380794,10,-86.6020278930664,100,1.0,200000,1.0918772220611572
