Iteration,InitialReturnMin,EpThisIter,MaxIWNorm,TimestepsSoFar,ReturnMeanIW,EmpiricalD2,InitialReturnMean,EpRewMean,TimeElapsed,ESSRenyi,MinIWNorm,InitialBound,InitialReturnStd,MeanIW,MinIW,MaxIW,StdIW,MeanIWNorm,J_sample_variance,EpLenMean,Weights,InitialReturnMax,ESSClassic,EpisodesSoFar,ReturnStepMaxmin,Bound,ReturnStepMax,StdIWNorm,MeanEntropy
1,-86.60203,100,0.046336148,20000,-35.536423,39.506866,-86.60204,-200.0,7.522478103637695,2.5312057,3.238421e-06,-89.48876,1.5258789e-05,0.41034165,0.0003238421,4.633615,0.7391952,0.004103416,4139.4175,200.0,[ 0.867 -0.5   -0.634  0.472 -0.767  0.727  0.     0.     0.   ],-86.60203,23.556606,100,1.0,-53.680843,1.0,0.0073919524,1.059785
2,-86.60203,100,0.12663937,40000,-53.693123,29.659523,-86.60204,-200.0,19.447067260742188,3.3715985,6.5124314e-06,-89.48876,1.5258789e-05,0.61999846,0.00065124314,12.663937,1.4683484,0.0061999843,16333.495,200.0,[ 0.837 -0.544 -0.561  0.472 -0.767  0.726  0.078  0.075 -0.153],-86.60203,15.13113,200,1.0,-69.41444,1.0,0.014683484,1.0607055
3,-86.60203,100,0.07577608,60000,-50.640182,24.794233,-86.60204,-200.0,32.120219469070435,4.033196,4.2461346e-05,-89.48876,1.5258789e-05,0.58474594,0.004246135,7.5776076,1.0871984,0.00584746,8954.442,200.0,[ 0.862 -0.502 -0.628  0.473 -0.766  0.725  0.061 -0.033 -0.028],-86.60203,22.437265,300,1.0,-65.01433,1.0,0.010871984,1.0394778
4,-86.60203,100,0.06370129,80000,-40.02045,49.260998,-86.60204,-200.0,43.49910807609558,2.0300035,3.1498591e-06,-89.48876,1.5258789e-05,0.46211907,0.00031498593,6.370129,1.0375334,0.0046211905,8155.0215,200.0,[ 0.921 -0.503 -0.685  0.471 -0.761  0.722  0.024 -0.134  0.11 ],-86.60203,16.554193,400,1.0,-60.281334,1.0,0.010375333,0.991588
5,-86.60203,100,0.05389335,100000,-52.398777,49.813488,-86.60204,-200.0,55.933271169662476,2.0074885,5.604879e-06,-89.48876,1.5258789e-05,0.6050526,0.0005604879,5.389335,1.1452986,0.0060505257,9937.07,200.0,[ 1.08  -0.597 -0.75   0.476 -0.764  0.72  -0.166 -0.027  0.193],-86.60203,21.819595,500,1.0,-72.772964,1.0,0.011452986,1.0226884
6,-86.60203,100,0.07896513,120000,-45.61766,38.40271,-86.60204,-200.0,67.53361964225769,2.603983,6.608001e-06,-89.48876,1.5258789e-05,0.5267505,0.00066080014,7.896513,1.164769,0.005267505,10277.81,200.0,[ 1.054 -0.665 -0.656  0.477 -0.765  0.72  -0.095  0.043  0.052],-86.60203,16.979202,600,1.0,-63.50673,1.0,0.011647689,0.9968692
7,-86.60203,100,0.082878776,140000,-41.337593,45.8656,-86.60204,-200.0,80.77743315696716,2.1802833,1.528357e-06,-89.48876,1.5258789e-05,0.47732818,0.0001528357,8.287878,1.1766853,0.0047732824,10489.181,200.0,[ 1.086 -0.74  -0.613  0.477 -0.765  0.72  -0.151  0.181 -0.031],-86.60203,14.130359,700,1.0,-60.887756,1.0,0.011766852,0.9438006
8,-86.60203,100,0.13656744,160000,-61.607132,12.447722,-86.60204,-200.0,93.38072085380554,8.033598,6.134643e-05,-89.48876,1.5258789e-05,0.7113821,0.0061346428,13.656744,1.8457993,0.0071138204,25810.111,200.0,[ 1.199 -0.784 -0.682  0.477 -0.764  0.718 -0.383  0.247  0.136],-86.60203,12.932768,800,1.0,-71.791916,1.0,0.018457994,0.90464735
9,-86.60203,100,0.06263019,180000,-48.85081,18.933928,-86.60204,-200.0,106.3813648223877,5.281524,7.216446e-05,-89.48876,1.5258789e-05,0.56408393,0.007216446,6.2630196,0.9981735,0.005640839,7548.02,200.0,[ 1.272 -0.748 -0.791  0.479 -0.765  0.718 -0.582  0.313  0.269],-86.60203,24.20546,900,1.0,-61.411896,1.0,0.009981735,0.95393914
10,-86.60203,100,0.089298844,200000,-51.989532,50.054756,-86.60204,-200.0,117.80626940727234,1.9978122,6.262878e-07,-89.48876,1.5258789e-05,0.6003269,6.262878e-05,8.929885,1.2939354,0.0060032695,12683.704,200.0,[ 1.117 -0.493 -0.891  0.479 -0.763  0.716 -0.406  0.266  0.14 ],-86.60203,17.712648,1000,1.0,-72.413,1.0,0.0129393535,0.9629623
