Weights,TimeElapsed,EmpiricalD2,MinIW,ESSRenyi,InitialReturnMax,TimestepsSoFar,ESSClassic,InitialReturnMin,Iteration,StdIW,EpLenMean,ReturnStepMaxmin,EpisodesSoFar,MaxIW,EpThisIter,ReturnMeanIW,InitialReturnMean,MeanIW,InitialBound,EpRewMean,InitialReturnStd,ReturnStepMax,RewardCompression,MeanEntropy,Bound
[ 1.119 -0.646  0.   ],11.87367868423462,24.10620880126953,0.0053019262158188595,4.148308753967285,-11.748050689697266,50000,28.065837860107422,-19.950998306274414,1,0.896841757113352,500.0,2.3317458629608154,100,5.2572440569268375,100,-7.174535751342773,-14.859514236450195,0.5256704163594224,-15.524548,-75.95091124819633,1.6086469888687134,2.3317458629608154,,1.4060758352279663,-10.43972110748291
[ 0.998 -0.644 -0.013],24.79985022544861,22.82671356201172,0.004188285284341785,4.380832195281982,-10.718300819396973,100000,23.820213317871094,-17.86182403564453,2,0.7787848832671497,500.0,3.1037237644195557,200,5.059855437683493,100,-5.307209491729736,-13.828974723815918,0.41981821239482003,-14.424369,-69.50875339139616,1.3965730667114258,3.1037237644195557,,1.3749536275863647,-8.15184211730957
[ 0.893 -0.643 -0.044],38.24897122383118,4.253292560577393,0.003930209571660272,23.511198043823242,-9.519311904907227,150000,30.171497344970703,-15.37584400177002,3,1.4921832649061832,500.0,1.846665859222412,300,9.647150933363958,100,-10.237180709838867,-12.17358112335205,0.9069439248491138,-12.68611,-61.9965053807633,1.1689887046813965,1.846665859222412,,1.354446530342102,-11.294193267822266
[ 0.822 -0.648 -0.065],50.32367134094238,22.646390914916992,0.0019229281200683675,4.415714740753174,-7.638731002807617,200000,19.089603424072266,-15.361772537231445,4,1.3424524105296642,500.0,1.9462628364562988,400,8.723456888048384,100,-7.165460586547852,-11.17858600616455,0.6539228537607282,-11.690645,-56.62532427956857,1.261324405670166,1.9462628364562988,,1.3134708404541016,-9.602258682250977
[ 0.91  -0.647 -0.106],62.43437623977661,39.0811882019043,0.0001524186611627008,2.5587759017944336,-8.687593460083008,250000,24.205991744995117,-13.546768188476562,5,1.0281398732057798,500.0,2.0125017166137695,500,5.122937431632525,100,-6.201267242431641,-11.125810623168945,0.5679266538138276,-11.57737,-57.24815747427572,1.1804786920547485,2.0125017166137695,,1.2588523626327515,-9.024186134338379
[ 0.976 -0.652 -0.16 ],74.79087662696838,24.658061981201172,0.00044379233573463625,4.055468559265137,-8.930427551269531,300000,17.635324478149414,-13.529192924499512,6,1.0270486290163712,500.0,1.7243764400482178,600,6.162493250007792,100,-5.350466728210449,-10.971125602722168,0.4815159070607688,-11.422099,-56.50290932044005,1.0061862468719482,1.7243764400482178,,1.2070841789245605,-7.589858531951904
[ 1.03  -0.653 -0.212],87.1543698310852,29.3510799407959,0.002939641007947359,3.407029628753662,-8.605384826660156,350000,27.707304000854492,-13.444625854492188,7,1.0961718346814944,500.0,2.1089138984680176,700,5.217286875655442,100,-6.564903736114502,-10.802873611450195,0.6523914628499454,-11.251028,-55.23156757859565,1.1114004850387573,2.1089138984680176,,1.1950604915618896,-8.992852210998535
[ 0.929 -0.652 -0.224],98.92425084114075,1.4080973863601685,0.10354373955882328,71.01781463623047,-7.607097625732422,400000,68.29483032226562,-11.940195083618164,8,0.6968777420950907,500.0,1.7552448511123657,800,4.846748832822646,100,-9.29507064819336,-9.683906555175781,0.9730697443869328,-10.081913,-49.51482841660131,0.9091863036155701,1.7552448511123657,,1.1787277460098267,-9.76735782623291
[ 0.947 -0.653 -0.24 ],110.19694876670837,16.51042366027832,0.0006121712630198544,6.056779861450195,-7.270421028137207,450000,16.74173355102539,-12.38505744934082,9,0.9774503193404639,500.0,1.3472950458526611,900,6.3736538297724055,100,-3.8317830562591553,-9.742992401123047,0.4218524352888284,-10.1558275,-50.06018247187627,1.0831942558288574,1.3472950458526611,,1.1230638027191162,-5.5092573165893555
[ 0.94  -0.653 -0.296],122.67676329612732,9.250473022460938,0.012227684392982132,10.810257911682129,-6.788434028625488,500000,22.19487762451172,-11.566610336303711,10,1.4825376082216952,500.0,1.523373007774353,1000,9.87773430142448,100,-7.592294692993164,-8.971601486206055,0.811235600642705,-9.357155,-45.6223169082722,0.9147354960441589,1.523373007774353,,1.1679139137268066,-8.76494026184082
