ReturnMeanIW,J_sample_variance,TimestepsSoFar,EpisodesSoFar,EpRewMean,MaxIWNorm,MeanIWNorm,MaxIW,Iteration,StdIW,ESSRenyi,InitialReturnMin,MeanEntropy,EpThisIter,MeanIW,TimeElapsed,Bound,EmpiricalD2,InitialReturnMax,InitialReturnMean,MinIW,ReturnStepMax,ReturnStepMaxmin,StdIWNorm,InitialReturnStd,MinIWNorm,ESSClassic,InitialBound,EpLenMean,Weights
-79.05549,1890.757,50000,100,-415.9448908059299,0.04406945,0.009571888,4.406945,1,0.52532536,88.07054,-82.79864,1.426667,100,0.9571888,36.25901818275452,-81.99643,1.1354535,-82.24974,-82.62451,0.36646968,0.8420908,0.8420908,0.005253254,0.10506864,0.0036646968,76.85187,-85.38447,500.0,[ 1.119 -0.646  0.   ]
-41.253487,4057.2043,100000,200,-415.8768608500063,0.051507115,0.0049955156,5.1507115,2,0.7676729,2.7428977,-82.75884,1.4830798,100,0.49955162,75.29798531532288,-57.910164,36.457794,-82.15347,-82.60082,0.002183806,0.8420559,0.8420559,0.007676729,0.10944534,2.183806e-05,29.748444,-85.35944,500.0,[ 1.112 -0.587  0.008]
-42.859154,11120.125,150000,300,-415.81637928947805,0.10729555,0.0051888013,10.729555,3,1.2701771,3.2066128,-82.75328,1.4315984,100,0.5188801,112.10410118103027,-58.26341,31.185555,-82.39283,-82.61698,0.0009637926,0.8419471,0.8419471,0.012701771,0.07514776,9.637926e-06,14.301417,-85.37543,500.0,[ 1.116 -0.56   0.064]
-62.101105,10500.577,200000,400,-415.43979056179523,0.06384253,0.007527492,6.384253,4,1.2362964,3.7417054,-82.763565,1.4854798,100,0.75274926,148.07790088653564,-76.3632,26.72578,-82.04343,-82.53325,0.0074017327,0.84224963,0.84224963,0.012362964,0.13796313,7.401733e-05,27.046068,-85.29204,500.0,[ 1.174 -0.324  0.013]
-78.88054,11782.927,250000,500,-415.31821339592335,0.082242146,0.009565904,8.224215,5,1.310304,32.702568,-82.72236,1.4511728,100,0.9565904,182.98022627830505,-83.702354,3.0578637,-81.97589,-82.485,0.032625727,0.8419413,0.8419413,0.01310304,0.1745499,0.00032625726,34.76742,-85.24241,500.0,[ 1.16  -0.3    0.067]
-49.602913,16869.125,300000,600,-415.38232807323334,0.10866404,0.0060102926,10.866405,6,1.5648065,4.167648,-82.725845,1.3923489,100,0.60102934,220.30195903778076,-63.110397,23.99435,-81.938644,-82.51912,0.00029876982,0.8419791,0.8419791,0.015648063,0.14936435,2.9876983e-06,12.856043,-85.27665,500.0,[ 1.196 -0.276  0.032]
-62.529747,14197.411,350000,700,-415.24998177319765,0.078730725,0.007574207,7.8730726,7,1.4363511,4.6915083,-82.71371,1.3525721,100,0.75742066,254.90593314170837,-75.25891,21.315107,-81.69703,-82.49912,0.004985979,0.8427533,0.8427533,0.01436351,0.16799648,4.9859787e-05,21.756987,-85.25623,500.0,[ 1.185 -0.231 -0.027]
-68.19357,5638.0015,400000,800,-415.78804599985483,0.06714659,0.008259302,6.7146597,8,0.90518326,32.943516,-82.73454,1.371838,100,0.8259304,291.71790957450867,-72.99843,3.0354986,-82.23091,-82.585655,0.08527853,0.8420588,0.8420588,0.009051831,0.11320802,0.0008527853,45.431442,-85.34347,500.0,[ 1.254 -0.45  -0.066]
-30.69772,5732.6406,450000,900,-415.4511931850016,0.056626134,0.0037181764,5.6626134,9,0.9122422,3.5685518,-82.7743,1.3105619,100,0.37181768,328.3394389152527,-45.30362,28.022572,-82.22682,-82.54674,0.00023771125,0.84172136,0.84172136,0.009122421,0.11064872,2.3771124e-06,14.246033,-85.30587,500.0,[ 1.258 -0.285 -0.047]
-54.137985,11193.758,500000,1000,-415.5115540547669,0.07004922,0.0065654893,7.004922,10,1.276993,3.825681,-82.77634,1.3615184,100,0.6565489,365.7458736896515,-68.24485,26.139137,-81.92084,-82.530426,0.0034833578,0.8423366,0.8423366,0.01276993,0.16545954,3.4833578e-05,20.907133,-85.289635,500.0,[ 1.248 -0.27  -0.108]
