EpisodesSoFar,ReturnStepMax,Weights,InitialReturnMean,EmpiricalD2,MeanIW,TimeElapsed,Iteration,InitialReturnMin,InitialReturnStd,ReturnStepMaxmin,MinIW,ReturnMeanIW,ESSClassic,EpThisIter,StdIWNorm,MinIWNorm,InitialReturnMax,InitialBound,Bound,MaxIW,MeanIWNorm,EpLenMean,EpRewMean,MeanEntropy,ESSRenyi,TimestepsSoFar,StdIW,MaxIWNorm,J_sample_variance
100,0.85660577,[1.117 0.8   0.   ],-76.02898,25.13198,0.6665895,29.170122861862183,1,-80.758224,3.7704654,0.85660577,0.0015390519,-49.24089,32.236748,100,0.009664511,1.5390518e-05,-55.78155,-78.72092,-62.736076,5.407613,0.0066658948,426.07,-308.3263948212564,1.3966678,3.978994,42607,0.96645117,0.054076128,5125.914
200,0.8592481,[ 1.093  0.872 -0.022],-73.08785,22.347466,0.6077402,55.1442813873291,2,-81.33395,4.2584906,0.8592481,0.01619386,-45.14448,25.599663,100,0.010360681,0.00016193859,-58.0372,-75.798965,-57.960842,7.3756003,0.0060774027,336.22,-238.48102118596435,1.4433041,4.4747806,76229,1.0360682,0.073756,6085.5645
300,0.8624295,[1.157 0.825 0.024],-74.935486,33.19465,0.4772423,84.9250750541687,3,-81.08358,4.185358,0.8624295,0.003944172,-36.398422,34.18704,100,0.0066216155,3.944172e-05,-54.557144,-77.63828,-51.97047,3.1418262,0.004772423,406.64,-290.6292926225066,1.49886,3.0125337,116893,0.6621616,0.03141826,2677.4275
400,0.85656565,[1.161 0.798 0.08 ],-77.2996,32.305233,0.47320557,119.64085698127747,4,-81.769775,2.9666884,0.85656565,0.0009063842,-35.577545,20.883759,100,0.0092103975,9.063841e-06,-60.50135,-80.02526,-51.069565,7.3669643,0.004732056,461.89,-340.91737740322947,1.4472544,3.0954738,163082,0.92103976,0.07366964,4515.422
500,0.85915285,[1.162 0.851 0.028],-74.59013,40.77626,0.3934382,149.13772296905518,5,-81.54349,4.615357,0.85915285,9.905122e-05,-29.315641,26.82673,100,0.0064978376,9.905121e-07,-54.93972,-77.30825,-46.672523,4.797962,0.0039343815,383.92,-275.45652378425,1.3820709,2.4524074,201474,0.64978373,0.04797962,2406.1235
600,0.85842305,[ 1.152  0.817 -0.037],-74.63191,17.80548,0.743912,179.0269069671631,6,-80.65718,4.8002477,0.85842305,0.00054835546,-54.289513,25.520277,100,0.012708605,5.4835546e-06,-57.77361,-77.32048,-65.63436,9.342798,0.007439119,379.61,-272.3389049823582,1.4153364,5.6162486,239435,1.2708606,0.09342798,8957.263
700,0.8581879,[ 1.2    0.871 -0.003],-72.835335,9.883323,0.8714144,206.82140064239502,7,-80.47389,4.931305,0.8581879,0.008194694,-62.730198,30.2721,100,0.013225337,8.194694e-05,-54.882935,-75.5178,-71.16326,8.731,0.008714144,339.26,-239.78409091100096,1.4433705,10.118054,273361,1.3225337,0.087309994,9560.516
800,0.858155,[1.219 0.927 0.025],-71.32317,19.541069,0.6500803,228.77263379096985,8,-79.28725,4.5393276,0.858155,0.011167696,-47.191208,27.24421,100,0.010623404,0.000111676956,-61.56485,-73.96607,-58.87426,7.633644,0.0065008034,298.48,-211.41558954447507,1.5019659,5.1174273,303209,1.0623405,0.076336436,6307.4907
900,0.8626155,[1.194 0.901 0.083],-74.47953,30.56709,0.42329872,257.12872791290283,9,-80.745636,3.7859442,0.8626155,0.00029411988,-31.142542,24.58672,100,0.0074134534,2.9411988e-06,-60.89863,-77.17106,-46.023293,5.207938,0.0042329878,381.4,-272.2079164364934,1.443359,3.2714925,341349,0.74134535,0.05207938,2914.026
1000,0.85788363,[1.339 0.872 0.024],-72.6291,1.6945,0.9343884,287.94484782218933,10,-80.24249,5.0279665,0.85788363,0.05309058,-66.9211,63.037422,100,0.0071549965,0.0005309058,-51.56039,-75.30384,-70.4029,3.0505662,0.009343883,340.82,-242.47144502431155,1.4177536,59.014458,375431,0.71549964,0.03050566,2613.664
1100,0.865627,[ 1.377  0.881 -0.001],-72.547806,19.734285,0.5537775,318.10270595550537,11,-80.162865,4.936103,0.865627,0.01699819,-41.068657,25.766535,100,0.009399552,0.0001699819,-52.11374,-75.219894,-52.938984,6.1739044,0.005537776,338.98,-239.17331222623588,1.4759088,5.067323,409329,0.9399552,0.061739042,5262.893
