ReturnMeanIW,MinIW,MaxIW,EmpiricalD2,ReturnStepMaxmin,MeanIW,StdIW,MaxIWNorm,InitialReturnMax,MeanIWNorm,TimeElapsed,Bound,MinIWNorm,MeanEntropy,ESSRenyi,InitialReturnMin,Weights,InitialReturnMean,ReturnStepMax,StdIWNorm,EpThisIter,ESSClassic,InitialReturnStd,EpisodesSoFar,EpRewMean,EpLenMean,Iteration,J_sample_variance,InitialBound,TimestepsSoFar
-58.056747,0.0030680574,9.524742,33.052383,0.8422414,0.70360804,1.3609905,0.09524742,-82.08129,0.0070360806,33.55728530883789,-73.92172,3.0680574e-05,1.4746068,3.0255005,-82.78645,[ 1.176 -0.371  0.   ],-82.54139,0.8422414,0.013609904,100,21.09026,0.13175166,100,-415.5410285653174,500.0,1,12741.716,-85.300934,50000
-59.612247,9.464161e-05,17.070198,20.760204,0.84191036,0.7223503,2.0431194,0.17070198,-81.7112,0.0072235037,70.93222832679749,-72.17768,9.464161e-07,1.4162408,4.8169084,-82.733795,[ 1.181 -0.353  0.056],-82.52084,0.84191036,0.020431193,100,11.111071,0.16177386,200,-415.3889358070493,500.0,2,28703.594,-85.27864,100000
-27.756504,0.0078120567,5.2869387,32.74493,0.8421059,0.3366513,0.6750619,0.052869387,-81.88591,0.0033665132,105.70349144935608,-43.54676,7.812057e-05,1.3993407,3.0539079,-82.782486,[ 1.194 -0.337 -0.002],-82.54894,0.8421059,0.0067506186,100,19.916626,0.13788345,300,-415.5706775252521,500.0,3,3125.5623,-85.30836,150000
-39.784107,0.005975975,3.714077,30.800728,0.84289116,0.48338792,0.7400129,0.037140768,-80.9982,0.0048338794,141.92899346351624,-55.08671,5.975975e-05,1.454002,3.2466764,-82.71916,[ 1.235 -0.005 -0.02 ],-82.295715,0.84289116,0.007400128,100,29.907711,0.3306582,400,-414.23867234840986,500.0,4,3753.1145,-85.05301,200000
-55.16758,0.0005465532,13.928888,30.089172,0.84261936,0.6700966,1.7619481,0.13928889,-81.46475,0.0067009665,174.78631687164307,-70.290855,5.4655316e-06,1.3925242,3.3234546,-82.71077,[ 1.234 -0.037  0.035],-82.333984,0.84261936,0.017619481,100,12.63629,0.24639946,500,-414.37608256056905,500.0,5,21288.006,-85.09101,250000
-76.29356,0.14351004,2.9569263,1.619303,0.8423531,0.92634696,0.58880436,0.029569263,-81.098404,0.00926347,210.34810829162598,-79.80231,0.0014351005,1.4051517,61.754967,-82.71985,[ 1.227 -0.017 -0.027],-82.29636,0.8423531,0.0058880434,100,71.22445,0.32059538,600,-414.2903885373473,500.0,6,2383.0151,-85.05369,300000
-62.32055,0.0019798754,7.271487,21.108513,0.8423294,0.7570206,1.3081785,0.07271487,-81.41263,0.0075702053,243.58816289901733,-74.98658,1.9798754e-05,1.4570183,4.7374253,-82.705246,[ 1.216 -0.093 -0.014],-82.38777,0.8423294,0.013081785,100,25.086555,0.2336028,700,-414.78177708342673,500.0,7,11667.99,-85.14462,350000
-48.90409,0.004145764,11.911732,27.897215,0.842358,0.5937461,1.4841857,0.11911731,-81.43885,0.005937461,277.5451455116272,-63.464363,4.145764e-05,1.4002049,3.5845873,-82.70092,[ 1.145 -0.066  0.038],-82.36666,0.842358,0.014841856,100,13.795982,0.25620842,800,-414.6507113622129,500.0,8,15054.146,-85.12336,400000
-77.55328,0.07682486,6.5286407,1.9172062,0.8422383,0.94013715,0.9660259,0.065286405,-81.69505,0.009401371,311.3242824077606,-81.37292,0.0007682486,1.3739667,52.159233,-82.75779,[ 1.154 -0.173 -0.019],-82.487785,0.8422383,0.009660259,100,48.64209,0.1827721,900,-415.2013169029355,500.0,9,6419.6416,-85.246376,450000
-47.445663,0.00010448334,14.720442,61.80036,0.8422955,0.57484406,1.638565,0.14720441,-81.54828,0.00574844,345.60017704963684,-69.1273,1.0448334e-06,1.3066983,1.6181135,-82.74042,[ 1.181 -0.183 -0.045],-82.47367,0.8422955,0.016385648,100,10.95882,0.20644401,1000,-415.1782287095487,500.0,10,18510.523,-85.231674,500000
-54.222176,0.009468021,8.510163,24.99454,0.8422682,0.6570953,1.2605746,0.085101634,-81.75467,0.006570953,381.1574966907501,-68.01262,9.468021e-05,1.3586208,4.000874,-82.75169,[ 0.943 -0.215 -0.112],-82.47904,0.8422682,0.012605746,100,21.36626,0.2069444,1100,-415.4072151257098,500.0,11,10933.056,-85.23744,550000
-65.67087,0.0074135517,9.920658,8.249659,0.8419663,0.79523605,1.2080796,0.09920658,-81.88919,0.00795236,414.2803921699524,-73.59243,7.413552e-05,1.3849423,12.121714,-82.73972,[ 0.938 -0.286 -0.06 ],-82.53196,0.8419663,0.012080794,100,30.231544,0.14083117,1200,-415.4974384020269,500.0,12,10070.486,-85.28995,600000
-51.470177,0.0007583871,12.143659,26.563555,0.8421194,0.6229589,1.6155654,0.12143658,-82.22525,0.0062295883,449.2521586418152,-65.69495,7.5838707e-06,1.3290286,3.7645564,-82.79866,[ 0.907 -0.481 -0.034],-82.60721,0.8421194,0.016155656,100,12.9439945,0.09519464,1300,-415.8204557825625,500.0,13,18006.73,-85.367165,650000
