ReturnStepMaxmin,MeanIW,TimestepsSoFar,EmpiricalD2,J_sample_variance,InitialReturnStd,TimeElapsed,Bound,EpThisIter,InitialBound,MinIWNorm,InitialReturnMin,MeanEntropy,Iteration,MeanIWNorm,Weights,EpisodesSoFar,MinIW,StdIWNorm,StdIW,ESSClassic,MaxIW,ESSRenyi,ReturnMeanIW,EpLenMean,ReturnStepMax,MaxIWNorm,InitialReturnMax,InitialReturnMean,EpRewMean
2.3317459,0.52554023,50000,24.123463,133.15546,1.608647,13.260940074920654,-10.439707,100,-15.524547,5.3028063e-05,-19.950998,1.4061931,1,0.0052554025,[ 1.119 -0.646  0.   ],100,0.0053028064,0.008963646,0.89636457,25.58139,5.2630305,4.145342,-7.1733527,500.0,2.3317459,0.052630305,-11.748051,-14.859514,-75.95091124819632
3.104049,0.41988143,100000,22.811403,91.00741,1.3966508,28.070695161819458,-8.15225,100,-14.425279,4.194145e-05,-17.862965,1.3749881,2,0.0041988147,[ 0.998 -0.644 -0.013],200,0.004194145,0.007788095,0.77880955,22.520489,5.0599103,4.3837724,-5.3083897,500.0,3.104049,0.050599102,-10.718912,-13.829846,-69.5129157099152
1.8468573,0.9069994,150000,4.2532396,245.2585,1.1690755,40.4196937084198,-11.295533,100,-12.687104,3.930131e-05,-15.376946,1.3544495,3,0.009069995,[ 0.893 -0.643 -0.044],300,0.003930131,0.014928772,1.4928772,26.960304,9.663308,23.51149,-10.238451,500.0,1.8468573,0.09663308,-9.520177,-12.17454,-62.00126681626147
1.9463974,0.65391386,200000,22.64666,219.84221,1.2614022,53.685418128967285,-9.602749,100,-11.691336,1.9229095e-05,-15.362745,1.3134742,4,0.0065391385,[ 0.822 -0.648 -0.065],400,0.0019229096,0.013424516,1.3424517,19.176933,8.722846,4.4156623,-7.1657815,500.0,1.9463974,0.087228455,-7.639177,-11.179243,-56.62864791448319
2.0126512,0.5682624,250000,38.98792,121.72491,1.1805447,66.38424611091614,-9.024728,100,-11.578028,1.5317977e-06,-13.54747,1.2589827,5,0.0056826244,[ 0.91  -0.647 -0.105],500,0.00015317978,0.010286247,1.0286248,23.383364,5.13501,2.564897,-6.205034,500.0,2.0126512,0.051350098,-8.688122,-11.126448,-57.25139365084016
1.7244148,0.48223153,300000,24.436558,134.63869,1.0061985,77.73939228057861,-7.5892487,100,-11.422095,4.556695e-06,-13.529293,1.2072808,6,0.0048223156,[ 0.976 -0.652 -0.16 ],600,0.0004556695,0.010251012,1.0251012,18.119907,6.164308,4.0922294,-5.359921,500.0,1.7244148,0.06164308,-8.930374,-10.971118,-56.5026869075619
2.109861,0.6526915,350000,29.282793,113.73364,1.1118968,90.36447739601135,-8.996861,100,-11.255987,2.9464303e-05,-13.450587,1.1952465,7,0.006526915,[ 1.03  -0.653 -0.212],700,0.0029464304,0.0109639475,1.0963949,26.166046,5.2142773,3.4149747,-6.5706635,500.0,2.109861,0.052142773,-8.6091385,-10.807635,-55.25610223290174
1.7558682,0.97232187,400000,1.4149438,41.266087,0.9095381,102.24078249931335,-9.770217,100,-10.085936,0.0010246875,-11.945021,1.1789274,8,0.009723219,[ 0.93  -0.652 -0.224],800,0.10246876,0.007014048,0.70140475,65.7732,4.90382,70.67419,-9.296591,500.0,1.7558682,0.049038198,-7.610155,-9.687767,-49.53479538519473
1.3482543,0.42268908,450000,16.357553,73.85016,1.0842973,114.3179132938385,-5.5155025,100,-10.165709,6.223766e-06,-12.397827,1.1233172,9,0.004226891,[ 0.947 -0.653 -0.24 ],900,0.0006223766,0.009767534,0.9767535,15.773283,6.3604574,6.113384,-3.8440905,500.0,1.3482543,0.06360457,-7.277766,-9.752447,-50.1097012959763
1.5242021,0.8125125,500000,9.19408,203.74095,0.9158135,126.38123917579651,-8.777184,100,-9.368642,0.00012307601,-11.579723,1.1679857,10,0.0081251245,[ 0.941 -0.653 -0.295],1000,0.012307601,0.014829652,1.4829654,23.088242,9.778407,10.876564,-7.6067924,500.0,1.5242021,0.09778407,-6.797145,-8.982652,-45.680115658615776
1.6167098,0.98309207,550000,1.3181369,22.923054,1.0577761,138.79889631271362,-9.56994,100,-10.003443,0.0016175958,-12.339786,1.1677622,11,0.009830921,[ 0.949 -0.652 -0.251],1100,0.16175959,0.0057439883,0.5743988,74.55006,2.5616133,75.864655,-9.097695,500.0,1.6167098,0.025616132,-7.2202234,-9.592116,-48.99646848437328
1.38491,1.0182854,600000,3.2146075,117.13422,1.0107656,150.22982668876648,-9.358579,100,-9.690951,0.00010040344,-11.812856,1.1416544,12,0.010182853,[ 0.921 -0.652 -0.251],1200,0.010040345,0.015128828,1.512883,31.178362,12.86153,31.107998,-8.65259,500.0,1.38491,0.1286153,-6.2860565,-9.29719,-47.28897565945472
1.4769197,0.49120536,650000,31.594019,70.92147,0.8489602,162.75369024276733,-6.3019557,100,-9.005431,3.9607494e-06,-10.912411,1.0927039,13,0.0049120537,[ 0.88  -0.65  -0.277],1300,0.00039607493,0.009398707,0.9398707,21.454224,4.8470664,3.1651561,-4.257386,500.0,1.4769197,0.048470665,-6.1666546,-8.6416855,-44.22633101815879
1.402311,0.4880186,700000,28.80292,45.68102,0.8684906,174.82459354400635,-5.9068294,100,-9.238191,7.2949647e-06,-10.833786,1.050723,14,0.004880186,[ 0.942 -0.652 -0.326],1400,0.0007294965,0.008792179,0.8792179,23.55275,5.011302,3.4718702,-3.9687247,500.0,1.402311,0.05011302,-6.8766003,-8.877064,-44.639055584887636
