EpThisIter,J_sample_variance,MeanEntropy,ESSClassic,InitialReturnMean,ReturnMeanIW,InitialReturnMax,MinIW,InitialReturnMin,Bound,MeanIWNorm,MinIWNorm,ESSRenyi,InitialReturnStd,MaxIW,TimeElapsed,MeanIW,TimestepsSoFar,EpisodesSoFar,EpRewMean,StdIWNorm,ReturnStepMaxmin,MaxIWNorm,Iteration,EmpiricalD2,ReturnStepMax,Weights,InitialBound,StdIW,EpLenMean
100,364.18048,1.4396644,25.9587,-15.606864,-11.178424,-11.671778,0.0025621234,-20.145878,-13.686668,0.007406188,2.5621233e-05,7.167868,1.5004225,8.515789,12.818767309188843,0.74061877,50000,100,-79.83040047023864,0.012508067,2.6313672,0.085157886,1,13.95115,2.6313672,[ 1.176 -0.371  0.   ],-16.278395,1.2508067,500.0
100,325.19443,1.3996509,18.433523,-14.71146,-8.606108,-11.989041,0.002613236,-19.796127,-11.588787,0.0058802366,2.6132358e-05,4.894461,1.5488526,7.8515363,30.812993049621582,0.58802366,100000,200,-76.11289175899898,0.0123693375,2.4361017,0.07851536,2,20.43126,2.4361017,[ 1.078 -0.374  0.021],-15.371331,1.2369338,500.0
100,526.625,1.3466526,13.992025,-15.196582,-9.503429,-11.20364,0.00016230578,-19.14607,-12.54319,0.0067676436,1.6230578e-06,4.407963,1.6073563,14.808437,44.032350063323975,0.67676437,150000,300,-77.63984253640557,0.016779013,2.8560317,0.14808437,3,22.686216,2.8560317,[ 1.169 -0.371 -0.019],-15.8347845,1.6779015,500.0
100,133.61108,1.3991773,32.751656,-14.7598,-7.8901176,-10.117758,0.0070737773,-18.288029,-10.754651,0.0051847277,7.073777e-05,4.5288043,1.3980047,2.9837887,56.80087423324585,0.51847273,200000,400,-76.09431915852392,0.007429337,2.5901248,0.029837886,4,22.080883,2.5901248,[ 1.222 -0.37  -0.072],-15.369401,0.74293375,500.0
100,650.90326,1.3496208,12.688022,-15.908652,-10.565178,-11.841853,0.0027404388,-20.948627,-12.990747,0.00727535,2.7404387e-05,8.287841,1.8281507,16.482258,68.32010531425476,0.72753495,250000,500,-81.97767996380252,0.01908507,2.3618429,0.16482258,5,12.065869,2.3618429,[ 1.229 -0.37  -0.02 ],-16.606937,1.9085072,500.0
100,212.34976,1.2929184,23.904783,-14.583814,-8.263571,-11.474894,0.0001250806,-18.309242,-12.123505,0.0060097384,1.2508059e-06,2.4999917,1.4527904,5.646274,80.15746641159058,0.6009739,300000,600,-74.81651522308248,0.010722397,2.337734,0.05646274,6,40.000134,2.337734,[ 1.194 -0.37  -0.069],-15.19412,1.0722396,500.0
100,310.37613,1.2872958,22.991285,-13.174078,-9.895452,-9.833614,0.01244577,-17.72076,-11.252058,0.008100483,0.0001244577,18.958967,1.3943512,7.989846,94.0242018699646,0.8100483,350000,700,-67.03180573283629,0.014825153,1.851935,0.07989846,7,5.274549,1.851935,[ 1.135 -0.372 -0.126],-13.764769,1.4825155,500.0
100,107.3481,1.2647108,51.497826,-12.034798,-11.176245,-9.185935,0.15701,-15.197836,-11.829956,0.009518894,0.0015701,60.05492,1.3312547,6.8760743,106.78196239471436,0.9518894,400000,800,-62.64364539776345,0.009237887,1.8320439,0.068760745,8,1.6651425,1.8320439,[ 1.058 -0.371 -0.132],-12.541392,0.9237887,500.0
100,225.42964,1.2314613,19.376692,-11.658273,-7.491645,-8.846109,0.0011601037,-14.624954,-9.771801,0.007029591,1.1601037e-05,4.5710654,1.152226,8.434822,118.0360939502716,0.7029591,450000,900,-59.83678015913525,0.014339056,1.9380417,0.08434822,9,21.876738,1.9380417,[ 1.049 -0.371 -0.154],-12.145771,1.4339057,500.0
100,158.32838,1.1721439,21.070791,-10.516576,-6.6794925,-8.177714,0.00052054407,-15.303347,-9.137663,0.0069406675,5.2054406e-06,4.3063197,1.1728884,8.002868,129.9844651222229,0.69406676,500000,1000,-53.61186375917892,0.013433206,1.7617143,0.080028675,10,23.221685,1.7617143,[ 0.961 -0.367 -0.187],-11.026688,1.3433206,500.0
