ESSClassic,EpThisIter,ReturnStepMax,Weights,RewardCompression,ESSRenyi,Bound,InitialReturnMin,InitialBound,InitialReturnStd,MeanIW,InitialReturnMax,EpisodesSoFar,EpRewMean,TimeElapsed,ReturnMeanIW,MaxIW,EmpiricalD2,MinIW,EpLenMean,ReturnStepMaxmin,MeanEntropy,StdIW,InitialReturnMean,Iteration,TimestepsSoFar
14.43858528137207,100,0.8415818810462952,[ 0.956 -1.354  0.   ],,11.168787956237793,-65.62962341308594,-82.81942749023438,-85.473145,0.05801619216799736,0.6933595633968821,-82.42302703857422,100,-416.3114262871444,33.68721127510071,-57.36909103393555,12.765585386711235,8.953522682189941,0.006460864017929625,500.0,0.8415818810462952,1.3711384534835815,1.6870197120904775,-82.71249389648438,1,50000
11.841017723083496,100,0.8416416645050049,[ 1.09  -1.456 -0.048],0.010000000000000009,3.3507091999053955,-64.17239379882812,-82.83499145507812,-85.48233,0.04857049509882927,0.5934534114688212,-82.57334899902344,200,-416.3310404904187,70.44572353363037,-49.08812713623047,12.611472885878838,29.84442901611328,0.0016951145897937025,500.0,0.8416416645050049,1.3095694780349731,1.610309618757621,-82.72076416015625,2,100000
77.07212829589844,100,0.8415622711181641,[ 1.088 -1.434 -0.109],,81.07485961914062,-82.13909912109375,-82.81768798828125,-85.47894,0.04523025453090668,0.9559278103429532,-82.55069732666016,300,-416.3476380302012,105.58274626731873,-79.07319641113281,2.9584214611713904,1.2334280014038086,0.2939262819041929,500.0,0.8415622711181641,1.2949692010879517,0.5213974218951528,-82.71835327148438,3,150000
70.02603912353516,100,0.8417547345161438,[ 1.083 -1.457 -0.124],,75.8519058227539,-82.6888427734375,-82.82047271728516,-85.488335,0.05139543116092682,0.9612107788810529,-82.58033752441406,400,-416.3703794626892,140.2934250831604,-79.51903533935547,4.704516005701769,1.3183584213256836,0.18007974509925181,500.0,0.8417547345161438,1.2783352136611938,0.6287417360896679,-82.72765350341797,4,200000
32.61451721191406,100,0.8415808081626892,[ 1.083 -1.431 -0.141],,3.977740526199341,-44.25230026245117,-82.80859375,-85.47175,0.046708427369594574,0.36776012585905654,-82.56305694580078,500,-416.34675878956915,175.17724323272705,-30.412303924560547,2.644960818863108,25.13990020751953,0.008962907295496087,500.0,0.8415808081626892,1.292980670928955,0.5287632901704477,-82.71146392822266,5,250000
90.83879089355469,100,0.8417770862579346,[ 1.07  -0.954 -0.126],,90.1368179321289,-82.88167572021484,-82.79469299316406,-85.43004,0.06771471351385117,0.9672806772242601,-82.3711929321289,600,-416.2039123095572,211.32586431503296,-79.97477722167969,1.8773904591534754,1.1094245910644531,0.23675372167551104,500.0,0.8417770862579346,1.2912510633468628,0.30687733139033074,-82.67021179199219,6,300000
90.25859069824219,100,0.8417214751243591,[ 1.006 -1.028 -0.128],,91.98338317871094,-83.58201599121094,-82.8016586303711,-85.45376,0.062001898884773254,0.9759656342113846,-82.45553588867188,700,-416.279225230962,244.27285265922546,-80.7042007446289,2.880556036988248,1.0871528387069702,0.511967215440714,500.0,0.8417214751243591,1.2996197938919067,0.32065592959620154,-82.6937026977539,7,350000
15.390335083007812,100,0.8417971730232239,[ 1.021 -0.996 -0.119],,2.5638437271118164,-63.986366271972656,-82.79397583007812,-85.449905,0.05233828350901604,0.565355369180425,-82.54521179199219,800,-416.2396137677133,279.8697307109833,-46.750553131103516,10.43551406033124,39.003936767578125,0.0003543191410771292,500.0,0.8417971730232239,1.2362643480300903,1.3258732074642734,-82.69010925292969,8,400000
13.901755332946777,100,0.8416827917098999,[ 0.997 -1.075 -0.183],0.010000000000000009,2.51869797706604,-67.00308990478516,-82.81520080566406,-85.4698,0.05452803522348404,0.5997963526518785,-82.56075286865234,900,-416.31497562497856,313.6213140487671,-49.60903549194336,12.205565596293262,39.70305252075195,0.00020800127648267942,500.0,0.8416827917098999,1.1718621253967285,1.4839819414805118,-82.70873260498047,9,450000
22.64134979248047,100,0.8415667414665222,[ 0.993 -1.044 -0.247],,6.508405685424805,-66.00452423095703,-82.82463836669922,-85.46817,0.05841750279068947,0.6670887928195188,-82.53970336914062,1000,-416.31095008060333,349.45334005355835,-55.18268585205078,6.441310093508547,15.36474609375,0.010210378502862584,500.0,0.8415667414665222,1.2080044746398926,1.2327684426961723,-82.70735168457031,10,500000
