TimestepsSoFar,MeanIW,EpRewMean,MaxIW,InitialReturnMean,InitialReturnMin,ESSClassic,ESSRenyi,EmpiricalD2,ReturnMeanIW,ReturnStepMaxmin,RewardCompression,Iteration,TimeElapsed,ReturnStepMax,EpisodesSoFar,MinIW,MeanEntropy,EpThisIter,InitialReturnMax,StdIW,Bound,EpLenMean,Weights,InitialBound,InitialReturnStd
20000,0.03417283797255805,-200.0,0.03417283797255805,-86.60204315185547,-86.6020278930664,1.0,23.58113670349121,4.240677833557129,-2.9594368934631348,1.0,0.99,1,7.212740659713745,1.0,100,0.03417283797255805,1.0116826295852661,100,-86.6020278930664,,-8.904061317443848,200.0,[-0.718  0.851  0.951 -0.346 -0.822  0.676  0.     0.     0.   ],-89.48876,1.52587890625e-05
40000,0.02827775621645295,-200.0,0.02827775621645295,-86.60204315185547,-86.6020278930664,1.0,18.839303970336914,5.308051586151123,-2.44891095161438,1.0,0.99,2,20.854331731796265,1.0,200,0.02827775621645295,1.0495365858078003,100,-86.6020278930664,,-9.099719047546387,200.0,[-0.608  0.803  0.888 -0.339 -0.825  0.672 -0.048  0.045  0.003],-89.48876,1.52587890625e-05
60000,0.02570386096960464,-200.0,0.02570386096960464,-86.60204315185547,-86.6020278930664,1.0,21.976762771606445,4.550260543823242,-2.226006507873535,1.0,0.99,3,34.81090569496155,1.0,300,0.02570386096960464,1.0764626264572144,100,-86.6020278930664,,-8.383797645568848,200.0,[-0.54   0.779  0.845 -0.338 -0.825  0.671 -0.126  0.051  0.075],-89.48876,1.52587890625e-05
80000,0.012138470193207376,-200.0,0.012138470193207376,-86.60204315185547,-86.6020278930664,1.0,34.336849212646484,2.912322998046875,-1.0512161254882812,1.0,0.99,4,48.34167790412903,1.0,400,0.012138470193207376,1.0903459787368774,100,-86.6020278930664,,-5.977581024169922,200.0,[-0.45   0.727  0.807 -0.334 -0.826  0.668 -0.194  0.08   0.113],-89.48876,1.52587890625e-05
100000,0.09160493043852115,-200.0,0.09160493043852115,-86.60204315185547,-86.6020278930664,1.0,12.513283729553223,7.991507530212402,-7.933173179626465,1.0,0.99,5,61.754005432128906,1.0,500,0.09160493043852115,1.0973782539367676,100,-86.6020278930664,,-16.0937557220459,200.0,[-0.367  0.701  0.749 -0.332 -0.826  0.666 -0.248  0.104  0.144],-89.48876,1.52587890625e-05
120000,0.4161027621786138,-200.0,0.4161027621786138,-86.60204315185547,-86.6020278930664,1.0,2.27262806892395,44.001922607421875,-36.035343170166016,1.0,0.99,6,73.62789011001587,1.0,600,0.4161027621786138,1.0885077714920044,100,-86.6020278930664,,-55.18418884277344,200.0,[-0.29   0.661  0.713 -0.331 -0.826  0.665 -0.349  0.17   0.179],-89.48876,1.52587890625e-05
140000,0.06878803649248812,-200.0,0.06878803649248812,-86.60204315185547,-86.6020278930664,1.0,12.752876281738281,7.841368198394775,-5.957183361053467,1.0,0.99,7,85.34070229530334,1.0,700,0.06878803649248812,1.0963971614837646,100,-86.6020278930664,,-14.04074478149414,200.0,[-0.302  0.729  0.657 -0.331 -0.824  0.662 -0.212  0.01   0.202],-89.48876,1.52587890625e-05
160000,0.22581833058041467,-200.0,0.22581833058041467,-86.60204315185547,-86.6020278930664,1.0,6.325711727142334,15.80849838256836,-19.556325912475586,1.0,0.99,8,97.73907518386841,1.0,800,0.22581833058041467,1.0953844785690308,100,-86.6020278930664,,-31.033952713012695,200.0,[-0.237  0.676  0.645 -0.33  -0.823  0.661 -0.307  0.103  0.203],-89.48876,1.52587890625e-05
180000,0.2254221439972469,-200.0,0.2254221439972469,-86.60204315185547,-86.6020278930664,1.0,4.784976482391357,20.898744583129883,-19.522014617919922,1.0,0.99,9,109.4787962436676,1.0,900,0.2254221439972469,1.0952262878417969,100,-86.6020278930664,,-32.7187614440918,200.0,[-0.22   0.609  0.695 -0.33  -0.823  0.661 -0.3    0.214  0.086],-89.48876,1.52587890625e-05
200000,0.2066803651251721,-200.0,0.2066803651251721,-86.60204315185547,-86.6020278930664,1.0,7.69342565536499,12.9981107711792,-17.89893913269043,1.0,0.99,10,120.19246077537537,1.0,1000,0.2066803651251721,1.0971522331237793,100,-86.6020278930664,,-28.30645179748535,200.0,[-0.187  0.674  0.597 -0.327 -0.822  0.657 -0.228  0.074  0.154],-89.48876,1.52587890625e-05
