InitialReturnMin,ESSClassic,InitialReturnMax,TimestepsSoFar,Bound,ReturnMeanIW,Iteration,ReturnStepMaxmin,MaxIW,MeanEntropy,MinIW,InitialReturnStd,TimeElapsed,ESSRenyi,EpLenMean,InitialReturnMean,EpThisIter,EpisodesSoFar,MeanIW,EmpiricalD2,ReturnStepMax,RewardCompression,EpRewMean,InitialBound,StdIW,Weights
-20.145877838134766,25.756324768066406,-11.671777725219727,50000,-13.686540603637695,-11.179431915283203,1,2.6313672065734863,8.504751175485447,1.4396311044692993,0.002566819012255101,1.500422477722168,15.571891784667969,7.174368858337402,500.0,-15.606863975524902,100,100,0.7408171484673616,13.938508033752441,2.6313672065734863,,-79.83040047023864,-16.278393,1.2507813359020288,[ 1.176 -0.371  0.   ]
-19.793230056762695,18.87388801574707,-11.987264633178711,100000,-11.593243598937988,-8.679159164428711,2,2.435724973678589,8.26828189806671,1.399166464805603,0.002823576313240168,1.5486268997192383,34.645498514175415,5.126093864440918,500.0,-14.709308624267578,100,200,0.5948328086522264,19.508031845092773,2.435724973678589,,-76.10171712865045,-15.369083,1.2509185003684808,[ 1.078 -0.374  0.021]
-19.09625816345215,14.948638916015625,-11.169644355773926,150000,-12.501264572143555,-9.591657638549805,3,2.8498361110687256,14.934504662831854,1.3469406366348267,0.00020237843613802253,1.6033462285995483,47.903520345687866,4.786139488220215,500.0,-15.15451431274414,100,300,0.6830813215269851,20.893665313720703,2.8498361110687256,,-77.42105804116225,-15.791057,1.683185046749318,[ 1.166 -0.371 -0.02 ]
-18.263717651367188,31.942155838012695,-10.10763931274414,200000,-10.744538307189941,-7.8678107261657715,4,2.5907986164093018,2.981988333312889,1.3996503353118896,0.007002936255685447,1.39662504196167,63.15839862823486,4.478559494018555,500.0,-14.745613098144531,100,400,0.5174688608672817,22.3286075592041,2.5907986164093018,,-76.01730080589861,-15.3544035,0.7425389905869988,[ 1.22  -0.37  -0.072]
-20.925033569335938,14.129924774169922,-11.834362030029297,250000,-12.967798233032227,-10.286957740783691,5,2.36065936088562,16.01456402540517,1.347607970237732,0.0018654727660813533,1.8264057636260986,75.06394147872925,6.76936149597168,500.0,-15.896533966064453,100,500,0.7078626841705221,14.772441864013672,2.36065936088562,,-81.90945259945039,-16.594036,1.8947995600659056,[ 1.228 -0.37  -0.019]
-18.281387329101562,24.13025665283203,-11.459188461303711,300000,-13.104592323303223,-11.077126502990723,6,2.3301942348480225,9.06376507455105,1.3320276737213135,0.0032177439729068036,1.4501698017120361,88.27149820327759,9.03376579284668,500.0,-14.561415672302246,100,600,0.8251386233108703,11.069581031799316,2.3301942348480225,,-74.70014634534964,-15.170795,1.5138048533133635,[ 1.195 -0.37  -0.071]
-17.938858032226562,24.260549545288086,-9.998981475830078,350000,-11.548249244689941,-10.172165870666504,7,1.9152246713638306,8.039859431860117,1.3252633810043335,0.014328805423028283,1.4181435108184814,98.49985718727112,18.88241195678711,500.0,-13.385807991027832,100,700,0.8207514592970577,5.295933723449707,1.9152246713638306,,-68.05539345135944,-13.98377,1.4994843460819691,[ 1.101 -0.37  -0.087]
-15.367480278015137,56.462894439697266,-9.472362518310547,400000,-12.001094818115234,-11.348288536071777,8,1.9367878437042236,6.490641155034114,1.3034807443618774,0.174315704632265,1.3473883867263794,112.05045104026794,61.573604583740234,500.0,-12.237744331359863,100,800,0.9503020242753376,1.624072551727295,1.9367878437042236,,-63.57108878852615,-12.749993,0.8792135421186793,[ 1.02  -0.369 -0.094]
-14.899821281433105,20.148794174194336,-9.130853652954102,450000,-9.888551712036133,-7.470538139343262,9,2.0372819900512695,8.290517016786806,1.2706975936889648,0.000964610053268896,1.1641703844070435,123.28639388084412,4.218926906585693,500.0,-11.859959602355957,100,900,0.6896640139502125,23.702709197998047,2.0372819900512695,,-60.81994387110895,-12.356621,1.4067452559499807,[ 1.012 -0.37  -0.116]
-15.544282913208008,18.250356674194336,-8.304473876953125,500000,-9.254356384277344,-6.740333080291748,10,1.8654512166976929,11.528522023249575,1.21196448802948,0.0004438194384456346,1.1836680173873901,136.1465311050415,4.247763156890869,500.0,-10.680253982543945,100,1000,0.6818697704364135,23.54180145263672,1.8654512166976929,,-54.32173171512283,-11.198397,1.4669733676840708,[ 0.917 -0.365 -0.148]
