EpLenMean,J_sample_variance,EpThisIter,MeanIW,Iteration,Bound,MaxIW,ESSClassic,EpisodesSoFar,EmpiricalD2,ReturnMeanIW,TimeElapsed,Weights,MeanEntropy,InitialReturnMax,MeanIWNorm,InitialReturnMin,ReturnStepMaxmin,MaxIWNorm,ESSRenyi,TimestepsSoFar,StdIWNorm,MinIW,InitialBound,InitialReturnMean,MinIWNorm,EpRewMean,ReturnStepMax,InitialReturnStd,StdIW
500.0,19804.406,100,0.6943195,1,-65.70233,12.809537,14.419943,100,8.938922,-57.448536,39.351922035217285,[ 0.956 -1.354  0.   ],1.3711385,-82.42303,0.006943194,-82.81943,0.8415819,0.12809537,11.187032,50000,0.016914682,0.006475391,-85.47314,-82.712494,6.4753905e-05,-416.3114262871444,0.8415819,0.058016196,1.6914682
500.0,17429.486,100,0.5815901,2,-63.58216,12.604725,11.8212595,200,31.423452,-48.105083,81.47829747200012,[ 1.087 -1.455 -0.048],1.3093296,-82.57787,0.0058159,-82.82916,0.8416419,0.12604724,3.1823366,100000,0.015884262,0.0017325822,-85.48144,-82.72047,1.7325821e-05,-416.33431891947987,0.8416419,0.04837081,1.5884264
500.0,2041.7283,100,0.95627135,3,-82.19019,3.0677226,75.58291,300,1.2529503,-79.100235,121.33051443099976,[ 1.088 -1.419 -0.11 ],1.2939919,-82.58786,0.009562714,-82.81467,0.8415623,0.030677225,79.81162,150000,0.005435208,0.28000054,-85.47718,-82.71669,0.0028000053,-416.338762409389,0.8415623,0.043158814,0.54352087
500.0,2670.3586,100,0.9616906,4,-82.716805,4.729871,70.54835,400,1.3085355,-79.55883,163.3944010734558,[ 1.082 -1.44  -0.125],1.2774035,-82.60666,0.009616906,-82.8204,0.8417601,0.047298707,76.42132,200000,0.006213649,0.1867446,-85.48822,-82.72755,0.001867446,-416.36642262384294,0.8417601,0.051301964,0.6213649
500.0,1638.5115,100,0.35558206,5,-44.276085,2.513826,34.756176,500,29.012016,-29.405228,202.29105305671692,[ 1.083 -1.42  -0.141],1.2883334,-82.56917,0.0035558203,-82.82632,0.8415833,0.025138259,3.4468477,250000,0.0048718457,0.007464425,-85.47342,-82.71254,7.464425e-05,-416.35382704824207,0.8415833,0.046192963,0.48718455
500.0,966.82306,100,0.9612868,6,-82.47003,2.2163217,86.86209,600,1.1747773,-79.47893,240.22919702529907,[ 1.079 -0.926 -0.13 ],1.2873082,-82.37056,0.009612869,-82.789406,0.84178495,0.022163216,85.12252,300000,0.0037385297,0.16547719,-85.42647,-82.666824,0.0016547719,-416.1907606180012,0.84178495,0.07110898,0.373853
500.0,721.0021,100,0.97774523,7,-83.727875,2.8880835,90.155396,700,1.0884801,-80.8485,279.822252035141,[ 1.    -1.018 -0.132],1.295883,-82.46879,0.009777451,-82.79583,0.84172297,0.028880835,91.87122,350000,0.0032309387,0.5066144,-85.450066,-82.69019,0.005066144,-416.26552476868034,0.84172297,0.06381421,0.32309386
500.0,11366.256,100,0.55304605,8,-63.54986,9.891663,15.6714,800,41.656807,-45.73603,319.66233015060425,[ 1.015 -0.989 -0.123],1.231702,-82.53127,0.0055304603,-82.80098,0.8417989,0.09891663,2.400568,400000,0.012829061,0.000345949,-85.45224,-82.69221,3.4594898e-06,-416.2406980213523,0.8417989,0.051738996,1.282906
500.0,15116.4795,100,0.59066266,9,-66.97913,12.102566,13.753174,900,43.105972,-48.85353,360.0001394748688,[ 0.989 -1.074 -0.187],1.1667862,-82.56145,0.005906627,-82.82185,0.8416813,0.12102565,2.3198643,450000,0.0147914095,0.00018473377,-85.46933,-82.70861,1.8473377e-06,-416.31904814735054,0.8416813,0.05454204,1.4791411
500.0,9947.656,100,0.6720541,10,-65.92513,6.0908084,23.895977,1000,14.000488,-55.595448,402.30237793922424,[ 0.987 -1.06  -0.252],1.2043009,-82.54437,0.0067205424,-82.82028,0.8415731,0.060908083,7.142608,500000,0.011993493,0.011756608,-85.47118,-82.71051,0.00011756608,-416.3245428712666,0.8415731,0.059387114,1.1993494
