MinNormIw,MaxNormIw,AvgNormIw,Bound,IterType,VarJ,VarVanillaIw,VarNormIw,VarDiscRet,VanillaAvgRet,AvgRet,EpsThisIter,ESSClassic,ESSRenyi,AvgVanillaIw,AvgEpLen,VarRet,Delta,AvgDiscRet,MinVanillaIw,MaxVanillaIw,eRenyi2,J,BatchSize
0.00787218,0.011854,0.01,-1532.71,1,67.1163,0.00630421,6.36504e-07,7229.7472696,-1141.40183295,-1141.40183295,100,99.3737944977,99.5845956598,0.99521,500.0,7229.7472696,0.2,-1141.40183295,0.783447,1.17972,1.00417,-1139.65,100
0.00815185,0.0112052,0.01,-1432.59,1,41.2901,0.00251785,2.53189e-07,1918.84608644,-1136.59678333,-1136.59678333,100,99.7499765995,99.795866338,0.997224,500.0,1918.84608644,0.2,-1136.59678333,0.812922,1.11741,1.00205,-1135.98,100
0.00507591,0.0782494,0.01,-1353.42,1,186.175,0.535441,5.21639e-05,1154.1045699,-1129.24952776,-1129.24952776,100,65.9446606727,89.0602205387,1.01314,500.0,1154.1045699,0.2,-1129.24952776,0.514262,7.92777,1.12284,-1111.92,100
0.00435988,0.0140262,0.01,-1477.2,1,86.8639,0.0200237,1.99895e-06,11930.1643692,-1135.42759993,-1135.42759993,100,98.059426525,98.2643104309,1.00086,500.0,11930.1643692,0.2,-1135.42759993,0.436361,1.40382,1.01766,-1128.31,100
0.00582376,0.0113877,0.01,-1529.29,1,65.1838,0.00751404,7.52358e-07,9021.79472257,-1139.41193328,-1139.41193328,100,99.2606688202,99.2658316224,0.999366,500.0,9021.79472257,0.2,-1139.41193328,0.582007,1.13804,1.0074,-1135.78,100
0.00939218,0.0102937,0.01,-1376.89,1,9.23547,0.000290284,2.88881e-08,96.0431313179,-1135.43925865,-1135.43925865,100,99.9714156583,99.9682884675,1.00243,500.0,96.0431313179,0.2,-1135.43925865,0.941496,1.03187,1.00032,-1135.36,100
0.00632193,0.020734,0.01,-1374.88,1,118.952,0.053276,5.1873e-06,4392.22570039,-1124.22867215,-1124.22867215,100,95.1154457196,96.0679912354,1.01343,500.0,4392.22570039,0.2,-1124.22867215,0.640686,2.10125,1.04093,-1115.16,100
0.00312807,0.0586614,0.01,-1341.58,1,283.484,0.685053,5.79551e-05,9664.96244174,-1109.98709722,-1109.98709722,100,63.5422748676,77.1438253777,1.08722,500.0,9664.96244174,0.2,-1109.98709722,0.340089,6.37776,1.29628,-1053.26,100
0.00600319,0.015335,0.01,-1515.8,1,173.189,0.0279928,2.70743e-06,26177.6903823,-1127.30352743,-1127.30352743,100,97.3896129688,97.6004910852,1.01682,500.0,26177.6903823,0.2,-1127.30352743,0.610417,1.5593,1.02459,-1118.8,100
0.00422507,0.0423174,0.01,-1471.41,1,264.957,0.24733,2.37784e-05,22684.2978727,-1098.30933151,-1098.30933151,100,80.9450330697,88.3363784078,1.01988,500.0,22684.2978727,0.2,-1098.30933151,0.430904,4.31584,1.13204,-1057.77,100
0.00398198,0.0122462,0.01,-1525.82,1,120.08,0.0298499,2.91431e-06,34999.3122602,-1143.26991778,-1143.26991778,100,97.1957678024,96.3434853416,1.01205,500.0,34999.3122602,0.2,-1143.26991778,0.402998,1.23938,1.03795,-1126.65,100
0.00284488,0.0286846,0.01,-1358.73,1,225.986,0.190255,2.1137e-05,11082.8005591,-1109.35051021,-1109.35051021,100,82.6954466339,85.1038220798,0.948739,500.0,11082.8005591,0.2,-1109.35051021,0.269905,2.72142,1.17504,-1074.78,100
0.00505367,0.0192671,0.01,-1483.02,1,247.857,0.0667237,6.40936e-06,53519.3156432,-1100.3621374,-1100.3621374,100,94.0333315518,93.6775163008,1.02031,500.0,53519.3156432,0.2,-1100.3621374,0.515632,1.96585,1.06749,-1078.0,100
0.00230284,0.0217707,0.01,-1472.61,1,220.593,0.128654,1.47151e-05,31464.5644612,-1096.13023863,-1096.13023863,100,87.2844316332,89.7233751171,0.93504,500.0,31464.5644612,0.2,-1096.13023863,0.215324,2.03565,1.11454,-1058.67,100
4.07626e-05,0.183683,0.01,-1239.56,1,629.298,3.39157,0.000367677,31079.0149329,-1049.03488197,-1049.03488197,100,21.5517338097,48.5617377683,0.960434,500.0,31079.0149329,0.2,-1049.03488197,0.00391498,17.6415,2.05923,-872.33,100
0.000815447,0.0320604,0.01,-1363.5,1,338.781,0.572718,5.86396e-05,96519.1566342,-1030.95469632,-1030.95469632,100,63.2698259044,75.0515449898,0.988268,500.0,96519.1566342,0.2,-1030.95469632,0.080588,3.16843,1.33242,-910.827,100
0.000319205,0.0246957,0.01,-1258.47,1,224.295,0.429854,3.99196e-05,81461.2858868,-920.413157271,-920.413157271,100,71.6740973898,74.1327197649,1.03769,500.0,81461.2858868,0.2,-920.413157271,0.0331236,2.56264,1.34893,-803.584,100
0.00154121,0.0186781,0.01,-1174.18,1,192.767,0.192404,1.68153e-05,73275.3117286,-818.20995131,-818.20995131,100,85.7286465828,84.659196246,1.06968,500.0,73275.3117286,0.2,-818.20995131,0.164861,1.99797,1.18121,-747.657,100
0.00126655,0.0194876,0.01,-1144.71,1,209.567,0.184174,1.85186e-05,76189.833801,-788.14144985,-788.14144985,100,84.5069540015,86.1465039614,0.997262,500.0,76189.833801,0.2,-788.14144985,0.126308,1.94342,1.16081,-722.079,100
0.0019898,0.0232453,0.01,-1105.22,1,128.68,0.191401,1.93203e-05,38801.8263367,-740.210260912,-740.210260912,100,83.9439745349,89.0186647616,0.995324,500.0,38801.8263367,0.2,-740.210260912,0.19805,2.31366,1.12336,-689.891,100
0.00273824,0.0166059,0.01,-1096.36,1,168.458,0.134532,1.3903e-05,70701.0094562,-727.073288596,-727.073288596,100,87.901286668,90.1895445124,0.983689,500.0,70701.0094562,0.2,-727.073288596,0.269358,1.63351,1.10878,-683.532,100
0.00220652,0.0232174,0.01,-899.378,1,108.629,0.183562,1.92037e-05,14644.8541903,-672.583153315,-672.583153315,100,84.0253779174,86.7662509953,0.977685,500.0,14644.8541903,0.2,-672.583153315,0.215728,2.26993,1.15252,-637.604,100
0.00193335,0.0182595,0.01,-849.818,1,73.81,0.11768,1.22696e-05,10805.7507673,-645.272012258,-645.272012258,100,89.1687912165,90.2919896747,0.979346,500.0,10805.7507673,0.2,-645.272012258,0.189341,1.78824,1.10752,-619.525,100
0.00330154,0.0143853,0.01,-1019.03,1,94.265,0.044511,4.19338e-06,27939.2424752,-639.107344148,-639.107344148,100,96.014021666,95.9642894118,1.03027,500.0,27939.2424752,0.2,-639.107344148,0.340148,1.48207,1.04205,-619.073,100
0.00464572,0.0137797,0.01,-1010.44,1,95.7776,0.02694,2.58755e-06,23373.1462207,-625.622966713,-625.622966713,100,97.5023309735,97.1967805958,1.02036,500.0,23373.1462207,0.2,-625.622966713,0.474032,1.40603,1.02884,-612.801,100
0.00293537,0.0178159,0.01,-811.114,1,71.8425,0.10453,1.06445e-05,7815.23792302,-618.040502376,-618.040502376,100,90.4665990604,92.3072115229,0.990967,500.0,7815.23792302,0.2,-618.040502376,0.290885,1.7655,1.08334,-600.368,100
0.00220839,0.0214745,0.01,-825.161,1,73.1362,0.13703,1.35156e-05,9739.56770146,-607.858417536,-607.858417536,100,88.1986103359,90.9902828163,1.00691,500.0,9739.56770146,0.2,-607.858417536,0.222365,2.16228,1.09902,-583.805,100
0.00416384,0.014365,0.01,-758.02,1,56.3525,0.0467808,4.77192e-06,3620.2506451,-597.178113476,-597.178113476,100,95.4889076747,96.1718071709,0.990118,500.0,3620.2506451,0.2,-597.178113476,0.41227,1.4223,1.03981,-590.685,100
0.0043864,0.0129086,0.01,-849.825,1,75.8656,0.0389116,4.06797e-06,10487.326408,-593.702494145,-593.702494145,100,96.1286244201,97.302826136,0.978027,500.0,10487.326408,0.2,-593.702494145,0.429001,1.2625,1.02772,-585.287,100
0.00218821,0.0175471,0.01,-764.664,1,65.38,0.0879899,9.81074e-06,4603.81613718,-603.183811583,-603.183811583,100,91.1472151619,92.9686009894,0.947034,500.0,4603.81613718,0.2,-603.183811583,0.207231,1.66177,1.07563,-589.722,100
0.00407845,0.0180389,0.01,-733.203,1,59.618,0.0825255,7.76676e-06,3425.57020181,-587.1637743,-587.1637743,100,92.8599027637,94.0960257294,1.0308,500.0,3425.57020181,0.2,-587.1637743,0.420406,1.85944,1.06274,-578.194,100
0.00350738,0.0148784,0.01,-709.431,1,52.3842,0.0835021,9.07358e-06,2751.3040705,-571.342003457,-571.342003457,100,91.7575767621,93.8585930556,0.959311,500.0,2751.3040705,0.2,-571.342003457,0.336467,1.4273,1.06543,-562.53,100
0.00352204,0.0178134,0.01,-696.553,1,59.386,0.0865078,9.59239e-06,3217.85024357,-562.87828408,-562.87828408,100,91.3271807229,93.479841332,0.949652,500.0,3217.85024357,0.2,-562.87828408,0.334471,1.69166,1.06975,-553.581,100
0.00328106,0.0150704,0.01,-699.187,1,56.874,0.0746946,7.71477e-06,3339.43997136,-559.511440543,-559.511440543,100,92.9043034452,93.7499008143,0.983973,500.0,3339.43997136,0.2,-559.511440543,0.322848,1.48288,1.06667,-550.225,100
0.00218114,0.0140428,0.01,-745.446,1,51.2383,0.0796386,8.16756e-06,4266.27415935,-560.323512999,-560.323512999,100,92.5190183133,94.9678929218,0.987451,500.0,4266.27415935,0.2,-560.323512999,0.215377,1.38666,1.05299,-548.905,100
0.00384328,0.0172419,0.01,-727.456,1,58.5361,0.0889497,9.62046e-06,3953.74631607,-563.194440674,-563.194440674,100,91.3040094908,94.1292008059,0.961555,500.0,3953.74631607,0.2,-563.194440674,0.369553,1.6579,1.06237,-553.612,100
0.00338822,0.0147339,0.01,-677.994,1,56.2976,0.0832679,8.3404e-06,3139.11402732,-543.758417408,-543.758417408,100,92.3727891803,94.5830652659,0.999184,500.0,3139.11402732,0.2,-543.758417408,0.338546,1.47218,1.05727,-535.935,100
0.0030365,0.0178247,0.01,-773.717,1,60.0889,0.0401118,3.84252e-06,7144.91712272,-550.365876545,-550.365876545,100,96.3353032132,97.2938090224,1.02171,500.0,7144.91712272,0.2,-550.365876545,0.310242,1.82116,1.02781,-542.231,100
0.00525423,0.0221032,0.01,-664.663,1,48.8905,0.0696281,6.87021e-06,2187.7504233,-539.121441741,-539.121441741,100,93.6315899287,95.4269917547,1.00672,500.0,2187.7504233,0.2,-539.121441741,0.528952,2.22517,1.04792,-533.435,100
0.00305074,0.0224811,0.01,-660.368,1,64.2056,0.138693,1.3775e-05,3352.96753983,-530.890820105,-530.890820105,100,87.9993242456,91.6019404489,1.00342,500.0,3352.96753983,0.2,-530.890820105,0.306116,2.25579,1.09168,-519.609,100
0.00557288,0.0163805,0.01,-657.878,1,53.3435,0.0452803,4.62719e-06,2622.6021542,-524.583960634,-524.583960634,100,95.619727985,95.7559054327,0.989226,500.0,2622.6021542,0.2,-524.583960634,0.551284,1.6204,1.04432,-519.123,100
0.00486173,0.0138314,0.01,-659.193,1,46.5814,0.0436224,4.43216e-06,2312.81391384,-528.873382143,-528.873382143,100,95.7966047197,95.8485218654,0.992081,500.0,2312.81391384,0.2,-528.873382143,0.482323,1.37219,1.04331,-523.262,100
0.00523579,0.0176762,0.01,-647.169,1,47.6805,0.0323801,3.21437e-06,2132.33934106,-521.987284585,-521.987284585,100,96.9159114191,97.4239345871,1.00367,500.0,2132.33934106,0.2,-521.987284585,0.525501,1.77411,1.02644,-518.913,100
0.00568677,0.0145054,0.01,-652.339,1,53.2637,0.0240263,2.42501e-06,3034.8523593,-520.131643884,-520.131643884,100,97.6554917774,97.3836258307,0.995374,500.0,3034.8523593,0.2,-520.131643884,0.566046,1.44382,1.02687,-516.565,100
