AvgNormIw,eRenyi2,ESSRenyi,VarNormIw,BatchSize,VarVanillaIw,MaxNormIw,VanillaAvgRet,Bound,MinVanillaIw,MinNormIw,VarRet,VarJ,AvgEpLen,ESSClassic,AvgDiscRet,J,AvgVanillaIw,VarDiscRet,AvgRet,MaxVanillaIw
0.01,2.7929547,35.80437613177036,0.00021975042,100,1.4610124,0.047971997,-2476.0624563109873,-885.6787,3.189029e-17,3.9110772e-19,5854078.3797523,193.75117,200.0,31.490812080238612,-2476.0624563109873,-76.01657,0.81538385,5854078.3797523,-2476.0624563109873,3.911559
0.01,1.0931578,91.4781039887146,7.713785e-06,100,0.080971986,0.012650913,-66.0263481226152,-268.11472,0.11350514,0.0011078523,146352.54760328954,48.04052,200.0,92.9051533104598,-66.0263481226152,-17.177668,1.0245512,146352.54760328954,-66.0263481226152,1.2961507
0.009999998,2.8947814,34.54492338855371,0.00019123603,100,1.6644443,0.043344762,-8.797826661779396,-11.30647,1.2887314e-15,1.3813782e-17,67.78007669979317,7.7187757,200.0,34.56336885625949,-8.797826661779396,-5.6358495,0.9329316,67.78007669979317,-8.797826661779396,4.04377
0.01,11.577367,8.637542670775154,0.0010409418,100,12.484459,0.14593066,-8.124453213897006,-9.360015,,,52.90854547215137,10.16126,200.0,8.845390596806494,-8.124453213897006,-2.6970997,1.0951451,52.90854547215137,-8.124453213897006,15.981524
0.01,1.052371,95.02352080805372,3.2126222e-06,100,0.03497897,0.011548271,-8.003603793296485,-9.887027,0.20060124,0.0019224716,49.20287109558314,7.0207505,200.0,96.91753041554065,-8.003603793296485,-7.871116,1.0434549,49.20287109558314,-8.003603793296485,1.20501
0.01,1.0221364,97.83429601616551,2.1197593e-06,100,0.020833261,0.01291177,-7.260137801801384,-9.150707,0.6650648,0.0067085493,44.903072782615304,6.639389,200.0,97.94460479338754,-7.260137801801384,-7.220425,0.991369,44.903072782615304,-7.260137801801384,1.2800329
0.010000002,1.0181149,98.22073874017967,1.456435e-06,100,0.01415071,0.013015004,-6.892845971269882,-8.782056,0.72442937,0.0073494106,44.94517370653923,6.7744036,200.0,98.57861320500925,-6.892845971269882,-6.8595943,0.98569727,44.94517370653923,-6.892845971269882,1.2828853
0.01,1.1053807,90.46657330922648,5.1666025e-06,100,0.04701697,0.019808717,-7.411010411752317,-9.204683,0.71841836,0.007530999,41.823585034227264,6.410469,200.0,95.13395683506498,-7.411010411752317,-7.207594,0.95394826,41.823585034227264,-7.411010411752317,1.8896492
0.01,1.7509968,57.11032618471169,8.7669825e-05,100,0.7275681,0.026210917,-6.972412198358191,-8.261467,0.00013364846,1.4670746e-06,49.09430895897991,8.311985,200.0,53.53515973907396,-6.972412198358191,-5.6643515,0.9109861,49.09430895897991,-6.972412198358191,2.387778
0.010000003,1.0524188,95.01920465356467,4.549554e-06,100,0.048247837,0.011750529,-7.453019322137177,-9.324835,0.28120548,0.0027306704,51.572342346203655,7.0771575,200.0,95.69004745275303,-7.453019322137177,-7.3067923,1.0298039,51.572342346203655,-7.453019322137177,1.210074
0.01,1.02218,97.83013147915831,2.7010644e-06,100,0.026909305,0.011281354,-7.66007346816718,-9.5565605,0.17862093,0.0017895697,46.60724821704615,6.796978,200.0,97.39559688827975,-7.66007346816718,-7.618399,0.9981223,46.60724821704615,-7.66007346816718,1.1260171
0.01,1.5443199,64.75342451160947,6.8260735e-05,100,0.4948552,0.024121284,-6.430262777605337,-7.9036336,4.7696383e-05,5.6018547e-07,39.035334014949775,8.179842,200.0,59.67366239378932,-6.430262777605337,-5.536705,0.8514391,39.035334014949775,-6.430262777605337,2.0537806
0.01,1.0107151,98.9398469751641,7.357205e-07,100,0.0074656215,0.010889138,-7.6925715093165,-9.636364,0.5874373,0.005831563,55.712224941501404,7.5009313,200.0,99.27689517679514,-7.6925715093165,-7.663848,1.007341,55.712224941501404,-7.6925715093165,1.0969076
0.009999999,2.0794897,48.08872081350037,9.66989e-05,100,0.9976269,0.028017178,-8.047440685355832,-9.262986,3.635532e-09,3.579272e-11,44.77625677203923,7.311218,200.0,51.09029472623956,-8.047440685355832,-6.557223,1.0157183,44.77625677203923,-8.047440685355832,2.845756
0.01,1.3665942,73.17461199461995,4.088097e-05,100,0.3972793,0.01797624,-7.9858805119345115,-9.565577,0.0056488304,5.7302183e-05,46.93340603398037,8.040952,200.0,71.18848230946755,-7.9858805119345115,-7.3146358,0.98579675,46.93340603398037,-7.9858805119345115,1.7720919
