AvgVanillaIw,MinNormIw,VarJ,AvgEpLen,VanillaAvgRet,VarVanillaIw,ESSClassic,Delta,Bound,VarRet,AvgRet,MaxVanillaIw,J,EpsThisIter,ESSRenyi,AvgDiscRet,MaxNormIw,BatchSize,AvgNormIw,VarNormIw,eRenyi2,VarDiscRet,IterType,MinVanillaIw
1.07789,0.000211847,255.35,16.22,148.633342213,2.25474,34.231983089,0.1,28.8447,11304.0493578,148.633342213,10.3581,240.6,100,56.3552309624,148.633342213,0.0960965,100,0.01,0.000194065,1.77446,11304.0493578,1,0.0228347
1.21093,0.00107342,319.502,20.86,192.070533337,1.95072,43.1588583461,0.1,41.0205,12426.4429368,192.070533337,8.67503,278.184,100,60.185331269,192.070533337,0.0716395,100,0.01,0.000133032,1.66153,12426.4429368,1,0.129983
1.18066,4.39774e-05,1760.81,22.59,208.20391345,15.9826,8.09645309437,0.1,-14.5181,16944.8834982,208.20391345,39.4989,478.597,100,36.7744402321,208.20391345,0.33455,100,0.01,0.00114657,2.71928,16944.8834982,1,0.00519221
1.74745,8.01228e-05,1320.78,26.73,246.563525367,115.88,2.59274510679,0.1,139.398,20922.5751301,246.563525367,108.049,635.432,100,26.2202815369,246.563525367,0.618324,100,0.01,0.00379486,3.81384,20922.5751301,1,0.0140011
0.916681,0.000808824,361.356,32.19,297.656833317,0.269013,75.9337536286,0.1,-2.66568,35335.6594856,297.656833317,3.64082,358.592,100,80.6884686087,297.656833317,0.0397174,100,0.01,3.20138e-05,1.23933,35335.6594856,1,0.0741433
0.972169,0.000865229,297.153,37.36,345.655043938,0.344507,73.4824497161,0.1,48.8564,40185.6066921,345.655043938,3.63544,418.303,100,78.7036567058,345.655043938,0.0373952,100,0.01,3.64514e-05,1.27059,40185.6066921,1,0.0841148
1.0329,0.00201598,508.872,44.11,407.825788434,0.427869,71.5800755557,0.1,-126.982,72043.346156,407.825788434,4.75971,513.144,100,80.0662092304,407.825788434,0.0460811,100,0.01,4.01047e-05,1.24897,72043.346156,1,0.20823
2.27624,3.91143e-05,989.224,46.47,429.891952022,185.059,2.75028255469,0.1,262.264,43330.6193369,429.891952022,136.687,745.851,100,42.5980835096,429.891952022,0.600495,100,0.01,0.00357171,2.34752,43330.6193369,1,0.00890334
1.26227,5.75901e-05,1650.65,58.23,538.712659424,4.48869,26.3920909944,0.1,76.7247,112631.23858,538.712659424,15.9075,949.451,100,49.2293651011,538.712659424,0.126023,100,0.01,0.000281719,2.03131,112631.23858,1,0.00726942
0.963209,0.00186359,478.55,57.12,528.3751634,0.201489,82.3042851911,0.1,-75.7053,106340.994308,528.3751634,2.30905,622.604,100,84.7209883964,528.3751634,0.0239724,100,0.01,2.17176e-05,1.18035,106340.994308,1,0.179502
1.06955,0.00100613,1837.75,70.35,650.893344883,0.404575,74.0668254069,0.1,-663.475,278081.851602,650.893344883,5.10113,869.528,100,80.0944182495,650.893344883,0.0476942,100,0.01,3.53669e-05,1.24853,278081.851602,1,0.107611
1.17264,3.07734e-05,1830.33,69.67,644.771215653,13.4206,9.37887757031,0.1,265.999,84539.8001813,644.771215653,35.8906,993.5,100,42.5192136117,644.771215653,0.306067,100,0.01,0.000975986,2.35188,84539.8001813,1,0.00360862
1.98898,1.45484e-05,8425.37,88.59,816.998667041,139.744,2.78000831024,0.1,262.118,409478.410286,816.998667041,118.379,3177.52,100,22.1117826172,816.998667041,0.595174,100,0.01,0.00353244,4.52248,409478.410286,1,0.00289364
1.66543,8.75395e-06,7981.06,106.11,976.970807664,68.1348,3.94953475808,0.1,395.84,465465.900492,976.970807664,82.4073,3035.75,100,27.7068649121,976.970807664,0.494812,100,0.01,0.00245651,3.60921,465465.900492,1,0.00145791
1.07398,0.000289431,920.611,148.44,1363.68315953,0.665699,63.6387483141,0.1,561.838,387463.686919,1363.68315953,4.29063,1682.43,100,71.3030703148,1363.68315953,0.0399506,100,0.01,5.77141e-05,1.40246,387463.686919,1,0.0310844
1.37275,9.60575e-05,4829.4,180.04,1658.315448,16.5987,10.28786511,0.1,856.121,1397491.71273,1658.315448,40.098,3031.67,100,41.2953106636,1658.315448,0.292099,100,0.01,0.000880827,2.42158,1397491.71273,1,0.0131863
1.77921,5.62016e-06,4079.83,242.16,2226.72465079,56.207,5.38267172898,0.1,1444.17,1425128.96319,2226.72465079,74.6662,3713.22,100,37.8577120742,2226.72465079,0.41966,100,0.01,0.00177557,2.64147,1425128.96319,1,0.000999942
1.10906,5.93138e-06,1358.95,314.57,2889.63609155,1.1891,51.0966196307,0.1,1822.98,1592504.36629,2889.63609155,5.19918,3679.68,100,56.989839315,2889.63609155,0.0468793,100,0.01,9.66744e-05,1.7547,1592504.36629,1,0.000657824
1.00227,0.000326081,895.98,375.84,3454.7581302,0.515047,66.3311943647,0.1,2343.68,1202142.66928,3454.7581302,2.81143,4001.79,100,71.4456370303,3454.7581302,0.0280505,100,0.01,5.12713e-05,1.39967,1202142.66928,1,0.0326822
0.963122,0.00128736,856.083,414.89,3830.72360599,0.271766,77.5165874306,0.1,2566.55,1020331.04427,3830.72360599,2.55408,4117.75,100,81.8857343387,3830.72360599,0.0265187,100,0.01,2.92976e-05,1.22121,1020331.04427,1,0.123988
1.06857,0.000732042,645.669,425.91,3927.70947903,0.28236,80.3332811346,0.1,2723.06,1153740.6082,3927.70947903,2.62418,4264.5,100,82.7400720836,3927.70947903,0.024558,100,0.01,2.47287e-05,1.2086,1153740.6082,1,0.0782235
0.983719,0.00254374,598.813,448.19,4140.33326536,0.148604,86.803431749,0.1,2846.04,795345.693235,4140.33326536,2.35593,4329.72,100,89.3932208873,4140.33326536,0.0239492,100,0.01,1.53563e-05,1.11865,795345.693235,1,0.250233
1.01465,0.00324665,470.29,470.5,4349.19088915,0.0922578,91.8512911594,0.1,2999.86,436752.520517,4349.19088915,1.6979,4446.19,100,94.2116166588,4349.19088915,0.0167339,100,0.01,8.96125e-06,1.06144,436752.520517,1,0.329422
0.957637,0.00205316,460.796,462.97,4271.69255243,0.141278,86.7668325668,0.1,2965.43,622214.26441,4271.69255243,1.63053,4442.01,100,90.0798149396,4271.69255243,0.0170266,100,0.01,1.54054e-05,1.11013,622214.26441,1,0.196618
0.961568,0.00174768,378.914,474.9,4391.44802336,0.0860371,91.5648797051,0.1,3051.52,397175.789607,4391.44802336,1.47382,4496.9,100,94.3131324329,4391.44802336,0.0153273,100,0.01,9.30519e-06,1.0603,397175.789607,1,0.168051
1.008,0.00235085,483.416,477.1,4414.73828447,0.0744479,93.2368487172,0.1,3049.29,401061.178008,4414.73828447,2.12388,4481.51,100,96.0167167776,4414.73828447,0.0210702,100,0.01,7.32705e-06,1.04149,401061.178008,1,0.236966
0.990222,0.0029853,396.075,475.03,4393.67118121,0.0652775,93.8167959632,0.1,3043.86,374740.010556,4393.67118121,1.66622,4486.41,100,94.7103133501,4393.67118121,0.0168267,100,0.01,6.6573e-06,1.05585,374740.010556,1,0.295611
0.994399,0.00709475,360.125,486.32,4496.99414667,0.0159546,98.4277823416,0.1,3106.76,201176.185613,4496.99414667,1.3014,4522.95,100,98.2285251918,4496.99414667,0.0130873,100,0.01,1.61348e-06,1.01803,201176.185613,1,0.705501
0.986468,0.00374292,315.12,487.02,4510.87920754,0.0386242,96.2191848221,0.1,3136.77,277154.412068,4510.87920754,1.37177,4559.52,100,97.262854335,4510.87920754,0.0139059,100,0.01,3.96911e-06,1.02814,277154.412068,1,0.369227
0.987589,0.00539226,420.964,481.71,4458.08118087,0.0262432,97.4053149071,0.1,3076.86,277274.708433,4458.08118087,1.29226,4500.12,100,97.2587044753,4458.08118087,0.013085,100,0.01,2.69069e-06,1.02819,277274.708433,1,0.532534
1.00515,0.00488961,323.682,485.64,4506.63728948,0.0334684,96.8246201863,0.1,3129.68,253011.89544,4506.63728948,1.32888,4551.86,100,97.2512514047,4506.63728948,0.0132208,100,0.01,3.31267e-06,1.02826,253011.89544,1,0.491477
0.951636,0.00403157,321.267,485.48,4495.49904405,0.0274365,97.0879942386,0.1,3113.23,180200.554882,4495.49904405,1.26755,4530.89,100,97.8443836519,4495.49904405,0.0133197,100,0.01,3.02961e-06,1.02203,180200.554882,1,0.383658
1.01482,0.003513,311.053,481.01,4458.88861207,0.0655151,94.0751799606,0.1,3105.87,310342.514686,4458.88861207,1.44025,4543.5,100,95.2778092962,4458.88861207,0.0141922,100,0.01,6.36154e-06,1.04956,310342.514686,1,0.356507
0.992777,0.00658192,219.735,493.97,4585.07754813,0.0125351,98.7566074456,0.1,3190.22,82632.2495797,4585.07754813,1.19422,4599.0,100,99.1069443319,4585.07754813,0.0120291,100,0.01,1.27181e-06,1.00901,82632.2495797,1,0.653438
1.00905,0.00523949,308.383,489.57,4539.1755254,0.0234016,97.7752091706,0.1,3150.68,167065.726077,4539.1755254,1.30542,4565.09,100,98.3950384719,4539.1755254,0.0129372,100,0.01,2.2984e-06,1.01631,167065.726077,1,0.528689
0.98849,0.00484033,263.586,490.64,4547.40085387,0.0210945,97.907451807,0.1,3157.16,124313.525868,4547.40085387,1.2419,4571.73,100,98.510807278,4547.40085387,0.0125636,100,0.01,2.15886e-06,1.01512,124313.525868,1,0.478462
0.984621,0.00544878,269.211,490.34,4550.89180317,0.0221871,97.7845368893,0.1,3163.06,142262.807122,4550.89180317,1.3785,4579.81,100,98.1856402789,4550.89180317,0.0140003,100,0.01,2.28857e-06,1.01848,142262.807122,1,0.536498
1.01239,0.00352115,90.2598,497.31,4619.56911072,0.00822441,99.211873002,0.1,3224.3,24509.1617563,4619.56911072,1.16226,4630.49,100,99.4649345118,4619.56911072,0.0114804,100,0.01,8.02435e-07,1.00538,24509.1617563,1,0.356477
1.00026,0.00674775,193.731,495.25,4597.24738019,0.00799947,99.2146571177,0.1,3199.99,60477.1847967,4597.24738019,1.15228,4608.0,100,99.3138276549,4597.24738019,0.0115198,100,0.01,7.99526e-07,1.00691,60477.1847967,1,0.674952
