AvgDiscRet,VanillaAvgRet,MinVanillaIw,Bound,MinNormIw,BatchSize,eRenyi2,MaxNormIw,AvgEpLen,AvgRet,ESSRenyi,VarVanillaIw,VarDiscRet,AvgNormIw,Delta,MaxVanillaIw,VarNormIw,EpsThisIter,J,VarRet,VarJ,IterType,AvgVanillaIw,ESSClassic
-316.368276557,-316.368276557,1.93453e-16,-194.301,1.28481e-18,100,5.31435,0.0704077,388.84,-316.368276557,18.816969469,7.35659,22064.8357928,0.01,0.5,10.6012,0.000324492,100,-98.1395,22064.8357928,107.481,1,1.50569,23.7390167234
-117.609407093,-117.609407093,0.00190125,-141.608,1.86211e-05,100,1.39008,0.0204222,160.61,-117.609407093,71.9382884885,0.397951,11599.0495239,0.01,0.5,2.08515,3.81735e-05,100,-92.4267,11599.0495239,86.0675,1,1.02102,72.5732870802
-98.7969429921,-98.7969429921,0.346554,-136.165,0.00329698,100,1.23469,0.0286176,134.3,-98.7969429921,80.9920791278,0.283277,9202.35058938,0.01,0.5,3.00807,2.56391e-05,100,-89.8139,9202.35058938,80.9472,1,1.05113,79.7557979015
-111.370939046,-111.370939046,0.0072131,-141.644,7.00436e-05,100,1.5367,0.0358508,149.14,-111.370939046,65.0747017083,0.704322,12037.3763073,0.01,0.5,3.69192,6.64148e-05,100,-89.9334,12037.3763073,74.6379,1,1.0298,60.3315998137
-96.1393542656,-96.1393542656,0.575573,-136.521,0.00560472,100,1.05792,0.0222477,130.78,-96.1393542656,94.524681684,0.0629267,9237.57910553,0.01,0.5,2.28471,5.9668e-06,100,-93.6158,9237.57910553,91.0934,1,1.02694,94.422346352
-97.9336968017,-97.9336968017,0.725576,-135.04,0.00630835,100,1.13252,0.102267,133.17,-97.9336968017,88.2983577675,1.35711,10299.5555714,0.01,0.5,11.7626,0.000102584,100,-90.65,10299.5555714,74.0991,1,1.15018,49.6134395137
-88.2840216449,-88.2840216449,0.610059,-129.439,0.00612628,100,1.02256,0.0130624,121.3,-88.2840216449,97.7933962299,0.021589,7165.46893323,0.01,0.5,1.30076,2.17713e-06,100,-87.2574,7165.46893323,80.5753,1,0.995806,97.8901062752
-96.8532032098,-96.8532032098,6.94433e-08,-132.412,6.84276e-10,100,1.79016,0.0250534,130.71,-96.8532032098,55.8608746841,0.92179,10388.1028416,0.01,0.5,2.54252,8.95023e-05,100,-76.5995,10388.1028416,59.62,1,1.01484,53.0202103494
-80.9814528133,-80.9814528133,0.505437,-121.363,0.00501145,100,1.05529,0.018994,113.13,-80.9814528133,94.7608332204,0.0653741,4918.12398494,0.01,0.5,1.91567,6.42685e-06,100,-78.511,4918.12398494,62.7153,1,1.00856,94.0180022649
-80.2136059296,-80.2136059296,0.218411,-119.799,0.00221133,100,1.04477,0.0159069,112.3,-80.2136059296,95.7145403217,0.0425014,4904.94351861,0.01,0.5,1.57111,4.35674e-06,100,-77.161,4904.94351861,60.118,1,0.98769,95.8651720979
