AvgNormIw,VanillaAvgRet,IterType,AvgRet,MinNormIw,MaxVanillaIw,delta,ESSRenyi,AvgEpLen,MinVanillaIw,BatchSize,MaxNormIw,VarVanillaIw,J,EpsThisIter,renyi2,ESSClassic,VarNormIw,Bound,VarDiscRet,AvgDiscRet,SamplesThisIter,VarJ,VarRet,AvgVanillaIw
5.55556e-05,-406.023216426,1,-406.023216426,7.03093e-06,2.36875,0.5,nan,500.0,0.128441,100,0.000129667,0.116211,-72434.5,100,nan,1.03995296106,3.48232e-10,-445.017,208.713314097,-406.023216426,50000,297.584,208.713314097,1.01489
5.50055e-05,-386.503000376,1,-386.503000376,,253.54,0.5,nan,495.04950495,,100,0.00526513,113.968,-56078.4,101,nan,7.24404435166,4.91484e-08,-389.464,2389.25673352,-386.503000376,50000,1661.65,2389.25673352,2.64877
4.59137e-05,-334.048346679,1,-334.048346679,,1.53966e+10,0.5,nan,413.223140496,,100,0.090906,1.1967e+17,-22481.1,121,nan,11.0000009335,4.17177e-06,-148.899,17647.0380877,-334.048346679,50000,1640.23,17647.0380877,7.77632e+06
5.55556e-05,-405.566152316,1,-405.566152316,1.68588e-06,2.24547,0.5,nan,500.0,0.0310793,100,0.000121804,0.119648,-72340.4,100,nan,0.918553853581,3.52059e-10,-444.672,205.497536786,-405.566152316,50000,284.484,205.497536786,1.02417
4.55373e-05,-332.276311063,1,-332.276311063,,6463.69,0.5,nan,409.836065574,,100,0.0043154,175212.0,-25695.0,122,nan,4.05958312544,7.80987e-08,-171.953,16756.7791221,-332.276311063,50000,1533.12,16756.7791221,68.2068
5.55556e-05,-409.050449494,1,-409.050449494,4.82896e-05,1.13506,0.5,0.00081060920258,500.0,0.870661,100,6.2954e-05,0.00135341,-73619.9,100,11.7229,0.600950421543,4.16329e-12,-450.058,3.47776123121,-409.050449494,50000,26.4272,3.47776123121,1.00167
5.55556e-05,-409.47261109,1,-409.47261109,5.31032e-05,1.16789,0.5,0.000807112527818,500.0,0.951947,100,6.51492e-05,0.000196519,-73703.8,100,11.7272,0.569890879804,6.11533e-13,-450.501,0.59433694116,-409.47261109,50000,10.7528,0.59433694116,0.995908
5.55556e-05,-408.228391893,1,-408.228391893,4.63482e-05,1.17092,0.5,0.000806708486939,500.0,0.837584,100,6.47935e-05,0.00251459,-73464.1,100,11.7277,0.593566456656,7.69973e-12,-449.167,6.08295866019,-408.228391893,50000,34.7291,6.08295866019,1.00398
5.55556e-05,-408.765007839,1,-408.765007839,4.84304e-05,1.14781,0.5,0.000810480115757,500.0,0.874062,100,6.35984e-05,0.00134276,-73568.6,100,11.7231,0.577542785997,4.1224e-12,-449.797,3.19628114612,-408.765007839,50000,25.5713,3.19628114612,1.00265
5.55556e-05,-409.427841724,1,-409.427841724,5.34291e-05,1.16637,0.5,0.000814828659357,500.0,0.959294,100,6.49627e-05,0.000183732,-73695.7,100,11.7177,0.563332755998,5.69951e-13,-450.47,0.594893485033,-409.427841724,50000,10.6286,0.594893485033,0.997473
5.55556e-05,-409.371234099,1,-409.371234099,5.16582e-05,1.1498,0.5,0.000808860101895,500.0,0.925263,100,6.41942e-05,0.000296514,-73684.8,100,11.7251,0.574038263234,9.24258e-13,-450.429,0.834195652017,-409.371234099,50000,12.448,0.834195652017,0.99507
5.55556e-05,-409.45719523,1,-409.45719523,5.31927e-05,1.14247,0.5,0.000804378483454,500.0,0.950835,100,6.39134e-05,0.000272694,-73700.6,100,11.7306,0.566330369399,8.53432e-13,-450.482,0.807559413098,-409.45719523,50000,12.5941,0.807559413098,0.993072
5.55556e-05,-409.425793169,1,-409.425793169,5.34568e-05,1.05779,0.5,0.000807560584078,500.0,0.963482,100,5.86889e-05,0.000125827,-73695.7,100,11.7267,0.561798725892,3.87339e-13,-450.469,0.359750408044,-409.425793169,50000,8.01232,0.359750408044,1.00131
5.55556e-05,-408.993230981,1,-408.993230981,4.92005e-05,1.15804,0.5,0.000809576275367,500.0,0.888151,100,6.41514e-05,0.00144072,-73608.7,100,11.7242,0.599342795626,4.42127e-12,-450.002,3.68432126207,-408.993230981,50000,27.2464,3.68432126207,1.00287
5.55556e-05,-408.09565733,1,-408.09565733,4.61371e-05,1.1734,0.5,0.000810395859384,500.0,0.832475,100,6.50318e-05,0.00238509,-73440.7,100,11.7232,0.591957086208,7.32595e-12,-449.094,6.01624422953,-408.09565733,50000,34.2914,6.01624422953,1.00242
5.55556e-05,-408.717305415,1,-408.717305415,4.83547e-05,1.14378,0.5,0.000821216329168,500.0,0.870354,100,6.35456e-05,0.00131865,-73560.0,100,11.7099,0.579064590694,4.07019e-12,-449.704,3.3798710431,-408.717305415,50000,26.1405,3.3798710431,0.999964
5.55556e-05,-409.707406253,1,-409.707406253,5.26364e-05,1.06724,0.5,0.000831137474619,500.0,0.944981,100,5.94462e-05,0.000180945,-73746.0,100,11.6979,0.563285668554,5.614e-13,-450.789,0.509347754044,-409.707406253,50000,9.51957,0.509347754044,0.997389
5.55556e-05,-408.294187315,1,-408.294187315,4.74781e-05,1.14827,0.5,0.000829444555973,500.0,0.860915,100,6.33255e-05,0.00210643,-73478.4,100,11.6999,0.582737111736,6.40641e-12,-449.273,5.23715661208,-408.294187315,50000,31.9622,5.23715661208,1.00738
5.55556e-05,-409.305786474,1,-409.305786474,5.35466e-05,1.15109,0.5,0.000829953326797,500.0,0.961412,100,6.41109e-05,0.000218034,-73673.5,100,11.6993,0.567665567494,6.76346e-13,-450.326,0.673682926607,-409.305786474,50000,11.2794,0.673682926607,0.997481
5.55556e-05,-409.192596166,1,-409.192596166,5.36151e-05,1.16554,0.5,0.000827890867167,500.0,0.960422,100,6.50656e-05,0.000273735,-73652.8,100,11.7018,0.566071384516,8.53061e-13,-450.187,0.891025816465,-409.192596166,50000,13.1871,0.891025816465,0.995182
5.55556e-05,-408.121093041,1,-408.121093041,4.47439e-05,1.16537,0.5,0.000817698052218,500.0,0.810962,100,6.4298e-05,0.00217827,-73446.9,100,11.7142,0.580616428641,6.63097e-12,-449.094,5.38002454245,-408.121093041,50000,32.5489,5.38002454245,1.00692
5.55556e-05,-409.492868249,1,-409.492868249,5.35274e-05,1.14186,0.5,0.000822631148453,500.0,0.957371,100,6.38424e-05,0.000160044,-73707.8,100,11.7082,0.567202592674,5.00299e-13,-450.508,0.45482182224,-409.492868249,50000,9.45442,0.45482182224,0.993647
