AvgNormIw,MaxNormIw,ESSClassic,AvgDiscRet,AvgVanillaIw,BatchSize,J,MinVanillaIw,VarNormIw,VarJ,ESSRenyi,VarDiscRet,eRenyi2,AvgEpLen,AvgRet,VarRet,MinNormIw,MaxVanillaIw,VarVanillaIw,Bound
0.01,0.6529905,2.2120639437945524,72.25414295235169,2.4728637,100,307.79456,1.7135711e-12,0.004465319,560.81,4.542698050095591,3264.8257332480625,22.01335,8.23,72.25414295235169,3264.8257332480625,6.9295007e-15,161.47566,273.0567,153.83621
0.01,0.82291216,1.4686426633533405,147.8205711399554,1.8911303,100,866.38617,,0.0067767776,1156.6183,3.890574043110595,20418.197229411162,25.703148,15.79,147.8205711399554,20418.197229411162,,155.62341,242.36285,439.7727
0.01,0.41671878,3.9245961376006364,330.266289095525,1.7010564,100,1065.9937,2.2459154e-10,0.0024727604,1102.4006,7.34917172392274,84019.13671212363,13.606976,34.04,330.266289095525,84019.13671212363,1.3203063e-12,70.886215,71.55162,665.5399
0.01,0.5635847,3.0650393616083975,771.2799253454901,1.6394658,100,1394.6954,1.3738259e-09,0.003194546,2299.0247,13.991437887321913,157173.98701740932,7.1472282,78.15,771.2799253454901,157173.98701740932,8.379717e-12,92.39778,85.86454,827.72754
0.010000002,0.024922132,71.71766988437673,925.2451431701852,1.2074852,100,1028.7898,0.054319043,3.983395e-05,442.99442,65.59953417384008,171795.1911703567,1.5244011,93.55,925.2451431701852,171795.1911703567,0.00044985267,3.0093107,0.5807872,792.9214
0.010000002,0.09825716,22.998519112778304,921.1327544891445,1.171125,100,1238.4734,6.6941044e-09,0.00033819256,691.78235,25.427213209067897,156335.5162576674,3.9327943,93.14,921.1327544891445,156335.5162576674,5.7159603e-11,11.507142,4.6384263,919.73663
0.009999999,0.048397202,51.04650578241523,1035.7521281140744,1.0129482,100,1184.6931,0.0003530354,9.68685e-05,654.5228,46.22894387855873,165268.93434334226,2.163147,104.6,1035.7521281140744,165268.93434334226,3.4852267e-06,4.9023857,0.9939327,886.38904
0.01,0.39011654,3.443260223987738,1128.2539526089092,0.84710115,100,2039.1271,6.4941365e-29,0.00283255,1691.1086,5.710274536199754,154148.4894322843,17.512293,113.85,1128.2539526089092,154148.4894322843,7.666306e-31,33.046818,20.325823,1155.133
0.010000002,0.04842262,53.85911661719557,1223.5130198900076,1.0168836,100,1366.2875,0.0026423247,8.6534936e-05,907.80396,55.16075353544414,234742.86315405843,1.8128831,123.38,1223.5130198900076,234742.86315405843,2.5984533e-05,4.924017,0.89481646,979.88184
0.010000002,0.017771749,86.7325142336086,1031.4609902171937,1.0344918,100,1050.7334,0.128861,1.5451506e-05,393.07172,87.75587724566527,147338.20902487004,1.1395248,104.18,1031.4609902171937,147338.20902487004,0.0012456453,1.8384728,0.16535787,871.05615
0.01,0.060211774,56.15477029385923,1179.0116474081372,0.9685127,100,1269.332,0.0646431,7.8867924e-05,800.27625,66.96540267853372,195709.30214516472,1.4933084,118.93,1179.0116474081372,195709.30214516472,0.0006674471,5.831587,0.73979455,933.0312
0.01,0.044583924,72.3685013348033,1178.3723540403792,1.0271894,100,1243.9266,0.06305166,3.8567356e-05,699.5279,75.09574729981962,208979.60238969498,1.3316333,118.87,1178.3723540403792,208979.60238969498,0.0006138271,4.579613,0.4069311,939.94653
0.010000002,0.5815222,2.7664366718493474,1169.1089542647228,1.1551992,100,1993.5037,,0.003550261,3064.559,5.889667368282938,147055.0118884882,16.978888,117.94,1169.1089542647228,147055.0118884882,,67.1774,47.377705,1130.0048
0.01,0.6157813,2.583301489296451,1282.3234554453827,1.8293246,100,2246.108,3.315149e-13,0.0038091068,3832.3628,8.19658624614804,226950.47746277496,12.200201,129.26,1282.3234554453827,226950.47746277496,1.8122257e-15,112.64639,127.46905,1378.9161
0.009999999,0.26971495,11.996610726157694,1171.9713568329382,0.95147437,100,1320.4193,3.528794e-05,0.0007409786,622.7572,38.56108975265966,126275.69897178952,2.5932877,118.23,1171.9713568329382,126275.69897178952,3.708764e-07,25.662685,6.708103,1037.1671
0.01,0.6138454,2.522306876952402,1236.0955141237519,0.6591132,100,2294.6348,1.865625e-30,0.0039036612,2118.5706,8.276522041539367,238864.70122917113,12.08237,124.64,1236.0955141237519,238864.70122917113,2.8305075e-32,40.459362,16.958687,1221.0083
0.01,0.775351,1.6480516947393085,1229.2958726791394,0.8139253,100,2605.3792,,0.006028052,3230.6248,6.284080500398293,277780.42258118326,15.913227,123.96,1229.2958726791394,277780.42258118326,,63.10778,39.934296,1124.8096
0.01,0.61387825,2.5660194006038246,1235.3959645299078,1.4866202,100,1911.3029,1.0048799e-14,0.003835441,2730.7136,10.01612015187101,200538.54983492364,9.983906,124.57,1235.3959645299078,200538.54983492364,6.759493e-17,91.260376,84.76477,1254.4727
0.010000002,0.612035,2.492274317891459,1190.9622544999756,0.64238733,100,2257.914,3.4233158e-38,0.0039519183,2861.0576,4.5655297833835995,142849.92500576796,21.903263,120.13,1190.9622544999756,142849.92500576796,5.32905e-40,39.31635,16.30805,1198.3779
0.01,0.090988666,22.70895188583841,1275.3991208350153,0.8642757,100,1600.958,5.0708227e-18,0.00034379293,1582.5385,26.174612952399045,288061.49996547843,3.8204958,128.57,1275.3991208350153,288061.49996547843,5.867136e-20,7.8639293,2.5680385,1104.1631
0.01,0.5479557,2.5051785909844675,1241.373546658599,0.71601194,100,2819.8591,,0.003931041,2013.7012,6.804757650725327,295161.60686946503,14.6956005,125.17,1241.373546658599,295161.60686946503,,39.234283,20.153399,1622.9108
0.010000002,0.43126312,4.014996228250679,1089.2535971085415,0.83004946,100,1838.1827,1.02872304e-19,0.0024148105,1596.8014,7.812455646014197,160626.81259165498,12.800073,109.96,1089.2535971085415,160626.81259165498,1.2393515e-21,35.79697,16.637613,1178.7698
0.01,0.18582422,9.229586927797001,1238.5868065811896,0.6545581,100,1893.9725,,0.000993406,1089.6886,13.664550541522008,210701.83364028216,7.3182063,124.89,1238.5868065811896,210701.83364028216,,12.163275,4.2562113,1343.0063
0.010000002,0.02962345,71.8106047971913,1236.8772074564292,0.97174805,100,1315.8793,0.17829198,3.9651688e-05,687.2841,70.05697938838877,218859.7785316413,1.4274095,124.72,1236.8772074564292,218859.7785316413,0.0018347552,2.878653,0.37442863,1023.27716
0.01,0.06954962,40.58493699291344,1175.2537026253076,1.1258647,100,1376.9528,0.00031754482,0.00014787559,1649.2822,41.84050565683735,241904.55540043232,2.3900285,118.56,1175.2537026253076,241904.55540043232,2.8204527e-06,7.8303466,1.8744285,915.0608
0.01,0.2651861,8.730980189112401,1235.396280645543,1.1372159,100,1614.2102,0.0033698957,0.0010559057,1164.7128,21.61538392560724,225075.19544811055,4.6263347,124.57,1235.396280645543,225075.19544811055,2.963286e-05,30.157383,13.655604,1165.2805
0.01,0.050067287,52.61889677084287,1205.8900879181651,1.0665547,100,1345.0969,8.3476174e-05,9.0955364e-05,713.334,55.94917078106931,214283.56840003372,1.7873366,121.62,1205.8900879181651,214283.56840003372,7.8267135e-07,5.3399496,1.0346524,1023.3018
0.010000002,0.021125982,89.00418210323501,1223.5784943884967,0.9912893,100,1256.8081,0.2527182,1.2479058e-05,620.8034,89.00521493710775,304774.04693612456,1.1235297,123.39,1223.5784943884967,304774.04693612456,0.0025493891,2.0941958,0.12262601,922.27966
0.010000002,0.5247691,3.389630716730574,1224.7803468568402,1.7454886,100,2300.4526,4.7536594e-14,0.002878963,5709.9233,8.543034627701411,284866.72447495913,11.705442,123.51,1224.7803468568402,284866.72447495913,2.7233975e-16,91.597855,87.71423,1272.5002
0.01,0.03412865,61.95099327722179,1199.1596174726985,0.97640085,100,1343.3231,0.017786594,6.203829e-05,1383.2072,65.4675965908745,344238.875054613,1.5274732,120.95,1199.1596174726985,344238.875054613,0.00018216488,3.3323243,0.5914473,867.9707
0.010000002,0.0319338,82.02804035856146,1196.857767845329,0.99409086,100,1232.5115,0.27428353,2.2130842e-05,492.25204,81.82120728448581,162444.37264873006,1.222177,120.72,1196.857767845329,162444.37264873006,0.0027591393,3.17451,0.21870066,997.1167
0.01,0.022259587,76.6488822330416,1127.95958988563,0.9309946,100,1172.4695,0.0062339213,3.0772768e-05,544.5447,79.24241878925642,186868.89826138326,1.2619504,113.83,1127.95958988563,186868.89826138326,6.69598e-05,2.0723555,0.26672328,949.3488
0.009999998,0.01,100.0,1224.2896071493587,1.0,100,1224.2896,1.0,3.5044917e-18,450.05057,100.0,204591.43176010333,1.0,123.46,1224.2896071493587,204591.43176010333,0.01,1.0,,973.49023
0.009999998,0.01,100.0,1207.2993340834262,1.0,100,1207.2993,1.0,3.5044917e-18,465.4919,100.0,218871.47332676433,1.0,121.76,1207.2993340834262,218871.47332676433,0.01,1.0,,966.5992
0.009999998,0.01,100.0,1312.901337452305,1.0,100,1312.9012,1.0,3.5044917e-18,478.77658,100.0,231542.43558993144,1.0,132.32,1312.901337452305,231542.43558993144,0.01,1.0,,1073.043
0.009999998,0.01,100.0,1200.4777117991628,1.0,100,1200.4777,1.0,3.5044917e-18,497.06573,100.0,249570.0591415479,1.0,121.08,1200.4777117991628,249570.0591415479,0.01,1.0,,906.75574
0.009999998,0.01,100.0,1225.9897222282073,1.0,100,1225.9897,1.0,3.5044917e-18,461.47568,100.0,215110.9333661553,1.0,123.63,1225.9897222282073,215110.9333661553,0.01,1.0,,986.9733
0.009999998,0.01,100.0,1222.3687479049631,1.0,100,1222.3687,1.0,3.5044917e-18,469.54413,100.0,222698.66282028216,1.0,123.27,1222.3687479049631,222698.66282028216,0.01,1.0,,952.2121
0.009999998,0.01,100.0,1237.481070653401,1.0,100,1237.4811,1.0,3.5044917e-18,495.53668,100.0,248036.94975819468,1.0,124.78,1237.481070653401,248036.94975819468,0.01,1.0,,941.23566
0.009999998,0.01,100.0,1200.2877014363025,1.0,100,1200.2877,1.0,3.5044917e-18,431.1445,100.0,187763.21088147,1.0,121.06,1200.2877014363025,187763.21088147,0.01,1.0,,982.3113
0.009999998,0.01,100.0,1234.4954019701386,1.0,100,1234.4954,1.0,3.5044917e-18,434.94833,100.0,191090.95319387154,1.0,124.48,1234.4954019701386,191090.95319387154,0.01,1.0,,1035.8765
0.009999998,0.01,100.0,1260.6925553922692,1.0,100,1260.6925,1.0,3.5044917e-18,531.8949,100.0,285769.89069142565,1.0,127.1,1260.6925553922692,285769.89069142565,0.01,1.0,,987.16943
0.009999998,0.01,100.0,1281.8935098099862,1.0,100,1281.8933,1.0,3.5044917e-18,503.84924,100.0,256428.36766775599,1.0,129.22,1281.8935098099862,256428.36766775599,0.01,1.0,,1012.5784
0.009999998,0.01,100.0,1318.6186372964644,1.0,100,1318.6185,1.0,3.5044917e-18,518.49805,100.0,271555.84807679197,1.0,132.89,1318.6186372964644,271555.84807679197,0.01,1.0,,1062.7697
0.009999998,0.01,100.0,1230.2818763597948,1.0,100,1230.2819,1.0,3.5044917e-18,339.8029,100.0,116632.32149771333,1.0,124.06,1230.2818763597948,116632.32149771333,0.01,1.0,,1052.704
0.009999998,0.01,100.0,1234.2903789993504,1.0,100,1234.2904,1.0,3.5044917e-18,464.8409,100.0,218259.68682166905,1.0,124.46,1234.2903789993504,218259.68682166905,0.01,1.0,,1013.7898
0.009999998,0.01,100.0,1169.1632533910552,1.0,100,1169.1633,1.0,3.5044917e-18,409.4901,100.0,169375.9286479714,1.0,117.95,1169.1632533910552,169375.9286479714,0.01,1.0,,926.7816
