BatchSize,MinVanillaIw,ESSClassic,AvgVanillaIw,VarNormIw,VarJ,MinNormIw,eRenyi2,VarDiscRet,J,VarRet,VarVanillaIw,MaxNormIw,AvgRet,AvgDiscRet,ESSRenyi,AvgNormIw,AvgEpLen,Bound,MaxVanillaIw
100,1.0,100.0,1.0,3.5044917e-18,6.428942,0.01,1.0,41.748790171041385,1.4901161e-08,41.748790171041385,,0.01,-6.697383745103741,-3.552713678800501e-17,100.0,0.009999998,200.0,-1.4407628,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.386994,0.01,1.0,55.11886626666654,-1.4901161e-08,55.11886626666654,,0.01,-8.089911185942809,-1.6875389974302379e-15,100.0,0.009999998,200.0,-1.302318,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.7331786,0.01,1.0,45.79363428787917,2.9802322e-08,45.79363428787917,,0.01,-8.001145614003995,-4.618527782440651e-16,100.0,0.009999998,200.0,-1.2143724,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.6716356,0.01,1.0,44.96032518928561,2.9802322e-08,44.96032518928561,,0.01,-6.5710371857105265,1.4210854715202004e-16,100.0,0.009999998,200.0,-1.3972616,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.1872845,0.01,1.0,52.1788488469506,1.4156103e-07,52.17884884695061,,0.01,-8.258578128244983,6.927791673660977e-16,100.0,0.009999998,200.0,-1.2261403,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.190381,0.01,1.0,52.223819309773646,-7.4505806e-08,52.223819309773646,,0.01,-7.727164139835387,9.769962616701378e-17,100.0,0.009999998,200.0,-1.356208,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.8028746,0.01,1.0,46.74656991670172,,46.74656991670172,,0.01,-8.134677678729426,-4.263256414560601e-16,100.0,0.009999998,200.0,-1.3277358,1.0
100,1.0,100.0,1.0,3.5044917e-18,6.6448727,0.01,1.0,44.600335022306574,,44.600335022306574,,0.01,-7.422232214065696,1.2789769243681803e-15,100.0,0.009999998,200.0,-1.2438416,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.6988144,0.01,1.0,59.87044422752448,-8.940697e-08,59.87044422752448,,0.01,-9.144219556093445,-1.4210854715202004e-16,100.0,0.009999998,200.0,-1.2379625,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.5904527,0.01,1.0,58.19694385643628,2.9802322e-08,58.19694385643628,,0.01,-9.38146029751251,8.348877145181177e-16,100.0,0.009999998,200.0,-1.1917145,1.0
100,1.0,100.0,1.0,3.5044917e-18,7.2734833,0.01,1.0,53.43793556085789,1.4156103e-07,53.437935560857895,,0.01,-7.643988449067006,-1.234568003383174e-15,100.0,0.009999998,200.0,-1.3461622,1.0
