AvgNormIw,VarJ,BatchSize,Bound,VarRet,MaxVanillaIw,VanillaAvgRet,MaxNormIw,VarVanillaIw,ESSRenyi,VarDiscRet,AvgRet,eRenyi2,MinVanillaIw,ESSClassic,AvgDiscRet,MinNormIw,J,EpsThisIter,IterType,VarNormIw,AvgVanillaIw,AvgEpLen,Delta
0.01,113.24,100,-1442.06,139465.810687,3.20415,-1440.71148367,0.0290435,1.07923,53.7708360509,139465.810687,-1440.71148367,1.85974,1.52234e-05,53.252315368,-1440.71148367,1.3799e-07,-1172.2,100,1,8.8672e-05,1.10323,500.0,0.5
0.01,70.6855,100,-1361.73,58347.267692,2.10372,-1211.81522042,0.0199686,0.230015,83.0634856885,58347.267692,-1211.81522042,1.2039,0.0370658,82.9758790473,-1211.81522042,0.000351831,-1146.35,100,1,2.07242e-05,1.05351,500.0,0.5
0.01,78.8631,100,-1328.93,9333.81777179,1.52255,-1136.25439937,0.0152257,0.0370305,96.509392762,9333.81777179,-1136.25439937,1.03617,0.49657,96.4635035885,-1136.25439937,0.0049658,-1128.88,100,1,3.7032e-06,0.999981,500.0,0.5
0.01,109.991,100,-1343.81,27476.4025336,2.21194,-1169.88727615,0.0226531,0.138494,89.7300357118,27476.4025336,-1169.88727615,1.11445,0.0276954,87.4275465833,-1169.88727615,0.000283636,-1136.81,100,1,1.45257e-05,0.976443,500.0,0.5
0.01,220.782,100,-1259.03,9263.38661268,3.3172,-1123.70793539,0.031546,0.232116,83.7439079674,9263.38661268,-1123.70793539,1.19412,0.307936,82.7938364982,-1123.70793539,0.00292842,-1102.08,100,1,2.09919e-05,1.05154,500.0,0.5
0.01,83.3104,100,-1334.53,13746.0687246,1.2547,-1142.02427006,0.0125353,0.022785,97.76287485,13746.0687246,-1142.02427006,1.02288,0.565611,97.7980723936,-1142.02427006,0.00565081,-1136.76,100,1,2.27423e-06,1.00094,500.0,0.5
0.01,323.008,100,-1311.25,26192.1958988,5.95886,-1127.72154214,0.0539852,0.518836,77.3506179948,26192.1958988,-1127.72154214,1.29281,0.319059,70.3438407142,-1127.72154214,0.00289056,-1088.39,100,1,4.25847e-05,1.10379,500.0,0.5
0.01,238.248,100,-1256.69,5615.42230257,4.19578,-1122.84018278,0.0476372,0.48412,71.9037820894,5615.42230257,-1122.84018278,1.39075,0.10287,61.8118817551,-1122.84018278,0.00116795,-1088.92,100,1,6.24052e-05,0.880778,500.0,0.5
0.01,361.368,100,-1251.04,31936.3857452,6.17505,-1092.04883621,0.0668435,0.956977,56.4876988904,31936.3857452,-1092.04883621,1.7703,0.00960068,47.3904045887,-1092.04883621,0.000103925,-990.414,100,1,0.000112135,0.923807,500.0,0.5
0.01,700.535,100,-1197.59,68494.7291197,19.2317,-1052.04434295,0.177088,4.38321,46.7849292951,68494.7291197,-1052.04434295,2.13744,0.000744529,21.3706015278,-1052.04434295,6.8557e-06,-910.52,100,1,0.000371649,1.086,500.0,0.5
0.01,351.624,100,-1069.5,155367.793069,9.6872,-1004.87761661,0.0926106,2.60793,39.2682479495,155367.793069,-1004.87761661,2.54659,2.4728e-05,29.7645691436,-1004.87761661,2.36402e-07,-756.155,100,1,0.000238353,1.04601,500.0,0.5
