eRenyi2,VanillaAvgRet,AvgRet,J,MinVanillaIw,AvgNormIw,MinNormIw,AvgDiscRet,Bound,ESSRenyi,AvgVanillaIw,VarNormIw,EpsThisIter,VarJ,MaxNormIw,MaxVanillaIw,IterType,VarRet,ESSClassic,AvgEpLen,Delta,VarDiscRet,BatchSize,VarVanillaIw
1.28771,-119.975974872,-119.975974872,-112.234,0.0339898,0.01,0.000341433,-119.975974872,-133.389,77.6574766612,0.995504,3.22966e-05,100,14.3469,0.0275636,2.74397,1,1735.98398748,75.7727367147,46.09,0.8,1735.98398748,100,0.320068
1.11791,-110.768453114,-110.768453114,-108.983,0.0241184,0.01,0.000234932,-110.768453114,-118.415,89.4530091163,1.02661,1.02533e-05,100,3.85495,0.0162043,1.66355,1,96.6704687289,90.7847040096,21.07,0.8,96.6704687289,100,0.108063
1.11117,-111.858997753,-111.858997753,-109.094,0.0592537,0.01,0.000582084,-111.858997753,-129.645,89.9950907524,1.01796,1.10871e-05,100,11.8952,0.0170028,1.73081,1,864.294698591,90.1093646616,24.26,0.8,864.294698591,100,0.114889
1.12619,-114.217727486,-114.217727486,-109.41,0.19939,0.01,0.00187349,-114.217727486,-135.749,88.7950993061,1.06427,1.17011e-05,100,10.8124,0.0150791,1.60482,1,1897.44162535,89.6185482823,24.08,0.8,1897.44162535,100,0.132535
1.04276,-107.782161319,-107.782161319,-107.526,0.247404,0.01,0.00243493,-107.782161319,-113.501,95.8994742716,1.01607,4.76593e-06,100,2.9458,0.0161533,1.64128,1,9.37815306172,95.4943603069,17.29,0.8,9.37815306172,100,0.0492029
1.03069,-107.83933729,-107.83933729,-107.615,0.224747,0.01,0.00229949,-107.83933729,-113.768,97.0226454196,0.977376,3.60741e-06,100,2.73087,0.0128341,1.25437,1,9.47860563475,96.5517918687,16.54,0.8,9.47860563475,100,0.0344603
1.05935,-107.97113771,-107.97113771,-107.497,0.337141,0.01,0.00341217,-107.97113771,-114.655,94.3971773824,0.988054,7.16741e-06,100,3.21417,0.0143474,1.4176,1,24.3405710249,93.3744380833,16.6,0.8,24.3405710249,100,0.0699718
1.54994,-107.010648037,-107.010648037,-104.185,0.0838098,0.01,0.000750989,-107.010648037,-111.54,64.5184731119,1.11599,0.000138295,100,24.1473,0.1101,12.287,1,17.5306891332,42.2097956123,19.41,0.8,17.5306891332,100,1.72238
1.13147,-107.148920812,-107.148920812,-106.562,0.507199,0.01,0.00488032,-107.148920812,-112.601,88.3803535485,1.03927,1.54541e-05,100,8.09101,0.0399786,4.15487,1,9.49188967955,86.7306207449,16.8,0.8,9.49188967955,100,0.166918
1.05131,-107.401270903,-107.401270903,-107.125,0.520697,0.01,0.00536249,-107.401270903,-113.106,95.1192334317,0.970998,5.33829e-06,100,3.15467,0.0153521,1.49069,1,10.1899868715,94.9803907209,19.21,0.8,10.1899868715,100,0.0503314
1.0616,-107.042822977,-107.042822977,-106.694,0.427502,0.01,0.00416079,-107.042822977,-112.616,94.1973876156,1.02745,5.33344e-06,100,3.04291,0.0158527,1.62879,1,8.77637002324,94.9847039939,22.1,0.8,8.77637002324,100,0.056303
1.98628,-106.729420313,-106.729420313,-103.17,0.127283,0.01,0.00100842,-106.729420313,-111.346,50.3452674017,1.2622,0.000551488,100,28.9902,0.234545,29.6044,1,13.181007034,15.4805212133,19.64,0.8,13.181007034,100,8.78609
1.20017,-108.081885146,-108.081885146,-105.751,0.0646198,0.01,0.000676964,-108.081885146,-118.848,83.3214770075,0.954552,2.56974e-05,100,13.533,0.0389026,3.71345,1,203.749089771,79.7191311817,27.12,0.8,203.749089771,100,0.234147
9.80103,-106.141197512,-106.141197512,-76.4217,0.000730035,0.01,4.33911e-06,-106.141197512,-96.784,10.2030081172,1.68245,0.00269206,100,146.173,0.512658,86.2524,1,69.3549897577,3.61645677368,32.43,0.8,69.3549897577,100,76.2028
2.18182e+12,-106.141197512,-106.141197512,-105.314,0.0115939,0.01,3.30345e-06,-106.654343853,-2.57593e+07,9.16664172323e-11,35.0963,0.00172906,100,14.7996,0.390297,1369.8,,69.3549897577,5.51947654194,32.43,0.8,1480.31029572,200,21297.7
3.01079,-107.640573331,-107.640573331,-98.5053,0.0266567,0.005,0.000130409,-107.640573331,-111.989,66.4277457801,1.02204,9.61887e-05,100,91.655,0.128273,26.2201,1,185.289249885,41.4223762015,33.17,0.8,185.289249885,200,4.01902
1.0,-108.708578194,-108.708578194,-108.709,1.0,0.01,0.01,-108.708578194,-123.669,200.0,1.0,3.50449e-18,100,21.1588,0.01,1.0,2,452.215290182,100.0,43.41,0.8,452.215290182,200,
1.13006,-108.978453663,-108.978453663,-105.741,0.023069,0.005,0.000118557,-108.978453663,-123.966,176.98220791,0.972909,3.35889e-06,100,10.3108,0.00820145,1.59585,1,1545.28197779,176.416054822,50.03,0.8,1545.28197779,200,0.127175
1.0,-104.549047236,-104.549047236,-104.549,1.0,0.01,0.01,-104.549047236,-112.979,200.0,1.0,3.50449e-18,100,19.4753,0.01,1.0,2,383.120432973,100.0,40.67,0.8,383.120432973,200,
63.9421,-105.69894686,-105.69894686,29.5875,5.25737e-37,0.005,1.27085e-39,-105.69894686,-18.0772,3.12782949616,2.06844,0.00292753,100,518.495,0.754651,312.19,1,91.917426455,1.70189806132,32.66,0.8,91.917426455,200,501.011
1.0,-92.260717118,-92.260717118,-92.2607,1.0,0.01,0.01,-92.260717118,-99.062,200.0,1.0,3.50449e-18,100,37.4952,0.01,1.0,2,1420.091299,100.0,97.15,0.8,1420.091299,200,
