AvgNormIw,Bound,AvgEpLen,MinVanillaIw,eRenyi2,IterType,Delta,AvgVanillaIw,VarNormIw,AvgDiscRet,MaxVanillaIw,MinNormIw,ESSRenyi,VanillaAvgRet,VarRet,BatchSize,AvgRet,EpsThisIter,VarVanillaIw,ESSClassic,VarJ,J,MaxNormIw,VarDiscRet
0.01,-1357.25,500.0,1.48499e-06,2.30659,1,0.7,1.17314,0.000120255,-1425.44948405,4.20571,1.26582e-08,43.3540137181,-1425.44948405,133464.220469,100,-1425.44948405,100,1.65501,45.6512365956,97.6264,-1158.44,0.0358501,133464.220469
0.01,-1273.99,500.0,0.121818,1.1115,1,0.7,0.905738,1.33202e-05,-1160.19928858,1.49429,0.00134496,89.9687502447,-1160.19928858,22206.2925079,100,-1160.19928858,100,0.109274,88.349337874,68.0095,-1138.67,0.016498,22206.2925079
0.01,-958.044,500.0,6.96017e-12,14.5478,1,0.7,1.32133,0.00532888,-1123.78933232,95.9226,5.26756e-14,6.87389876454,-1123.78933232,6372.4223952,100,-1123.78933232,100,93.0374,1.86026144745,1109.98,-631.886,0.725956,6372.4223952
0.01,-inf,500.0,0.0104251,nan,,0.7,1.48028e+09,0.00942309,-1088.70326063,1.43675e+11,7.04263e-14,nan,-1123.78933232,6372.4223952,200,-1123.78933232,100,2.06482e+20,1.06057426829,171.021,-720.61,0.97059,23518.4834833
0.005,-1221.63,500.0,0.0939294,1.1525,1,0.7,1.02299,4.30683e-06,-1143.51631039,2.39696,0.000459093,173.53526619,-1143.51631039,16987.4452339,200,-1143.51631039,100,0.180285,170.734205227,155.244,-1123.75,0.0117155,16987.4452339
0.01,-1266.65,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-1138.4031182,1.0,0.01,200.0,-1138.4031182,17729.2144926,200,-1138.4031182,100,,100.0,132.484,-1138.4,0.01,17729.2144926
0.005,-1225.71,500.0,0.141012,1.06022,1,0.7,0.996744,1.83283e-06,-1143.51195192,1.58049,0.000707364,188.639838485,-1143.51195192,7313.04893806,200,-1143.51195192,100,0.0728366,186.402538026,63.5848,-1132.34,0.00792829,7313.04893806
0.01,-1271.69,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-1141.41017405,1.0,0.01,200.0,-1141.41017405,14329.5608332,200,-1141.41017405,100,,100.0,119.106,-1141.41,0.01,14329.5608332
0.005,-1227.77,500.0,0.187264,1.04338,1,0.7,0.985526,1.50609e-06,-1138.74284965,1.4709,0.000950069,191.684318718,-1138.74284965,3074.93114826,200,-1138.74284965,100,0.0585122,188.689519427,44.1413,-1133.67,0.00746251,3074.93114826
0.01,-1210.83,500.0,1.0,1.0,2,0.7,1.0,3.50449e-18,-1130.50452354,1.0,0.01,200.0,-1130.50452354,1567.39378861,200,-1130.50452354,100,,100.0,39.3919,-1130.5,0.01,1567.39378861
0.005,-1181.78,500.0,0.0223564,2.04804,1,0.7,1.02619,4.48821e-05,-1125.63184971,13.5698,0.000108929,97.6542899873,-1125.63184971,3375.54436552,200,-1125.63184971,100,1.89056,71.7796262914,215.282,-1090.33,0.0661171,3375.54436552
