VarVanillaIw,VarDiscRet,AvgVanillaIw,IterType,J,MaxVanillaIw,AvgEpLen,VanillaAvgRet,VarRet,VarJ,MaxNormIw,AvgDiscRet,AvgRet,MinNormIw,Bound,MinVanillaIw,ESSRenyi,ESSClassic,VarNormIw,AvgNormIw,BatchSize,EpsThisIter,eRenyi2
258185200.0,1224.062061355328,1607.7,1,119.868774,160682.31,50.04,4.150369215482577,1224.062061355328,0.607124,0.99945456,4.150369215482577,4.150369215482577,2.290084e-06,109.28258,0.36817682,92.36315157931963,1.001091737167987,0.009988985,0.010000002,100,100,1.0826828
0.2128378,759.7527817663802,1.2457107,,2.28045,2.7160864,50.04,4.150369215482577,1224.062061355328,30.69492,0.02180351,0.8566237609647667,4.150369215482577,4.9959116e-08,-8.914607,6.2234603e-06,185.2135332087332,88.0448845372477,1.371559e-05,0.01,200,100,1.0798347
2065845200.0,1341.3107366061824,3214.865,1,119.8971,642783.25,45.19,1.6727428384445042,1341.3107366061824,0.45486107,0.9997049,1.6727428384445042,1.6727428384445042,1.2674106e-07,106.71233,0.081491075,179.7652142448678,1.000590488340064,0.0049970346,0.005,200,100,1.1125623
,1024.6399531103152,1.0,2,6.909319,1.0,58.9,6.909319154109968,1024.6399531103152,31.849546,0.01,6.909319154109968,6.909319154109968,0.01,-3.2461605,1.0,200.0,100.0,3.5044917e-18,0.009999998,200,100,1.0
0.8956079,1605.9205979949122,1.2802637,,5.8411074,12.271282,45.19,1.6727428384445042,1341.3107366061824,34.426334,0.047924824,4.219944119094,1.6727428384445042,6.0758363e-09,-9.415389,1.5557345e-06,270.55100614479534,129.56064763858288,1.3660263e-05,0.005,300,100,1.1088482
11000325000.0,1201.3606336508878,6056.4355,1,119.093185,1816617.9,50.19,-3.1996684607348054,1201.3606336508878,0.31388977,0.99982786,-3.1996684607348054,-3.1996684607348054,1.6923003e-08,108.04336,0.030747922,255.94092509368514,1.0003443508135819,0.0033321816,0.0033333334,300,100,1.1721455
,1634.8220734766498,1.0,2,-4.712425,1.0,45.46,-4.712425956782576,1634.8220734766498,40.23026,0.01,-4.712425956782576,-4.712425956782576,0.01,-18.606594,1.0,300.0,100.0,3.5044917e-18,0.009999998,300,100,1.0
,1385.4516493535825,1.0,2,0.6705308,1.0,55.27,6.053488119472088,1385.4516493535825,39.03859,0.005,6.053488119472088,6.053488119472088,0.005,-10.789457,1.0,300.0,200.00000010221265,2.179301e-19,0.0049999994,300,100,1.0
4.821036,1250.0587012725107,1.480476,,3.7598689,32.522522,50.19,-3.1996684607348054,1201.3606336508878,60.98565,0.07322537,4.575577228403238,-3.1996684607348054,1.2394065e-09,-6.353883,5.504735e-07,342.38325431328064,93.97798025312703,2.4439656e-05,0.003333333,400,100,1.1682814
11539457000.0,1082.686685924507,5372.0625,1,115.3838,2148438.2,50.93,-1.412477452438326,1082.686685924507,0.42095768,0.99982,-1.412477452438326,-1.412477452438326,1.7786887e-07,106.009895,0.38220906,355.6395552496011,1.0003600613704402,0.0024990984,0.0024999997,400,100,1.1247343
,1054.5530460385046,1.0,2,-1.5673709,1.0,45.85,-1.5673707900491893,1054.5530460385046,32.311104,0.01,-1.5673707900491893,-1.5673707900491893,0.01,-11.347353,1.0,400.0,100.0,3.5044917e-18,0.009999998,400,100,1.0
,942.0122295174144,1.0,2,-2.3152976,1.0,47.54,-3.0632251395442402,942.0122295174144,31.44613,0.005,-3.0632251395442402,-3.0632251395442402,0.005,-10.225632,1.0,400.0,200.00000010221265,2.179301e-19,0.0049999994,400,100,1.0
,847.9357819951241,1.0,2,-0.9590195,1.0,42.64,1.7535356400357358,847.9357819951241,30.704027,0.0033333334,1.7535356400357358,1.7535356400357358,0.0033333334,-7.882524,1.0,400.0,299.999969473632,5.4391416e-20,0.0033333336,400,100,1.0
0.14031528,1292.791881246064,1.1418606,,0.30112725,2.6163692,50.93,-1.412477452438326,1082.686685924507,32.442448,0.005728303,1.0785813613125135,-1.412477452438326,1.0190702e-09,-6.254525,4.654544e-07,446.6117731065709,361.2236002700637,6.7260294e-07,0.0025,500,100,1.1195406
70400434000.0,939.311044812196,11866.983,1,144.99974,5932978.0,54.76,2.4051279635011693,939.311044812196,0.25584182,0.99991345,2.4051279635011693,2.4051279635011693,5.073184e-09,136.36732,0.030101694,419.358899307668,1.0001731077451308,0.0019996532,0.0020000003,500,100,1.1922961
,1725.2959270224962,1.0,2,-0.718112,1.0,47.66,-0.7181119444136226,1725.2959270224962,41.328476,0.01,-0.7181119444136226,-0.7181119444136226,0.01,-18.61734,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,922.138358282283,1.0,2,1.0638635,1.0,46.93,2.84583898202982,922.138358282283,36.24438,0.005,2.84583898202982,2.84583898202982,0.005,-11.592802,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,1100.3530826747183,1.0,2,1.0802767,1.0,40.79,1.1131025708262121,1100.3530826747183,35.197834,0.0033333334,1.1131025708262121,1.1131025708262121,0.0033333334,-9.253847,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,2215.9040478661086,1.0,2,1.7683418,1.0,52.17,3.8325370643193835,2215.9040478661086,38.458057,0.0025,3.8325370643193835,3.8325370643193835,0.0025,-7.1812716,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
9869535000.0,991.2339881399265,4443.842,1,202.31935,2221434.5,43.14,1.2879967645797388,991.2339881399265,0.9883506,0.9997811,1.2879967645797388,1.2879967645797388,2.575194e-08,193.85666,0.057218775,447.35396615501645,1.0004380532240675,0.0019991228,0.002,500,100,1.1176832
,1295.1267945394184,1.0,2,-1.6511848,1.0,44.17,-1.6511853238281744,1295.1267945394184,35.80748,0.01,-1.6511853238281744,-1.6511853238281744,0.01,-16.002903,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,1388.8961739792821,1.0,2,-2.8624437,1.0,59.33,-4.073702589178774,1388.8961739792821,36.469967,0.005,-4.073702589178774,-4.073702589178774,0.005,-13.59243,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,2478.6177284331116,1.0,2,-2.7398145,1.0,63.64,-2.4945551460571056,2478.6177284331116,41.287766,0.0033333334,-2.4945551460571056,-2.4945551460571056,0.0033333334,-20.593822,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,1791.3638851791393,1.0,2,-0.86521125,1.0,49.2,4.758599232399943,1791.3638851791393,41.622284,0.0025,4.758599232399943,4.758599232399943,0.0025,-16.327236,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
5875599400.0,1194.2166937599795,3428.971,1,194.8136,1714002.0,46.66,-5.6036552927813315,1194.2166937599795,1.1856353,0.999718,-5.6036552927813315,-5.6036552927813315,1.2742411e-08,180.0323,0.021846678,437.69145656686305,1.0005642562784165,0.00199887,0.0020000003,500,100,1.1423572
,1619.0719837935267,1.0,2,-1.4035488,1.0,51.33,-1.4035490209269077,1619.0719837935267,40.036003,0.01,-1.4035490209269077,-1.4035490209269077,0.01,-13.968008,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,2049.469929213052,1.0,2,1.0348549,1.0,56.44,3.4732589520204313,2049.469929213052,42.683414,0.005,3.4732589520204313,3.4732589520204313,0.005,-11.29811,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,1237.1492935359145,1.0,2,2.9127576,1.0,53.17,6.668563582187618,1237.1492935359145,40.37196,0.0033333334,6.668563582187618,6.668563582187618,0.0033333334,-7.1570654,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,1845.167551630557,1.0,2,4.6166763,1.0,64.78,9.728428806054858,1845.167551630557,41.082966,0.0025,9.728428806054858,9.728428806054858,0.0025,-4.104047,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
133147580000.0,713.3641915875237,16319.582,1,185.06715,8159277.5,51.08,-0.7928812944134589,713.3641915875237,0.23875752,0.99993706,-0.7928812944134589,-0.7928812944134589,1.1902012e-08,176.66689,0.09711793,431.1011265889021,1.0001258729485378,0.0019997477,0.0020000003,500,100,1.1598207
,1402.207921157935,1.0,2,-1.3000834,1.0,49.41,-1.3000837341189486,1402.207921157935,37.258366,0.01,-1.3000837341189486,-1.3000837341189486,0.01,-11.80506,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,414.05988693524245,1.0,2,1.3832862,1.0,46.19,4.066656112290247,414.05988693524245,30.104036,0.005,4.066656112290247,4.066656112290247,0.005,-6.044854,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,927.7942560292025,1.0,2,1.0083672,1.0,52.94,0.25852819992295567,927.7942560292025,30.176512,0.0033333334,0.25852819992295567,0.25852819992295567,0.0033333334,-5.056684,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,1392.4574728541036,1.0,2,1.124415,1.0,47.19,1.4725607379250414,1392.4574728541036,32.056824,0.0025,1.4725607379250414,1.4725607379250414,0.0025,-5.697211,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
121593750000.0,1504.201090168482,15595.516,1,162.09683,7797236.0,43.75,-0.7530021546243475,1504.201090168482,0.22271399,0.99993306,-0.7530021546243475,-0.7530021546243475,1.1508571e-08,154.1601,0.08974105,414.17166240247576,1.000133898082119,0.0019997319,0.002,500,100,1.2072289
,1134.2085504224385,1.0,2,-1.1133647,1.0,54.79,-1.1133645747864036,1134.2085504224385,33.509197,0.01,-1.1133645747864036,-1.1133645747864036,0.01,-11.221579,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,1312.5063448576518,1.0,2,0.18498337,1.0,43.89,1.4833314965503115,1312.5063448576518,34.825417,0.005,1.4833314965503115,1.4833314965503115,0.005,-9.96034,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,2725.654310285762,1.0,2,1.198807,1.0,52.86,3.226453686861081,2725.654310285762,41.352886,0.0033333334,3.226453686861081,3.226453686861081,0.0033333334,-17.597979,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,1637.5448750949843,1.0,2,1.6576712,1.0,52.1,3.0342646917459626,1637.5448750949843,41.090992,0.0025,3.0342646917459626,3.0342646917459626,0.0025,-14.620823,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
47798415000.0,1758.3097249100313,9778.365,1,386.7983,4888682.5,41.34,-2.2623918335570643,1758.3097249100313,0.8573416,0.9998977,-2.2623918335570643,-2.2623918335570643,1.6975374e-08,371.02692,0.0829957,426.13568765888124,1.0002045645505762,0.00199959,0.002,500,100,1.1733352
,1229.014765152607,1.0,2,-0.7505643,1.0,49.4,-0.7505646551672867,1229.014765152607,34.881577,0.01,-0.7505646551672867,-0.7505646551672867,0.01,-14.944615,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,1608.9206673615768,1.0,2,3.55544,1.0,43.55,7.861444745073816,1608.9206673615768,37.72691,0.005,7.861444745073816,7.861444745073816,0.005,-10.966083,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,2207.7096962435885,1.0,2,3.5288153,1.0,49.24,3.475566927608354,2207.7096962435885,40.956387,0.0033333334,3.475566927608354,3.475566927608354,0.0033333334,-9.971021,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,1160.4555888921857,1.0,2,4.2112665,1.0,57.61,6.258619218363332,1160.4555888921857,39.327843,0.0025,6.258619218363332,6.258619218363332,0.0025,-7.4799356,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
115683890000.0,1909.9966839886572,15211.826,1,277.80823,7605391.5,50.88,2.0386935448970642,1909.9966839886572,0.39214548,0.99993145,2.0386935448970642,2.0386935448970642,2.2135842e-08,266.4755,0.16836329,425.7050368197003,1.0001371442560372,0.0019997251,0.0019999999,500,100,1.1745222
,968.2056415765145,1.0,2,-0.58576983,1.0,48.56,-0.5857701330386064,968.2056415765145,30.960032,0.01,-0.5857701330386064,-0.5857701330386064,0.01,-11.728546,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,961.9718604974926,1.0,2,-1.4322509,1.0,41.42,-2.278732103872843,961.9718604974926,30.921745,0.005,-2.278732103872843,-2.278732103872843,0.005,-11.403669,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,914.7552461952047,1.0,2,-1.3019347,1.0,55.74,-1.041301515741647,914.7552461952047,30.648647,0.0033333334,-1.041301515741647,-1.041301515741647,0.0033333334,-10.179237,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,1039.87941265229,1.0,2,-0.6963135,1.0,44.02,1.120549162890089,1039.87941265229,31.03184,0.0025,1.120549162890089,1.120549162890089,0.0025,-8.384283,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
88884580000.0,1316.2133330796041,13334.043,1,182.68106,6666506.0,54.47,-5.522503263955405,1316.2133330796041,0.29616597,0.9999227,-5.522503263955405,-5.522503263955405,5.9230616e-09,175.12509,0.03948918,414.0981819406054,1.0001546597065987,0.0019996902,0.0020000003,500,100,1.2074431
,844.1017101710149,1.0,2,0.5745791,1.0,41.32,0.574579091973641,844.1017101710149,28.907795,0.01,0.574579091973641,0.574579091973641,0.01,-8.758549,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,1398.8013023905353,1.0,2,1.070257,1.0,57.67,1.5659344803936752,1398.8013023905353,33.323902,0.005,1.5659344803936752,1.5659344803936752,0.005,-7.5440063,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,1396.899243314278,1.0,2,2.058309,1.0,51.73,4.034413928047183,1396.899243314278,34.68791,0.0033333334,4.034413928047183,4.034413928047183,0.0033333334,-8.46599,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
,1733.5894213733122,1.0,2,2.4011095,1.0,55.73,3.429511433776966,1733.5894213733122,36.49458,0.0025,3.429511433776966,3.429511433776966,0.0025,-6.7132006,1.0,500.0,400.0,5.434597e-20,0.0024999997,500,100,1.0
57403077000.0,781.063226103657,10715.759,1,216.56999,5357383.0,41.09,2.7405667345326696,781.063226103657,0.43377304,0.9999073,2.7405667345326696,2.7405667345326696,6.099594e-08,207.91183,0.3268089,443.2578123546888,1.0001853602801138,0.0019996285,0.0020000003,500,100,1.1280117
,988.8345675045828,1.0,2,-4.0879555,1.0,51.24,-4.087955976620504,988.8345675045828,31.288116,0.01,-4.087955976620504,-4.087955976620504,0.01,-15.119962,1.0,500.0,100.0,3.5044917e-18,0.009999998,500,100,1.0
,1529.273318782477,1.0,2,-2.7833626,1.0,52.67,-1.4787702546569428,1529.273318782477,35.329384,0.005,-1.4787702546569428,-1.4787702546569428,0.005,-14.953199,1.0,500.0,200.00000010221265,2.179301e-19,0.0049999994,500,100,1.0
,1040.010439270415,1.0,2,-1.3647606,1.0,40.99,1.4724435461663299,1040.010439270415,34.3415,0.0033333334,1.4724435461663299,1.4724435461663299,0.0033333334,-11.30139,1.0,500.0,299.999969473632,5.4391416e-20,0.0033333336,500,100,1.0
