VarJ,VarDiscRet,eRenyi2,Delta,VarVanillaIw,VarRet,MaxNormIw,IterType,AvgRet,MinVanillaIw,AvgNormIw,VanillaAvgRet,VarNormIw,Bound,J,MinNormIw,AvgDiscRet,AvgVanillaIw,MaxVanillaIw,EpsThisIter,AvgEpLen,ESSClassic,BatchSize,ESSRenyi
124.116,6275.22441934,1.34566,0.1,1.2125,6275.22441934,0.0832248,1,134.001163077,0.133152,0.01,134.001163077,9.08657e-05,19.0353,174.207,0.00115267,134.001163077,1.15516,9.61375,100,14.65,52.6434718739,100,74.3131229518
154.634,10918.435584,1.49503,0.1,0.828879,10918.435584,0.0673739,1,174.383550056,0.0102369,0.01,174.383550056,9.10375e-05,35.8898,240.754,0.000107283,174.383550056,0.954191,6.42875,100,18.98,52.596382706,100,66.8884105011
1089.2,14909.4584821,3.31179,0.1,193.088,14909.4584821,0.623095,1,229.343477782,0.0193904,0.01,229.343477782,0.00385246,151.614,541.745,8.66119e-05,229.343477782,2.23876,139.496,100,24.9,2.55497436182,100,30.1951165783
216.037,14345.393574,1.33841,0.1,0.790155,14345.393574,0.0726395,1,223.47334422,0.069751,0.01,223.47334422,7.74369e-05,43.2931,278.505,0.000690507,223.47334422,1.01014,7.33762,100,24.25,56.6050939688,100,74.7155927479
249.185,16805.8273402,1.34645,0.1,0.527536,16805.8273402,0.0425933,1,260.883520175,0.0607349,0.01,260.883520175,5.83733e-05,41.2343,321.756,0.00063888,260.883520175,0.950646,4.04912,100,28.26,63.3755632236,100,74.2694818202
226.821,24640.1827735,1.06897,0.1,0.0917324,24640.1827735,0.0224925,1,312.893389503,0.451573,0.01,312.893389503,8.621e-06,-79.3293,336.016,0.00437769,312.893389503,1.03153,2.32017,100,33.82,92.1363382977,100,93.5483942915
559.197,16616.4803908,1.63334,0.1,2.27208,16616.4803908,0.147417,1,289.526784081,0.00447702,0.01,289.526784081,0.000236704,90.821,375.988,4.56962e-05,289.526784081,0.979737,14.443,100,31.31,29.9099777664,100,61.2240834642
455.138,32336.8433932,1.54428,0.1,2.10105,32336.8433932,0.101628,1,372.441219464,0.0677635,0.01,372.441219464,0.000145206,72.827,495.935,0.000563339,372.441219464,1.20289,12.2247,100,40.22,41.0250156989,100,64.7552689932
230.384,23933.7405993,1.15463,0.1,0.204871,23933.7405993,0.0273393,1,357.515057071,0.253304,0.01,357.515057071,1.82745e-05,69.746,396.521,0.00239235,357.515057071,1.05881,2.89471,100,38.58,84.6798908622,100,86.6074864206
309.001,27353.842742,1.35579,0.1,1.1009,27353.842742,0.0794793,1,399.117141229,0.0621177,0.01,399.117141229,8.74664e-05,154.372,475.854,0.000553685,399.117141229,1.1219,8.91676,100,43.1,53.5929423441,100,73.7575981174
192.151,24891.0358945,1.11319,0.1,0.129066,24891.0358945,0.0239743,1,402.340946248,0.359329,0.01,402.340946248,1.35456e-05,100.874,432.531,0.00368115,402.340946248,0.976131,2.34021,100,43.43,88.1755570612,100,89.8317661211
1146.39,51532.5981393,3.15716,0.1,6.00736,51532.5981393,0.236368,1,426.144896946,0.00024639,0.01,426.144896946,0.000813966,161.339,815.117,2.86804e-06,426.144896946,0.85909,20.3062,100,46.03,11.0396470153,100,31.674021369
257.232,44633.4711346,1.11939,0.1,0.159685,44633.4711346,0.0204984,1,474.79406982,0.364574,0.01,474.79406982,1.52489e-05,120.27,514.141,0.00356265,474.79406982,1.02332,2.09765,100,51.25,86.8836430515,100,89.3344163157
1146.99,35049.9060799,2.33817,0.1,60.7975,35049.9060799,0.471586,1,479.57434277,0.00576207,0.01,479.57434277,0.00220946,266.377,743.097,3.47359e-05,479.57434277,1.65882,78.2278,100,51.76,4.37185070411,100,42.7685151101
610.736,55019.1435315,1.41703,0.1,3.04623,55019.1435315,0.149303,1,511.957831247,0.0676919,0.01,511.957831247,0.000226492,144.879,616.127,0.000583691,511.957831247,1.15972,17.315,100,55.24,30.8425353093,100,70.5703272609
406.43,45371.92395,1.43655,0.1,1.46609,45371.92395,0.0934101,1,587.242568224,0.0321198,0.01,587.242568224,0.000132982,286.833,715.804,0.000305906,587.242568224,1.04999,9.80795,100,63.34,43.1681637,100,69.6112491857
728.545,89953.7794659,1.26636,0.1,0.443842,89953.7794659,0.0499232,1,617.439017495,0.172136,0.01,617.439017495,3.73309e-05,43.7931,724.768,0.00157868,617.439017495,1.09039,5.44355,100,66.64,73.0153112673,100,78.9667142899
329.031,51563.8095268,1.34005,0.1,0.522532,51563.8095268,0.0435488,1,597.97836894,0.0728305,0.01,597.97836894,5.42243e-05,296.06,688.727,0.000741914,597.97836894,0.981657,4.275,100,64.55,65.0694084362,100,74.6242149591
298.935,54765.2785912,1.15467,0.1,0.24993,54765.2785912,0.0335689,1,608.343572074,0.163741,0.01,608.343572074,2.31606e-05,216.437,661.263,0.00157624,608.343572074,1.03881,3.48716,100,65.74,81.3477673932,100,86.6045715186
610.227,58354.2968655,1.49454,0.1,1.73247,58354.2968655,0.109237,1,674.800084413,0.0333819,0.01,674.800084413,0.000142472,321.392,793.217,0.00030272,674.800084413,1.10273,12.0459,100,73.02,41.4856942884,100,66.9101248707
1292.08,86261.3466979,2.32605,0.1,107.64,86261.3466979,0.531331,1,692.112927553,0.0266042,0.01,692.112927553,0.00279762,411.892,1061.47,0.000135631,692.112927553,1.96151,104.221,100,74.85,3.48475141081,100,42.9912835699
639.801,65038.1179681,1.33664,0.1,10.5375,65038.1179681,0.245284,1,764.005022752,0.302559,0.01,764.005022752,0.000585161,308.273,866.525,0.00225465,764.005022752,1.34194,32.9156,100,82.62,14.7208241572,100,74.8142599486
379.062,76850.7235775,1.16389,0.1,0.233393,76850.7235775,0.0288143,1,809.124581239,0.0742838,0.01,809.124581239,2.33926e-05,330.008,877.258,0.000743686,809.124581239,0.99886,2.87814,100,87.55,81.1960285231,100,85.9187280853
352.365,78554.6556842,1.13548,0.1,0.179231,78554.6556842,0.0275514,1,838.521298783,0.278475,0.01,838.521298783,1.7585e-05,320.839,901.956,0.00275837,838.521298783,1.00957,2.7815,100,90.58,85.1722000558,100,88.0688298099
271.293,63430.4001244,1.09416,0.1,0.114542,63430.4001244,0.0193831,1,853.907946388,0.429653,0.01,853.907946388,1.09938e-05,414.87,893.931,0.00420929,853.907946388,1.02073,1.97848,100,92.29,90.184515325,100,91.394444344
269.851,66241.2749297,1.17156,0.1,0.231744,66241.2749297,0.0247909,1,852.554484717,0.0956625,0.01,852.554484717,2.51246e-05,455.437,922.935,0.000996065,852.554484717,0.960404,2.38093,100,92.15,80.0811245589,100,85.3561432483
232.716,56234.4846879,1.0618,0.1,0.0772724,56234.4846879,0.0160691,1,900.176477374,0.401152,0.01,900.176477374,7.34997e-06,448.393,928.181,0.00391236,900.176477374,1.02534,1.64763,100,97.47,93.2171076911,100,94.1801175347
1088.43,84312.4645972,1.91868,0.1,190.822,84312.4645972,0.601675,1,882.454368445,0.047483,0.01,882.454368445,0.00358244,544.748,1223.71,0.000205738,882.454368445,2.30794,138.863,100,95.49,2.74226892896,100,52.1192086432
294.079,77996.5563527,1.06665,0.1,0.0858606,77996.5563527,0.018355,1,900.580238111,0.307191,0.01,900.580238111,8.46987e-06,320.325,936.981,0.00305105,900.580238111,1.00684,1.84805,100,97.38,92.2635073757,100,93.7515457881
