J,EpsThisIter,AvgDiscRet,VarDiscRet,eRenyi2,MinNormIw,VanillaAvgRet,IterType,AvgRet,VarNormIw,AvgVanillaIw,Bound,AvgNormIw,ESSClassic,MinVanillaIw,AvgEpLen,VarRet,BatchSize,VarJ,Delta,VarVanillaIw,MaxVanillaIw,MaxNormIw,ESSRenyi
-120.574,100,-126.517539579,4841.67031171,1.03773,0.0034355,-126.517539579,1,-126.517539579,3.49948e-06,0.995908,-268.682,0.01,96.6515281888,0.342144,42.58,4841.67031171,100,48.8662,0.1,0.0347089,1.29924,0.0130458,96.3642589869
-117.915,100,-122.416046376,2648.74155455,1.02743,0.00501826,-122.416046376,1,-122.416046376,3.46441e-06,0.986658,-269.786,0.01,96.6839703871,0.495131,38.88,2648.74155455,100,32.5635,0.1,0.0337258,1.42587,0.0144515,97.3298875079
-118.569,100,-124.172049842,3784.14722824,1.03454,0.00348674,-124.172049842,1,-124.172049842,4.68988e-06,0.974552,-270.614,0.01,95.5630236266,0.339801,41.82,3784.14722824,100,39.0352,0.1,0.0445422,1.40844,0.0144522,96.6614018367
-110.318,100,-111.326776749,327.414793747,1.01028,0.00560959,-111.326776749,1,-111.326776749,8.77084e-07,1.01983,-194.226,0.01,99.1391509682,0.572085,23.57,327.414793747,100,11.1918,0.1,0.00912222,1.18591,0.0116285,98.9826692587
-112.464,100,-113.223199135,1560.65036907,1.00483,0.00836602,-113.223199135,1,-113.223199135,5.36347e-07,1.00779,-262.735,0.01,99.4718145435,0.843123,24.26,1560.65036907,100,33.0663,0.1,0.0054474,1.22336,0.012139,99.5188609452
-109.041,100,-109.169513965,21.6974744195,1.00312,0.00854206,-109.169513965,1,-109.169513965,3.06554e-07,1.003,-148.844,0.01,99.6974402448,0.856767,19.68,21.6974744195,100,4.43637,0.1,0.00308395,1.11373,0.011104,99.6885256461
-111.735,100,-112.634588375,460.391109814,1.00968,0.00618471,-112.634588375,1,-112.634588375,9.84593e-07,1.00821,-202.511,0.01,99.0346535578,0.623547,24.62,460.391109814,100,16.4783,0.1,0.0100082,1.23855,0.0122846,99.0408328461
-109.294,100,-109.448928062,36.1309956444,1.00349,0.00850563,-109.448928062,1,-109.448928062,2.72708e-07,1.00339,-153.656,0.01,99.7307716743,0.853445,18.94,36.1309956444,100,5.67535,0.1,0.00274559,1.09518,0.0109148,99.6524534015
-113.628,100,-115.16181682,1242.00845561,1.01268,0.00601185,-115.16181682,1,-115.16181682,9.946e-07,1.00335,-225.3,0.01,99.0249604218,0.603199,26.01,1242.00845561,100,26.7348,0.1,0.0100128,1.20494,0.0120091,98.7479763017
-116.506,100,-118.432152134,2962.756035,1.01213,0.00744889,-118.432152134,1,-118.432152134,1.83176e-06,1.015,-264.201,0.01,98.218857969,0.756065,31.64,2962.756035,100,43.6672,0.1,0.0188714,1.50586,0.014836,98.8015701103
-109.292,100,-109.463838037,28.2190406735,1.00425,0.00756531,-109.463838037,1,-109.463838037,3.85008e-07,0.994185,-149.545,0.01,99.6202847117,0.752132,18.21,28.2190406735,100,4.99077,0.1,0.00380544,1.08623,0.0109258,99.5764154424
-110.285,100,-111.004578464,525.695567761,1.00687,0.00673491,-111.004578464,1,-111.004578464,8.26359e-07,0.992075,-208.24,0.01,99.1885197979,0.668154,23.35,525.695567761,100,17.3163,0.1,0.00813313,1.12102,0.0112997,99.3180489183
-109.882,100,-110.775827986,159.114129201,1.01216,0.00441378,-110.775827986,1,-110.775827986,1.53655e-06,0.987368,-174.434,0.01,98.501597624,0.435802,24.85,159.114129201,100,8.53259,0.1,0.0149798,1.16443,0.0117932,98.7987889663
-108.021,100,-108.124978244,29.5965842424,1.00233,0.00862561,-108.124978244,1,-108.124978244,2.64618e-07,0.995921,-151.914,0.01,99.7386534635,0.859042,17.12,29.5965842424,100,5.2863,0.1,0.00262464,1.15427,0.01159,99.7675945086
-107.82,100,-107.903046478,14.7440041331,1.00235,0.00876828,-107.903046478,1,-107.903046478,2.72652e-07,1.00236,-143.109,0.01,99.7307990225,0.878896,17.73,14.7440041331,100,3.81589,0.1,0.0027394,1.11527,0.0111264,99.7660401414
-108.219,100,-108.448026041,34.0022843577,1.00483,0.00683661,-108.448026041,1,-108.448026041,5.46026e-07,0.999986,-152.206,0.01,99.462325707,0.683651,18.16,34.0022843577,100,4.79186,0.1,0.0054601,1.12306,0.0112307,99.5196401798
-108.037,100,-108.306805437,43.0096365787,1.00575,0.00692012,-108.306805437,1,-108.306805437,7.84228e-07,1.00304,-153.302,0.01,99.2296081298,0.694117,17.12,43.0096365787,100,5.46448,0.1,0.00789007,1.12416,0.0112075,99.4281871281
-108.118,100,-108.262342751,16.3422222599,1.0035,0.00678491,-108.262342751,1,-108.262342751,5.40125e-07,0.996377,-147.5,0.01,99.4681108814,0.676032,16.38,16.3422222599,100,3.576,0.1,0.00536218,1.09065,0.0109462,99.6513169461
-108.079,100,-108.217416073,17.8953473759,1.00324,0.00594818,-108.217416073,1,-108.217416073,4.14247e-07,1.0076,-146.718,0.01,99.5915607299,0.599338,18.12,17.8953473759,100,3.8187,0.1,0.00420566,1.10321,0.010949,99.6765973627
-108.214,100,-108.405796302,49.9376991753,1.00357,0.00753025,-108.405796302,1,-108.405796302,4.44659e-07,0.999497,-159.64,0.01,99.5617297554,0.752647,21.19,49.9376991753,100,5.64837,0.1,0.00444212,1.08379,0.0108433,99.6445105948
-107.987,100,-108.279433005,41.9751872672,1.00576,0.00703687,-108.279433005,1,-108.279433005,6.52333e-07,1.00177,-155.766,0.01,99.3583189158,0.704933,17.0,41.9751872672,100,5.06069,0.1,0.00654645,1.16066,0.0115861,99.4271382753
-107.703,100,-107.778515064,9.455217947,1.00214,0.00856574,-107.778515064,1,-107.778515064,2.65251e-07,0.997021,-143.028,0.01,99.7380989477,0.854022,16.39,9.455217947,100,2.95729,0.1,0.00263673,1.0966,0.0109988,99.7864168745
-107.469,100,-107.514308845,13.3923075506,1.00118,0.00909175,-107.514308845,1,-107.514308845,1.00149e-07,1.00169,-143.796,0.01,99.9009139002,0.910709,16.7,13.3923075506,100,3.55183,0.1,0.00100487,1.05901,0.0105723,99.8826333145
-107.728,100,-107.749062898,9.53804864926,1.00062,0.00898156,-107.749062898,1,-107.749062898,6.76124e-08,0.998427,-142.411,0.01,99.9330947881,0.896743,18.07,9.53804864926,100,3.1021,0.1,0.000673998,1.04243,0.0104407,99.9379186042
-107.412,100,-107.432715781,8.62977083926,1.00059,0.0091172,-107.432715781,1,-107.432715781,5.42118e-08,1.00217,-142.292,0.01,99.9463316804,0.913696,17.85,8.62977083926,100,2.91977,0.1,0.00054447,1.06077,0.0105847,99.940883319
-107.649,100,-107.714554398,11.0385106043,1.00182,0.00889374,-107.714554398,1,-107.714554398,2.38394e-07,0.997996,-143.699,0.01,99.7645351168,0.887592,17.72,11.0385106043,100,3.2009,0.1,0.00237439,1.14165,0.0114394,99.818571358
