VarJ,MinNormIw,IterType,AvgRet,renyi2,AvgNormIw,J,SamplesThisIter,EpsThisIter,AvgVanillaIw,delta,VarRet,MaxVanillaIw,AvgEpLen,BatchSize,MaxNormIw,ESSRenyi,VarDiscRet,AvgDiscRet,ESSClassic,Bound,VarVanillaIw,VarNormIw,VanillaAvgRet,MinVanillaIw
19872.0,,1,130.014520667,nan,1.58233e-06,51481.4,50000,3511,2.15367,0.4,5153.14954251,53295.4,14.2409569923,100,0.0391568,nan,5153.14954251,130.014520667,5.22053093835,276.178,23646.2,1.27643e-08,130.014520667,
14569.4,,1,128.003487257,nan,1.5588e-06,45259.9,50000,3564,1.38258,0.4,4713.09128211,7128.72,14.0291806958,100,0.00803731,nan,4713.09128211,128.003487257,7.9023087288,251.216,566.182,7.19704e-10,128.003487257,
8598.84,1.25504e-24,1,131.484048708,nan,1.6001e-06,34339.7,50000,3472,1.09793,0.4,5216.10093909,669.05,14.400921659,100,0.000975065,nan,5216.10093909,131.484048708,8.18528555847,201.955,20.9612,4.45211e-11,131.484048708,8.61159e-19
15617.9,3.85651e-28,1,132.510719145,nan,1.61218e-06,43728.9,50000,3446,1.44645,0.4,5561.22861198,14831.9,14.5095763204,100,0.0165313,nan,5561.22861198,132.510719145,5.68034500167,261.217,2269.1,2.81884e-09,132.510719145,3.46008e-22
27576.8,,1,135.523354126,nan,1.64804e-06,47280.4,50000,3371,2.22275,0.4,5948.57436661,36907.1,14.8323939484,100,0.0273645,nan,5948.57436661,135.523354126,7.64112806445,253.884,15055.8,8.27676e-09,135.523354126,
12550.9,8.49938e-36,1,133.354928324,nan,1.62206e-06,42500.2,50000,3425,1.22817,0.4,5221.1128916,1164.73,14.598540146,100,0.00153827,nan,5221.1128916,133.354928324,6.22950521223,246.848,110.549,1.92828e-10,133.354928324,6.43546e-30
8836.4,6.67795e-16,1,138.022448544,nan,1.67791e-06,36477.8,50000,3311,1.15442,0.4,5647.39158259,929.04,15.1011778919,100,0.00135033,nan,5647.39158259,138.022448544,10.5986730806,217.934,34.5851,7.30633e-11,138.022448544,4.5945e-10
9509.69,7.12645e-18,1,146.772591826,nan,1.78234e-06,37613.2,50000,3117,1.08979,0.4,5896.02405598,339.348,16.0410651267,100,0.000555,nan,5896.02405598,146.772591826,7.97582545572,220.127,18.121,4.84704e-11,146.772591826,4.35738e-12
7435.72,3.99905e-26,1,160.330009795,nan,1.94386e-06,41317.0,50000,2858,1.13554,0.4,6175.83014401,488.891,17.4947515745,100,0.000836904,nan,6175.83014401,160.330009795,7.08007203683,237.256,25.5622,7.49077e-11,160.330009795,2.33611e-20
20853.4,,1,171.436595953,nan,2.07607e-06,54078.4,50000,2676,1.33604,0.4,8198.99508619,1873.45,18.6846038864,100,0.00291114,nan,8198.99508619,171.436595953,2.70083446234,283.753,161.278,3.89421e-10,171.436595953,
13388.3,,1,189.836200489,nan,2.29474e-06,55275.2,50000,2421,1.28353,0.4,7390.77543862,547.331,20.6526228831,100,0.000978536,nan,7390.77543862,189.836200489,2.35165767011,301.692,92.6514,2.96146e-10,189.836200489,
18937.0,,1,209.56841608,nan,2.52985e-06,70065.9,50000,2196,1.78415,0.4,7488.84422105,2191.32,22.7686703097,100,0.00310721,nan,7488.84422105,209.56841608,1.77272825935,353.672,543.133,1.09203e-09,209.56841608,
13040.6,,1,226.1519925,nan,2.72732e-06,63809.0,50000,2037,1.61661,0.4,7507.40616203,1028.93,24.5459008346,100,0.00173588,nan,7507.40616203,226.1519925,7.14919870611,334.62,183.636,5.22663e-10,226.1519925,
10799.7,,1,234.959326923,nan,2.83158e-06,63182.4,50000,1962,1.38337,0.4,7257.54307767,574.789,25.4841997961,100,0.00117652,nan,7257.54307767,234.959326923,2.25405303912,354.084,142.754,5.98093e-10,234.959326923,
22543.8,6.40295e-41,1,249.944655907,nan,3.00951e-06,66029.5,50000,1846,1.25815,0.4,6895.11360639,806.647,27.0855904659,100,0.00192951,nan,6895.11360639,249.944655907,1.62875211328,347.657,84.1351,4.814e-10,249.944655907,2.67682e-35
18032.4,,1,257.977566121,nan,3.1054e-06,70049.2,50000,1789,1.3094,0.4,7033.11204206,970.452,27.9485746227,100,0.00230155,nan,7033.11204206,257.977566121,2.10918052394,388.032,136.387,7.6712e-10,257.977566121,
14224.1,,1,264.261000078,nan,3.18005e-06,68219.4,50000,1747,1.32102,0.4,8093.05110945,1070.85,28.6204922725,100,0.00257784,nan,8093.05110945,264.261000078,2.8129339949,386.138,122.296,7.08702e-10,264.261000078,
8817.73,,1,271.395829047,nan,3.26413e-06,68138.5,50000,1702,1.28326,0.4,6271.46602501,903.485,29.3772032902,100,0.00229813,nan,6271.46602501,271.395829047,3.95426571549,393.609,112.981,7.30988e-10,271.395829047,
23011.7,1.08713e-36,1,272.690558553,nan,3.27955e-06,69509.2,50000,1694,1.22444,0.4,6736.88956405,697.621,29.5159386068,100,0.00186852,nan,6736.88956405,272.690558553,2.01491738381,378.21,76.781,5.50818e-10,272.690558553,4.05887e-31
12080.9,,1,282.794633642,nan,3.39997e-06,75107.2,50000,1634,1.38288,0.4,8307.04829773,4310.35,30.599755202,100,0.0105975,nan,8307.04829773,282.794633642,3.64010120008,437.971,405.948,2.45387e-09,282.794633642,
11857.0,,1,278.527450993,nan,3.34874e-06,73070.8,50000,1659,1.36396,0.4,8115.39591873,719.557,30.1386377336,100,0.00176663,nan,8115.39591873,278.527450993,3.00886709411,410.345,111.008,6.69133e-10,278.527450993,
13055.6,,1,289.757627193,nan,3.48311e-06,79409.8,50000,1595,1.55711,0.4,9731.20928634,1275.79,31.3479623824,100,0.00285383,nan,9731.20928634,289.757627193,4.75980124595,463.418,320.921,1.60581e-09,289.757627193,
9319.85,,1,288.160103546,nan,3.46356e-06,72657.9,50000,1604,1.35579,0.4,7811.84585508,551.245,31.1720698254,100,0.00140824,nan,7811.84585508,288.160103546,4.8232856161,407.625,95.1006,6.20648e-10,288.160103546,
14974.5,3.48206e-38,1,293.70016966,nan,3.52958e-06,74261.5,50000,1574,1.2476,0.4,8823.18157266,940.745,31.7662007624,100,0.00266146,nan,8823.18157266,293.70016966,3.95083069909,445.357,88.8898,7.11458e-10,293.70016966,1.2308e-32
11928.7,,1,296.114425361,nan,3.55897e-06,77997.0,50000,1561,1.26343,0.4,9887.53874063,618.261,32.0307495195,100,0.00174158,nan,9887.53874063,296.114425361,3.90643836344,448.564,116.883,9.27463e-10,296.114425361,
17817.8,,1,300.066687481,nan,3.60516e-06,90762.6,50000,1541,1.64974,0.4,13095.536941,11445.2,32.4464633355,100,0.0250109,nan,13095.536941,300.066687481,5.28313107427,544.605,2250.94,1.07493e-08,300.066687481,
18654.8,,1,292.22435407,nan,3.51173e-06,80306.8,50000,1582,1.29094,0.4,10246.1390304,1118.65,31.605562579,100,0.00304304,nan,10246.1390304,292.22435407,2.29384584527,453.636,131.888,9.75969e-10,292.22435407,
43046.6,,1,311.334131988,nan,3.74111e-06,102875.0,50000,1485,1.79828,0.4,15020.1405846,8243.51,33.67003367,100,0.0171496,nan,15020.1405846,311.334131988,1.37514264356,495.281,1986.18,8.59616e-09,311.334131988,
16942.9,,1,310.783244249,nan,3.73357e-06,92434.9,50000,1488,1.4934,0.4,14263.2970167,1580.8,33.6021505376,100,0.00395207,nan,14263.2970167,310.783244249,4.62561253381,511.581,278.431,1.74027e-09,310.783244249,
24753.8,,1,315.970919108,nan,3.79737e-06,111128.0,50000,1463,1.984,0.4,19339.3672624,9884.57,34.1763499658,100,0.0189191,nan,19339.3672624,315.970919108,4.83091532691,630.473,2646.16,9.69392e-09,315.970919108,
26845.4,,1,321.153881616,nan,3.86071e-06,108673.0,50000,1439,2.09812,0.4,18562.5225261,22525.1,34.7463516331,100,0.0414479,nan,18562.5225261,321.153881616,5.67313047784,597.156,9298.58,3.1484e-08,321.153881616,
17089.7,,1,316.446497063,nan,3.80257e-06,81643.8,50000,1461,1.23202,0.4,16036.0548251,808.496,34.2231348392,100,0.00249539,nan,16036.0548251,316.446497063,3.98706569027,473.248,64.9588,6.18813e-10,316.446497063,
15860.8,,1,331.055551779,nan,3.97678e-06,93033.2,50000,1397,1.24198,0.4,20963.0716838,488.555,35.7909806729,100,0.00156433,nan,20963.0716838,331.055551779,4.14611300494,530.398,65.7018,6.73607e-10,331.055551779,
