InitialReturnMax,LearnableVariance,InitialBound,MeanIW,TimestepsSoFar,StdIWNorm,OptimizationReturnMin,EmpiricalD2,MaxIWNorm,MaxIW,J_sample_variance,ESSRenyi,MeanIWNorm,VarianceInit,MinIW,Iteration,EpLenMean,StdIW,OptimizationReturnMax,EpRewMean,Bound,OptimizationReturnMean,InitialReturnMean,ESSClassic,ReturnStepMaxmin,ReturnMeanIW,InitialReturnStd,ReturnStepMax,MinIWNorm,Weights,InitialReturnMin,TimeElapsed,EpisodesSoFar,EpThisIter,MeanEntropy
268.5785,True,56.306328,1.1233578,1498,0.006870303,,1.1890653,0.057669625,5.7669625,14104.76,84.09967,0.0112335775,-1,0.464487,1,14.98,0.68703026,205.46635,136.87987418373606,68.71487,73.76774,136.87988,72.778206,9.359919,156.5757,41.573486,9.359919,0.00464487,[ 0.  0. -0. -0.  0. -0.  0.  0.  0. -0. -0.  0.],63.112133,0.8671603202819824,100,100,1.4816481
303.86627,True,46.972023,1.016808,3009,0.001824616,,1.0299802,0.01640055,1.6400551,6088.476,97.08925,0.01016808,-1,0.61927474,2,15.11,0.18246159,249.95547,138.13189095279725,49.40895,84.221085,138.1319,96.880394,9.359455,141.92523,47.280865,9.359455,0.006192747,[ 0.004  0.017  0.004 -0.022 -0.017  0.032  0.005 -0.008  0.     0.  0.     0.063],53.910805,2.3082618713378906,200,100,1.4980365
295.1208,True,58.970848,1.0106658,4621,0.0027007004,,1.0564723,0.01975502,1.9755021,8071.0757,94.65463,0.010106658,-1,0.42039993,3,16.12,0.27007005,232.03944,147.5070891535016,61.23256,84.42574,147.5071,93.33524,9.359798,152.23439,45.549473,9.359798,0.0042039994,[ 0.006  0.018  0.017 -0.007  0.004  0.022  0.012 -0.002  0.     0.  0.     0.079],63.08134,3.398221731185913,300,100,1.5195346
314.8045,True,47.341507,1.0576537,6171,0.005506386,,1.273563,0.025573902,2.5573902,15325.077,78.51987,0.010576537,-1,0.09683375,4,15.5,0.5506387,261.03745,141.78284668982852,58.335854,88.01578,141.78285,78.67523,9.359793,164.91504,51.352097,9.359793,0.00096833747,[ 0.011  0.032  0.039  0.009  0.01   0.013  0.026 -0.     0.     0.  0.     0.101],53.767067,4.527652740478516,400,100,1.4734318
332.76074,True,54.503418,1.1164552,7857,0.0072867204,,1.1624025,0.062057327,6.205733,14555.856,86.02872,0.011164551,-1,0.3291917,5,16.86,0.728672,260.70062,154.33163615259443,64.15969,82.271515,154.33163,70.12758,9.359381,171.78926,51.36884,9.359381,0.003291917,[ 0.011  0.033  0.048  0.044  0.037  0.003  0.028 -0.026  0.     0.  0.     0.054],72.06013,5.680249452590942,500,100,1.4838841
277.5833,True,66.57107,1.0358636,9494,0.0050110156,,1.2241249,0.030700134,3.0700135,14741.726,81.69101,0.010358637,-1,0.33627722,6,16.37,0.50110155,214.43375,149.84605317662712,76.17195,86.69649,149.84605,81.036194,9.359716,168.30756,49.12006,9.359716,0.003362772,[ 0.007  0.038  0.045  0.053  0.03   0.033 -0.027 -0.076  0.     0.  0.     0.065],63.149567,6.8322954177856445,600,100,1.5213622
369.57965,True,57.98761,1.0474768,11335,0.004109698,,1.1791089,0.019515324,1.9515325,14389.238,84.809814,0.010474768,-1,0.24898636,7,18.41,0.4109698,306.9443,168.86148667469777,70.561005,106.22614,168.86151,86.660164,9.35971,190.9554,56.449257,9.35971,0.0024898637,[ 0.009  0.038  0.054  0.041  0.024  0.029 -0.006 -0.086  0.     0.  0.     0.102],62.63534,8.040536880493164,700,100,1.4913834
333.53546,True,75.67733,2.7387695,13251,0.11035398,,13.777046,0.8120036,81.20036,4427044.0,7.25845,0.027387697,-1,6.0732124e-05,8,19.16,11.035398,243.3285,175.737954405294,332.04742,85.531,175.73795,5.8019867,9.359002,703.4469,54.20002,9.359002,6.073212e-07,[-0.003  0.033  0.06   0.046  0.033 -0.016  0.006 -0.09   0.     0.  0.     0.072],90.206955,9.184901475906372,800,100,1.2486583
480.05927,True,71.201996,1.6929566,15590,0.07846621,,8.371323,0.7859438,78.59438,8936518.0,11.945543,0.016929565,-1,0.0025364538,9,23.39,7.846621,389.73077,215.21979058162862,181.99753,124.89132,215.2198,4.4480124,9.359941,598.6876,69.52367,9.359941,2.5364538e-05,[ 0.01   0.052  0.057 -0.022 -0.029  0.041  0.024 -0.146  0.     0.  0.    -0.17 ],90.328476,10.363803386688232,900,100,1.1615436
520.3767,True,95.14897,1.0831009,18313,0.006261331,,1.2885281,0.042948186,4.294819,57560.684,77.60793,0.01083101,-1,0.14440855,10,27.23,0.6261331,393.07028,251.26197993353463,118.04254,123.95557,251.26198,74.95177,9.35976,295.25165,79.85224,9.35976,0.0014440855,[ 0.004  0.072  0.047 -0.023 -0.016  0.077  0.057 -0.212  0.     0.  0.    -0.257],127.30643,12.097038984298706,1000,100,1.1672224
554.4342,True,97.584274,1.0883238,21171,0.004083787,,1.1369721,0.02292594,2.292594,30038.484,87.95291,0.010883238,-1,0.3587075,11,28.58,0.40837872,427.32883,263.914545382058,110.76645,136.80917,263.91452,87.65761,9.359848,288.12256,74.222,9.359848,0.0035870748,[ 0.01   0.086  0.049  0.002  0.01   0.096  0.096 -0.212  0.     0.  0.    -0.252],127.10537,13.714768886566162,1100,100,1.1215067
593.8909,True,81.260956,1.0262482,23982,0.00217647,,1.0418822,0.02054653,2.054653,31901.895,95.98014,0.010262482,-1,0.64279664,12,28.11,0.217647,448.60397,259.42819833059025,85.606476,114.14124,259.4282,95.69578,9.359797,267.4665,82.32237,9.359797,0.006427966,[ 0.017  0.106  0.044  0.008  0.008  0.108  0.117 -0.197  0.     0.  0.    -0.297],145.28696,15.258230447769165,1200,100,1.1378216
678.44324,True,72.42328,1.1559765,26968,0.004179473,,1.2159245,0.024625976,2.4625976,49293.016,82.24195,0.011559764,-1,0.2576584,13,29.86,0.41794732,532.4426,275.95625395058954,103.917755,129.95564,275.95624,88.439156,9.359946,328.35144,89.14827,9.359946,0.0025765838,[ 0.014  0.107  0.036  0.018  0.022  0.104  0.114 -0.198  0.     0.  0.    -0.281],146.00061,16.463380575180054,1300,100,1.1340158
591.551,True,93.822235,1.0551893,29906,0.0032354288,,1.0915734,0.020142082,2.0142083,36273.363,91.610886,0.010551891,-1,0.40006435,14,29.38,0.32354286,447.3437,271.2875665160684,102.89734,127.080246,271.28757,91.40632,9.359692,288.3102,82.24655,9.359692,0.0040006433,[-0.002  0.121  0.027  0.028  0.028  0.123  0.126 -0.221  0.     0.  0.    -0.285],144.20732,18.14087986946106,1400,100,1.1048584
631.85974,True,97.06221,1.1893005,33008,0.009771808,,1.5174316,0.0716599,7.1659904,154635.44,65.900826,0.011893005,-1,0.30754814,15,31.02,0.97718084,459.01068,286.6200882258097,148.84554,113.77106,286.6201,59.69801,9.359556,382.3507,94.734024,9.359556,0.0030754814,[-0.005  0.115  0.022  0.019  0.015  0.116  0.111 -0.221  0.     0.  0.    -0.314],172.84904,20.05817723274231,1500,100,1.1471729
705.9978,True,87.791855,1.4634132,36249,0.03164485,,2.0713654,0.29911417,29.911419,632012.5,48.277336,0.01463413,-1,0.093919694,16,32.41,3.1644852,533.29376,299.59118809047305,184.78058,126.88714,299.5912,17.618118,9.359812,489.60724,100.92485,9.359812,0.0009391969,[-0.013  0.123  0.012  0.033  0.03   0.104  0.122 -0.244  0.     0.  0.    -0.272],172.70406,21.576289415359497,1600,100,1.0943558
600.5316,True,90.98381,1.0313022,39183,0.0016982794,,1.0244936,0.016277334,1.6277333,35119.203,97.6092,0.010313022,-1,0.6196341,17,29.34,0.16982794,436.8744,271.1432562979981,95.94772,107.486046,271.14325,97.35987,9.359645,278.30023,76.25205,9.359645,0.006196341,[-0.028  0.119 -0.003  0.002 -0.007  0.06   0.07  -0.232  0.     0.  0.    -0.325],163.65721,23.127898693084717,1700,100,1.0805051
642.9501,True,90.629456,1.0102081,42251,0.0035799947,,1.0974827,0.020810135,2.0810134,43257.914,91.117615,0.010102081,-1,0.2655316,18,30.68,0.35799947,506.5994,283.5144521640018,101.98793,147.16377,283.51447,88.84257,9.359716,304.05582,86.08272,9.359716,0.002655316,[-3.239e-02  1.403e-01 -1.225e-02  7.995e-03 -1.031e-04  6.721e-02  7.678e-02 -2.239e-01  0.000e+00  0.000e+00  0.000e+00 -3.384e-01],136.35068,24.590008974075317,1800,100,1.0615385
603.76685,True,98.34332,1.0062317,45276,0.0011322787,,1.0148202,0.012665827,1.2665827,23078.629,98.53962,0.0100623155,-1,0.6044889,19,30.25,0.11322788,477.1364,279.4733823826086,100.62698,152.84296,279.4734,98.74962,9.359945,283.0943,73.929,9.359945,0.006044889,[-0.054  0.166 -0.018 -0.002 -0.01   0.08   0.098 -0.226  0.     0.  0.    -0.357],126.63045,26.104156970977783,1900,100,1.0605423
620.9885,True,113.127594,1.1911997,48514,0.00984972,,1.6490686,0.061427884,6.1427884,126850.11,60.640293,0.011911997,-1,0.16949931,20,32.38,0.984972,457.83014,299.4241520581669,150.12822,136.26578,299.42413,59.39228,9.359913,389.3629,95.18727,9.359913,0.001694993,[-0.058  0.163 -0.024 -0.002 -0.014  0.078  0.09  -0.235  0.     0.  0.    -0.358],163.15837,27.174670219421387,2000,100,1.0500953
772.0551,True,80.09433,1.0760849,51882,0.007094372,,1.136141,0.071381226,7.1381226,122870.04,88.01725,0.0107608475,-1,0.38260934,21,33.68,0.7094372,589.18774,311.710860699707,106.58247,128.84352,311.71085,69.70366,9.35932,353.4623,96.83594,9.35932,0.0038260934,[-0.051  0.147 -0.031 -0.005 -0.019  0.073  0.081 -0.289  0.     0.  0.    -0.369],182.86734,28.812773942947388,2100,100,1.0338283
735.3093,True,88.08864,1.0048597,55217,0.0013215543,,1.0190134,0.013301853,1.3301853,44090.566,98.13413,0.010048598,-1,0.5895582,22,33.35,0.13215545,561.93274,308.68144861254206,90.97687,135.30489,308.68146,98.29974,9.359888,313.6569,106.40692,9.359888,0.0058955816,[-0.028  0.165 -0.032  0.005 -0.009  0.109  0.122 -0.276  0.     0.  0.    -0.385],173.37656,30.760916709899902,2200,100,1.0234216
650.6069,True,121.142624,18.110788,58633,1.5186167,,229.5681,15.238724,1523.8724,1796335600.0,0.43560058,0.18110788,-1,1.2048549e-06,23,34.16,151.86166,457.52942,316.32467339334033,5188.118,123.247215,316.32468,1.4023137,9.359416,8145.4204,97.62321,9.359416,1.2048549e-08,[-0.031  0.166 -0.037  0.002 -0.014  0.106  0.116 -0.284  0.     0.  0.    -0.396],193.07747,32.90590023994446,2300,100,0.7914428
