ESSClassic,MaxIWNorm,EpThisIter,MinIWNorm,J_sample_variance,MeanEntropy,EpRewMean,InitialBound,EpLenMean,InitialReturnMin,InitialReturnStd,VarianceInit,TimestepsSoFar,Bound,Iteration,InitialReturnMax,OptimizationReturnMean,MinIW,ReturnMeanIW,MaxIW,MeanIWNorm,TimeElapsed,MeanIW,EpisodesSoFar,ReturnStepMaxmin,OptimizationReturnMax,LearnableVariance,StdIWNorm,StdIW,OptimizationReturnMin,ESSRenyi,Weights,EmpiricalD2,InitialReturnMean,ReturnStepMax
24.491219,0.23753946,100,0.0012768226,735730.5,1.0979475,261.12494256452896,117.25098,28.28,126.96433,61.62012,-1,30450,201.32675,14,479.5798,134.16061,0.12768227,417.91977,23.753946,0.013945844,30.16909122467041,1.3945847,1400,9.3596945,352.61548,True,0.024487158,2.448716,,44.124054,[ 0.073  0.034  0.041 -0.017 -0.014  0.009  0.189 -0.138  0.     0.  0.    -0.36 ],2.2663376,261.12494,9.3596945
80.17566,0.032491725,100,0.0027950257,53834.293,1.108829,270.8043172135841,116.86995,29.32,164.9896,78.22735,-1,33382,137.58038,15,513.1145,105.81473,0.27950257,308.40567,3.2491727,0.011208781,33.66158986091614,1.1208781,1500,9.359505,348.1249,True,0.0055736094,0.55736095,,81.201996,[ 0.06   0.057  0.038  0.002  0.015  0.058  0.211 -0.155  0.     0.  0.    -0.321],1.2314968,270.80432,9.359505
46.51504,0.08892111,100,0.00049608224,187850.81,1.0432692,284.481148236447,124.47432,30.76,145.63202,84.20067,-1,36458,194.54462,16,533.3562,138.84912,0.049608223,425.1674,8.892111,0.01354537,36.542673110961914,1.354537,1600,9.359876,387.72418,True,0.014524796,1.4524797,,48.136314,[ 0.03   0.093  0.033  0.02   0.022  0.053  0.241 -0.157  0.     0.  0.    -0.31 ],2.0774336,284.48114,9.359876
51.959427,0.066989236,100,0.0014189939,165644.95,0.9618544,291.2724092487656,101.35846,31.49,183.574,82.36992,-1,39607,128.65222,17,633.0465,107.698395,0.14189939,365.31027,6.698924,0.011092897,39.60995674133301,1.1092896,1700,9.359631,449.4725,True,0.010666374,1.0666375,,64.39781,[ 0.05   0.085  0.03   0.017  0.014  0.075  0.216 -0.187  0.     0.  0.    -0.376],1.5528477,291.2724,9.359631
92.41382,0.023087708,100,0.0041044117,57655.844,0.9798738,299.6630088730252,99.57846,32.39,183.72488,94.79194,-1,42846,117.074844,18,666.9486,115.938126,0.41044116,325.39572,2.308771,0.010779546,42.864235162734985,1.0779546,1800,9.359741,483.22372,True,0.0030884752,0.30884755,,92.24898,[ 0.037  0.078  0.023  0.018  0.015  0.062  0.204 -0.212  0.     0.  0.    -0.457],1.0840229,299.663,9.359741
97.23004,0.016049594,100,0.007194744,46794.77,0.97546,306.6396634612084,120.74687,33.15,193.70523,77.283806,-1,46161,126.12117,19,619.64264,112.93443,0.71947443,314.6112,1.6049594,0.010263549,46.484795808792114,1.0263549,1900,9.359693,425.9374,True,0.0017323445,0.17323443,,97.26314,[ 0.019  0.081  0.015  0.016  0.007  0.038  0.185 -0.228  0.     0.  0.    -0.439],1.0281388,306.63968,9.359693
1.4230163,4.2972217,100,2.31018e-05,20939094.0,0.90935844,295.54443801995376,117.00154,31.98,181.97462,82.468315,-1,49359,499.56274,20,595.143,113.56982,0.00231018,1457.4136,429.7222,0.051304765,49.74005746841431,5.1304765,2000,9.359526,413.1684,True,0.4270124,42.70125,,3.4744766,[ 0.009  0.093  0.003  0.02   0.007  0.034  0.169 -0.227  0.     0.  0.    -0.443],28.781313,295.54446,9.359526
8.579193,0.52522755,100,3.2180604e-05,12214245.0,0.9233805,259.8454036948687,27.327759,28.14,108.27431,82.372536,-1,52173,218.85391,21,775.05884,151.5711,0.0032180604,689.4756,52.522755,0.015961053,52.787846088409424,1.5961053,2100,9.35991,666.78455,True,0.052102778,5.210278,,24.410011,[ 0.018  0.08   0.013  0.054  0.033  0.028  0.125 -0.152  0.     0.  0.    -0.51 ],4.0966797,259.8454,9.35991
94.79002,0.01663832,100,0.0038759895,38375.523,0.91227186,257.8152432751663,89.05356,27.92,164.17029,70.43094,-1,54965,98.469925,22,562.539,93.64495,0.38759896,272.9215,1.6638321,0.010747057,55.86456656455994,1.0747057,2200,9.359532,398.3687,True,0.0025195687,0.25195688,,93.583206,[ 0.003  0.094  0.009  0.083  0.065  0.009  0.152 -0.2    0.     0.  0.    -0.496],1.0685678,257.81525,9.359532
2.1897235,1.8449042,100,6.647851e-05,22275678.0,0.8288571,272.35217952091216,127.862854,29.48,183.13239,71.57054,-1,57913,503.81854,23,481.6311,89.219795,0.0066478513,1074.8828,184.49042,0.027468512,59.0194411277771,2.7468514,2300,9.3597355,298.49872,True,0.18358311,18.35831,,6.4017916,[ 0.022  0.091  0.011  0.097  0.081  0.001  0.148 -0.204  0.     0.  0.    -0.507],15.620627,272.35217,9.3597355
89.218666,0.02333947,100,0.0015238454,56332.395,0.8161015,287.49432416625876,81.9669,31.1,174.43507,86.01446,-1,61023,96.30475,24,685.09143,113.05925,0.15238453,315.28064,2.3339472,0.010489616,63.79561686515808,1.0489615,2400,9.359903,510.65637,True,0.0036464296,0.36464298,,88.094124,[ 0.026  0.079 -0.004  0.03   0.007  0.024  0.089 -0.205  0.     0.  0.    -0.59 ],1.1351495,287.49432,9.359903
12.173522,0.36635438,100,0.00011882174,1486055.1,0.79982936,319.090629816528,124.122314,34.47,183.8023,94.82893,-1,64470,200.92758,25,649.8945,135.28833,0.011882175,565.1884,36.635437,0.014202847,67.85327982902527,1.4202849,2500,9.35992,466.09216,True,0.038148735,3.8148732,,28.648586,[ 0.029  0.073 -0.009  0.038  0.022  0.013  0.085 -0.226  0.     0.  0.    -0.603],3.4905736,319.09064,9.35992
77.949905,0.03904083,100,0.001972451,90824.61,0.79553735,317.3759166422583,97.46184,34.3,191.24704,91.319756,-1,67900,127.494446,26,733.0469,126.128876,0.19724512,377.79214,3.9040833,0.011354957,72.42463970184326,1.1354955,2600,9.359948,541.7998,True,0.006039248,0.60392475,,77.19554,[ 0.048  0.063 -0.009  0.027  0.008  0.05   0.081 -0.248  0.     0.  0.    -0.619],1.2954116,317.37592,9.359948
94.71242,0.01695261,100,0.002711411,59449.105,0.78283674,325.8935132693952,108.573975,35.18,193.47353,97.44653,-1,71418,122.71774,27,724.39856,132.41998,0.2711411,347.59024,1.695261,0.01031934,76.58870959281921,1.0319341,2700,9.359908,530.92505,True,0.0024382449,0.2438245,,93.39529,[ 0.047  0.049 -0.001  0.018 -0.01   0.063  0.083 -0.268  0.     0.  0.    -0.623],1.0707178,325.89352,9.359908
79.03254,0.032846306,100,0.0023040941,79773.78,0.7329361,324.85477512497874,151.86334,35.08,192.81653,91.401535,-1,74926,184.97173,28,576.6381,132.03825,0.23040943,374.8562,3.2846308,0.011132267,81.27253818511963,1.1132268,2800,9.359737,383.8216,True,0.0057339445,0.57339454,,82.998505,[ 0.05   0.042 -0.004  0.012 -0.015  0.05   0.069 -0.287  0.     0.  0.    -0.636],1.204841,324.8548,9.359737
